DateTime,AddedIPs,RemovedIPs
1559966766,1,0
1559970356,1,0
1559973960,1,4
1559977556,2,1
1559981147,1,1
1559984754,2,2
1559988359,1,0
1559991958,0,1
1559995557,1,0
1559999159,2,1
1560002760,1,2
1560006356,2,1
1560009954,1,3
1560013544,2,2
1560017146,1,1
1560020756,2,1
1560024338,2,1
1560027952,1,1
1560031568,1,0
1560035150,0,3
1560038746,1,1
1560042347,0,1
1560045947,5,1
1560056746,0,1
1560060347,1,2
1560063937,1,3
1560067537,3,0
1560071143,1,0
1560089151,1,1
1560092742,1,5
1560096346,3,2
1560099949,3,0
1560107162,1,0
1560110751,0,1
1560114350,0,1
1560117959,2,1
1560121544,0,3
1560125172,3,1
1560128754,2,0
1560135949,0,2
1560139548,2,4
1560143148,1,0
1560146740,1,2
1560150335,4,3
1560153944,1,0
1560157556,1,1
1560161162,2,2
1560164733,3,2
1560168348,1,1
1560171954,1,0
1560175556,1,0
1560179149,1,0
1560182744,0,3
1560186353,1,5
1560189947,4,0
1560193540,0,2
1560197159,1,2
1560200743,1,1
1560207958,2,2
1560211545,3,1
1560218762,1,0
1560222357,1,1
1560225940,1,2
1560229551,1,1
1560233151,2,1
1560236760,1,3
1560240351,4,1
1560243957,0,1
1560247564,1,2
1560251152,0,1
1560254747,2,4
1560258357,3,3
1560261958,2,3
1560265549,6,1
1560269148,0,2
1560272749,1,3
1560276339,2,0
1560279961,0,2
1560283557,1,1
1560287141,2,0
1560290771,0,1
1560294360,1,0
1560297940,1,2
1560301550,0,1
1560305154,3,1
1560308760,0,1
1560312343,2,1
1560319555,2,1
1560323155,1,1
1560326749,2,3
1560330342,5,1
1560333963,3,1
1560337554,1,4
1560341149,0,4
1560344755,3,1
1560348360,1,0
1560351951,1,2
1560355547,1,1
1560359148,2,1
1560369963,0,1
1560377153,0,1
1560384376,3,0
1560387941,1,0
1560391550,0,1
1560395152,1,2
1560398750,0,1
1560402351,1,1
1560405942,2,1
1560409547,0,1
1560413151,1,1
1560416746,0,1
1560420357,3,3
1560423947,2,4
1560427542,4,1
1560431149,1,0
1560434751,0,1
1560438350,0,1
1560441944,0,4
1560445555,5,3
1560449141,2,1
1560452751,3,1
1560456359,0,1
1560459948,3,0
1560463559,1,1
1560467144,1,0
1560470750,0,1
1560474349,0,1
1560477961,1,2
1560481558,1,0
1560485149,0,1
1560488752,2,3
1560492356,4,3
1560495947,1,2
1560499550,3,1
1560503149,1,1
1560506753,2,1
1560510352,1,4
1560513942,2,1
1560517550,2,0
1560521146,1,2
1560524752,1,1
1560528353,2,1
1560531966,0,1
1560535548,0,2
1560539154,0,2
1560542739,2,2
1560546358,3,0
1560549951,2,1
1560553548,1,0
1560557177,2,0
1560560766,0,4
1560564353,2,2
1560567959,2,1
1560571546,3,0
1560575149,0,2
1560578742,1,1
1560596749,1,0
1560600350,0,1
1560603953,1,2
1560607548,2,0
1560611144,1,1
1560614746,1,0
1560618355,0,4
1560621947,1,2
1560625553,2,1
1560629139,2,2
1560632745,2,0
1560636356,0,2
1560639964,2,1
1560643575,1,4
1560647140,4,3
1560650741,2,0
1560654340,1,0
1560661537,2,1
1560672344,0,1
1560675947,0,1
1560679537,1,1
1560683139,1,0
1560686746,1,1
1560690338,3,3
1560693945,1,1
1560697541,1,0
1560701144,2,0
1560704755,0,2
1560708345,1,3
1560711946,1,1
1560715529,0,2
1560719137,2,0
1560722752,2,0
1560729962,0,2
1560733546,4,0
1560737146,0,1
1560740755,1,2
1560744341,0,1
1560747941,2,2
1560751547,1,2
1560755141,2,2
1560758729,3,0
1560762338,0,1
1560765938,2,4
1560769554,3,3
1560773140,2,2
1560776751,1,0
1560780333,1,0
1560783936,0,1
1560787551,0,2
1560791143,3,3
1560794754,2,1
1560798352,1,0
1560805537,3,2
1560812733,2,1
1560816369,1,3
1560819950,2,1
1560823554,1,1
1560827157,2,1
1560830751,1,1
1560834355,1,0
1560837961,1,1
1560841550,1,1
1560845157,1,2
1560848762,4,1
1560852358,0,3
1560855951,1,1
1560859555,1,0
1560863165,2,1
1560866743,0,2
1560870350,1,2
1560873951,0,1
1560877552,1,4
1560881141,2,3
1560884759,5,0
1560888343,1,0
1560891955,0,1
1560895572,0,2
1560899159,1,0
1560902756,2,1
1560906358,1,0
1560909935,2,0
1560913535,1,2
1560917107,1,2
1560920722,3,4
1560924326,2,2
1560927914,1,0
1560931514,2,1
1560935124,2,1
1560938725,1,2
1560942319,1,1
1560945915,2,0
1560949525,1,1
1560953114,0,2
1560956710,2,1
1560960303,0,2
1560971109,1,3
1560974714,2,1
1560978331,1,2
1560981911,1,3
1560985520,2,0
1560992784,1,0
1560996362,1,2
1560999959,2,0
1561003544,1,2
1561007146,1,1
1561010758,1,1
1561014361,1,0
1561017954,1,1
1561021576,1,0
1561025159,1,2
1561028748,0,2
1561032356,3,4
1561035948,2,2
1561039559,2,4
1561043168,4,2
1561046752,3,1
1561050368,0,1
1561053975,1,3
1561057572,2,0
1561061159,0,1
1561064756,2,0
1561071974,0,1
1561075561,0,4
1561079165,2,2
1561082765,5,0
1561086363,1,2
1561089953,2,0
1561093544,1,2
1561097177,1,2
1561100776,2,2
1561104357,3,1
1561107964,0,1
1561111561,2,1
1561118742,1,3
1561122341,1,1
1561125966,0,2
1561129566,1,1
1561133163,2,3
1561136765,3,2
1561140368,0,3
1561143960,1,2
1561147550,5,4
1561151174,1,1
1561154759,4,1
1561158355,2,1
1561161969,1,0
1561165557,0,1
1561172765,1,0
1561176370,2,2
1561179971,2,1
1561183549,1,0
1561187169,0,3
1561190766,2,1
1561194367,0,1
1561197973,1,1
1561201572,2,1
1561205166,1,1
1561208764,2,0
1561212350,1,1
1561215957,1,0
1561219577,0,3
1561223185,2,1
1561226754,0,3
1561230363,2,0
1561237585,0,1
1561241195,1,1
1561244768,2,1
1561248340,2,1
1561259154,3,0
1561262760,0,1
1561266355,1,0
1561269941,0,1
1561273561,0,2
1561277165,1,0
1561280762,0,1
1561284367,2,0
1561287958,0,2
