DateTime,AddedIPs,RemovedIPs
1556651189,3,0
1556654793,0,1
1556658362,1,0
1556672794,4,0
1556676395,20,0
1556679993,1,0
1556683587,0,1
1556687190,0,1
1556690788,0,5
1556694391,1,2
1556697991,3,5
1556701594,4,0
1556705190,1,0
1556708783,0,1
1556737597,0,1
1556741187,0,5
1556744804,3,0
1556748384,0,2
1556755603,3,0
1556759184,1,5
1556762783,6,0
1556769984,1,0
1556784401,0,2
1556787996,0,4
1556798787,0,1
1556802406,1,0
1556820401,0,6
1556823983,3,1
1556827601,2,0
1556831181,1,12
1556834777,4,5
1556838398,12,0
1556842009,2,0
1556845598,1,0
1556852781,0,8
1556856389,9,14
1556859981,3,2
1556867180,0,8
1556910384,0,1
1556913985,0,2
1556917574,2,0
1556924766,1,0
1556935588,1,0
1556946373,0,2
1556949991,0,1
1556953585,0,4
1557018388,24,0
1557021993,1,0
1557029178,1,0
1557032778,1,0
1557043565,0,1
1557047176,0,1
1557079578,0,1
1557083188,1,0
1557108367,0,2
1557111985,0,14
1557115584,0,4
1557122778,1,0
1557158805,0,2
1557162396,1,3
1557165973,4,0
1557180362,0,8
1557183984,6,0
1557187549,2,0
1557201971,5,0
1557205571,0,3
1557209179,2,0
1557212784,6,9
1557223592,0,2
1557227163,1,0
1557241578,0,7
1557281180,0,1
1557284791,1,0
1557299183,0,6
1557320786,0,2
1557324392,0,1
1557327985,3,0
1557356778,0,1
1557363986,13,1
1557367585,6,0
1557371185,1,0
1557381978,2,1
1557396395,1,0
1557403587,0,1
1557407195,1,0
1557410785,0,2
1557414395,2,0
1557436003,0,4
1557439599,4,1
1557446808,1,3
1557450401,1,2
1557453993,1,5
1557457600,1,3
1557461196,5,7
1557464802,3,0
1557468386,0,4
1557471994,0,1
1557486396,0,1
1557489995,1,0
1557518791,0,1
1557529596,1,2
1557533200,2,0
1557630407,1,0
1557637589,1,3
1557641201,0,2
1557644802,0,1
1557651994,0,1
1557709603,13,0
1557713182,8,0
1557723991,0,1
1557727595,0,1
1557731192,1,1
1557734775,1,0
1557799584,0,7
1557803182,0,3
1557806787,2,3
1557817592,0,2
1557821183,0,2
1557824768,2,0
1557831994,0,1
1557835578,1,0
1557911184,1,0
1557954392,0,1
1557957988,1,0
1557961599,0,1
1557965178,1,0
1557983181,0,1
1557997588,0,1
1558001181,1,0
1558055180,3,0
1558058762,9,1
1558062384,12,0
1558065987,4,0
1558069585,1,0
1558073179,1,0
1558076786,0,6
1558080393,0,1
1558083981,2,0
1558087577,0,1
1558098381,0,3
1558102002,2,3
1558105589,2,0
1558109179,2,0
1558123578,0,13
1558127189,8,1
