DateTime,Entries,UniqueIPs
1560998913,17148,17148
1561000843,16370,16370
1561002731,16314,16314
1561004663,16352,16352
1561006597,13778,13778
1561008494,13720,13720
1561010425,13710,13710
1561012366,13005,13005
1561014279,12990,12990
1561016195,12669,12669
1561018096,12974,12974
1561020048,12933,12933
1561021943,12873,12873
1561023859,12802,12802
1561025792,12749,12749
1561027704,12751,12751
1561029628,12731,12731
1561031559,12714,12714
1561033472,12734,12734
1561035647,12698,12698
1561037533,12663,12663
1561039637,12583,12583
1561041627,12344,12344
1561043534,11737,11737
1561045476,10181,10181
1561047413,10272,10272
1561049294,11271,11271
1561051209,12114,12114
1561053152,13203,13203
1561055058,14147,14147
1561056970,15222,15222
1561058923,15467,15467
1561061770,15304,15304
1561063700,15281,15281
1561065635,15269,15269
1561067544,15320,15320
1561069459,15341,15341
1561071397,15362,15362
1561073312,16348,16348
1561075232,18683,18683
1561077156,18710,18710
1561079076,18680,18680
1561080985,18690,18690
1561082924,18680,18680
1561084834,18667,18667
1561086769,18696,18696
1561088655,18690,18690
1561090601,18644,18644
1561092503,18650,18650
1561094431,18676,18676
1561096350,19042,19042
1561098266,19054,19054
1561100170,19034,19034
1561102112,19019,19019
1561104051,19012,19012
1561105958,19118,19118
1561107887,19208,19208
1561109780,19274,19274
1561111735,19368,19368
1561113613,19485,19485
1561115537,19581,19581
1561117463,19663,19663
1561119393,19769,19769
1561121301,19900,19900
1561123229,20081,20081
1561125153,20254,20254
1561127080,20427,20427
1561128967,20619,20619
1561130891,20728,20728
1561133813,20978,20978
1561135719,21336,21336
1561137611,21486,21486
1561139560,21631,21631
1561141469,21753,21753
1561143386,21904,21904
1561145312,22105,22105
1561147252,22279,22279
1561149173,22456,22456
1561151062,22594,22594
1561152975,22726,22726
1561156354,22992,22992
1561158433,23115,23115
1561160424,21478,21478
1561162334,20287,20287
1561164263,20416,20416
1561166198,20556,20556
1561168106,20730,20730
1561170011,20865,20865
1561171948,21043,21043
1561173862,22199,22199
1561175791,22368,22368
1561177700,22511,22511
1561180602,22692,22692
1561182506,22445,22445
1561184451,22628,22628
1561186351,22765,22765
1561188260,22915,22915
1561190189,23048,23048
1561192094,23118,23118
1561194974,23180,23180
1561196903,23353,23353
1561198825,24600,24600
1561200729,26976,26976
1561202660,28648,28648
1561204568,30440,30440
1561206511,31896,31896
1561208439,33896,33896
1561210336,35693,35693
1561212270,35595,35595
1561214190,34809,34809
1561216114,34341,34341
1561218042,34657,34657
1561219955,34730,34730
1561221884,34536,34536
1561223776,34635,34635
1561225712,34681,34681
1561227619,34703,34703
1561229566,34808,34808
1561231473,34894,34894
1561233370,34938,34938
1561235301,34986,34986
1561237231,35106,35106
1561239144,35312,35312
1561241076,35567,35567
1561242976,35543,35543
1561244924,35502,35502
1561246828,35451,35451
1561248983,35458,35458
1561250902,35390,35390
1561252834,35341,35341
1561254732,35289,35289
1561256672,35295,35295
