DateTime,AddedIPs,RemovedIPs
1561004664,40,6
1561006598,3,190
1561008495,3,4
1561010429,19,6
1561012367,2,29
1561014298,6,10
1561016196,6,7
1561018096,10,1
1561020048,4,8
1561021944,7,8
1561023859,5,7
1561025793,5,3
1561027704,4,8
1561029629,7,3
1561031562,7,3
1561033472,4,4
1561036585,4,8
1561038533,6,5
1561040693,4,9
1561042569,5,12
1561044500,5,818
1561046426,8,499
1561048334,206,18
1561050287,226,11
1561052171,400,24
1561054094,554,15
1561056036,434,14
1561057943,564,15
1561059856,16,11
1561061771,2,17
1561063701,9,2
1561065636,15,15
1561067546,14,6
1561069460,12,8
1561071398,10,4
1561073312,454,9
1561075234,1073,4
1561077157,9,1
1561079091,9,9
1561080986,6,6
1561082925,4,5
1561084834,6,6
1561086770,6,2
1561088655,3,4
1561090602,2,31
1561092504,4,1
1561094432,19,2
1561096351,171,17
1561098266,3,3
1561100170,6,3
1561102112,8,7
1561104063,4,7
1561105958,2,4
1561107889,6,8
1561109780,5,7
1561111736,6,4
1561113613,2,6
1561115537,5,5
1561117464,11,3
1561119394,10,3
1561121301,8,4
1561123230,5,3
1561125154,10,8
1561127081,6,2
1561128967,5,4
1561130891,6,5
1561132856,5,5
1561134739,50,4
1561136674,4,5
1561138601,7,5
1561140533,9,4
1561142440,12,12
1561144342,5,8
1561146271,12,12
1561148176,12,2
1561150344,9,11
1561152268,9,11
1561154197,15,13
1561156354,16,14
1561158434,5,8
1561160425,8,844
1561162334,12,654
1561164263,8,10
1561166199,12,15
1561168106,20,5
1561170011,11,9
1561171949,10,12
1561173862,68,11
1561175791,12,2
1561177700,10,4
1561179649,6,2
1561181535,7,87
1561183479,5,86
1561185377,9,2
1561187330,10,9
1561189210,15,6
1561191144,11,7
1561193075,9,4
1561194975,6,5
1561196904,7,7
1561198826,148,4
1561200730,194,3
1561202661,74,8
1561204568,74,7
1561206511,68,6
1561208451,146,7
1561210337,218,5
1561212277,169,370
1561214191,174,930
1561216114,169,894
1561218043,29,1
1561219955,9,5
1561221885,8,49
1561223777,11,5
1561225713,8,8
1561227620,8,9
1561229567,5,6
1561231474,15,8
1561233371,14,8
1561235301,16,9
1561237241,14,10
1561239145,34,7
1561241081,37,10
1561242977,10,11
1561244941,12,6
1561246828,5,4
1561248983,8,6
1561250902,7,9
1561252835,10,5
1561254733,12,10
1561256672,13,10
1561258592,5,2
1561260512,11,44
1561263377,13,11
1561265303,10,8
1561267232,157,6
1561269133,18,6
1561271068,4,6
1561273000,7,6
1561274909,7,8
1561277794,11,17
1561279726,5,6
1561281629,8,6
1561283554,4,9
1561285464,7,157
1561287372,5,200
1561289312,8,77
1561291248,9,123
1561293149,5,110
1561295075,8,187
1561296984,6,257
1561298894,4,157
1561300839,14,162
1561302766,7,143
1561304660,11,17
1561306580,7,9
1561308512,7,8
1561310411,10,3
1561312349,10,10
1561314256,2,7
1561316168,8,11
1561318365,150,14
1561320286,11,14
1561322179,63,16
1561324129,9,14
1561326014,12,62
1561327963,15,28
1561329852,8,7
1561331787,12,11
1561333693,11,6
1561335615,265,15
1561337564,213,8
1561339461,372,7
1561341370,359,11
1561343323,222,14
1561345267,215,9
1561347133,271,10
1561349104,212,9
1561350983,476,5
1561352932,408,12
1561354832,339,10
1561356734,407,13
1561358661,440,7
1561360622,297,9
1561362496,329,6
1561364432,522,6
1561366353,402,8
1561368257,314,121
1561370182,102,1
1561372114,22,10
1561374082,100,4
1561375947,73,9
1561377862,13,7
1561379775,7,2
1561381731,8,7
1561383633,3,5
1561385535,10,3
1561387348,7,12
1561389394,4,8
1561391296,4,9
1561393231,64,2
1561395172,7,5
1561397066,5,4
1561398980,1,5
1561400918,9,3
1561402871,8,4
