DateTime,AddedIPs,RemovedIPs
1559494343,0,1
1559496257,1,0
1559498213,0,1
1559500095,2,0
1559502300,2,0
1559510444,0,1
1559518114,0,9
1559523889,3,1
1559527711,1,0
1559535651,0,1
1559537563,12,0
1559547176,1,0
1559549349,0,1
1559553408,0,1
1559557248,1,0
1559564897,0,2
1559572578,0,1
1559582447,0,1
1559586261,0,2
1559588180,1,1
1559592029,1,0
1559595916,1,0
1559610499,0,3
1559612426,0,1
1559614345,1,1
1559624190,1,12
1559635701,0,1
1559643391,0,1
1559651060,13,0
1559674095,0,1
1559677962,0,1
1559681788,0,1
1559689500,1,0
1559697143,1,0
1559701012,0,1
1559702923,1,0
1559704854,1,0
1559710585,0,1
1559717567,1,0
1559733883,11,0
1559737713,0,13
1559741740,1,0
1559772742,1,0
1559776584,0,1
1559788093,0,1
1559790069,0,1
1559795779,1,0
1559797705,1,0
1559803472,2,1
1559807310,1,0
1559809239,1,0
1559817146,2,0
1559819083,0,1
1559820981,0,10
1559824814,1,0
1559826741,0,1
1559828658,0,1
1559832510,3,0
1559840170,1,0
1559844084,1,0
1559857933,1,1
1559873785,1,0
1559881455,0,1
1559883375,0,1
1559885290,1,0
1559887262,2,0
1559889143,0,1
1559891082,0,1
1559892975,0,1
1559894899,1,1
1559898739,2,0
1559902579,0,1
1559904491,0,1
1559908328,1,0
1559912173,1,1
1559914099,1,0
1559917945,1,1
1559919862,0,2
1559927536,0,1
1559929466,0,1
1559944871,1,1
1559958497,0,1
1559970060,0,1
1559971939,1,0
1559973861,0,2
1559979855,1,0
1559981772,0,1
1559983700,0,1
1559985607,0,1
1559995247,0,1
1559997134,1,0
1559999307,1,1
1560001214,1,0
1560005055,0,2
1560007236,1,0
1560017068,1,0
1560018985,1,0
1560020898,1,0
1560030730,0,1
1560042281,1,0
1560044416,1,0
1560057853,1,1
1560067462,0,1
1560084730,0,1
1560086661,0,2
1560094333,1,1
1560102253,0,1
1560104178,1,0
1560106127,0,1
1560108029,1,0
1560111857,1,0
1560117894,1,0
1560127464,0,1
1560129372,0,2
1560133249,1,0
1560135131,1,0
1560142837,1,0
1560144742,0,1
1560146681,2,0
1560162034,2,0
1560180495,0,1
1560187221,1,0
1560191053,1,1
1560192976,1,0
1560194890,1,1
1560197782,0,1
1560205453,0,1
1560209306,1,0
1560220810,1,2
1560228490,0,1
1560232327,0,2
1560240045,1,0
1560247710,0,2
1560249611,1,0
1560261129,1,0
1560266886,1,0
1560268841,1,0
1560272689,2,1
1560278417,1,1
1560280343,0,1
1560282271,2,1
1560294034,3,0
1560295966,0,1
1560301717,3,0
1560307471,0,1
1560313233,1,0
1560317064,1,0
1560326658,0,1
1560328598,2,0
1560332429,3,0
1560336255,1,1
1560342026,1,0
1560343934,1,0
1560345914,1,0
1560347783,1,1
1560351854,1,1
1560355711,1,1
1560361455,1,2
1560363629,0,1
1560365549,1,0
1560367452,0,2
1560379263,1,2
1560381145,0,1
1560388820,0,3
1560399632,0,1
1560403460,0,1
1560414981,1,2
1560418815,2,3
1560422904,8,1
1560424832,35,0
1560428653,0,1
1560430586,1,1
1560435376,0,2
1560437548,0,1
1560443307,0,1
1560445464,1,0
1560447418,0,1
1560453147,0,1
1560465140,1,0
1560467081,0,1
1560474991,1,0
1560496353,1,0
1560500191,0,1
1560502104,2,0
1560505958,0,2
1560507866,1,0
1560509789,1,18
1560511711,0,25
1560513660,2,0
1560515548,0,1
1560531384,0,1
1560537148,1,0
1560544819,1,0
1560546760,1,0
1560552014,1,1
1560557789,1,0
1560559698,1,1
1560563551,1,0
1560565465,1,0
1560567375,1,0
1560573153,2,0
1560582771,0,1
1560586585,1,0
1560588513,0,2
1560594263,0,1
1560596172,0,1
1560598093,1,0
1560600985,2,2
1560610577,1,0
1560622096,1,0
1560624027,0,1
1560630041,0,1
1560633867,0,1
1560635770,1,0
1560640589,0,1
1560644418,0,1
1560648255,0,1
1560652091,0,1
1560654046,0,1
1560657887,1,0
1560659771,1,2
1560663610,1,0
1560673244,0,1
1560683797,0,2
1560685719,0,1
1560687625,0,1
1560697225,0,1
1560708731,2,1
1560722176,1,1
1560725953,1,0
1560735618,1,0
1560739480,2,0
1560745235,0,1
1560747164,0,1
1560750979,1,1
1560787516,1,0
1560793210,1,0
1560795148,0,2
1560806665,1,0
1560808576,1,1
1560812447,1,1
1560820096,1,0
1560823960,0,1
1560825853,0,2
1560837662,0,1
1560841480,1,0
1560865707,1,0
1560873373,0,1
1560877276,1,0
1560881057,0,1
1560892574,1,1
1560896446,0,1
1560899232,0,1
1560906973,0,1
1560910835,1,0
1560927155,0,1
1560933145,7,0
1560935338,9,0
1560937228,8,0
1560939390,8,0
1560941304,4,0
1560943255,9,0
1560945169,9,0
1560947093,7,0
1560948994,4,0
1560951017,9,0
1560952862,5,1
1560954764,3,0
1560956688,5,0
1560958575,2,0
1560960505,5,0
1560962432,1,0
1560964337,2,0
1560966285,4,0
1560968195,3,0
1560970096,4,0
1560972016,2,0
1560973952,3,0
1560975851,2,0
1560977780,2,0
1560979688,1,1
1560981641,5,0
1560983526,3,0
1560985474,1,0
1560987395,3,0
1560989320,8,0
1560991220,4,0
1560993142,2,0
1560995081,2,0
1560997001,3,0
1560998914,1,1
1561000845,1,0
1561002733,0,1
1561004665,3,0
1561008496,1,0
1561010438,2,0
