DateTime,AddedIPs,RemovedIPs
1557263775,1,0
1557273375,0,1
1557281064,1,0
1557284896,1,0
1557290653,1,0
1557296430,0,2
1557298347,0,2
1557300274,0,1
1557304094,0,1
1557310108,1,0
1557315873,0,1
1557329545,0,1
1557350678,0,1
1557371321,0,1
1557373237,1,0
1557377082,0,1
1557381151,1,0
1557394586,1,0
1557396552,1,1
1557400338,1,0
1557404201,1,0
1557406100,0,1
1557411862,1,0
1557419571,1,0
1557437064,1,0
1557444279,2,0
1557448113,1,0
1557458695,0,1
1557466382,0,1
1557472133,1,0
1557483640,0,1
1557485555,0,1
1557489411,0,1
1557495406,1,0
1557499243,3,1
1557507134,0,1
1557509064,1,0
1557510974,2,0
1557522524,1,0
1557524442,0,1
1557530190,0,1
1557532101,0,1
1557541694,0,1
1557558977,0,1
1557572661,1,0
1557576494,2,0
1557582255,0,1
1557586097,0,3
1557588013,1,0
1557596188,0,3
1557609876,0,1
1557617547,0,1
1557632912,1,0
1557638661,1,0
1557654503,1,0
1557660270,0,1
1557662179,0,1
1557664121,0,1
1557667954,1,0
1557673950,1,1
1557718583,0,1
1557724367,0,1
1557726257,1,0
1557739724,0,1
1557749303,1,0
1557755059,0,1
1557760835,0,1
1557772348,1,0
1557789614,1,0
1557807136,1,0
1557826834,1,0
1557834775,0,1
1557844337,1,0
1557848450,0,1
1557856345,1,0
1557860194,0,1
1557877730,0,1
1557893102,0,1
1557896937,1,0
1557900781,1,0
1557914197,0,1
1557929560,0,1
1557933406,1,0
1557941061,1,0
1557943007,0,1
1557975865,2,0
1557983548,0,1
1557987412,0,1
1558015017,1,0
1558019821,0,1
1558028658,0,1
1558059378,1,0
1558061308,0,1
1558063211,0,1
1558099937,0,1
1558113864,1,0
1558121538,1,0
1558145808,0,1
1558150101,1,0
1558183696,1,0
1558199089,0,1
1558204828,1,0
1558206737,0,1
1558228129,1,0
1558235786,0,1
1558261005,1,0
1558270602,0,1
1558291711,0,1
1558293624,1,0
1558307086,1,0
1558314998,0,1
1558341881,1,0
1558343802,1,0
1558347624,0,1
1558380274,0,1
1558389909,1,0
1558393730,0,1
1558397541,1,0
1558428283,0,1
1558430199,0,1
1558437878,1,0
1558439795,2,0
1558468880,1,0
1558476736,0,1
1558481770,1,0
1558483701,0,1
1558487534,1,0
1558495477,1,0
1558505135,1,0
1558522363,1,0
1558524280,0,1
1558526204,0,2
1558530100,1,0
1558537695,1,0
1558555935,0,1
1558567704,0,1
1558575398,0,1
1558581393,0,1
1558589057,2,0
1558591001,0,1
1558596790,1,0
1558600584,1,0
1558604440,1,0
1558608279,0,1
1558614045,1,0
1558617860,0,1
1558623913,0,1
1558632973,1,0
1558646906,2,0
1558648928,1,0
1558650755,3,0
1558652935,1,0
1558654862,1,0
1558670178,1,0
1558675959,0,2
1558677889,1,0
1558683615,0,1
1558687489,0,1
1558691302,0,1
1558699292,1,1
1558712664,1,0
1558718440,0,1
1558733783,1,2
1558735719,0,2
1558738191,0,3
1558740021,0,1
1558757302,0,1
1558764980,0,1
1558785653,0,1
1558799091,2,1
1558820652,0,1
1558849455,1,0
1558857159,1,0
1558886175,0,2
1558937827,1,1
1558943567,0,1
1558972222,1,0
1559001159,1,0
1559024201,0,1
1559031865,1,0
1559059302,0,1
1559087080,1,1
1559118259,0,1
1559143252,1,0
1559154996,1,0
1559157090,1,0
1559174464,0,1
1559203308,1,0
1559209008,1,0
1559241882,0,1
1559243785,0,1
1559247657,0,1
1559290345,0,1
1559292255,0,1
1559322298,1,0
1559335726,44,0
1559337643,39,0
1559339534,112,0
1559341464,98,0
1559343434,29,0
1559345303,53,0
1559347351,98,0
1559349175,52,0
1559351085,63,0
1559353050,129,0
1559354951,131,0
1559356838,112,0
1559358744,128,0
1559360656,134,0
1559362601,1,0
1559408919,0,1
1559424766,0,120
1559426929,0,127
1559428846,0,65
1559430750,0,28
1559432662,0,77
1559434580,0,66
1559436506,0,74
1559438434,0,92
1559440603,0,165
1559442509,0,123
1559444540,0,112
1559446355,0,126
1559475856,1,48
1559558669,1,0
1559562502,0,1
1559620364,1,0
1559633808,1,0
1559637641,1,0
1559645307,0,1
1559693326,1,0
1559706777,0,1
1559718257,1,0
1559720191,0,1
1559724039,0,1
1559778532,0,1
1559800831,1,0
1559804683,0,1
1559810411,1,0
1559820017,1,0
1559852662,1,0
1559872103,1,0
1559875938,1,0
1559879783,1,0
1559891308,1,0
1559897068,0,1
1559900898,2,0
1559902832,1,0
1559906677,0,1
1559928037,3,0
1559939541,0,1
1559951838,1,0
1559959544,0,1
1559963321,0,1
1559965213,0,1
1559977003,0,1
1559978895,1,0
1559986813,0,2
1559990658,0,1
1559998570,1,0
1560013943,2,3
1560021609,1,0
1560025461,0,1
1560039382,0,1
1560064337,0,1
1560085477,0,1
1560101298,1,2
1560107062,0,1
1560118832,1,0
1560120736,1,0
1560154817,1,0
1560156729,1,0
1560187697,0,1
1560204985,0,1
1560206891,0,1
1560241703,0,1
1560250844,1,1
1560268094,2,0
1560301718,2,0
1560318992,1,0
1560338180,0,1
1560353796,0,2
1560363630,1,0
1560367453,1,0
1560375139,1,0
1560388822,0,1
1560400355,2,0
1560404185,0,1
1560448905,0,1
1560452910,0,1
1560456767,1,0
1560460592,0,1
1560466350,1,0
1560485547,2,2
1560498985,0,1
1560516746,1,0
1560522505,1,0
1560532103,1,0
1560534273,1,0
1560540292,1,0
1560544098,0,1
1560553944,0,1
1560573154,0,2
1560620219,0,2
1560627867,1,0
1560657892,1,0
1560661702,1,0
1560673245,0,2
1560675174,0,1
1560691451,1,0
1560693375,1,0
1560700340,1,0
1560702253,1,0
1560706091,2,0
1560713769,0,1
1560727959,3,0
1560745236,0,1
1560749056,0,1
1560760576,1,0
1560774050,1,0
1560777885,0,1
1560779785,0,1
1560785563,0,1
1560789378,0,1
1560791312,0,1
1560793211,0,1
1560808577,1,0
1560814358,0,3
1560825854,1,0
1560831644,1,0
1560847214,0,1
1560858055,1,0
1560859942,1,1
1560871506,1,0
1560884922,2,0
1560894515,0,1
1560903162,1,0
1560910837,0,1
1560912751,1,0
1560918501,1,1
1560922341,1,0
1560926181,1,0
1560939640,2,0
1560941531,2,0
1560943452,0,1
1560945377,1,1
1560957170,0,1
1560965072,1,0
1560970910,0,2
1560989321,0,1
1560997002,1,0
1560998916,0,1
1561002734,1,0
1561004667,0,1
1561008497,0,1
1561012369,1,1
1561023862,1,0
1561025795,1,2
1561027706,0,2
1561029631,1,0
1561031564,0,1
1561033475,1,0
1561039639,1,0
1561051211,1,1
1561061773,1,0
1561065639,1,0
1561069463,1,0
1561084837,0,1
1561088658,0,1
1561102115,2,0
1561106043,1,0
1561109783,1,0
1561117466,0,2
1561119396,0,1
1561125156,0,1
1561136682,1,1
1561148178,0,1
1561150363,0,1
1561152270,1,1
1561156357,0,1
1561162337,0,1
1561185609,1,0
1561187538,0,1
1561189474,0,1
1561193315,0,1
1561197129,0,1
1561223071,0,1
1561236773,1,0
1561238672,0,1
1561240576,1,0
1561254272,1,0
1561272509,0,1
1561294569,1,0
1561313794,1,0
1561315707,1,0
1561317868,1,0
1561321694,0,1
1561325559,1,0
1561327464,0,1
1561337057,1,0
1561338985,0,1
1561350525,1,0
1561365863,1,0
1561369695,2,0
1561371625,5,0
1561373572,2,0
1561375481,2,0
1561377391,1,0
1561379294,1,0
1561381238,1,1
1561386978,1,0
1561400435,0,2
1561404288,0,1
1561413391,0,1
1561423934,0,1
1561435525,0,1
1561437393,2,0
1561441223,1,0
1561452758,0,1
1561454663,0,1
1561456573,0,3
1561458522,2,2
1561460431,3,2
1561462337,0,1
1561464512,0,2
1561466412,1,2
1561472181,1,0
1561474341,0,1
1561506030,1,0
1561519484,1,0
1561523335,0,2
1561527166,1,1
1561529068,1,0
1561538658,0,1
1561544703,0,2
1561546576,0,3
1561550467,1,0
1561552379,0,1
1561560037,0,1
1561569881,1,0
1561590983,0,1
1561594812,1,0
1561604544,0,1
1561614278,0,2
1561618127,1,0
1561620008,1,0
1561627693,1,0
1561635613,0,1
1561645210,2,0
1561655086,0,1
1561668506,1,0
1561672329,2,0
1561678114,3,0
1561681955,1,1
1561697553,1,0
1561703315,1,0
1561705281,0,1
1561712896,1,1
1561714849,1,0
1561726335,2,0
1561732339,0,2
1561738364,1,0
1561747960,0,1
1561753717,1,0
1561755688,0,1
1561757566,0,1
1561759515,0,1
1561763303,0,1
1561765459,0,2
1561769306,0,1
1561773163,1,0
1561778896,1,0
1561783749,0,1
1561789464,0,1
1561799107,0,1
1561800991,0,1
1561806760,1,0
1561812499,1,2
1561824140,0,1
1561839641,0,1
1561843479,1,0
1561860058,1,1
1561863910,0,1
1561881129,1,0
1561893627,2,1
1561899369,0,1
1561901320,1,0
1561904183,1,0
1561909954,1,0
1561911857,1,0
1561913775,1,0
1561923377,1,0
1561925324,1,0
1561929189,2,0
1561937080,1,0
1561945706,0,1
1561955599,1,0
1561957498,1,0
1561967298,0,1
1561973078,1,0
