DateTime,AddedIPs,RemovedIPs
1560991219,9,1
1560993141,7,2
1560995079,5,1
1560997000,7,2
1560998914,2,4
1561000844,4,5
1561002732,5,7
1561004664,5,9
1561006598,2,9
1561008495,5,16
1561010433,8,4
1561012367,4,576
1561014307,6,2
1561016196,3,3
1561018097,7,4
1561020049,6,9
1561021945,5,8
1561023860,3,17
1561025793,8,9
1561027705,2,6
1561029629,5,11
1561031562,12,12
1561033473,6,9
1561036586,12,14
1561038533,5,13
1561040694,9,8
1561042587,4,5
1561044500,3,5
1561046434,1,8
1561048334,5,3
1561050287,4,1
1561052171,4,9
1561054095,4,9
1561056037,6,9
1561057944,5,3
1561059856,5,5
1561061771,8,3
1561063701,1,5
1561065636,3,5
1561067547,1,5
1561069460,5,7
1561071399,3,5
1561073313,4,6
1561075235,4,8
1561077158,6,11
1561079097,5,7
1561080986,3,4
1561082925,6,7
1561084835,5,2
1561086770,7,3
1561088656,5,5
1561090603,2,4
1561092504,2,3
1561094432,1,4
1561096351,3,6
1561098267,2,4
1561100171,5,7
1561102113,8,5
1561104074,7,4
1561105992,2,8
1561107890,3,4
1561109781,8,2
1561111736,4,9
1561113614,7,4
1561115538,3,2
1561117464,1,13
1561119394,2,4
1561121302,4,6
1561123231,1,7
1561125154,3,5
1561127081,2,9
1561128968,3,5
1561130892,2,4
1561133814,6,3
1561135720,0,6
1561137611,3,4
1561139561,1,3
1561141470,3,3
1561143387,5,5
1561145313,8,4
1561147262,5,7
1561149190,3,6
1561151063,2,3
1561152976,5,2
1561156355,7,6
1561158434,21,4
1561160426,9,3
1561162335,3,3
1561164264,2,7
1561166199,4,5
1561168117,1,0
1561170012,3,3
1561171949,3,3
1561173863,4,2
1561175792,0,3
1561177701,3,1
1561179666,4,4
1561181536,2,0
1561183488,5,4
1561185377,2,2
1561187331,3,10
1561189211,6,8
1561191144,4,4
1561193076,4,6
1561194975,4,6
1561196905,1,4
1561198827,1,7
1561200730,3,3
1561202661,3,1
1561204569,3,4
1561206512,4,1
1561208461,3,4
1561210354,4,1
1561212279,1,5
1561214191,4,0
1561216115,3,2
1561218044,1,2
1561219956,2,3
1561221885,2,1
1561223777,4,1
1561225713,2,3
1561227621,1,3
1561229568,2,5
1561231475,1,6
1561233371,3,6
1561235302,4,3
1561237254,0,2
1561239145,1,4
1561241081,8,1
1561242977,3,28
1561244942,2,23
1561246829,4,9
1561248984,4,4
1561250903,5,2
1561252835,3,3
1561254734,3,3
1561256673,3,5
1561258593,3,2
1561260512,3,4
1561263377,3,2
1561265304,3,3
1561267233,2,3
1561269133,8,2
1561271068,2,4
1561273001,4,2
1561274910,2,6
1561277795,10,10
1561279726,8,1
1561281629,3,4
1561283554,3,1
1561285464,3,1
1561287373,6,2
1561289313,4,2
1561291254,4,2
1561294107,9,7
1561296021,1,2
1561297954,4,4
1561299996,2,1
1561302974,5,5
1561304927,6,3
1561306833,10,3
1561308732,17,2
1561310660,6,7
1561312579,2,2
1561314513,2,2
1561316444,2,1
1561318366,5,1
1561320289,3,1
1561322180,2,7
1561324130,2,0
1561326015,3,3
1561327964,3,4
1561329852,0,4
1561331787,5,4
1561333694,4,4
1561335615,3,4
1561337564,7,6
1561339461,2,8
1561341371,6,1
1561343323,4,1
1561345276,3,3
1561347134,3,3
1561349118,5,0
1561351001,4,1
1561352933,4,2
1561354833,2,3
1561356734,7,3
1561358661,5,4
1561360622,2,4
1561362497,4,1
1561364433,0,8
1561366354,2,6
1561368258,3,1
1561370183,6,3
1561372115,6,3
1561374096,3,7
1561375948,4,4
1561377862,2,6
1561379775,3,6
1561381732,6,4
1561383634,3,2
1561385536,10,2
1561387349,5,4
1561389395,1,3
1561391296,4,5
1561393232,5,11
1561395172,8,17
1561397067,5,6
1561398981,6,1
1561400919,10,2
1561402895,6,3
1561404766,0,5
1561406904,5,2
1561408810,1,0
1561410775,0,2
1561412677,3,3
1561414721,2,2
1561416803,5,1
1561418678,0,5
1561420598,4,5
1561422495,1,3
1561424504,2,5
1561426356,0,2
1561428283,2,5
1561430447,4,7
1561432367,2,3
1561434258,2,6
1561436208,4,3
1561438094,3,4
1561440013,3,3
1561441944,5,2
1561443857,1,7
1561445796,2,3
1561447703,2,3
1561450606,6,3
1561452505,4,3
1561454411,5,4
1561456360,3,6
1561458250,2,7
1561460174,5,3
1561462124,3,3
1561464050,4,2
1561465954,2,6
1561467880,2,5
1561470013,3,3
1561471940,4,10
1561473882,3,7
1561475791,2,1
1561477961,3,4
1561480122,1,10
1561483007,3,13
1561484912,3,5
1561486844,1,21
1561488756,2,6
1561490664,1,0
1561492603,8,4
1561494507,3,3
1561496449,3,0
1561498368,3,2
1561500254,7,1
1561502213,10,3
1561504125,2,1
1561506029,3,0
1561507945,3,1
1561509856,1,1
1561511797,2,2
1561513704,1,0
1561515627,9,3
1561517533,2,3
1561519466,3,4
1561521374,1,1
1561523333,1,4
1561525255,1,4
1561527164,2,5
1561529063,2,0
1561530984,4,1
1561532925,2,4
1561534840,3,2
1561536767,1,1
1561538656,0,5
1561540842,4,5
1561542751,2,2
1561544683,0,2
1561546574,1,5
1561548497,4,3
1561550445,2,4
1561552343,1,3
1561554281,5,2
1561556189,1,3
1561558096,6,3
1561560036,0,3
1561562057,2,2
1561564098,3,4
1561566046,1,2
1561567955,3,3
1561569879,4,2
1561571772,2,4
1561573707,3,2
1561575641,3,4
1561577562,0,5
1561579732,1,5
1561581625,1,2
1561583560,6,2
1561585464,1,1
1561589044,8,11
1561590981,1,2
1561592933,2,3
1561594809,6,3
1561596772,0,1
1561598686,1,1
1561600574,2,6
1561602496,2,4
1561604479,1,2
1561606338,1,0
1561608304,1,1
1561610207,1,2
1561612118,3,1
1561614013,3,1
1561615944,3,4
1561617855,2,5
