DateTime,AddedIPs,RemovedIPs
1558516610,1,0
1558520422,1,0
1558528099,1,0
1558530123,1,0
1558533834,1,0
1558547558,2,0
1558549869,2,0
1558555935,1,0
1558560062,0,3
1558567705,0,1
1558581393,0,1
1558583299,1,0
1558585240,1,0
1558592929,2,0
1558594874,0,1
1558602527,0,1
1558608279,0,1
1558615969,0,1
1558619782,0,1
1558629265,0,1
1558631110,1,0
1558632974,0,1
1558635146,0,2
1558637059,0,1
1558648939,3,0
1558658656,1,0
1558664450,0,1
1558666363,1,0
1558668277,0,1
1558672144,0,1
1558678831,0,1
1558704051,1,0
1558707863,1,0
1558711716,1,0
1558715809,1,0
1558717723,0,1
1558727534,0,1
1558729473,2,0
1558735463,1,4
1558745785,1,1
1558747693,1,0
1558749740,1,0
1558751572,0,1
1558755373,1,0
1558772678,1,0
1558779647,1,0
1558791411,0,1
1558795213,0,1
1558797169,0,1
1558801009,1,0
1558802894,0,1
1558804836,1,0
1558808911,1,0
1558814918,1,1
1558816820,0,1
1558818756,1,0
1558822622,0,1
1558828360,1,0
1558832202,0,1
1558834139,0,1
1558841810,0,1
1558849456,2,0
1558857160,0,1
1558859081,0,1
1558864879,0,1
1558886176,0,1
1558891007,1,1
1558894846,1,1
1558896760,0,1
1558900589,0,1
1558902491,1,1
1558904460,1,0
1558906341,1,1
1558912133,1,0
1558915975,0,1
1558935642,3,2
1558969001,3,0
1558977995,1,1
1558982430,0,1
1558985200,2,0
1558988638,0,1
1558992527,0,1
1558999244,0,1
1559022271,0,2
1559026130,2,0
1559028043,1,0
1559047467,0,1
1559049404,1,0
1559051296,1,0
1559055164,0,3
1559063120,1,1
1559066910,0,1
1559068815,1,0
1559071020,0,2
1559077000,1,0
1559084909,1,0
1559087081,1,0
1559102925,1,0
1559104840,1,0
1559112523,3,1
1559114456,1,0
1559135574,0,1
1559137455,0,1
1559143253,1,0
1559150921,1,1
1559152893,1,0
1559157090,0,1
1559159054,0,1
1559161000,2,0
1559163017,0,1
1559170575,0,1
1559172523,0,1
1559182122,2,0
1559187879,2,0
1559201323,1,0
1559216660,1,0
1559218595,0,2
1559222443,1,0
1559224526,1,0
1559239940,1,0
1559243785,1,0
1559245726,1,2
1559247658,0,3
1559259671,1,0
1559269242,0,2
1559273096,0,1
1559274982,0,1
1559286520,1,0
1559288415,1,0
1559290345,1,0
1559303779,0,1
1559310029,0,3
1559315780,0,1
1559319881,3,0
1559321830,2,0
1559323693,1,0
1559325715,1,1
1559329513,0,1
1559331378,0,4
1559337263,1,0
1559345078,1,1
1559359719,0,1
1559367375,1,0
1559401335,1,0
1559405104,0,3
1559408920,0,2
1559410829,1,0
1559413013,0,1
1559418932,3,0
1559422899,0,1
1559428847,1,0
1559430751,0,1
1559454026,0,1
1559461702,0,1
1559486695,0,1
1559492431,0,1
1559496258,0,2
1559504180,0,2
1559506303,0,2
1559514260,0,1
1559565613,1,0
1559573559,1,0
1559575476,1,0
1559581259,2,0
1559583136,1,0
1559586972,1,0
1559596572,1,0
1559598489,1,0
1559612428,1,0
1559622281,2,0
1559624192,1,0
1559647233,1,0
1559649133,1,0
1559651062,1,0
1559652970,0,1
1559656938,1,0
1559658739,0,1
1559660684,2,1
1559674097,1,1
1559676027,2,0
1559681796,1,0
1559683721,0,2
1559693326,1,0
1559695239,1,0
1559699079,1,1
1559708697,1,2
1559710586,0,1
1559716370,0,1
1559718275,0,1
1559733643,0,1
1559735560,0,1
1559737474,0,1
1559741741,1,1
1559747785,0,2
1559751642,1,0
1559757400,3,0
1559761239,0,3
1559765087,1,0
1559768897,1,1
1559780417,0,2
1559784299,1,0
1559797705,0,1
1559805380,1,0
1559824815,1,0
1559828659,0,1
1559832511,1,0
1559834421,0,1
1559836336,1,0
1559838262,0,1
1559844107,0,3
1559850018,1,1
1559853854,1,1
1559868010,1,0
1559871863,0,1
1559873786,1,0
1559877617,4,0
1559881457,1,0
1559885291,4,0
1559891084,0,1
1559908329,2,0
1559912173,0,1
1559919864,0,1
1559923703,2,1
1559929466,1,0
1559933321,0,1
1559935216,2,0
1559937161,1,1
1559940976,0,1
1559946736,2,0
1559953700,0,1
1559959546,0,1
1559963321,1,4
1559965213,1,0
1559967131,0,1
1559970972,0,4
1559975052,1,0
1559977003,1,0
1559978895,1,0
1559994732,0,2
1560010120,1,2
1560013943,2,0
1560015851,0,1
1560017770,1,0
1560021609,0,2
1560023532,0,1
1560031707,0,1
1560033647,1,1
1560043225,1,0
1560048980,0,1
1560062423,0,1
1560066300,0,1
1560083548,1,0
1560097478,0,1
1560099385,0,1
1560103317,0,1
1560118833,0,1
1560120737,0,1
1560126750,1,0
1560130821,0,1
1560134665,1,0
1560136583,1,0
1560142335,1,0
1560151952,0,2
1560153882,1,0
1560165382,1,0
1560169248,0,1
1560181692,1,0
1560183622,1,0
1560187697,1,0
1560189662,1,0
1560191569,1,0
1560193491,2,0
1560201158,2,0
1560210744,1,0
1560212654,0,1
1560218435,1,0
1560222283,0,1
1560224171,1,1
1560226107,1,0
1560228014,1,0
1560229933,1,0
1560239534,1,0
1560246511,1,0
1560252270,0,1
1560259955,2,0
1560263948,1,0
1560265931,1,0
1560267860,1,1
1560269770,1,1
1560273854,0,1
1560277700,0,2
1560279683,0,2
1560287318,1,2
1560289224,1,0
1560291152,1,0
1560294036,1,0
1560295967,1,0
1560299775,1,0
1560303618,0,1
1560311296,0,1
1560313235,0,1
1560315153,0,2
1560317066,0,1
1560318992,0,1
1560324756,1,1
1560332431,0,1
1560338181,1,0
1560345916,0,2
1560349891,1,1
1560353796,0,2
1560355713,1,1
1560361456,2,0
1560363631,1,0
1560365551,0,1
1560371301,1,0
1560373230,0,1
1560375140,1,1
1560377069,0,1
1560381147,0,1
1560383076,0,1
1560384997,0,1
1560388822,1,0
1560412108,1,1
1560425563,0,1
1560429405,1,0
1560435147,0,1
1560440912,1,1
1560446908,0,2
1560448911,0,1
1560454819,1,0
1560458664,2,1
1560462498,0,1
1560474102,0,1
1560489390,3,0
1560498986,1,1
1560514601,0,1
1560528280,0,1
1560536435,1,0
1560540293,0,1
1560542186,1,0
1560544098,0,1
1560546104,2,0
1560576991,0,3
1560584671,0,1
1560596174,1,0
1560600987,0,1
1560614470,1,0
1560618273,3,0
1560624029,0,1
1560630042,0,1
1560633869,0,1
1560683799,0,1
1560704899,0,3
1560716426,0,1
1560718371,1,0
1560729882,1,0
1560793212,1,0
1560802813,1,0
1560804754,0,1
1560816263,0,1
1560818186,1,0
1560829709,1,0
1560831644,1,0
1560833796,2,0
1560835807,1,0
1560858056,0,1
1560873375,1,0
1560875314,1,0
1560879160,0,1
1560888761,1,1
1560892576,1,0
1560905055,0,1
1560916611,0,2
1560920500,0,2
1560922342,0,1
1560945377,1,0
1560959323,1,0
1560961213,0,2
1560965072,1,0
1560966991,4,0
1560968913,3,0
1560972751,1,0
1560974684,1,1
1560978530,1,1
1560980411,1,0
1560983529,1,0
1560985476,2,0
1561031564,0,1
1561037534,1,0
1561045478,0,1
1561053155,0,4
1561055061,0,3
1561056973,2,0
1561058926,0,1
1561061774,2,1
1561065639,0,2
1561069463,1,0
1561071401,0,2
1561079105,1,0
1561092507,1,0
1561109783,2,0
1561121327,0,1
1561123249,0,1
1561144345,0,2
1561148178,0,2
1561156357,0,1
1561166202,0,1
1561168119,1,0
1561177703,1,0
1561179762,0,1
1561195230,0,2
1561211531,1,0
1561223074,1,0
1561224995,1,0
1561234831,1,0
