DateTime,AddedIPs,RemovedIPs
1561000848,6,8
1561002736,4,5
1561004668,5,8
1561006602,0,3845
1561008499,7,39
1561010486,6,8
1561012371,3,13
1561014327,2,9
1561016199,5,13
1561018101,7,6
1561020053,2,14
1561021948,1,15
1561023892,9,9
1561025797,4,18
1561027708,4,9
1561029632,3,16
1561031566,4,7
1561033476,5,6
1561035681,1,12
1561037536,5,13
1561039640,1,8
1561041630,4,19
1561043537,5,19
1561045480,4,9
1561047417,2,11
1561049297,6,18
1561051212,1,4
1561053156,2,6
1561055062,50,19
1561056974,3,5
1561058927,1,13
1561061775,11,13
1561063705,6,4
1561065641,4,5
1561067551,11,6
1561069464,6,6
1561071403,11,8
1561073317,1047,3
1561075240,2603,3
1561077162,2,3
1561079107,5,5
1561080990,4,2
1561082929,3,22
1561084839,5,2
1561086788,7,5
1561088660,3,4
1561090610,1,4
1561092509,4,0
1561094454,4,8
1561096355,2,5
1561098271,3,4
1561100175,6,3
1561102117,9,4
1561104144,11,6
1561106062,6,3
1561107923,0,1
1561109785,6,9
1561111748,7,2
1561113618,14,4
1561115542,6,4
1561117468,3,5
1561119398,2,2
1561121328,4,3
1561123251,3,6
1561125158,3,0
1561127085,2,3
1561128972,3,2
1561130896,1,6
1561132955,2,0
1561134992,435,4
1561136895,0,3
1561138823,3,2
1561141000,3,7
1561142919,1,2
1561144820,1,1
1561146735,4,6
1561148657,2,7
1561150594,3,4
1561152491,1,4
1561154485,6,16
1561156359,19,6
1561158438,1,12
1561160430,5,1952
1561162339,5,1480
1561164268,2,5
1561166204,4,6
1561168121,4,4
1561170015,1,4
1561171953,4,6
1561173866,10,4
1561175796,2,4
1561177704,3,1
1561179771,5,4
1561181780,4,4
1561183692,5,3
1561185611,33,4
1561187540,4,5
1561189476,2,13
1561191372,4,6
1561193317,7,2
1561195231,9,1
1561197131,91,9
1561199068,203,16
1561200995,3,2
1561202894,4,6
1561205802,8,7
1561207709,17,4
1561209611,3,2
1561211532,4,1
1561213478,7,2
1561215374,3,3
1561217335,3,1
1561219366,60,2
1561221176,31,597
1561223076,11,1
1561224996,8,2
1561226908,1,4
1561228839,5,1
1561231008,7,2
1561232919,6,4
1561234833,4,2
1561236775,8,3
1561238674,8,0
1561240577,908,7
1561242513,7,11
1561244598,11,9
1561246570,4,5
1561248613,4,5
1561250442,7,3
1561252348,7,4
1561254274,4,1
1561256177,2,4
1561258108,8,4
1561260028,6,10
1561261952,5,2
1561263868,7,3
1561265793,6,4
