DateTime,Entries,UniqueIPs
1561000848,4475,4475
1561002736,4474,4474
1561004668,4471,4471
1561006602,626,626
1561008499,594,594
1561010486,592,592
1561012371,582,582
1561014327,575,575
1561016199,567,567
1561018101,568,568
1561020053,556,556
1561021948,542,542
1561023892,542,542
1561025797,528,528
1561027708,523,523
1561029632,510,510
1561031566,507,507
1561033476,506,506
1561035681,495,495
1561037536,487,487
1561039640,480,480
1561041630,465,465
1561043537,451,451
1561045480,446,446
1561047417,437,437
1561049297,425,425
1561051212,422,422
1561053156,418,418
1561055062,449,449
1561056974,447,447
1561058927,435,435
1561061775,433,433
1561063705,435,435
1561065641,434,434
1561067551,439,439
1561069464,439,439
1561071403,442,442
1561073317,1486,1486
1561075240,4086,4086
1561077162,4085,4085
1561079107,4085,4085
1561080990,4087,4087
1561082929,4068,4068
1561084839,4071,4071
1561086788,4073,4073
1561088660,4072,4072
1561090610,4069,4069
1561092509,4073,4073
1561094454,4069,4069
1561096355,4066,4066
1561098271,4065,4065
1561100175,4068,4068
1561102117,4073,4073
1561104144,4078,4078
1561106062,4081,4081
1561107923,4080,4080
1561109785,4077,4077
1561111748,4082,4082
1561113618,4092,4092
1561115542,4094,4094
1561117468,4092,4092
1561119398,4092,4092
1561121328,4093,4093
1561123251,4090,4090
1561125158,4093,4093
1561127085,4092,4092
1561128972,4093,4093
1561130896,4088,4088
1561132955,4090,4090
1561134992,4521,4521
1561136895,4518,4518
1561138823,4519,4519
1561141000,4515,4515
1561142919,4514,4514
1561144820,4514,4514
1561146735,4512,4512
1561148657,4507,4507
1561150594,4506,4506
1561152491,4503,4503
1561154485,4493,4493
1561156359,4506,4506
1561158438,4495,4495
1561160430,2548,2548
1561162339,1073,1073
1561164268,1070,1070
1561166204,1068,1068
1561168121,1068,1068
1561170015,1065,1065
1561171953,1063,1063
1561173866,1069,1069
1561175796,1067,1067
1561177704,1069,1069
1561179771,1070,1070
1561181780,1070,1070
1561183692,1072,1072
1561185611,1101,1101
1561187540,1100,1100
1561189476,1089,1089
1561191372,1087,1087
1561193317,1092,1092
1561195231,1100,1100
1561197131,1182,1182
1561199068,1369,1369
1561200995,1370,1370
1561202894,1368,1368
1561205802,1369,1369
1561207709,1382,1382
1561209611,1383,1383
1561211532,1386,1386
1561213478,1391,1391
1561215374,1391,1391
1561217335,1393,1393
1561219366,1451,1451
1561221176,885,885
1561223076,895,895
1561224996,901,901
1561226908,898,898
1561228839,902,902
1561231008,907,907
1561232919,909,909
1561234833,911,911
1561236775,916,916
1561238674,924,924
1561240577,1825,1825
1561242513,1821,1821
1561244598,1823,1823
1561246570,1822,1822
1561248613,1821,1821
1561250442,1825,1825
1561252348,1828,1828
1561254274,1831,1831
1561256177,1829,1829
1561258108,1833,1833
1561260028,1829,1829
1561261952,1832,1832
1561263868,1836,1836
1561265793,1838,1838
1561267706,2162,2162
1561270576,2186,2186
1561272511,2369,2369
1561274413,2387,2387
1561276362,2390,2390
1561278262,2396,2396
1561280171,2392,2392
1561282091,2395,2395
1561284076,2108,2108
1561285942,2122,2122
1561287880,2122,2122
1561289782,2124,2124
1561291723,2122,2122
1561293632,2116,2116
1561295567,2121,2121
1561297455,2129,2129
1561299397,2124,2124
1561301327,2130,2130
1561303228,2133,2133
1561305144,2003,2003
1561307061,2006,2006
1561308996,1979,1979
1561310913,2008,2008
1561312894,2015,2015
1561314737,2018,2018
1561316694,2013,2013
1561318580,2012,2012
1561320514,2007,2007
1561322413,2003,2003
1561324364,1997,1997
1561326293,1133,1133
1561328174,1141,1141
1561330114,1178,1178
1561332034,1171,1171
1561333957,1173,1173
1561335879,1171,1171
1561337770,1171,1171
1561339700,1170,1170
1561341683,1174,1174
1561343537,1172,1172
1561345489,1171,1171
1561347374,1168,1168
1561349547,1168,1168
1561351457,1255,1255
1561353384,1255,1255
1561355300,1236,1236
1561357227,1230,1230
1561359180,1037,1037
1561361055,1021,1021
1561362987,1019,1019
1561364937,1039,1039
1561367807,2765,2765
1561369696,3507,3507
1561371626,3506,3506
1561373573,8049,8049
1561375482,11918,11918
1561377392,11920,11920
1561379295,11924,11924
1561381265,11918,11918
1561383194,11927,11927
1561385081,11926,11926
1561386979,11930,11930
1561388908,11957,11957
1561390839,11965,11965
1561392745,14904,14904
1561394667,15775,15775
1561396590,15774,15774
1561398496,15768,15768
1561400436,15768,15768
1561402343,15769,15769
1561404290,15774,15774
1561406525,15775,15775
1561408342,15789,15789
1561410424,15799,15799
1561412413,15801,15801
1561414343,15810,15810
1561416382,15796,15796
1561418192,15796,15796
1561420120,15804,15804
1561422024,15808,15808
1561423936,15810,15810
1561425882,15817,15817
1561427792,15820,15820
1561429697,15825,15825
1561431725,15835,15835
1561433625,16271,16271
1561435528,17297,17297
1561437396,17973,17973
1561439300,17967,17967
1561441225,17966,17966
1561443135,17973,17973
1561445080,17977,17977
1561446990,17981,17981
1561448908,17985,17985
1561450814,17986,17986
1561452761,17484,17484
1561454666,16635,16635
1561456575,16498,16498
1561458524,15713,15713
1561460468,12934,12934
1561462338,11249,11249
1561464514,11247,11247
1561466414,11246,11246
1561468354,11246,11246
1561470312,11247,11247
1561472182,11247,11247
1561474343,11223,11223
1561476270,11218,11218
1561478180,9882,9882
1561480125,7396,7396
1561483011,7397,7397
1561484916,7678,7678
1561486848,8384,8384
1561488760,8518,8518
1561490667,8519,8519
1561492606,8521,8521
1561494510,8515,8515
1561496495,8893,8893
1561498372,9288,9288
1561500262,9283,9283
1561502216,9291,9291
1561504129,9287,9287
1561506033,9286,9286
1561507949,9279,9279
1561509860,9283,9283
1561511801,9282,9282
1561513709,9288,9288
1561515631,9291,9291
1561517537,9342,9342
1561519501,9173,9173
1561521378,7397,7397
1561523338,6236,6236
1561525362,6293,6293
1561527168,6742,6742
1561529070,8475,8475
1561530988,9606,9606
1561532929,9602,9602
1561534844,9607,9607
1561536771,10005,10005
1561538660,10008,10008
1561540847,10653,10653
1561542755,13332,13332
1561544705,15737,15737
1561546578,15736,15736
1561548510,15740,15740
1561550520,15744,15744
1561552381,15750,15750
1561554287,15781,15781
1561556193,15784,15784
1561558100,15785,15785
1561560040,15784,15784
1561562061,15780,15780
1561564102,15781,15781
1561566050,15782,15782
1561567959,15781,15781
1561569884,15781,15781
1561571777,15356,15356
1561573711,14961,14961
1561575757,14960,14960
1561577566,14957,14957
1561579736,14951,14951
1561581629,14953,14953
1561583564,14524,14524
1561585468,14341,14341
1561589049,14343,14343
1561590986,14344,14344
1561592937,14352,14352
1561594814,14358,14358
1561596776,14355,14355
1561598690,14356,14356
1561600578,14354,14354
1561602500,14352,14352
1561604557,14258,14258
1561606589,13997,13997
1561608492,14135,14135
1561610422,14503,14503
1561612341,15172,15172
1561614280,14689,14689
1561616196,13877,13877
1561618129,13626,13626
1561620010,13626,13626
1561621957,13020,13020
1561623860,13020,13020
1561625799,13016,13016
1561627695,11457,11457
1561629702,8154,8154
1561631542,6468,6468
1561633729,6545,6545
1561635629,6598,6598
1561637556,6678,6678
1561639452,6758,6758
1561641387,6786,6786
1561643338,6872,6872
1561645212,6966,6966
1561647130,7048,7048
1561649187,7052,7052
1561651303,7056,7056
1561653139,7056,7056
1561655088,7065,7065
1561656993,7066,7066
1561658930,7072,7072
1561660813,7077,7077
1561662768,7077,7077
1561664674,7081,7081
1561666572,7080,7080
1561668508,7083,7083
1561670436,7086,7086
1561672349,7093,7093
1561674263,7093,7093
1561676203,7096,7096
1561678116,7099,7099
1561680047,7407,7407
1561681958,7410,7410
1561684131,7434,7434
1561686037,7431,7431
1561687953,7426,7426
1561689877,7429,7429
1561691803,7403,7403
1561693706,7112,7112
1561695611,6708,6708
1561697555,6221,6221
1561699464,5308,5308
1561701392,4518,4518
1561703317,4064,4064
1561705319,4068,4068
1561707142,4069,4069
1561709081,4064,4064
1561710987,4060,4060
1561712899,4056,4056
1561714851,4466,4466
1561716753,5144,5144
1561718657,5101,5101
1561720598,5013,5013
1561722526,4913,4913
1561724426,4805,4805
1561726337,4698,4698
1561728290,4620,4620
1561730179,4471,4471
1561732341,4299,4299
1561734275,4300,4300
1561736323,5726,5726
1561738366,8105,8105
1561740309,8352,8352
1561742188,8863,8863
1561744100,9335,9335
1561746046,9330,9330
1561747962,9325,9325
1561749857,9326,9326
1561751789,9328,9328
1561753719,9333,9333
1561757077,9330,9330
1561758996,9330,9330
1561761461,9331,9331
1561763306,9323,9323
1561765462,9015,9015
1561767385,9015,9015
1561769309,8998,8998
1561771241,8995,8995
1561773165,8995,8995
1561775077,8991,8991
1561776978,8992,8992
1561778898,8997,8997
1561780841,8998,8998
1561782745,8535,8535
1561784925,8090,8090
1561786827,8085,8085
1561788744,8085,8085
1561790656,8082,8082
1561792573,8081,8081
1561794756,8084,8084
1561796696,8082,8082
1561798586,8267,8267
1561800512,8447,8447
1561803404,7395,7395
1561805320,7392,7392
1561807228,7397,7397
1561809133,7394,7394
1561811076,7394,7394
1561813006,7393,7393
1561814896,7385,7385
1561817784,7389,7389
1561819700,7388,7388
1561821650,7389,7389
1561823669,4079,4079
1561825470,3583,3583
1561827376,3143,3143
1561829321,2102,2102
1561831292,1656,1656
1561833182,1663,1663
1561835338,1659,1659
1561837240,1657,1657
1561839155,1652,1652
