DateTime,AddedIPs,RemovedIPs
1549888347,0,1
1549896095,0,1
1550006432,1,0
1550091905,0,1
1550254126,1,0
1550306416,1,0
1550337504,1,0
1550341951,1,1
1550358321,1,0
1550391161,0,1
1550423806,0,1
1550427724,0,1
1550442981,0,1
1550552681,1,0
1550597302,1,0
1550612901,1,0
1550618705,1,0
1550638107,1,0
1550640028,0,1
1550699555,0,1
1550707363,0,1
1550724975,0,1
1550738652,0,1
1550995466,1,0
1551034089,2,0
1551052370,1,0
1551054283,1,0
1551083579,0,1
1551085481,1,0
1551093381,1,0
1551095330,1,0
1551121144,0,1
1551138748,0,1
1551144526,0,1
1551171753,0,1
1551179535,0,3
1551185075,1,0
1551186971,1,0
1551217939,1,0
1551272671,0,1
1551282389,0,1
1551304115,1,1
1551387158,0,1
1551400375,1,0
1551415687,1,0
1551430337,1,0
1551487939,0,1
1551501885,0,1
1551515546,0,1
1551529963,1,0
1551531872,1,0
1551689062,0,1
1551702741,0,1
1551776926,1,0
1551862096,0,1
1551915141,1,0
1551990049,1,0
1552003723,0,1
1552074987,0,1
1552092284,1,0
1552177229,0,1
1552290008,1,0
1552291934,2,0
1552313081,1,0
1552377173,0,2
1552379070,0,1
1552398255,1,1
1552505318,0,1
1552549694,1,0
1552551618,1,0
1552597713,1,0
1552607299,1,0
1552636356,0,1
1552684587,0,1
1552694530,0,1
1552729218,1,0
1552737181,0,1
1552813941,1,0
1552815851,0,1
1552897231,0,1
1552956017,1,0
1553040747,0,1
1553071707,1,0
1553166973,1,0
1553220748,0,1
1553251703,0,1
1553298014,1,0
1553383458,0,1
1553565663,1,0
1553590569,1,0
1553619888,1,0
1553676995,0,1
1553678892,1,0
1553705546,0,1
1553724280,0,1
1553763706,0,1
1553862993,1,0
1553944345,1,0
1553950112,0,1
1553989247,1,0
1554030982,0,1
1554074011,0,1
1554091740,1,0
1554177173,0,1
1554197078,1,0
1554282199,0,1
1554391498,1,0
1554477166,0,1
1554533563,1,0
1554630731,0,1
1554672267,1,0
1554710016,1,0
1554723671,1,0
1554725555,5,0
1554727464,1,0
1554735169,1,0
1554746932,1,0
1554748820,1,0
1554760363,0,1
1554797325,0,1
1554810747,0,2
1554812665,0,4
1554814589,0,1
1554822276,0,1
1554833799,0,1
1554964349,1,1
1555050016,0,1
1555318091,1,0
1555360833,1,0
1555405962,0,1
1555413637,1,0
1555448695,0,1
1555454749,1,0
1555460435,1,0
1555499786,0,1
1555501703,1,0
1555513372,1,0
1555534597,1,0
1555540380,0,1
1555546156,0,1
1555565778,1,0
1555589103,0,1
1555598684,0,1
1555608351,1,0
1555620252,1,0
1555622203,0,1
1555624090,1,0
1555653138,0,1
1555693942,0,1
1555705456,0,1
1555709330,0,1
1555969219,1,0
1555973052,1,0
1556012417,1,0
1556056098,0,1
1556059341,0,1
1556096176,0,1
1556130486,1,0
1556154152,1,0
1556167494,1,0
1556217395,0,1
1556302123,0,2
1556320611,1,0
1556345540,1,0
1556408425,0,1
1556429562,0,1
1556580999,1,0
1556658285,1,0
1556670014,0,1
1556687543,1,0
1556704938,1,0
1556745147,0,1
1556758375,1,0
1556773727,0,1
1556789347,2,0
1556791371,0,1
1556845364,0,1
1556874530,0,2
1556936196,1,0
1556999786,1,0
1557024013,0,1
1557083569,0,1
1557181006,2,0
1557182918,1,0
1557212660,1,0
1557266684,1,1
1557268585,0,1
1557270496,0,1
1557301234,0,1
1557350683,0,1
1557481240,1,0
1557567015,0,1
1557952592,1,0
1558038264,0,1
1558347630,1,0
1558366829,1,0
1558434039,0,1
1558451325,0,1
1558502194,1,0
1558561940,1,0
