DateTime,AddedIPs,RemovedIPs
1560957866,1,3
1560959775,0,1
1560963709,0,1
1560965573,0,1
1560967480,0,1
1560969376,0,1
1560971316,1,1
1560975150,1,0
1560977066,1,0
1560978982,1,2
1560983536,1,2
1560991226,1,0
1560997007,0,1
1561000851,1,1
1561002740,0,1
1561004686,0,1
1561008515,1,2
1561010532,2,0
1561012373,0,1
1561014331,0,1
1561016202,1,1
1561018104,1,1
1561020057,3,1
1561021951,1,1
1561025800,1,0
1561029635,2,0
1561031580,2,0
1561037538,1,0
1561039644,2,1
1561041634,0,1
1561043541,2,2
1561045483,2,1
1561047420,2,0
1561049301,2,0
1561051216,2,0
1561053160,3,0
1561055065,1,0
1561056978,2,0
1561058931,0,1
1561061778,2,1
1561063709,2,1
1561065644,3,1
1561067555,5,0
1561069468,4,1
1561071406,3,0
1561073320,1,0
1561075245,4,0
1561077180,3,1
1561079112,3,0
1561080993,2,0
1561084842,6,0
1561086791,5,1
1561088663,2,0
1561090613,1,0
1561092512,2,0
1561094458,1,1
1561096359,2,2
1561098274,2,0
1561100178,5,0
1561102122,2,1
1561104159,4,1
1561106126,2,2
1561107948,1,0
1561109803,5,2
1561111751,2,0
1561113622,0,1
1561115562,2,2
1561117525,2,1
1561119403,7,1
1561121332,2,0
1561123255,1,1
1561125162,1,2
1561128975,1,1
1561130899,4,3
1561132966,0,1
1561134997,0,1
1561136899,1,4
1561138827,6,2
1561141005,2,2
1561142945,2,2
1561144825,3,0
1561146740,2,2
1561148660,2,0
1561150599,1,2
1561152494,3,3
1561154573,3,6
1561156861,2,6
1561158878,2,1
1561160699,1,4
1561162604,1,1
1561164765,2,4
1561166679,3,2
1561168576,5,1
1561170512,2,3
1561173382,1,7
1561175322,5,2
1561177237,1,1
1561179131,3,2
1561181069,2,1
1561182970,3,2
1561184892,2,2
1561186872,2,5
1561188760,28,2
1561190682,9,4
1561192587,7,1
1561194517,3,1
1561196413,0,6
1561198344,2,2
1561200271,2,0
1561202174,2,3
1561204112,1,3
1561206018,1,6
1561207964,4,1
1561209883,5,1
1561211769,5,1
1561213711,3,0
1561216585,6,4
1561218503,2,1
1561220434,2,0
1561222333,1,1
1561224252,0,1
1561226177,4,6
1561228112,2,2
1561230057,4,2
1561231947,5,2
1561233869,3,3
1561235772,5,2
1561238011,5,3
1561239870,1,2
1561241798,1,2
1561243706,3,3
1561245647,0,1
1561247536,2,1
1561249469,3,1
1561251395,4,3
1561253295,4,3
1561256182,6,7
1561258111,3,1
1561260032,1,2
1561261956,5,3
1561263872,4,1
1561265797,2,3
1561267709,3,2
1561270579,8,4
1561272515,1,1
1561274440,5,26
1561276366,1,9
1561278266,4,8
1561280201,1,4
1561282095,3,2
1561284159,2,2
1561286184,4,1
1561288091,6,2
1561290038,4,2
1561291939,4,1
1561293856,3,2
1561295814,7,6
1561297704,2,2
1561299609,2,6
1561301534,3,4
1561303482,2,2
1561305396,7,2
1561307293,3,2
1561310215,5,1
1561312117,1,3
1561314036,0,3
1561315989,1,3
1561317870,5,6
1561319796,4,2
1561321695,3,5
1561323696,5,4
1561325561,6,2
1561327473,2,0
1561329408,1,3
1561331321,5,1
1561333224,3,0
1561335187,6,3
1561337059,1,5
1561338988,0,4
1561340906,0,3
1561342817,3,4
1561344773,5,4
1561346658,1,2
1561348572,2,5
1561350528,5,3
1561352510,2,2
1561354378,3,6
1561356285,6,3
1561358177,3,3
1561360134,0,2
1561362044,6,3
1561363939,5,3
1561365866,2,2
1561367810,3,4
1561369699,3,1
1561371629,3,3
1561373576,4,6
1561375486,7,3
1561377395,3,6
1561379298,2,3
1561381334,5,6
1561383198,2,4
1561385083,0,1
1561386981,2,3
1561388911,3,4
1561390842,1,2
1561392748,2,7
1561394670,1,3
1561396594,4,3
1561398499,1,1
1561400439,4,0
1561402347,2,1
1561404307,2,5
1561406556,1,2
1561408611,3,4
1561410435,0,5
1561412415,6,5
1561414347,2,2
1561416387,2,2
1561418197,5,5
1561420142,4,3
1561422029,3,6
1561423940,1,1
1561425887,4,0
1561427797,3,1
1561429701,5,2
1561431775,2,5
1561433630,4,1
1561435534,2,4
1561437401,5,4
1561439304,4,1
1561441247,4,5
1561443139,2,6
1561445083,8,1
1561447000,2,0
1561448911,4,8
1561450819,1,3
1561452765,2,3
1561454670,1,2
1561456629,4,3
1561458528,2,3
1561460492,4,8
1561462342,2,3
1561464517,3,2
1561466417,4,6
1561468357,2,3
1561470364,2,1
1561472186,0,2
1561474346,6,1
1561476274,4,2
1561478184,2,3
1561480129,3,1
1561483015,3,4
1561484920,1,1
1561486851,2,5
1561488763,3,2
1561490678,2,2
1561492609,2,1
1561494513,3,3
1561496511,4,0
1561498376,1,6
1561500275,2,2
1561502220,3,1
