DateTime,AddedIPs,RemovedIPs
1560614474,1,4
1560616351,0,1
1560618301,1,2
1560622116,1,2
1560625977,1,0
1560627872,1,0
1560630046,0,1
1560631937,2,0
1560635776,1,0
1560640596,0,3
1560642501,1,3
1560644424,0,1
1560646345,2,0
1560650179,2,1
1560654125,0,1
1560655959,1,0
1560657899,2,1
1560659793,2,1
1560663615,0,1
1560665541,1,0
1560667463,3,1
1560669376,0,1
1560671321,0,2
1560673249,1,0
1560675178,0,2
1560677068,0,1
1560678982,0,2
1560680911,1,1
1560683803,1,0
1560685724,0,2
1560687631,1,0
1560691455,1,0
1560697310,0,2
1560701075,1,1
1560704903,1,1
1560706813,2,0
1560708738,3,0
1560710687,2,0
1560712583,1,1
1560714499,0,1
1560718375,1,2
1560722182,1,0
1560724101,1,1
1560729887,0,1
1560731778,0,1
1560733703,2,1
1560735630,2,0
1560737589,0,1
1560743306,0,2
1560745241,0,3
1560750985,1,1
1560752915,0,2
1560754949,0,1
1560756777,1,0
1560758701,1,1
1560762507,2,2
1560764423,2,0
1560766356,1,0
1560768289,0,1
1560770190,2,1
1560772108,1,0
1560774055,1,1
1560777890,1,1
1560787524,0,1
1560789384,1,0
1560791333,0,1
1560793217,1,2
1560795154,1,2
1560797079,0,2
1560800926,1,0
1560802818,1,0
1560804758,0,1
1560808581,2,4
1560810519,2,1
1560812547,2,0
1560818195,2,0
1560820105,0,2
1560822054,0,3
1560825878,1,0
1560833801,1,0
1560839576,1,0
1560841493,2,0
1560843399,0,1
1560849162,0,3
1560851065,1,2
1560852890,2,2
1560854918,2,1
1560858061,2,2
1560859949,1,0
1560861861,0,1
1560863905,48,0
1560865713,0,1
1560869543,1,0
1560873382,1,1
1560875320,0,1
1560879165,1,1
1560882990,1,1
1560886840,0,1
1560888765,1,1
1560894520,1,1
1560896464,1,3
1560899249,2,0
1560905060,0,1
1560908900,1,0
1560910843,0,1
1560912757,0,1
1560916617,1,0
1560918506,1,0
1560920575,0,1
1560924492,1,0
1560926431,0,1
1560928342,0,1
1560930252,1,1
1560932421,2,0
1560934330,1,0
1560936513,1,1
1560938516,0,1
1560940385,1,2
1560942288,0,1
1560946359,0,1
1560950195,0,47
1560952118,1,0
1560955966,1,1
1560959774,0,1
1560961703,1,0
1560963702,2,1
1560965573,0,1
1560969375,1,0
1560975149,3,2
1560977066,1,0
1560978982,1,0
1560983535,0,3
1560985481,3,1
1560987401,1,0
1560989327,1,1
1560995086,2,1
1560997007,0,1
1560998920,1,0
1561000851,1,0
1561002739,2,2
1561004671,1,1
1561010530,0,1
1561016202,2,0
1561018103,1,0
1561021951,0,3
1561027710,1,1
1561033478,1,0
1561035687,0,1
1561039643,0,1
1561043541,0,1
1561045482,1,0
1561047420,0,1
1561049301,1,1
1561051215,1,2
1561056977,1,0
1561061778,2,5
1561063709,2,0
1561065643,0,1
1561069467,1,0
1561071406,2,4
1561075245,1,0
1561077179,2,0
1561079111,1,0
1561080993,0,3
1561082932,2,0
1561084842,1,1
1561086791,0,1
1561088662,1,1
1561090613,0,1
1561092512,0,1
1561102121,0,1
1561104158,0,1
1561106115,1,0
1561107929,1,0
1561109802,1,0
1561111751,1,0
1561113621,1,2
1561115562,2,0
1561117525,1,0
1561121332,1,0
1561125161,2,0
1561127088,1,0
1561128975,1,0
1561130899,1,1
1561132966,1,0
1561134996,1,0
1561136898,0,2
1561141005,2,0
1561144824,2,1
1561146739,1,1
1561148660,1,1
1561150599,0,1
1561152494,2,0
1561156362,1,1
1561158442,2,3
1561160433,1,3
1561164270,0,2
1561168125,2,0
1561170019,0,1
1561173869,1,0
1561175798,2,1
1561179783,0,1
1561185613,1,0
1561187547,1,0
1561193321,1,2
1561197133,1,1
1561199071,1,1
1561200998,1,2
1561202914,1,0
1561205804,4,1
1561207712,1,1
1561211535,0,2
1561213481,0,1
1561215378,0,1
