DateTime,Entries,UniqueIPs
1561000853,1732,1732
1561002743,1724,1724
1561004689,1730,1730
1561006610,1722,1722
1561008518,1700,1700
1561010536,1704,1704
1561012376,1134,1134
1561014336,1137,1137
1561016204,816,816
1561018107,1143,1143
1561020060,1132,1132
1561021954,1124,1124
1561023911,1111,1111
1561025802,1111,1111
1561027713,1109,1109
1561029637,1106,1106
1561031582,1107,1107
1561033480,1117,1117
1561035694,1116,1116
1561037540,1118,1118
1561039645,1118,1118
1561041635,1105,1105
1561043545,1111,1111
1561045484,1105,1105
1561047422,1108,1108
1561049303,1111,1111
1561051217,1109,1109
1561053162,1099,1099
1561055066,1090,1090
1561056979,1105,1105
1561058932,1100,1100
1561061780,1103,1103
1561063713,1103,1103
1561065646,1100,1100
1561067579,1099,1099
1561069469,1100,1100
1561071408,1102,1102
1561073322,1106,1106
1561075248,1096,1096
1561077183,1083,1083
1561079115,1074,1074
1561080995,1062,1062
1561082934,1058,1058
1561084844,1056,1056
1561086793,1062,1062
1561088664,1057,1057
1561090618,1045,1045
1561092514,1042,1042
1561094460,1032,1032
1561096361,1026,1026
1561098276,1013,1013
1561100179,1007,1007
1561102125,1003,1003
1561104163,1000,1000
1561106166,991,991
1561108350,982,982
1561110254,985,985
1561112186,988,988
1561114100,996,996
1561116047,995,995
1561117960,992,992
1561119861,983,983
1561121788,984,984
1561123712,978,978
1561125900,1018,1018
1561127804,1005,1005
1561129726,1011,1011
1561131883,1010,1010
1561133815,1013,1013
1561135722,1017,1017
1561137614,1022,1022
1561139594,1026,1026
1561141475,1032,1032
1561143390,1029,1029
1561145316,1033,1033
1561147271,1032,1032
1561149191,1032,1032
1561151064,1025,1025
1561152978,1028,1028
1561156363,1037,1037
1561158444,1059,1059
1561160435,1069,1069
1561162357,1072,1072
1561164271,1068,1068
1561166208,1069,1069
1561168127,1075,1075
1561170020,1071,1071
1561171959,1073,1073
1561173870,1075,1075
1561175799,1077,1077
1561177708,1079,1079
1561179785,1075,1075
1561181784,1068,1068
1561183696,1071,1071
1561185614,1067,1067
1561187548,1056,1056
1561189480,1062,1062
1561191376,1059,1059
1561193323,1054,1054
1561195235,1056,1056
1561197134,1049,1049
1561199072,1039,1039
1561200999,1041,1041
1561202915,1042,1042
1561205805,1037,1037
1561207713,1035,1035
1561209615,1038,1038
1561211536,1032,1032
1561213482,1039,1039
1561215379,1038,1038
1561217340,1035,1035
1561219370,1025,1025
1561221194,1024,1024
1561223081,1020,1020
1561225002,1004,1004
1561226911,1004,1004
1561228843,1003,1003
1561231011,1001,1001
1561232923,1000,1000
1561234837,989,989
1561236781,988,988
1561238678,989,989
1561240581,996,996
1561242518,963,963
1561244603,945,945
1561246576,931,931
1561248620,930,930
1561250448,929,929
1561252353,932,932
1561254278,933,933
1561256185,936,936
1561258113,935,935
1561260034,932,932
1561261957,927,927
1561263874,928,928
1561265799,926,926
1561267712,929,929
1561270581,934,934
1561272517,928,928
1561274442,927,927
1561276368,903,903
1561278268,920,920
1561280203,929,929
1561282097,928,928
1561284163,927,927
1561286186,928,928
1561288093,926,926
1561290040,927,927
1561291941,920,920
1561293857,919,919
1561295817,913,913
1561297715,914,914
1561299610,903,903
1561301537,901,901
1561303485,898,898
1561305398,911,911
1561307294,954,954
1561309291,978,978
1561311140,996,996
1561313083,1012,1012
1561314990,1026,1026
1561316902,1047,1047
1561318846,1057,1057
1561320747,1075,1075
1561322680,1074,1074
1561324580,1099,1099
1561326505,1111,1111
1561328446,1131,1131
1561330344,1157,1157
1561332260,1185,1185
1561334194,1198,1198
1561336116,1208,1208
1561338989,1226,1226
1561340907,1236,1236
1561342820,1255,1255
1561344774,1268,1268
1561346660,1278,1278
1561348576,1290,1290
1561350530,1304,1304
1561352554,1321,1321
1561354382,1338,1338
1561356287,1349,1349
1561358180,1379,1379
1561360136,1400,1400
1561362047,1368,1368
1561363941,1441,1441
1561365867,1457,1457
1561367812,1486,1486
1561369709,1504,1504
1561371631,1526,1526
1561373580,1533,1533
1561375488,1546,1546
1561377398,1561,1561
1561379300,1561,1561
1561381374,1589,1589
1561383200,1605,1605
1561385085,1624,1624
1561386985,1634,1634
1561388914,1648,1648
1561390846,1655,1655
1561392750,1650,1650
1561394691,1640,1640
1561396598,1644,1644
1561398503,1650,1650
1561400443,1652,1652
1561402350,1660,1660
1561404341,1657,1657
1561406564,1657,1657
1561408613,1650,1650
1561410441,1644,1644
1561412418,1636,1636
1561414351,1633,1633
1561416391,1635,1635
1561418205,1607,1607
1561420146,1631,1631
1561422032,1638,1638
1561423942,1630,1630
1561425891,1634,1634
1561427801,1633,1633
1561429703,1614,1614
1561431777,1616,1616
1561433640,1606,1606
1561435536,1594,1594
1561437405,1592,1592
1561439306,1588,1588
1561441249,1584,1584
1561443142,1566,1566
1561445085,1564,1564
1561447002,1575,1575
1561448913,1568,1568
1561450822,1551,1551
1561452767,1537,1537
1561454672,1520,1520
1561456633,1507,1507
1561458530,1511,1511
1561460499,1523,1523
1561462343,1511,1511
1561464519,1500,1500
1561466419,1498,1498
1561468363,1470,1470
1561470383,1479,1479
1561472188,1514,1514
1561474348,1563,1563
1561476276,1608,1608
1561478191,1645,1645
1561480131,1670,1670
1561483017,1678,1678
1561484922,1700,1700
1561486853,1694,1694
1561488765,1708,1708
1561490679,1747,1747
1561492611,1763,1763
1561494515,1783,1783
1561496564,1797,1797
1561498377,1806,1806
1561500280,1825,1825
1561502221,1833,1833
1561504138,1835,1835
1561506039,1869,1869
1561507954,1842,1842
1561509866,1844,1844
1561511831,1841,1841
1561513725,1833,1833
1561515638,1834,1834
1561517546,1833,1833
1561519507,1835,1835
1561521399,1837,1837
1561523343,1833,1833
1561525398,1826,1826
1561527383,1823,1823
1561529330,1835,1835
1561531249,1834,1834
1561533151,1832,1832
1561535060,1833,1833
1561537223,1837,1837
1561539135,1840,1840
1561541069,1839,1839
1561543000,1835,1835
1561545168,1808,1808
1561547091,1793,1793
1561548998,1793,1793
1561550942,1797,1797
1561552843,1794,1794
1561554757,1800,1800
1561556658,1795,1795
1561558603,1790,1790
1561560507,1777,1777
1561562462,1753,1753
1561564383,1738,1738
1561566264,1720,1720
1561568174,1706,1706
1561570115,1703,1703
1561572134,1673,1673
1561573979,1649,1649
1561575873,1600,1600
1561577771,1540,1540
1561579742,1493,1493
1561581634,1447,1447
1561583613,1416,1416
1561585475,1378,1378
1561589054,1013,1013
1561590997,936,936
1561592943,937,937
1561594820,945,945
1561596783,958,958
1561598697,1355,1355
1561600584,2588,2588
1561602507,3467,3467
1561604589,4711,4711
1561606596,7720,7720
1561608500,8238,8238
1561610431,8249,8249
1561612348,8262,8262
1561614287,8266,8266
1561616216,8260,8260
1561618139,8262,8262
1561620017,8275,8275
1561621964,8290,8290
1561623866,8313,8313
1561625805,8337,8337
1561627701,8353,8353
1561629774,8362,8362
1561631783,8380,8380
1561633735,8400,8400
1561635636,8411,8411
1561637562,8433,8433
1561639458,8438,8438
1561641394,8445,8445
1561643344,8451,8451
1561645219,8458,8458
1561647138,8473,8473
1561649194,8473,8473
1561651356,8471,8471
1561653379,8472,8472
1561655298,8471,8471
1561657233,8459,8459
1561659164,8464,8464
1561661056,8469,8469
1561662977,8467,8467
1561664908,8472,8472
1561666868,8481,8481
1561668734,8493,8493
1561670665,8502,8502
