DateTime,Entries,UniqueIPs
1560998923,3107,3107
1561000854,3091,3091
1561002750,3060,3060
1561004689,3065,3065
1561006617,3056,3056
1561008519,3059,3059
1561010537,3054,3054
1561012377,3054,3054
1561014345,3064,3064
1561016205,3068,3068
1561018108,3063,3063
1561020068,3056,3056
1561021955,3028,3028
1561023912,2987,2987
1561025803,2946,2946
1561027714,2952,2952
1561029638,2958,2958
1561031583,2965,2965
1561033488,2996,2996
1561035695,2995,2995
1561037541,3000,3000
1561039646,3001,3001
1561041636,2892,2892
1561043547,2840,2840
1561045485,2852,2852
1561047423,3060,3060
1561049304,4125,4125
1561051218,5097,5097
1561053163,6248,6248
1561055067,7210,7210
1561056980,8296,8296
1561058933,8592,8592
1561061781,8474,8474
1561063720,8465,8465
1561065647,8464,8464
1561067581,8509,8509
1561069470,8512,8512
1561071409,8518,8518
1561073323,8551,8551
1561075249,8561,8561
1561077192,8582,8582
1561079115,8584,8584
1561080995,8583,8583
1561082935,8591,8591
1561084861,8584,8584
1561086794,8588,8588
1561088665,8586,8586
1561090625,8587,8587
1561092515,8598,8598
1561094461,8621,8621
1561096361,8654,8654
1561098277,8664,8664
1561100180,8654,8654
1561102132,8641,8641
1561104172,8626,8626
1561106174,8769,8769
1561108352,8862,8862
1561110256,8926,8926
1561112187,9037,9037
1561114101,9110,9110
1561116055,9203,9203
1561117968,9283,9283
1561119862,9388,9388
1561121789,9534,9534
1561123713,9699,9699
1561125911,9865,9865
1561127806,10058,10058
1561129728,10250,10250
1561131891,10395,10395
1561133816,10578,10578
1561135723,10732,10732
1561137615,10909,10909
1561139595,11073,11073
1561141482,11232,11232
1561143397,11407,11407
1561145323,11597,11597
1561147273,11804,11804
1561149192,11969,11969
1561151065,12122,12122
1561152986,12248,12248
1561156364,12477,12477
1561158452,12598,12598
1561160443,12757,12757
1561162358,12889,12889
1561164273,13027,13027
1561166209,13172,13172
1561168134,13318,13318
1561170021,13459,13459
1561171966,13617,13617
1561173871,13832,13832
1561175801,13999,13999
1561177709,14134,14134
1561179787,14270,14270
1561181785,14390,14390
1561183697,14532,14532
1561185616,14680,14680
1561187549,14875,14875
1561189481,14972,14972
1561191377,15070,15070
1561193333,15156,15156
1561195236,15193,15193
1561197136,15379,15379
1561199073,15896,15896
1561201000,17947,17947
1561202916,19435,19435
1561205813,21800,21800
1561207715,23657,23657
1561209617,25018,25018
1561211537,24249,24249
1561213484,22277,22277
1561215380,19920,19920
1561217349,19710,19710
1561219372,19829,19829
1561221195,19842,19842
1561223082,19877,19877
1561225003,19948,19948
1561226913,19992,19992
1561228845,20074,20074
1561231013,20098,20098
1561232925,20119,20119
1561234839,20122,20122
1561236782,20136,20136
1561238679,20155,20155
1561240583,20127,20127
1561242527,20080,20080
1561244604,20034,20034
1561246584,19959,19959
1561248622,19921,19921
1561250456,19858,19858
1561252354,19788,19788
1561254280,19732,19732
1561256193,19703,19703
1561258115,19693,19693
1561260035,19622,19622
1561261959,19650,19650
1561263875,19678,19678
1561265801,19574,19574
1561267714,19551,19551
1561270582,19630,19630
1561272518,19555,19555
1561274443,19436,19436
1561276369,19434,19434
1561278269,19451,19451
1561280204,19403,19403
1561282098,19317,19317
1561284165,19052,19052
1561286187,18200,18200
1561288094,16263,16263
1561290041,14615,14615
1561291942,12892,12892
1561293859,11024,11024
1561295818,9227,9227
1561297734,9233,9233
1561299612,9252,9252
1561301545,9234,9234
