DateTime,AddedIPs,RemovedIPs
1550006433,1,0
1550091909,0,1
1550254127,1,0
1550306419,1,0
1550337516,1,0
1550341954,1,1
1550358345,1,0
1550391166,0,1
1550423811,0,1
1550427764,0,1
1550442986,0,1
1550552685,1,0
1550597303,1,0
1550611687,1,0
1550617974,1,0
1550637621,1,0
1550639572,0,1
1550699561,0,1
1550707368,0,1
1550724980,0,1
1550738656,0,1
1550995473,1,0
1551034092,2,0
1551052392,1,0
1551054287,1,0
1551083584,0,1
1551085485,1,0
1551093385,1,0
1551095334,1,0
1551121150,0,1
1551138753,0,1
1551144530,0,1
1551171771,0,1
1551179580,0,3
1551185076,1,0
1551186973,1,0
1551217940,1,0
1551272676,0,1
1551282393,0,1
1551304121,1,1
1551387162,0,1
1551400376,1,0
1551415688,1,0
1551431072,1,0
1551487943,0,1
1551501888,0,1
1551515551,0,1
1551529971,1,0
1551531878,1,0
1551688136,0,1
1551701551,0,1
1551776927,1,0
1551862099,0,1
1551915141,1,0
1551990054,1,0
1552003727,0,1
1552074991,0,1
1552092285,1,0
1552177232,0,1
1552290009,1,0
1552291934,2,0
1552313082,1,0
1552377178,0,2
1552379075,0,1
1552398269,1,1
1552504344,0,1
1552549696,1,0
1552551619,1,0
1552597713,1,0
1552607300,1,0
1552636358,0,1
1552683890,0,1
1552693937,0,1
1552728982,1,0
1552736698,0,1
1552813948,1,0
1552815857,0,1
1552897237,0,1
1552956018,1,0
1553040748,0,1
1553071708,1,0
1553166978,1,0
1553220750,0,1
1553251705,0,1
1553298014,1,0
1553383471,0,1
1553565678,1,0
1553590570,1,0
1553619910,1,0
1553677006,0,1
1553678897,1,0
1553705552,0,1
1553724736,0,1
1553763793,0,1
1553862994,1,0
1553943884,1,0
1553949863,0,1
1553990177,1,0
1554031242,0,1
1554074016,0,1
1554091741,1,0
1554177178,0,1
1554197079,1,0
1554282292,0,1
1554391253,1,0
1554477629,0,1
1554533564,1,0
1554629777,0,1
1554672268,1,0
1554710018,1,0
1554723674,1,0
1554725562,5,0
1554727464,1,0
1554735170,1,0
1554746934,1,0
1554748822,1,0
1554760365,0,1
1554797797,0,1
1554811410,0,6
1554815307,0,1
1554822986,0,1
1554834493,0,1
1554964353,1,1
1555050021,0,1
1555318093,1,0
1555360837,1,0
1555405966,0,1
1555413651,1,0
1555448699,0,1
1555454754,1,0
1555460441,1,0
1555499799,0,1
1555501708,1,0
1555513383,1,0
1555534602,1,0
1555540879,0,1
1555546592,0,1
1555566034,1,0
1555587870,0,1
1555599391,0,1
1555607066,1,0
1555620765,1,0
1555622661,0,1
