DateTime,AddedIPs,RemovedIPs
1558807022,2,0
1558808921,0,1
1558810941,1,0
1558816839,0,2
1558824540,0,1
1558828370,0,1
1558838179,1,0
1558882955,0,1
1558890540,1,0
1558892423,1,0
1558923445,0,1
1558939016,0,1
1558940932,0,1
1558942828,0,1
1558949091,1,0
1558978021,0,1
1558988648,2,0
1558990520,1,0
1558996354,1,0
1559002111,1,0
1559017970,1,0
1559023703,0,1
1559029487,1,0
1559035243,1,1
1559043175,1,0
1559045074,1,0
1559052772,1,0
1559074389,1,0
1559080592,2,0
1559084569,0,1
1559086394,1,1
1559119248,0,1
1559121139,0,1
1559123074,0,1
1559124978,0,1
1559132676,1,0
1559144455,1,1
1559146345,0,1
1559154056,1,1
1559157867,0,1
1559167545,0,1
1559169391,1,0
1559183101,0,1
1559202257,0,1
1559213802,0,1
1559217652,1,0
1559219567,0,1
1559221473,2,0
1559238995,1,0
1559240899,1,0
1559246688,2,0
1559254360,0,2
1559256270,1,0
1559259682,1,0
1559273106,1,0
1559284591,1,1
1559286547,5,1
1559292265,1,0
1559294221,2,0
1559299970,3,0
1559301871,0,1
1559303800,0,2
1559307922,0,1
1559311988,1,0
1559313916,1,0
1559335734,1,0
1559339541,0,1
1559353056,0,1
1559358771,0,1
1559372553,2,1
1559374354,0,5
1559378186,0,1
1559380112,0,1
1559385874,0,1
1559391670,1,0
1559399308,0,2
1559401387,0,2
1559403421,1,0
1559405334,2,0
1559413022,1,0
1559430760,0,1
1559434591,0,1
1559440613,1,0
1559444561,0,1
1559457880,0,1
1559471326,1,0
1559477085,1,0
1559490509,0,1
1559492440,0,1
1559500106,1,0
1559502314,0,1
1559504215,2,1
1559512383,1,0
1559516193,1,0
1559527978,0,1
1559533700,0,1
1559537574,0,1
1559562991,0,1
1559574551,1,0
1559578356,1,0
1559580314,1,0
1559582457,0,1
1559584367,1,0
1559590104,1,1
1559595928,0,1
1559624217,0,1
1559633818,0,2
1559635711,0,1
1559641462,1,0
1559651071,1,0
1559652988,1,0
1559660908,0,1
1559662816,1,0
1559664738,0,1
1559670522,0,1
1559674360,1,0
1559676256,0,1
1559678182,0,1
1559683960,0,1
1559685869,0,1
1559689714,1,0
1559695463,2,0
1559697394,1,0
1559722611,0,1
1559728429,0,1
1559730269,1,0
1559737944,1,0
1559753575,1,0
1559766991,0,1
1559782341,1,1
1559799854,1,0
1559813341,2,0
1559817154,0,1
1559824823,0,1
1559832525,3,0
1559844184,1,1
1559853862,1,0
1559857941,2,0
1559873794,0,1
1559887366,0,1
1559891327,1,0
1559893245,0,1
1559900903,1,0
1559902837,2,0
1559908580,0,1
1559916213,0,1
1559920121,0,2
1559931625,1,0
1559935457,1,1
1559937695,1,0
1559945325,0,2
1559951848,1,0
1559955728,1,0
1559977012,0,1
1559978905,0,2
1559984922,0,1
1559986822,0,1
1559988754,0,1
1559990668,0,1
1560008190,1,0
1560017779,1,0
1560025484,0,1
1560041304,1,1
1560048999,1,0
1560054764,1,0
1560105615,0,1
1560123395,0,1
1560129151,0,1
1560132984,1,0
1560134895,0,1
1560140656,0,1
1560142583,0,1
1560164713,1,0
1560172340,3,0
1560174273,3,0
1560178099,0,1
1560204988,1,0
1560206895,2,0
1560251313,0,1
1560257304,0,1
1560261133,1,2
1560264993,1,0
1560277706,1,1
1560279754,2,0
1560285387,1,0
1560294050,1,1
1560303627,1,0
1560309398,1,0
1560345928,0,1
1560355724,2,0
1560357626,2,0
1560359581,1,1
1560363641,0,1
1560365561,0,1
1560367479,1,0
1560369385,1,0
1560371312,1,0
1560373243,0,1
1560383087,0,1
1560385007,0,1
1560386920,0,1
1560394601,0,1
1560396525,0,2
1560400839,2,0
1560424112,0,1
1560426028,1,4
1560435862,0,1
1560437792,0,1
1560441754,0,2
1560443555,0,1
1560445537,0,1
1560447424,1,2
1560453153,0,1
1560455063,0,1
1560456976,0,1
1560476903,1,0
1560480759,1,0
1560484582,0,1
1560486507,0,2
1560492503,1,0
1560535349,0,1
1560537153,0,1
1560557800,2,0
1560567385,0,1
1560575139,1,0
1560578921,0,1
1560619231,0,1
1560624987,1,0
1560626916,3,0
1560644186,0,1
1560659798,0,1
1560661712,0,1
1560689441,2,0
1560741428,2,0
1560758709,0,1
1560770197,1,0
1560777895,1,0
1560797085,1,0
1560804763,1,0
1560812562,1,0
1560816274,1,0
1560820111,0,2
1560829719,1,0
1560852895,2,0
