DateTime,Entries,UniqueIPs
1560995091,2063,2063
1560997011,2046,2046
1560998924,2058,2058
1561000855,2048,2048
1561002752,2026,2026
1561004691,2035,2035
1561006619,2030,2030
1561008520,2042,2042
1561010540,2048,2048
1561012378,2046,2046
1561014347,2053,2053
1561016206,2056,2056
1561018110,2065,2065
1561020070,2055,2055
1561021957,2038,2038
1561023913,2018,2018
1561025804,2008,2008
1561027715,2014,2014
1561029639,2017,2017
1561031585,2023,2023
1561033490,2041,2041
1561035698,2046,2046
1561037542,2048,2048
1561039647,2041,2041
1561041638,1939,1939
1561043548,1896,1896
1561045487,1900,1900
1561047424,1899,1899
1561049305,1900,1900
1561051220,1887,1887
1561053164,1860,1860
1561055069,1810,1810
1561056982,1773,1773
1561058935,1739,1739
1561061782,1691,1691
1561063721,1686,1686
1561065648,1669,1669
1561067582,1662,1662
1561069472,1656,1656
1561071410,1657,1657
1561073324,1698,1698
1561075253,1704,1704
1561077193,1714,1714
1561079117,1707,1707
1561080997,1710,1710
1561082936,1716,1716
1561084873,1703,1703
1561086795,1698,1698
1561088666,1695,1695
1561090627,1700,1700
1561092516,1706,1706
1561094462,1721,1721
1561096363,1753,1753
1561098278,1767,1767
1561100181,1759,1759
1561102134,1752,1752
1561104179,1747,1747
1561106183,1743,1743
1561108354,1729,1729
1561110258,1731,1731
1561112189,1776,1776
1561114103,1769,1769
1561116059,1768,1768
1561117970,1754,1754
1561119864,1741,1741
1561121791,1764,1764
1561123715,1778,1778
1561125917,1800,1800
1561127808,1822,1822
1561129730,1862,1862
1561131893,1893,1893
1561133818,1911,1911
1561135725,1925,1925
1561137617,1972,1972
1561139597,2016,2016
1561141484,2064,2064
1561143399,2106,2106
1561145325,2136,2136
1561147275,2183,2183
1561149194,2225,2225
1561151102,2266,2266
1561152988,2302,2302
1561156366,2344,2344
1561158454,2349,2349
1561160445,2386,2386
1561162360,2418,2418
1561164274,2455,2455
1561166211,2482,2482
1561168136,2511,2511
1561170023,2528,2528
1561171968,2561,2561
1561173873,2677,2677
1561175802,2695,2695
