DateTime,AddedIPs,RemovedIPs
1560997015,0,3
1560998927,3,1
1561000876,2,1
1561002755,1,4
1561004694,3,2
1561006622,7,2
1561008523,1,3
1561010543,1,2
1561012381,10,5
1561014349,1,5
1561016209,0,5
1561018130,2,7
1561020072,20,1
1561021960,1,6
1561023916,2,1
1561025807,2,5
1561027717,1,2
1561029642,6,0
1561031588,2,1
1561033493,4,2
1561035701,1,2
1561037546,3,1
1561039650,10,2
1561041640,2,2
1561043550,1,4
1561045489,7,1
1561047427,220,9
1561049310,1072,0
1561051223,993,1
1561053167,1185,1
1561055071,1028,3
1561056984,1127,6
1561058938,374,2
1561060911,1,12
1561062759,4,60
1561064686,9,3
1561066585,2,1
1561068515,3,9
1561070415,7,4
1561072348,4,1
1561074271,3,5
1561076202,1,4
1561078105,3,3
1561080035,3,0
1561081934,2,5
1561083880,0,3
1561085773,1,1
1561087721,8,2
1561090629,2,3
1561092518,2,4
1561094465,2,5
1561096364,4,2
1561098280,1,11
1561100183,3,2
1561102136,3,0
1561104181,4,3
1561106187,176,18
1561108356,109,3
1561110260,60,3
1561112191,63,2
1561114105,86,0
1561116061,93,4
1561117972,94,1
1561119866,113,4
1561121793,99,0
1561123717,118,2
1561125920,145,9
1561127810,166,1
1561129732,137,0
1561131910,123,8
1561133820,160,1
1561135727,111,4
1561137654,112,6
1561139599,119,4
1561141486,100,3
1561143401,115,0
1561145326,137,1
1561147278,152,4
1561149196,111,2
1561151105,115,8
1561152989,122,2
1561156369,208,5
1561158457,117,5
1561160448,128,5
1561162362,82,0
1561164277,118,2
1561166213,114,2
1561168139,110,1
1561170026,125,1
1561171970,112,1
1561173876,110,8
1561175805,141,2
1561177714,118,1
1561179792,123,2
1561181790,117,6
1561183702,123,1
1561185621,123,2
1561187554,121,2
1561189486,69,3
1561191400,85,12
1561193337,100,78
1561195241,105,138
1561197140,134,51
1561199078,160,58
1561201005,130,72
1561202930,105,58
1561204941,120,73
1561206978,109,88
1561208946,115,102
1561210814,95,312
1561212627,79,1734
1561214656,110,2898
1561216590,129,1478
1561218508,125,66
1561220465,83,127
1561222339,80,76
1561224260,112,98
1561226188,146,96
1561228118,111,81
1561230153,157,114
1561232211,116,126
1561234121,91,130
1561236025,98,102
1561238018,96,113
1561239878,70,114
1561241804,71,112
1561243711,56,99
1561245683,52,100
1561247542,68,102
1561249489,58,89
1561251400,61,132
1561253301,50,102
1561256198,96,163
1561258121,66,107
1561260040,91,109
1561261964,93,87
1561263882,75,67
1561265807,68,196
1561267719,79,113
1561270587,146,95
1561272530,79,150
1561274461,95,173
1561276377,78,74
1561278276,89,87
1561280209,87,99
1561282103,54,106
1561284170,80,164
1561286195,113,160
1561288098,113,141
1561290046,159,102
1561291957,110,95
1561293863,128,113
1561295822,89,107
1561297739,156,96
1561299616,162,89
1561301549,104,113
1561303497,86,149
1561305406,98,114
1561307300,91,70
1561309370,113,116
1561311381,105,127
1561313318,88,125
1561315234,93,127
1561317172,122,176
1561319075,80,121
1561320980,104,96
1561322910,205,113
1561324837,68,106
1561326734,88,69
1561328911,95,77
1561330901,61,61
1561332763,73,60
1561334711,86,73
1561336596,77,72
1561338515,70,63
1561340443,99,52
1561342354,50,59
1561344255,58,88
1561346206,94,97
1561348094,76,94
1561350020,83,78
1561351964,99,66
1561353856,92,47
1561355802,79,128
1561357717,97,78
1561359756,111,102
1561361774,109,65
1561363699,93,49
1561365642,88,121
1561367815,119,128
1561369720,88,68
1561371634,137,103
1561373584,128,107
1561375500,122,130
1561377401,114,140
1561379304,129,113
1561381481,139,118
1561383376,77,109
1561385302,89,143
1561387353,92,131
1561389399,89,111
1561391302,71,109
1561393237,61,98
1561395177,91,110
1561397071,205,98
1561398986,67,97
1561400924,79,92
1561402982,105,117
1561404973,167,88
1561406910,131,92
1561408824,139,85
1561410781,105,70
1561412681,102,88
1561414725,108,96
1561416808,124,77
1561418682,100,82
1561420617,90,81
1561422499,92,64
1561424543,79,88
1561426361,79,92
1561428289,97,73
1561430451,88,69
1561432372,89,97
1561434261,101,76
1561436213,78,95
1561438098,26,71
1561440019,35,119
1561441964,53,89
1561443861,79,93
1561445800,75,119
1561447706,56,77
1561450610,111,155
1561452508,92,55
1561454417,112,165
1561456364,90,101
1561458254,88,132
1561460177,97,123
1561462128,84,126
1561464128,120,119
1561465958,93,133
1561467887,88,116
1561470017,122,87
1561471944,109,95
1561473886,91,91
1561475805,99,83
1561477965,96,82
1561480136,108,77
1561483047,170,201
1561484927,120,81
1561486859,129,65
1561488800,122,51
1561490685,139,182
1561492617,149,86
1561494521,148,94
1561496607,133,181
1561498576,121,141
1561500536,121,121
1561502660,129,142
1561504860,114,112
1561506745,99,109
1561508666,98,93
1561510576,103,68
1561512536,111,94
1561514574,116,102
1561516583,117,92
1561518532,98,101
1561520430,124,98
1561522350,107,84
1561524259,143,11
1561526186,141,16
1561528123,141,72
1561530045,157,71
1561531940,120,44
1561533872,138,25
1561535791,140,105
1561537949,139,119
1561539964,151,100
1561541793,123,85
1561543733,152,71
1561545644,155,82
1561547596,199,76
1561549502,188,109
1561551414,161,89
1561553322,150,74
1561555220,177,91
1561557162,165,92
1561559079,180,95
1561560977,184,91
1561562941,163,77
1561564958,164,90
1561566982,160,81
1561568899,152,85
1561570827,141,111
1561572737,108,109
1561574676,85,106
1561576587,102,109
1561578493,98,118
1561580420,189,139
1561582330,167,105
1561584250,86,100
1561586177,125,132
1561589061,148,148
1561591004,76,97
1561592949,67,85
1561594827,61,107
1561596789,49,102
1561598703,422,103
1561600590,107,103
1561602516,47,99
1561604605,114,117
1561606605,63,116
1561608508,59,122
1561610438,44,120
1561612354,32,137
1561614295,54,109
1561616223,62,115
1561618152,63,190
1561620023,55,75
1561621974,81,141
1561623873,98,197
1561625819,95,132
1561627719,73,122
1561629782,96,155
1561631789,106,175
1561633742,94,190
1561635644,89,184
1561637568,119,186
1561639465,129,147
1561641400,143,183
1561643352,129,205
1561645240,122,178
1561647144,130,191
1561649208,154,188
1561651363,118,198
1561653385,108,162
1561655319,82,167
1561657241,101,159
1561659170,106,137
1561661063,99,114
1561662983,83,129
1561664916,42,122
1561666874,72,166
1561668740,52,154
1561670686,79,124
1561672602,95,136
1561674522,56,108
1561676568,90,124
1561678593,66,83
1561680520,61,63
1561682417,71,64
1561684342,61,52
1561686270,71,511
1561688180,59,35
1561690116,71,85
1561692012,69,65
1561693943,63,69
1561695892,71,59
1561697786,74,62
1561699745,85,39
1561702609,134,100
1561704508,81,47
1561706413,60,40
1561708359,48,127
1561710289,57,92
1561712187,74,105
1561714367,71,85
1561716319,71,88
1561718193,80,113
1561720129,84,110
1561722047,75,94
1561723992,110,122
1561725860,82,124
1561727808,107,143
1561729731,97,120
1561731615,106,122
1561733535,82,135
1561735465,84,160
1561737415,97,113
1561739311,133,101
1561741264,99,90
1561743190,131,104
1561745098,111,113
1561747010,85,120
1561748950,81,101
1561750853,99,42
1561752750,78,63
1561754659,95,61
1561756616,113,71
1561758503,100,94
1561761473,131,105
1561763318,89,91
1561765474,95,76
1561767434,87,67
1561769339,57,57
1561771281,55,60
1561773177,46,70
1561775110,47,66
1561776991,63,82
1561778911,52,100
1561780970,55,58
1561783001,61,92
1561784939,43,85
1561786839,40,88
1561788756,54,47
1561790682,63,26
1561792582,52,148
1561794774,71,48
1561796729,41,37
1561798601,52,111
1561800524,72,66
1561802565,77,59
1561804598,113,79
1561806505,78,80
1561808417,66,84
1561810357,64,106
1561812296,82,82
1561814177,71,103
1561816351,77,121
1561818264,77,111
1561820211,70,84
1561822136,69,94
1561824176,76,130
1561826188,70,136
1561828100,76,149
1561830052,71,133
1561831948,62,115
1561833895,72,73
1561835810,72,71
1561837710,69,75
1561839666,97,86
1561841578,100,100
1561843502,86,96
1561845379,89,100
1561847311,81,83
1561849350,105,91
1561851195,73,79
1561853115,88,84
1561855031,68,69
1561856941,102,51
1561858816,86,41
1561860777,75,57
1561862671,62,47
1561864613,92,55
1561866537,101,23
1561868453,60,37
1561870361,60,43
1561872298,88,83
1561874193,97,49
1561876360,90,55
1561878365,104,56
1561880185,74,46
1561882123,110,47
1561884033,94,47
1561885944,110,71
1561887866,99,50
1561889848,95,81
1561891699,93,87
1561893635,101,68
1561895571,88,64
1561897461,69,56
1561899376,90,58
1561901327,90,77
1561903329,85,70
1561905179,41,53
1561907077,44,58
1561908976,54,77
1561910804,30,65
1561912628,38,70
1561914519,39,62
1561916446,38,64
1561918389,58,58
1561920299,45,74
1561922212,34,73
1561924112,39,59
1561926017,48,103
1561927956,56,99
1561929871,49,79
1561933010,81,133
1561935167,48,84
1561937101,40,85
1561939039,66,81
1561940941,44,90
1561942949,87,104
1561944776,41,90
1561946731,57,64
1561948606,48,61
1561950535,43,69
1561952442,45,43
1561954490,60,102
1561956516,47,97
1561958433,47,76
1561960419,67,85
1561962257,53,90
1561964575,71,112
1561966382,70,75
1561968324,54,77
1561970189,49,153
1561972163,55,123
1561974024,42,104
1561975968,46,118
