DateTime,AddedIPs,RemovedIPs
1560998928,10,16
1561000877,9,12
1561002756,11,12
1561004695,13,12
1561006623,3,9
1561008524,9,14
1561010545,3,16
1561012382,4,8
1561014351,22,16
1561016210,17,16
1561018132,12,9
1561020073,9,15
1561021962,6,5
1561023917,3,23
1561025808,10,12
1561027719,9,7
1561029643,11,16
1561031589,14,8
1561033494,13,12
1561035726,13,10
1561037548,10,8
1561039651,9,12
1561041642,12,113
1561043552,7,56
1561045490,12,10
1561047428,14,10
1561049311,12,14
1561051224,11,12
1561053168,19,7
1561055073,2,20
1561056986,7,17
1561058939,7,12
1561060923,3,16
1561062760,11,9
1561064688,9,11
1561066586,4,5
1561068516,10,11
1561070417,5,5
1561072349,6,10
1561074273,5,8
1561076204,13,5
1561078107,25,3
1561080037,7,11
1561081935,12,7
1561083881,11,8
1561085775,8,8
1561087722,9,8
1561089720,4,12
1561091543,10,9
1561093470,17,5
1561095386,19,4
1561097330,13,1
1561099252,14,9
1561101154,13,22
1561103059,2,18
1561104984,3,14
1561106904,10,11
1561108854,8,4
1561110780,17,7
1561112663,11,8
1561114604,14,9
1561116520,18,13
1561118502,12,13
1561120382,40,16
1561122309,42,7
1561124178,48,9
1561126393,17,8
1561128256,17,10
1561130177,19,9
1561132105,14,10
1561134282,30,10
1561136192,54,14
1561138110,39,13
1561140118,22,14
1561141949,25,3
1561143923,38,5
1561145777,33,5
1561147746,48,5
1561149621,31,15
1561151546,23,8
1561153486,20,3
1561156370,36,11
1561158459,4,3
1561160449,13,5
1561162364,27,7
1561164279,19,24
1561166215,25,9
1561168141,16,11
1561170027,13,11
1561171972,19,10
1561173877,19,8
1561175807,21,5
1561177715,18,8
1561179793,34,12
1561181791,22,17
1561183714,22,12
1561185622,28,14
1561187555,34,12
1561189500,25,2
1561191402,15,3
1561193339,41,8
1561195243,64,8
1561197142,75,15
1561199080,35,10
1561201006,24,10
1561202947,24,13
1561204952,11,11
1561206980,37,31
1561208947,60,39
1561210816,65,34
1561212629,28,10
1561214657,35,20
1561216592,47,16
1561218510,45,16
1561220467,67,20
1561222340,50,38
1561224261,48,30
1561226205,40,19
1561228120,31,21
1561230177,35,32
1561232212,25,37
1561234123,27,42
1561236027,45,28
1561238020,57,21
1561239879,35,21
1561241806,31,18
1561243713,15,14
1561245699,7,13
1561247543,6,15
1561249491,13,29
1561251402,6,19
1561253303,7,18
1561256200,22,16
1561258122,24,17
1561260042,25,14
1561261966,14,23
1561263884,25,17
1561265809,19,27
1561267720,19,23
1561270588,33,32
1561272532,15,20
1561274463,17,36
1561276378,12,27
1561278278,13,17
1561280210,16,49
1561282104,15,67
1561284172,9,69
1561286196,14,34
1561288100,8,30
1561290047,13,15
1561291958,8,11
1561293865,9,59
1561295824,11,51
1561297740,9,71
1561299618,8,20
1561301551,18,52
1561303498,18,38
1561305407,6,63
1561307301,13,72
1561309373,11,53
1561311383,18,48
1561313319,16,55
1561315253,17,30
1561317174,17,40
1561319077,22,23
1561320982,18,39
1561322911,23,48
1561324838,22,59
1561326736,15,39
1561328912,21,32
1561330945,10,14
1561332764,16,7
1561334713,6,6
1561336598,8,12
1561338517,10,5
1561340444,4,11
1561342355,11,18
1561344257,9,25
1561346207,9,30
1561348095,18,14
1561350022,15,27
1561351966,17,20
1561353857,16,18
1561355803,12,29
1561357718,14,22
1561359788,28,16
1561361775,19,17
1561363701,12,15
1561365644,19,19
1561367817,25,13
1561369721,13,15
1561371648,10,12
1561373586,10,13
1561375502,7,15
1561377403,8,11
1561379305,16,12
1561381486,14,14
1561383377,23,4
1561385304,24,13
1561387354,22,20
1561389401,15,14
1561391303,15,13
1561393238,21,12
1561395179,21,16
1561397087,9,16
1561398987,22,14
1561400926,19,15
1561403006,13,20
1561404975,26,18
1561406922,12,20
1561408826,10,23
1561410783,13,22
1561412683,21,21
1561414727,16,15
1561416809,21,8
1561418699,7,21
1561420619,6,7
1561422504,6,5
1561424547,11,13
1561426363,3,3
1561428291,8,10
1561430453,9,14
1561432373,14,11
1561434263,18,20
1561436215,23,12
1561438100,8,15
1561440021,20,20
1561441966,20,13
1561443863,17,13
1561445802,33,21
1561447708,23,26
1561450612,26,19
1561452510,22,21
1561454419,26,19
1561456365,15,14
1561458256,10,7
1561460178,22,9
1561462130,11,8
1561464155,10,9
1561465959,7,15
1561467888,14,15
1561470019,11,27
1561471946,14,26
1561473887,10,19
1561475806,13,14
1561477967,24,16
1561480138,17,25
1561483049,22,17
1561484929,24,17
1561486866,16,16
1561488818,22,17
1561490686,13,15
1561492618,13,22
1561494522,28,10
1561496610,21,12
1561498577,17,20
1561500538,23,18
1561502662,19,13
1561504862,27,15
1561506746,14,6
1561508668,16,7
1561510578,17,10
1561512538,15,4
1561514576,14,9
1561516585,15,6
1561518533,7,15
1561520432,7,18
1561522351,10,24
1561524261,13,9
1561526187,18,20
1561528124,7,21
1561530047,14,19
1561531941,12,29
1561533874,31,29
1561535792,16,14
1561537951,26,23
1561539966,14,25
1561541814,18,16
1561543735,23,18
1561545646,18,17
1561547598,16,13
1561549503,25,13
1561551415,24,7
1561553324,18,6
1561555221,13,17
1561557163,16,8
1561559080,23,14
1561560978,11,11
1561562942,12,19
1561564972,13,22
1561566984,15,15
1561568901,20,16
1561570829,20,23
1561572739,16,21
1561574677,5,15
1561576589,13,18
1561578494,19,11
1561580422,28,24
1561582331,16,21
1561584252,20,21
1561586179,14,19
1561589063,20,23
1561591005,18,21
1561592951,14,16
1561594828,26,18
1561596791,21,19
1561598733,16,14
1561600592,13,13
1561602522,15,13
1561604607,7,12
1561606606,15,5
1561608509,11,11
1561610439,4,12
1561612355,8,17
1561614297,11,8
1561616224,10,13
1561618154,8,11
1561620024,22,31
1561621975,6,15
1561623894,6,22
1561625834,11,16
1561627720,11,22
1561629785,10,24
1561631797,70,21
1561633743,50,17
1561635645,248,25
1561637570,154,23
1561639466,10,16
1561641402,20,14
1561643353,18,17
1561645272,14,23
1561647145,16,11
1561649209,9,14
1561651364,13,13
1561653386,13,18
1561655320,19,20
1561657242,102,20
1561659171,8,15
1561661064,11,7
1561662984,9,10
1561664917,6,20
1561666875,20,28
1561668741,15,16
1561670687,10,20
1561672603,15,15
1561674523,18,12
1561676569,22,26
1561678594,8,10
1561680521,14,20
1561682418,12,21
1561684344,16,18
1561686271,9,13
1561688181,9,14
1561690117,4,12
1561692013,7,11
1561693944,13,14
1561695893,7,8
1561697787,17,4
1561699746,8,9
1561702611,9,19
1561704509,12,8
1561706414,38,22
1561708360,10,6
1561710290,58,5
1561712188,100,11
1561714368,75,14
1561716320,99,8
1561718194,18,63
1561720130,16,53
1561722048,9,245
1561723993,10,151
1561725861,16,12
1561727809,17,17
1561729732,13,20
1561731616,15,16
1561733536,9,16
1561735466,8,10
1561737416,15,13
1561739312,13,14
1561741292,15,12
1561743192,16,115
1561745101,8,12
1561747012,7,7
1561748951,12,11
1561750854,15,9
1561752751,20,16
1561754660,15,18
1561756617,8,7
1561758504,14,11
1561761474,20,30
1561763320,15,22
1561765496,12,10
1561767436,15,16
1561769341,20,14
1561771283,42,17
1561773179,21,9
1561775113,15,11
1561776992,16,4
1561778912,20,9
1561780972,15,14
1561783002,15,12
1561784941,9,14
1561786841,18,6
1561788757,23,7
1561790684,16,11
1561792584,27,37
1561794776,13,14
1561796731,14,35
1561798602,7,88
1561800526,16,83
1561802568,7,121
1561804599,18,24
1561806507,21,14
1561808418,33,6
1561810359,22,10
1561812297,24,14
1561814178,13,14
1561816352,26,12
1561818265,62,17
1561820213,439,8
1561822138,44,8
1561824179,59,14
1561826189,11,13
1561828102,41,14
1561830054,105,13
1561831949,42,9
1561833897,15,8
1561835813,18,11
1561837712,20,21
1561839668,14,20
1561841579,33,13
1561843514,18,13
1561845381,29,10
1561847313,21,13
1561849354,18,16
1561851196,14,12
1561853118,28,15
1561855033,20,16
1561856944,6,24
1561858818,9,31
1561860778,10,16
1561862673,10,20
1561864614,9,14
1561866539,10,18
1561868454,14,12
1561870362,18,14
1561872299,17,11
1561874194,11,22
1561876361,19,25
1561878383,19,26
1561880186,10,9
1561882137,15,18
1561884035,11,11
1561885945,9,10
1561887868,21,13
1561889850,24,10
1561891700,21,23
1561893637,23,18
1561895572,22,24
1561897462,20,18
1561899378,19,21
1561901328,14,20
1561903332,15,24
1561905181,10,151
1561907078,8,298
1561908977,16,86
1561910805,20,10
1561912629,19,9
1561914520,130,36
1561916447,139,138
1561918390,41,50
1561920301,153,16
1561922231,181,17
1561924114,46,18
1561926018,44,13
1561927957,32,32
1561929873,43,23
1561933012,81,40
1561935173,45,19
1561937102,43,14
1561939040,112,26
1561940942,40,21
1561942950,34,5
1561944777,47,10
1561946732,54,8
1561948607,38,9
1561950536,29,5
1561952444,47,9
1561954491,34,12
1561956517,46,17
1561958434,41,17
1561960420,37,16
1561962259,36,13
1561964576,43,22
1561966384,31,9
1561968326,32,11
1561970190,32,15
1561972164,19,9
1561974025,14,14
1561975970,34,24
