DateTime,AddedIPs,RemovedIPs
1559916539,1,0
1559918425,0,3
1559922279,1,0
1559924184,1,0
1559928045,2,0
1559931865,1,0
1559935718,1,0
1559941526,0,1
1559945333,0,1
1559947231,1,0
1559955736,0,1
1559959588,1,0
1559970998,1,0
1559977020,1,0
1559992834,0,1
1559996678,1,0
1560002548,0,3
1560004588,1,0
1560010340,0,2
1560012261,1,0
1560014173,0,1
1560016106,1,0
1560018028,0,1
1560019945,1,0
1560021889,1,1
1560023775,1,0
1560033663,1,0
1560056745,0,1
1560058601,1,0
1560060521,2,0
1560062439,0,1
1560066328,0,2
1560068227,2,0
1560075871,1,0
1560077805,1,0
1560079725,1,0
1560083785,0,2
1560091940,0,1
1560097717,0,1
1560101571,0,1
1560105622,1,0
1560107563,0,1
1560109462,1,2
1560113541,1,0
1560117380,1,0
1560119302,0,1
1560127219,1,0
1560131068,1,0
1560138741,1,0
1560140664,1,0
1560144515,1,1
1560146488,1,1
1560150191,1,0
1560154113,0,2
1560156014,0,1
1560157944,1,0
1560161801,0,1
1560163702,0,1
1560165623,2,1
1560177160,1,0
1560182909,1,0
1560186744,1,0
1560192757,1,1
1560196618,1,1
1560198500,0,1
1560202348,3,0
1560215804,0,1
1560227302,1,0
1560231153,0,1
1560233077,0,1
1560238819,0,5
1560244584,0,1
1560248434,1,0
1560252276,0,2
1560256110,1,0
1560259976,1,0
1560263967,0,1
1560267867,0,1
1560271952,1,0
1560273865,0,1
1560277712,2,0
1560279760,0,1
1560281787,2,1
1560287566,1,0
1560289467,0,2
1560294150,1,0
1560313253,0,1
1560326759,0,1
1560330534,1,0
1560332451,2,0
1560334400,0,1
1560336296,1,0
1560340136,1,0
1560342051,1,0
1560343956,0,1
1560345947,1,1
1560353816,1,0
1560355733,1,0
1560357634,0,1
1560363662,1,2
1560365569,2,0
1560367487,0,2
1560369393,1,0
1560375159,1,1
1560380673,1,0
1560382574,1,0
1560386427,1,0
1560399859,1,0
1560403698,1,0
1560411634,1,1
1560413542,1,0
1560417377,1,2
1560419575,0,1
1560423428,1,1
1560429160,0,1
1560432973,0,1
1560434904,1,0
1560440668,1,1
1560442581,0,1
1560448587,0,1
1560450495,0,2
1560452531,1,0
1560456288,0,1
1560468025,2,0
1560474146,0,1
1560495163,1,0
1560498995,0,6
1560502984,1,0
1560505228,0,1
1560510992,0,1
1560512916,1,0
1560516781,0,1
1560520583,0,1
1560522514,1,0
1560526360,1,1
1560530202,1,0
1560532112,1,0
1560536462,1,0
1560538363,1,1
1560546168,1,0
1560552042,1,0
1560553988,0,1
1560555901,0,1
1560559732,1,0
1560577008,1,1
1560582789,1,1
1560584686,1,0
1560588537,0,1
1560598116,1,0
1560600146,0,1
1560605791,1,0
1560609635,0,1
1560613468,0,1
1560617340,0,1
1560619237,0,1
1560623075,1,1
1560624994,0,1
1560628938,1,0
1560646105,0,1
1560659805,1,0
1560663652,0,1
1560671350,1,1
1560678993,1,0
1560680921,1,1
1560684761,0,1
1560686940,1,0
1560692672,0,1
1560698454,1,0
1560708143,0,1
1560709975,1,0
1560711875,2,2
1560713775,3,1
1560715704,1,0
1560719557,1,0
1560749073,1,0
1560756805,1,2
1560764452,1,0
1560766366,0,2
1560772122,0,1
1560783747,1,0
1560785580,2,1
1560787535,1,0
1560793248,2,0
1560795195,1,0
1560797094,0,1
1560799038,0,2
1560800940,0,2
1560806681,0,1
1560820122,1,0
1560829726,1,0
1560843413,0,3
1560851076,0,1
1560861873,2,0
1560867630,1,0
1560869563,0,1
1560871525,0,1
1560873405,1,1
1560875332,1,1
1560879183,0,3
1560881105,1,0
1560883005,2,1
1560884959,2,0
1560886874,1,0
1560888796,2,0
1560903182,1,0
1560907011,2,0
1560924506,1,0
1560930266,0,2
1560938570,1,0
1560948291,0,2
1560954059,1,1
1560955978,1,0
1560957878,2,0
1560959794,0,1
1560961731,1,1
1560963773,1,0
1560965601,4,0
1560967509,0,1
1560969386,0,2
1560971328,1,1
1560975158,1,1
1560977077,1,0
1560983582,1,0
1560985537,2,0
1560993156,0,1
1561010546,0,1
1561016212,0,4
1561025810,0,1
1561031591,1,0
1561041644,0,2
1561043554,0,2
1561045492,0,1
1561047430,0,1
1561049314,0,1
1561051226,0,4
1561058941,0,1
1561062763,1,2
1561068519,0,1
1561072351,1,2
1561083883,1,0
1561085777,1,0
1561107141,1,0
1561112899,1,0
1561118690,0,1
1561134283,1,0
1561136194,1,0
1561138112,1,0
1561147933,1,0
1561149895,0,1
1561156372,1,0
1561158461,0,1
1561164280,2,0
1561170029,1,1
1561171975,0,1
1561175808,1,0
1561177717,1,0
1561193341,0,1
1561195270,1,0
1561199082,1,1
1561220470,0,1
1561222343,0,1
1561224264,0,1
1561228123,1,0
1561234126,1,1
1561238022,1,0
1561241808,0,1
1561249493,0,1
1561251404,0,1
1561256213,0,1
1561260044,1,0
1561261968,0,1
1561263886,1,1
1561282107,0,1
1561284174,1,0
1561286198,0,1
1561315255,0,1
1561319079,0,1
1561320983,1,0
1561322913,2,1
1561328914,1,0
1561346209,0,1
1561350024,0,1
1561355813,1,0
1561369751,1,1
1561373589,1,0
1561381488,3,0
1561395182,1,0
1561400929,1,0
1561406935,1,1
1561408829,1,2
1561412686,2,0
1561416812,1,0
1561418721,3,0
1561420622,1,0
1561426373,4,0
1561428293,1,0
1561436218,1,0
1561438102,1,0
1561441968,0,1
1561445804,2,0
1561447710,1,0
1561450614,1,0
1561452512,1,0
1561458258,1,0
1561460181,1,0
1561466191,2,2
1561468100,2,3
1561470021,1,0
1561471948,4,0
1561480140,1,0
1561483051,1,1
1561486888,1,0
1561488821,1,1
1561490688,0,1
1561492620,1,0
1561494524,1,0
1561496612,1,0
1561498579,0,1
1561500540,1,0
1561502671,1,0
1561504865,2,2
1561506749,0,2
1561508670,1,0
1561510580,1,0
1561512540,4,0
1561514583,0,1
1561516587,1,0
1561522353,1,0
1561524263,1,1
1561528127,2,0
1561530049,2,0
1561531944,2,1
1561533876,1,0
1561535795,0,11
1561537953,1,1
1561539969,1,0
1561543738,1,1
1561545648,1,1
1561547600,1,0
1561553326,0,2
1561555241,0,3
1561557183,0,1
