DateTime,AddedIPs,RemovedIPs
1560998929,30,42
1561000879,35,928
1561002758,31,54
1561004705,92,51
1561006629,48,59
1561008526,47,53
1561010546,59,73
1561012383,23,163
1561014353,33,68
1561016211,38,44
1561018134,23,50
1561020075,39,58
1561021963,38,51
1561023919,33,56
1561025809,36,44
1561027720,44,52
1561029644,27,44
1561031591,28,58
1561033496,26,50
1561035739,33,70
1561037549,23,51
1561039653,56,141
1561041643,65,190
1561043553,82,646
1561045492,107,1671
1561047430,100,202
1561049312,105,175
1561051225,138,263
1561053169,156,198
1561055074,155,213
1561056987,148,177
1561058940,139,175
1561060930,136,144
1561062762,117,153
1561064690,119,130
1561066587,134,120
1561068518,114,111
1561070418,124,107
1561072350,127,108
1561074274,119,93
1561076205,90,98
1561078108,93,98
1561080039,92,81
1561081954,75,70
1561083883,77,71
1561085777,82,74
1561087724,77,88
1561089756,55,66
1561091783,84,137
1561093713,69,85
1561095611,370,47
1561097553,141,65
1561099453,52,52
1561101397,51,54
1561103324,66,59
1561105250,67,42
1561107140,55,84
1561109053,50,49
1561110970,41,54
1561112898,56,50
1561114901,51,39
1561116743,43,39
1561118689,56,46
1561120573,57,47
1561122502,49,41
1561124431,39,38
1561126394,62,67
1561128258,47,70
1561130179,47,64
1561132107,71,79
1561134283,76,88
1561136193,57,76
1561138111,87,114
1561140165,98,142
1561142170,106,130
1561144102,93,118
1561146040,103,112
1561147933,109,121
1561149894,125,105
1561151781,109,122
1561153698,126,123
1561156372,184,154
1561158461,123,123
1561160451,105,133
1561162366,106,97
1561164280,96,102
1561166216,98,112
1561168142,115,91
1561170029,83,80
1561171974,97,75
1561173879,1042,76
1561175808,78,71
1561177717,75,68
1561179795,99,99
1561181793,64,317
1561183715,79,207
1561185623,71,69
1561187556,75,64
1561189502,73,57
1561191404,74,72
1561193340,58,75
1561195269,68,57
1561197143,64,67
1561199081,450,59
1561201008,694,69
1561202948,68,51
1561204966,103,60
1561206982,74,59
1561208949,218,49
1561210817,1499,52
1561212631,1361,56
1561214659,1500,45
1561216593,1338,43
1561218511,44,52
1561220469,54,54
1561222342,73,48
1561224263,77,65
1561226206,51,63
1561228122,48,62
1561230180,141,69
1561232214,120,75
1561234125,99,65
1561236046,79,80
1561238021,174,63
1561239881,156,71
1561241807,127,69
1561243714,128,89
1561245700,113,58
1561247545,78,63
1561249492,113,67
1561251403,79,70
1561253304,80,66
1561256212,115,101
1561258124,82,57
1561260043,77,886
1561261967,68,52
1561263886,74,60
1561265810,48,67
1561267722,65,66
1561270590,173,83
1561272534,86,58
1561274465,79,59
1561276380,85,47
1561278280,97,63
1561280212,73,42
1561282106,55,42
1561284173,67,178
1561286198,47,736
1561288101,46,262
1561290049,55,62
1561291960,69,83
1561293866,52,49
1561295826,71,552
1561297742,60,1584
1561299619,45,1320
1561301553,39,1574
1561303500,50,934
1561305409,39,43
1561307303,48,70
1561309376,39,61
1561311384,48,55
1561313321,56,49
1561315255,53,72
1561317176,174,85
1561319078,307,127
1561320983,80,118
1561322913,47,95
1561324840,74,113
1561326737,72,131
1561328913,69,130
1561330955,54,92
1561332766,60,85
1561334717,177,105
1561336600,1096,136
1561338518,1062,114
1561340446,1152,97
1561342356,1061,85
1561344258,1283,103
1561346209,1192,84
1561348097,1317,75
1561350023,1173,69
1561351967,1631,59
1561353859,1702,60
1561355812,1164,56
1561357720,969,90
1561359790,1106,76
1561361785,1044,86
1561363703,961,74
1561365646,963,83
1561367819,1083,74
1561369750,631,53
1561371649,63,53
1561373588,62,54
1561375504,456,76
1561377405,596,55
1561379308,62,61
1561381488,61,53
1561383379,50,60
1561385306,62,49
1561387356,48,53
1561389403,44,52
1561391305,50,34
1561393248,39,35
1561395181,43,40
1561397089,42,41
1561398989,117,47
1561400928,138,55
1561403027,132,45
1561405003,101,291
1561406934,335,42
1561408828,116,46
1561410785,183,38
1561412685,126,47
1561414729,133,44
1561416811,113,47
1561418720,88,35
1561420621,67,50
1561422506,100,900
1561424549,49,975
1561426373,57,1013
1561428293,59,926
1561430455,73,1218
1561432375,52,997
1561434265,55,1243
1561436217,53,1111
1561438101,41,1470
1561440023,56,1688
1561441968,41,1090
1561443864,45,885
1561445804,49,1009
1561447710,42,882
1561450614,57,1392
1561452511,42,877
1561454420,51,924
1561456367,34,492
1561458257,43,59
1561460180,34,82
1561462131,43,842
1561464179,44,806
1561466191,54,69
1561468099,36,84
1561470020,52,85
1561471947,45,49
1561473889,51,44
1561475808,44,34
1561477968,94,58
1561480139,60,45
1561483050,73,80
1561484930,47,66
1561486886,51,114
1561488820,55,127
1561490688,68,106
1561492620,97,149
1561494524,71,144
1561496611,103,150
1561498579,77,135
1561500539,107,180
1561502671,111,145
1561504864,613,155
1561506748,3125,111
1561508669,3063,108
1561510579,3128,87
1561512539,157,96
1561514581,82,93
1561516587,84,103
1561518535,83,74
1561520433,97,81
1561522352,105,83
1561524263,100,56
1561526189,99,72
1561528126,85,75
1561530049,72,66
1561531943,71,69
1561533875,54,70
1561535794,69,62
