DateTime,Entries,UniqueIPs
1560998929,9319,9319
1561000879,8426,8426
1561002758,8403,8403
1561004705,8444,8444
1561006629,8433,8433
1561008526,8427,8427
1561010546,8413,8413
1561012383,8273,8273
1561014353,8238,8238
1561016211,8232,8232
1561018134,8205,8205
1561020075,8186,8186
1561021963,8173,8173
1561023919,8150,8150
1561025809,8142,8142
1561027720,8134,8134
1561029644,8117,8117
1561031591,8087,8087
1561033496,8063,8063
1561035739,8026,8026
1561037549,7998,7998
1561039653,7913,7913
1561041643,7788,7788
1561043553,7224,7224
1561045492,5660,5660
1561047430,5558,5558
1561049312,5488,5488
1561051225,5363,5363
1561053169,5321,5321
1561055074,5263,5263
1561056987,5234,5234
1561058940,5198,5198
1561060930,5190,5190
1561062762,5154,5154
1561064690,5143,5143
1561066587,5157,5157
1561068518,5160,5160
1561070418,5177,5177
1561072350,5196,5196
1561074274,5222,5222
1561076205,5214,5214
1561078108,5209,5209
1561080039,5220,5220
1561081954,5225,5225
1561083883,5231,5231
1561085777,5239,5239
1561087724,5228,5228
1561089756,5217,5217
1561091783,5164,5164
1561093713,5148,5148
1561095611,5471,5471
1561097553,5547,5547
1561099453,5547,5547
1561101397,5544,5544
1561103324,5551,5551
1561105250,5576,5576
1561107140,5547,5547
1561109053,5548,5548
1561110970,5535,5535
1561112898,5541,5541
1561114901,5553,5553
1561116743,5557,5557
1561118689,5567,5567
1561120573,5577,5577
1561122502,5585,5585
1561124431,5586,5586
1561126394,5581,5581
1561128258,5558,5558
1561130179,5541,5541
1561132107,5533,5533
1561134283,5521,5521
1561136193,5502,5502
1561138111,5475,5475
1561140165,5431,5431
1561142170,5407,5407
1561144102,5382,5382
1561146040,5373,5373
1561147933,5361,5361
1561149894,5381,5381
1561151781,5368,5368
1561153698,5371,5371
1561156372,5401,5401
1561158461,5401,5401
1561160451,5373,5373
1561162366,5382,5382
1561164280,5376,5376
1561166216,5362,5362
1561168142,5386,5386
1561170029,5389,5389
1561171974,5411,5411
1561173879,6377,6377
1561175808,6384,6384
1561177717,6391,6391
1561179795,6391,6391
1561181793,6138,6138
1561183715,6010,6010
1561185623,6012,6012
1561187556,6023,6023
1561189502,6039,6039
1561191404,6041,6041
1561193340,6024,6024
1561195269,6035,6035
1561197143,6032,6032
1561199081,6423,6423
1561201008,7048,7048
1561202948,7065,7065
1561204966,7108,7108
1561206982,7123,7123
1561208949,7292,7292
1561210817,8739,8739
1561212631,10044,10044
1561214659,11499,11499
1561216593,12794,12794
1561218511,12786,12786
1561220469,12786,12786
1561222342,12811,12811
1561224263,12823,12823
1561226206,12811,12811
1561228122,12797,12797
1561230180,12869,12869
1561232214,12914,12914
1561234125,12948,12948
1561236046,12947,12947
1561238021,13058,13058
1561239881,13143,13143
1561241807,13201,13201
1561243714,13240,13240
1561245700,13295,13295
1561247545,13310,13310
1561249492,13356,13356
1561251403,13365,13365
1561253304,13379,13379
1561256212,13393,13393
1561258124,13418,13418
1561260043,12609,12609
1561261967,12625,12625
1561263886,12639,12639
1561265810,12620,12620
1561267722,12619,12619
1561270590,12709,12709
1561272534,12737,12737
1561274465,12757,12757
1561276380,12795,12795
1561278280,12829,12829
1561280212,12860,12860
1561282106,12873,12873
1561284173,12762,12762
1561286198,12073,12073
1561288101,11857,11857
1561290049,11850,11850
1561291960,11836,11836
1561293866,11839,11839
1561295826,11358,11358
1561297742,9834,9834
1561299619,8559,8559
1561301553,7024,7024
1561303500,6140,6140
1561305409,6136,6136
1561307303,6114,6114
1561309376,6092,6092
1561311384,6085,6085
1561313321,6092,6092
1561315255,6073,6073
1561317176,6162,6162
1561319078,6342,6342
1561320983,6304,6304
1561322913,6256,6256
1561324840,6217,6217
1561326737,6158,6158
1561328913,6097,6097
1561330955,6059,6059
1561332766,6034,6034
1561334717,6106,6106
1561336600,7066,7066
1561338518,8014,8014
1561340446,9069,9069
1561342356,10045,10045
1561344258,11225,11225
1561346209,12333,12333
1561348097,13575,13575
1561350023,14679,14679
1561351967,16251,16251
1561353859,17893,17893
1561355812,19001,19001
1561357720,19880,19880
1561359790,20910,20910
1561361785,21868,21868
1561363703,22755,22755
1561365646,23635,23635
1561367819,24644,24644
1561369750,25222,25222
1561371649,25232,25232
1561373588,25240,25240
1561375504,25620,25620
1561377405,26161,26161
1561379308,26162,26162
1561381488,26170,26170
1561383379,26160,26160
1561385306,26173,26173
1561387356,26168,26168
1561389403,26160,26160
1561391305,26176,26176
1561393248,26180,26180
1561395181,26183,26183
1561397089,26184,26184
1561398989,26254,26254
1561400928,26337,26337
1561403027,26424,26424
1561405003,26234,26234
1561406934,26527,26527
1561408828,26597,26597
1561410785,26742,26742
1561412685,26821,26821
