DateTime,Entries,UniqueIPs
1560998931,4802,4802
1561000880,4798,4798
1561002759,4798,4798
1561004707,4788,4788
1561006630,4796,4796
1561008527,4809,4809
1561010548,4809,4809
1561012385,4617,4617
1561014354,4599,4599
1561016213,4592,4592
1561018135,4590,4590
1561020076,4581,4581
1561021965,4566,4566
1561023920,4553,4553
1561025811,4557,4557
1561027722,4555,4555
1561029646,4548,4548
1561031592,4542,4542
1561033497,4535,4535
1561035745,4520,4520
1561037551,4505,4505
1561039654,4443,4443
1561041645,4386,4386
1561043554,3826,3826
1561045493,2262,2262
1561047431,2204,2204
1561049316,2172,2172
1561051227,2106,2106
1561053171,2059,2059
1561055075,2009,2009
1561056988,1971,1971
1561058942,1942,1942
1561060934,1924,1924
1561062764,1904,1904
1561064691,1902,1902
1561066589,1896,1896
1561068520,1888,1888
1561070419,1906,1906
1561072351,1906,1906
1561074275,1917,1917
1561076207,1919,1919
1561078109,1925,1925
1561080040,1926,1926
1561081956,1922,1922
1561083884,1920,1920
1561085778,1918,1918
1561087725,1922,1922
1561089772,1911,1911
1561091785,1906,1906
1561093715,1895,1895
1561095612,1902,1902
1561097555,1902,1902
1561099455,1901,1901
1561101399,1906,1906
1561103325,1906,1906
1561105252,1918,1918
1561107142,1929,1929
1561109063,1930,1930
1561110971,1922,1922
1561112899,1921,1921
1561114913,1927,1927
1561116744,1944,1944
1561118692,1948,1948
1561120575,1957,1957
1561122504,1956,1956
1561125502,1966,1966
1561127537,1955,1955
1561129474,1937,1937
1561131383,1924,1924
1561134284,1931,1931
1561136195,1925,1925
1561138113,1923,1923
1561140179,1916,1916
1561142171,1917,1917
1561144104,1908,1908
1561146041,1921,1921
1561147934,1896,1896
1561149896,1888,1888
1561151782,1862,1862
1561153699,1886,1886
1561156373,1882,1882
1561158462,1873,1873
1561160452,1880,1880
1561162367,1883,1883
1561164281,1880,1880
1561166217,1880,1880
1561168144,1886,1886
1561170030,1895,1895
1561171976,1907,1907
1561173880,1901,1901
1561175810,1902,1902
1561177718,1897,1897
1561179796,1905,1905
1561181794,1912,1912
1561183717,1912,1912
1561185625,1924,1924
1561187558,1937,1937
1561189503,1943,1943
1561191405,1953,1953
1561193342,1941,1941
1561195271,1936,1936
1561197144,1939,1939
1561199083,2371,2371
1561201009,3062,3062
1561202950,3076,3076
1561204968,3113,3113
1561206983,3113,3113
1561208950,3302,3302
1561210819,4907,4907
1561212632,6330,6330
1561214661,7897,7897
1561216595,9247,9247
1561218520,9246,9246
1561220471,9248,9248
1561222344,9242,9242
1561224265,9237,9237
1561226208,9230,9230
1561228124,9203,9203
1561230184,9240,9240
1561232215,9239,9239
1561234127,9268,9268
1561236048,9278,9278
1561238023,9308,9308
1561239882,9322,9322
1561241809,9326,9326
1561243717,9323,9323
1561245702,9335,9335
1561247547,9344,9344
1561249494,9359,9359
1561251405,9378,9378
1561253306,9378,9378
1561256214,9382,9382
1561258126,9401,9401
1561260045,9415,9415
1561261969,9407,9407
1561263887,9421,9421
1561265812,9432,9432
1561267723,9427,9427
1561269679,9446,9446
1561271559,9464,9464
1561273753,9467,9467
1561275668,9484,9484
1561277556,9510,9510
1561279456,9520,9520
1561281375,9533,9533
1561283303,9533,9533
1561285212,9184,9184
1561287158,8461,8461
1561289064,8479,8479
1561290970,8491,8491
1561292913,8478,8478
1561294926,8480,8480
