DateTime,AddedIPs,RemovedIPs
1561605139,5,9
1561605856,9,9
1561606579,1,6
1561607298,5,2
1561608041,5,7
1561608740,9,3
1561609474,7,4
1561610195,4,7
1561610927,3,5
1561611640,0,2
1561612331,3,0
1561613052,4,3
1561613776,3,3
1561614519,0,2
1561615214,3,3
1561616652,4,4
1561617378,2,3
1561618119,1,2
1561618846,1,2
1561620268,6,8
1561620971,6,0
1561621695,3,2
1561622420,6,0
1561623137,3,5
1561623850,6,0
1561624579,4,3
1561625296,3,0
1561626021,5,2
1561626757,1,5
1561627477,6,0
1561628204,2,0
1561628901,3,4
1561629636,1,4
1561630333,2,0
1561631052,5,5
1561631769,2,4
1561632518,4,5
1561633250,6,2
1561633984,4,3
1561634655,4,0
1561635371,4,6
1561636098,4,0
1561636828,2,2
1561637534,6,1
1561638294,1,5
1561638970,4,2
1561639714,2,5
1561640438,2,1
1561641157,1,4
1561641875,3,3
1561642601,3,4
1561643314,3,5
1561644043,7,6
1561645479,7,2
1561646199,2,1
1561646916,8,0
1561647641,4,6
1561648337,1,1
1561649059,7,0
1561649770,1,4
1561650513,3,3
1561651230,0,3
1561652654,10,16
1561653370,4,5
1561654109,1,2
1561654813,3,4
1561655543,5,4
1561656252,2,9
1561656983,3,5
1561657700,2,0
1561658416,4,2
1561659143,5,7
1561659875,6,1
1561660603,5,1
1561661323,0,5
1561662041,1,2
1561662759,0,4
1561663462,6,5
1561664169,3,0
1561664896,2,6
1561665629,2,0
1561666334,1,2
1561667061,2,9
1561667772,4,3
1561668498,2,4
1561669223,3,0
1561669954,3,4
1561670655,7,4
1561671372,3,4
1561672100,1,3
1561672851,5,0
1561673533,2,4
1561674254,5,4
1561674971,3,0
1561675701,2,8
1561676411,3,0
1561677143,3,3
1561677866,8,7
1561678581,1,0
1561679297,5,5
1561680015,8,0
1561680764,3,13
1561681477,7,6
1561682194,6,4
1561682913,10,9
1561683646,3,0
1561684331,1,0
1561685056,7,9
1561685772,7,0
1561686495,10,24
1561687249,10,4
1561687939,8,11
1561688652,8,0
1561689370,3,6
1561690101,6,0
1561690834,5,7
1561691533,12,9
1561692257,6,17
1561692975,2,0
1561693694,6,8
1561694429,3,3
1561695129,7,0
1561695878,3,10
1561696568,4,0
1561697295,2,4
1561698043,1,5
1561698733,2,3
1561699452,1,4
1561700181,5,2
1561700896,3,5
1561702339,3,5
1561703064,4,4
1561703771,3,2
1561704490,5,0
1561705229,2,7
1561706655,4,4
1561707369,4,0
1561708101,1,7
