DateTime,Entries,UniqueIPs
1561608041,8126,8126
1561608740,8144,8144
1561609474,8133,8133
1561610195,8144,8144
1561610927,8124,8124
1561611640,8159,8159
1561612331,8140,8140
1561613052,8129,8129
1561613776,8120,8120
1561614519,8152,8152
1561615214,8146,8146
1561615935,8046,8046
1561616652,8144,8144
1561617378,8122,8122
1561618119,8132,8132
1561618846,8096,8096
1561620268,8132,8132
1561620971,8143,8143
1561621695,8152,8152
1561622420,8164,8164
1561623137,8149,8149
1561623850,8119,8119
1561624579,8153,8153
1561625296,8162,8162
1561626021,8126,8126
1561626757,8132,8132
1561627477,8145,8145
1561628204,8121,8121
1561628901,8128,8128
1561629636,8142,8142
1561630333,8115,8115
1561631052,8127,8127
1561631769,8144,8144
1561632518,8128,8128
1561633250,8121,8121
1561633984,8132,8132
1561634655,8116,8116
1561635371,8106,8106
1561636098,8139,8139
1561636828,8152,8152
1561637534,8106,8106
1561638294,8128,8128
1561638970,8122,8122
1561639714,8129,8129
1561640438,8141,8141
1561641157,8119,8119
1561641875,8115,8115
1561642601,8128,8128
1561643314,8148,8148
1561644043,8161,8161
1561644760,8160,8160
1561645479,8105,8105
1561646199,8071,8071
1561646916,8114,8114
1561647641,8064,8064
1561648337,8089,8089
1561649059,8083,8083
1561649770,8060,8060
1561650513,8094,8094
1561651230,8086,8086
1561652654,8068,8068
1561653370,8097,8097
1561654109,8071,8071
1561654813,8042,8042
1561655543,8074,8074
1561656252,8096,8096
1561656983,8101,8101
1561657700,8106,8106
1561658416,8107,8107
1561659143,8109,8109
1561659875,8120,8120
1561660603,8111,8111
1561661323,8116,8116
1561662041,8131,8131
1561662759,8110,8110
1561663462,8117,8117
1561664169,8113,8113
1561664896,8103,8103
1561665629,8071,8071
1561666334,8073,8073
1561667061,8075,8075
1561667772,8064,8064
1561668498,8084,8084
1561669223,8057,8057
1561669954,8041,8041
1561670655,8056,8056
1561671372,8026,8026
1561672100,8059,8059
1561672851,8040,8040
1561673533,8061,8061
1561674254,8031,8031
1561674971,8057,8057
1561675701,8057,8057
1561676411,8038,8038
1561677143,8038,8038
1561677866,8038,8038
1561678581,8055,8055
1561679297,8052,8052
1561680015,8048,8048
1561680764,7973,7973
1561681477,8014,8014
1561682194,8030,8030
1561682913,8052,8052
1561683646,8049,8049
1561684331,8026,8026
1561685056,8027,8027
1561685772,7998,7998
1561686495,7986,7986
1561687249,7991,7991
1561687939,7998,7998
1561688652,8019,8019
1561689370,7988,7988
1561690101,8000,8000
1561690834,7992,7992
1561691533,8008,8008
1561692257,8014,8014
1561692975,7992,7992
1561693694,8008,8008
1561694429,8014,8014
1561695129,7997,7997
1561695878,7996,7996
1561696568,8005,8005
1561697295,8044,8044
1561698043,7999,7999
1561698733,8013,8013
1561699452,8000,8000
1561700181,8002,8002
1561700896,8037,8037
1561701629,8018,8018
1561702339,8024,8024
1561703064,8005,8005
1561703771,7984,7984
1561704490,7998,7998
1561705229,8007,8007
1561705931,8028,8028
1561706655,8046,8046
1561707369,8031,8031
1561708101,8055,8055
1561708831,8049,8049
1561709540,8020,8020
1561710276,8044,8044
1561710976,8050,8050
1561711694,8051,8051
1561712429,8043,8043
1561713132,8015,8015
1561713869,8025,8025
1561714570,8046,8046
1561715293,8049,8049
1561716015,8050,8050
1561716742,8036,8036
1561717456,8015,8015
1561718173,8046,8046
1561718913,8032,8032
1561719637,8032,8032
1561720336,8063,8063
1561721057,8057,8057
1561721770,8035,8035
1561722497,8046,8046
1561723214,8019,8019
1561723957,8017,8017
1561724673,8028,8028
1561725395,8017,8017
1561726119,8038,8038
1561726852,8041,8041
1561727528,8057,8057
1561728276,8063,8063
1561728999,8058,8058
1561729716,8050,8050
1561730442,8072,8072
1561731159,8066,8066
1561731896,8076,8076
1561732593,8056,8056
1561733315,8075,8075
1561734040,8060,8060
1561734734,8000,8000
1561735451,8070,8070
1561736185,8030,8030
1561736898,8046,8046
1561737877,8031,8031
1561738584,8048,8048
1561739298,8051,8051
1561740011,8044,8044
1561740740,8049,8049
1561741455,8036,8036
1561742175,8057,8057
1561742898,8063,8063
1561743617,8041,8041
1561744334,8048,8048
1561745069,8055,8055
1561745780,7972,7972
1561746500,8025,8025
1561747211,8040,8040
1561747934,8053,8053
1561748923,8005,8005
1561749631,8028,8028
1561750379,8072,8072
1561751052,8075,8075
1561751770,8052,8052
1561752740,8053,8053
1561753450,8062,8062
1561754179,8032,8032
1561754895,8043,8043
1561755626,8028,8028
1561756352,8045,8045
1561757068,8032,8032
1561757770,8028,8028
