DateTime,AddedIPs,RemovedIPs
1561297833,1369,0
1561299044,2,9
1561300271,4,13
1561300970,2,2
1561302404,2,7
1561304142,6,7
1561305732,4,8
1561307094,3,2
1561308339,4,6
1561309485,4,4
1561310079,4,2
1561311754,6,3
1561312603,1,2
1561313729,5,7
1561315173,8,5
1561316947,5,5
1561318217,8,4
1561318953,4,4
1561320872,6,7
1561322751,5,11
1561324017,8,3
1561325736,7,7
1561326941,3,4
1561328145,1,10
1561329586,0,8
1561331098,6,8
1561332343,8,3
1561333540,2,5
1561335049,8,6
1561336954,2,5
1561337800,1,0
1561338933,0,1331
1561339729,1323,0
1561341393,0,1323
1561342553,1320,0
1561344358,5,8
1561345852,2,3
1561347348,6,8
1561349672,7,6
1561351363,3,18
1561353273,4,6
1561354120,0,2
1561354927,1,17
1561356876,5,8
1561358476,3,20
1561359397,3,3
1561361331,5,12
1561362172,5,13
1561364090,10,6
1561364912,5,1
1561366242,8,20
1561367675,12,5
1561368520,3,2
1561370133,9,10
1561371282,4,5
1561372126,7,0
1561373677,9,15
1561374889,8,5
1561375732,6,0
1561378476,21,19
1561380069,11,11
1561382084,10,18
1561382912,5,0
1561384240,10,8
1561385673,18,5
1561386914,15,4
1561388135,0,1282
1561389346,1293,0
1561390550,12,6
1561391801,13,1
1561392953,7,7
1561394586,10,6
1561395402,11,1
1561396474,4,7
1561397736,10,8
1561399001,5,5
1561400156,4,7
1561401754,13,13
1561403440,12,4
1561404514,9,1
1561406520,10,16
1561408130,12,1
1561408953,9,19
1561410872,5,14
1561412567,12,32
1561413400,6,0
1561414554,10,6
1561416069,9,23
1561418087,11,19
1561418886,0,1291
1561420100,1272,0
1561421454,16,20
1561422680,6,13
1561424154,9,11
1561425346,6,19
1561427655,9,37
1561428951,6,19
1561430101,5,20
1561431393,4,11
1561432547,9,22
1561434090,12,32
1561435197,7,22
1561436448,13,2
1561437762,10,39
1561439021,7,24
1561440513,13,1
1561442207,12,16
1561443354,8,7
1561444536,10,4
1561445747,9,6
1561446871,10,7
1561447725,6,0
1561448553,10,5
1561449950,8,11
1561451336,10,2
1561452934,8,12
1561454072,3,10
1561454924,9,2
1561455753,7,5
1561457400,10,5
1561458847,4,12
1561460203,4,2
1561461284,4,4
1561462677,15,13
1561464879,20,8
1561465714,3,1
1561467007,8,8
1561468258,3,4
1561470155,11,7
1561472083,8,10
1561473633,5,5
1561476054,8,6
1561476518,0,2
1561477371,4,8
1561478989,8,10
1561480544,1,7
1561481799,4,2
1561482949,4,5
1561484466,4,11
1561485392,5,1
1561486539,0,1137
1561487313,1142,0
1561488157,3,10
1561489674,9,5
1561491088,5,5
1561492263,6,2
1561493446,5,8
1561495353,3,16
1561496689,5,8
1561498229,4,7
1561498960,1,1
1561500878,11,10
1561502530,0,1122
1561503403,1120,0
1561504479,0,4
1561506137,7,8
1561507849,10,7
1561509063,7,7
1561510629,2,5
1561511755,0,1115
1561512937,1102,0
1561513359,2,4
1561515279,7,5
1561517157,5,11
1561518360,5,6
1561519565,6,1
1561520568,5,9
1561522472,6,8
1561524055,0,1094
1561525041,1090,0
1561526081,9,9
1561527749,0,9
1561528920,1,5
1561530052,2,4
1561531554,8,14
1561533281,0,1069
1561534126,1073,0
1561534957,4,12
1561536364,4,7
1561537727,1,2
1561539604,2,26
1561540850,5,3
1561541319,2,0
1561542588,4,16
1561543847,3,10
1561545072,5,15
1561546597,5,6
1561547684,10,16
1561549008,1,11
1561550248,8,7
1561552114,3,13
1561552960,0,17
1561554893,6,12
1561556598,11,21
1561559324,7,12
1561560176,6,16
1561561595,2,14
1561563359,8,15
1561563760,4,2
1561564604,3,5
1561565743,4,16
1561566493,0,907
1561567426,901,0
1561568192,7,1
1561569282,3,7
1561570952,6,15
1561571793,5,1
1561572960,6,12
1561574572,7,22
1561576242,6,17
1561577964,5,8
1561579661,3,11
1561580766,2,2
1561581950,7,15
1561583713,0,847
1561584963,844,0
1561588880,26,24
1561590879,15,26
1561592554,14,20
1561594249,20,13
1561595463,15,12
1561596947,15,8
1561598922,20,7
1561599768,5,11
1561601687,13,9
1561603287,16,25
1561605280,15,12
1561606967,12,18
1561608655,11,12
1561610553,11,19
1561612243,15,11
1561613754,9,14
1561614880,6,7
1561616073,7,20
1561617342,11,12
1561618533,12,9
1561619672,11,7
1561620953,4,13
1561622148,8,1
1561622196,1,0
1561624120,15,9
1561625809,8,8
1561626956,8,7
1561628268,9,8
1561629417,8,2
1561630455,0,840
1561631692,848,0
1561632947,30,7
1561634096,9,14
1561635269,16,9
1561636606,0,873
1561637748,890,0
1561639290,5,18
1561641054,8,3
1561642132,7,1
