DateTime,AddedIPs,RemovedIPs
1560775379,1,1
1560777373,0,1
1560778629,0,1
1560779880,0,2
1560780887,0,1
1560783148,2,0
1560786171,1,0
1560787711,1,2
1560789155,1,0
1560798953,1,0
1560801401,2,0
1560802487,1,0
1560803331,1,0
1560804709,1,1
1560806937,1,0
1560807775,0,1
1560809456,3,0
1560811364,1,0
1560814955,1,0
1560818581,1,0
1560819858,0,1
1560821428,1,2
1560823021,1,1
1560824099,1,0
1560825962,0,1
1560827771,1,5
1560829370,2,3
1560831285,0,8
1560832970,1,1
1560835731,1,2
1560836580,0,3
1560840163,0,3
1560841825,0,1
1560843764,0,2
1560845280,0,11
1560847384,0,11
1560849311,1,5
1560852685,0,7
1560852892,0,1
1560854584,0,5
1560855403,0,1
1560856569,0,2
1560859836,0,2
1560861780,0,2
1560863691,0,1
1560865374,1,1
1560866642,1,2
1560868416,0,2
1560869808,1,0
1560872486,1,11
1560874482,3,2
1560875335,1,1
1560878159,0,1
1560881700,1,0
1560883381,1,1
1560885034,0,2
1560886209,0,1
1560887758,0,2
1560890148,1,1
1560892262,1,1
1560893338,1,0
1560894650,0,1
1560895861,1,0
1560897792,1,0
1560899692,1,0
1560901366,0,2
1560905173,0,1
1560908581,1,0
1560911333,1,0
1560913042,0,1
1560914134,1,2
1560915553,1,3
1560917737,0,1
1560919531,1,0
1560923548,1,0
1560924906,1,0
1560926491,2,0
1560928488,1,0
1560929775,2,0
1560935790,1,2
1560938227,2,0
1560939378,5,0
1560940899,1,1
1560942238,1,0
1560943909,3,1
1560945405,1,0
1560946549,1,0
1560953450,1,1
1560954876,1,0
1560957285,3,0
1560958568,0,7
1560962456,1,0
1560966180,1,0
1560968100,2,0
1560969777,2,1
1560972864,0,1
1560975282,1,0
1560976965,2,1
1560980459,0,3
1560983449,2,1
1560985863,2,0
1560987754,0,1
1560989705,1,0
1560991375,0,1
1560993364,0,1
1560994963,0,2
1560998580,0,2
1561005772,0,1
1561010206,1,0
1561012965,1,0
1561023780,1,0
1561032962,1,0
1561034460,1,0
1561038183,0,1
1561040083,1,1
1561041769,0,1
1561045371,0,5
1561047057,6,0
1561049803,2,0
1561053234,1,1
1561054563,1,1
1561059778,0,1
1561060604,1,0
1561061763,0,1
1561063379,0,1
1561066210,0,2
1561070565,0,1
1561071405,1,0
1561072494,1,0
1561074172,0,1
1561075895,0,1
1561077114,1,0
1561078948,0,2
1561083054,1,0
1561083286,1,0
1561084885,1,2
1561092177,2,0
1561094924,0,1
1561097764,1,0
1561106755,0,1
1561113669,1,0
1561115452,1,0
1561117658,0,1
1561118877,1,0
1561120122,1,0
1561121820,1,0
1561124461,0,2
1561131775,0,16
1561133364,3,0
1561134887,1,0
1561137367,0,2
1561138584,1,3
1561140655,1,0
1561143570,1,0
1561146175,0,2
1561148124,0,1
1561151259,0,2
1561155335,2,0
1561156982,1,2
1561160439,0,1
1561161421,1,0
1561162558,2,1
1561164088,1,0
1561173059,1,0
1561174578,1,0
1561176884,1,0
1561180855,1,1
1561183862,1,0
1561203779,1,2
1561209283,1,0
1561212965,1,0
1561217498,2,10
1561219857,0,1
1561221775,2,0
1561223487,0,1
1561225793,0,1
1561227072,1,0
1561228262,4,0
1561230899,1,0
1561232555,0,1
1561241095,0,1
1561243571,1,1
1561244598,0,1
1561247159,1,0
1561252504,0,1
1561254841,1,2
1561256925,1,0
1561262032,0,4
1561263374,0,1
1561264142,1,0
1561264965,1,0
1561266885,2,1
1561268152,1,2
1561270250,1,2
1561271512,1,0
1561274160,1,0
1561279365,1,0
1561281340,1,0
1561284559,0,1
1561288016,0,1
1561289517,0,1
1561300982,1,0
1561302417,0,1
1561304160,0,5
1561305787,0,2
1561307126,1,0
1561308353,0,1
1561310091,1,1
1561313744,3,1
1561315185,1,0
1561318240,1,0
1561318964,1,0
1561320891,5,1
1561322764,2,0
1561324043,2,2
1561325757,5,1
1561326953,2,0
1561328160,2,0
1561329599,3,1
1561331136,2,1
1561332367,2,1
1561333552,0,2
1561335063,1,0
1561336966,1,0
1561339741,1,0
1561341402,1,0
1561342579,1,1
1561344376,1,2
1561347367,0,2
1561349684,2,1
1561351377,1,2
1561353284,0,1
1561354132,1,0
1561354940,1,0
1561356887,1,0
1561358490,2,0
1561359409,3,1
1561361404,6,2
1561362184,1,0
1561364102,2,1
1561364924,2,0
1561366255,1,1
1561367686,0,1
1561370145,1,0
1561371293,0,1
1561372138,0,1
1561373688,1,2
1561380083,0,1
1561382098,1,0
1561384252,1,1
1561385682,0,1
1561386927,0,2
1561388146,0,1
1561390565,0,1
1561392973,1,0
1561394603,1,0
1561397749,0,5
1561399014,2,0
1561401765,0,1
1561404525,0,2
1561406556,0,1
1561408964,0,2
1561412138,1,2
1561412578,0,1
1561416086,0,1
1561425359,0,1
1561427673,0,3
1561430131,1,0
1561432579,0,1
1561434103,0,1
1561435832,1,1
1561442219,0,1
1561443374,0,1
1561444548,1,0
1561451410,1,0
1561454942,1,0
1561462689,3,0
1561467030,0,2
1561468490,2,0
1561472096,1,0
1561477383,0,2
1561484478,0,3
1561489697,1,1
1561491116,0,2
1561493462,0,3
1561495364,0,1
1561498257,0,4
1561498972,1,0
1561500890,2,0
1561502561,0,1
1561504493,0,1
1561506150,0,1
1561507861,2,0
1561513378,1,1
1561515291,1,0
1561517170,0,1
1561520579,0,2
1561524078,0,1
1561525053,1,0
1561526094,0,1
1561527761,1,1
1561528950,0,2
1561531566,0,3
1561533302,0,2
1561534968,0,3
1561537739,2,0
1561546608,1,0
1561547697,2,0
1561552969,0,2
1561554912,0,1
1561563372,1,3
1561563773,0,1
1561564616,1,0
1561565759,1,0
1561568203,1,0
1561569294,0,2
1561570964,0,1
1561571805,0,1
1561574584,0,1
1561576254,1,0
1561580778,0,1
1561581966,0,2
1561584984,1,0
1561588892,0,1
1561592567,3,0
1561595477,1,0
1561598934,0,1
1561599779,0,1
1561603311,10,1
1561605292,1,0
1561608679,1,0
1561625876,3,2
1561628281,1,0
1561632973,0,3
1561637760,1,1
1561639303,1,0
1561641081,0,1
1561644895,2,0
1561646880,1,0
1561650163,0,2
1561654789,0,1
1561660789,0,1
1561664567,3,0
1561666572,1,0
1561668357,1,1
1561670083,1,2
1561671282,0,1
