DateTime,Entries,UniqueIPs
1561271533,1366,1366
1561272952,1366,1366
1561274176,1362,1362
1561275393,1358,1358
1561276639,1356,1356
1561277777,1355,1355
1561279372,1351,1351
1561280212,1351,1351
1561281354,1346,1346
1561282131,1348,1348
1561284573,1339,1339
1561286678,1334,1334
1561288034,1332,1332
1561289553,1327,1327
1561292100,1334,1334
1561293771,1322,1322
1561295255,1313,1313
1561296521,1313,1313
1561297851,1308,1308
1561299072,1302,1302
1561300989,1295,1295
1561302439,1290,1290
1561304183,1289,1289
1561305808,1286,1286
1561307139,1287,1287
1561308366,1287,1287
1561310098,1288,1288
1561311775,1292,1292
1561312627,1291,1291
1561313752,1288,1288
1561315192,1292,1292
1561316978,1291,1291
1561318253,1295,1295
1561318971,1293,1293
1561320898,1294,1294
1561322777,1288,1288
1561324054,1293,1293
1561325781,1295,1295
1561326960,1294,1294
1561328175,1285,1285
1561329621,1277,1277
1561331184,1276,1276
1561332381,1280,1280
1561333560,1276,1276
1561335081,1279,1279
1561336973,1275,1275
1561337820,1275,1275
1561338957,1270,1270
1561339809,1265,1265
1561341408,1266,1266
1561342591,1268,1268
1561344393,1267,1267
1561345894,1267,1267
1561347395,1266,1266
1561349691,1266,1266
1561351400,1251,1251
1561353292,1249,1249
1561354139,1247,1247
1561354947,1234,1234
1561356894,1231,1231
1561358499,1214,1214
1561359416,1214,1214
1561361421,1203,1203
1561362191,1201,1201
1561364126,1204,1204
1561364931,1208,1208
1561366264,1198,1198
1561367693,1206,1206
1561368538,1207,1207
1561370154,1207,1207
1561371301,1206,1206
1561373695,1208,1208
1561374927,1211,1211
1561375829,1205,1205
1561378495,1217,1217
1561380092,1219,1219
1561382116,1211,1211
1561382930,1216,1216
1561384259,1218,1218
1561385691,1230,1230
1561386945,1240,1240
1561388160,1247,1247
1561390583,1262,1262
1561391819,1273,1273
1561392994,1274,1274
1561394611,1277,1277
1561395444,1285,1285
1561396494,1283,1283
1561397758,1286,1286
1561399023,1287,1287
1561400179,1282,1282
1561401772,1284,1284
1561403458,1291,1291
1561404532,1297,1297
1561406580,1291,1291
1561408210,1288,1288
1561408971,1291,1291
1561410898,1281,1281
1561412587,1261,1261
1561413419,1268,1268
1561414587,1272,1272
1561416093,1260,1260
1561418121,1251,1251
1561418905,1253,1253
1561420131,1233,1233
1561421494,1229,1229
1561422723,1222,1222
1561424174,1221,1221
1561425376,1207,1207
1561427680,1179,1179
1561428993,1166,1166
1561430156,1152,1152
1561431413,1145,1145
1561432610,1134,1134
1561434112,1113,1113
1561435842,1100,1100
1561437781,1079,1079
1561439072,1063,1063
1561440532,1073,1073
1561442242,1070,1070
1561443393,1071,1071
1561444560,1076,1076
1561446890,1081,1081
1561448572,1091,1091
1561449977,1087,1087
1561451422,1092,1092
1561452956,1090,1090
1561454091,1084,1084
1561455012,1090,1090
1561455771,1093,1093
1561457449,1097,1097
1561458891,1090,1090
1561460223,1093,1093
1561461313,1094,1094
1561462697,1096,1096
1561464899,1107,1107
1561465733,1109,1109
1561467051,1109,1109
1561468512,1108,1108
1561469342,1115,1115
1561470177,1113,1113
1561472103,1109,1109
1561473654,1109,1109
1561475374,1109,1109
1561477389,1103,1103
1561479024,1103,1103
1561480564,1098,1098
1561481819,1100,1100
1561482996,1100,1100
1561484493,1093,1093
1561485411,1097,1097
1561486557,1099,1099
1561487332,1102,1102
1561488176,1096,1096
1561489714,1099,1099
1561491156,1099,1099
1561492281,1103,1103
1561493489,1100,1100
1561495371,1086,1086
1561496902,1083,1083
1561498275,1079,1079
1561498979,1079,1079
1561500898,1082,1082
1561502569,1077,1077
1561503422,1079,1079
1561504500,1075,1075
1561506157,1075,1075
1561507875,1078,1078
1561509126,1077,1077
1561510648,1075,1075
1561511769,1071,1071
1561513385,1059,1059
1561515299,1061,1061
1561517183,1054,1054
1561518404,1055,1055
1561519601,1061,1061
1561520587,1057,1057
1561522491,1055,1055
1561524104,1052,1052
1561525060,1053,1053
1561526103,1051,1051
1561527769,1043,1043
1561528975,1039,1039
1561530091,1037,1037
1561531575,1032,1032
1561533324,1032,1032
1561534207,1028,1028
1561534975,1028,1028
1561536418,1024,1024
1561537807,1012,1012
1561539735,998,998
1561541338,1003,1003
1561542633,989,989
1561544123,983,983
1561545514,972,972
1561546615,969,969
1561547704,964,964
1561549044,955,955
1561550269,955,955
1561552132,946,946
1561552976,929,929
1561554920,924,924
1561556616,910,910
1561557414,911,911
1561559343,904,904
1561560196,895,895
1561561654,884,884
1561563379,875,875
1561563780,876,876
1561564623,875,875
1561565775,863,863
1561566520,867,867
1561568210,860,860
1561569301,856,856
1561570971,847,847
1561571812,853,853
1561572982,845,845
1561574591,831,831
1561576260,820,820
1561578000,818,818
1561579702,810,810
1561581993,802,802
1561583757,802,802
1561585008,798,798
1561588900,802,802
1561590899,790,790
1561592574,785,785
1561594269,792,792
1561595512,797,797
1561596974,802,802
1561598941,815,815
1561599787,808,808
1561601707,812,812
1561603324,803,803
1561605300,805,805
1561607003,799,799
1561608696,799,799
1561610573,789,789
1561612264,794,794
1561613774,786,786
1561614899,785,785
1561616092,773,773
1561617366,771,771
1561618552,774,774
1561619700,778,778
1561620995,771,771
1561622215,779,779
1561624139,784,784
1561625883,784,784
1561626996,786,786
1561628289,787,787
1561629436,794,794
1561630485,798,798
1561631712,800,800
1561632987,823,823
1561634140,818,818
1561635313,825,825
1561636656,837,837
1561637784,841,841
1561639312,828,828
1561641090,835,835
1561642217,834,834
1561644903,836,836
1561645732,841,841
1561646897,890,890
1561648244,921,921
1561650171,978,978
1561651020,1001,1001
1561652092,1023,1023
1561653354,1047,1047
1561654800,1074,1074
1561655693,1101,1101
1561657271,1126,1126
1561659064,1141,1141
1561660795,1173,1173
1561662663,1198,1198
1561662890,1200,1200
1561664574,1216,1216
1561665411,1236,1236
1561666580,1249,1249
1561668365,1267,1267
1561670091,1285,1285
1561671299,1286,1286
1561672571,1295,1295
1561673777,1311,1311
1561675569,1324,1324
1561677337,1339,1339
1561678479,1347,1347
1561679792,1355,1355
1561680970,1365,1365
1561681743,1369,1369
1561682572,1379,1379
1561683558,1387,1387
1561684910,1399,1399
1561686354,1403,1403
1561688157,1410,1410
1561689463,1426,1426
1561690618,1431,1431
1561691703,1430,1430
1561693303,1429,1429
1561695060,1434,1434
1561696213,1432,1432
1561696979,1430,1430
1561698910,1432,1432
1561700767,1436,1436
1561702027,1447,1447
1561703290,1454,1454
1561705027,1468,1468
1561706150,1478,1478
1561707358,1486,1486
1561708589,1489,1489
1561709778,1499,1499
1561711573,1509,1509
1561712213,1510,1510
1561714123,1514,1514
1561714974,1516,1516
1561715840,1515,1515
1561716922,1521,1521
1561719418,1523,1523
1561720601,1517,1517
1561722270,1523,1523
1561724092,1519,1519
1561725378,1519,1519
1561727084,1520,1520
1561728357,1522,1522
1561729371,1519,1519
1561730846,1519,1519
1561732138,1522,1522
1561734974,1530,1530
1561736467,1530,1530
1561738232,1538,1538
1561739336,1544,1544
1561741009,1547,1547
1561742188,1550,1550
1561743372,1553,1553
1561745086,1556,1556
1561746538,1559,1559
1561748219,1557,1557
1561749298,1554,1554
1561750223,1552,1552
1561751460,1557,1557
1561752665,1562,1562
1561754576,1566,1566
1561755830,1568,1568
1561757330,1576,1576
1561758180,1568,1568
1561761340,1564,1564
1561762646,1568,1568
1561763690,1562,1562
1561765384,1555,1555
1561766916,1546,1546
1561768059,1546,1546
1561768996,1538,1538
1561771733,1541,1541
1561773412,1543,1543
1561774586,1537,1537
1561775776,1534,1534
1561777906,1532,1532
1561779147,1527,1527
1561780554,1535,1535
1561781778,1528,1528
1561783372,1522,1522
1561784664,1521,1521
1561786133,1527,1527
1561787780,1519,1519
1561789006,1508,1508
1561790613,1501,1501
1561791442,1504,1504
1561792591,1500,1500
1561794186,1502,1502
1561795885,1501,1501
1561796930,1505,1505
1561798655,1501,1501
1561799785,1490,1490
1561801593,1460,1460
1561802855,1445,1445
1561803302,1447,1447
1561805166,1425,1425
1561805809,1424,1424
1561806962,1414,1414
1561807737,1416,1416
1561808578,1401,1401
1561810491,1405,1405
1561811693,1392,1392
1561812952,1386,1386
1561814193,1393,1393
1561815691,1389,1389
1561817445,1374,1374
1561818727,1363,1363
1561820873,1353,1353
1561822130,1351,1351
1561824277,1332,1332
1561826497,1325,1325
1561827413,1328,1328
1561828605,1317,1317
1561829337,1317,1317
1561831011,1303,1303
1561832172,1303,1303
1561833710,1281,1281
1561835693,1278,1278
1561836524,1279,1279
1561837376,1252,1252
1561838217,1253,1253
1561839299,1238,1238
1561841011,1220,1220
1561842650,1209,1209
1561844572,1190,1190
1561845887,1177,1177
1561847763,1161,1161
1561849825,1147,1147
1561851324,1125,1125
1561851822,1130,1130
1561853692,1102,1102
1561855318,1070,1070
1561857080,1067,1067
1561858989,1035,1035
1561860705,1046,1046
1561861954,1040,1040
1561864286,1033,1033
1561865501,1028,1028
1561866673,1035,1035
1561867872,1042,1042
1561869781,1046,1046
1561870625,1055,1055
1561871788,1037,1037
1561873373,1034,1034
1561874233,1036,1036
1561875376,1022,1022
1561876909,1009,1009
1561878920,1009,1009
1561879740,1015,1015
1561880591,993,993
1561882492,988,988
1561883444,989,989
1561884774,999,999
1561886189,996,996
1561887803,991,991
1561889506,999,999
1561891373,1003,1003
1561892218,1005,1005
1561893291,1010,1010
1561894578,1005,1005
1561896451,1009,1009
1561898132,1009,1009
1561899345,1011,1011
1561900476,1012,1012
1561902176,1002,1002
1561904093,1006,1006
1561906569,1005,1005
1561907780,995,995
1561909275,995,995
1561911291,984,984
1561912972,978,978
1561913812,983,983
1561914986,988,988
1561916301,990,990
1561917457,1000,1000
1561918529,1009,1009
1561920067,995,995
1561921013,1001,1001
1561922194,999,999
1561923375,992,992
1561925687,1004,1004
1561927307,996,996
1561929091,997,997
1561930991,998,998
1561931811,1002,1002
1561932983,1001,1001
1561934506,1002,1002
1561935413,1008,1008
1561936577,1011,1011
1561938088,1018,1018
1561939819,1019,1019
1561941286,1018,1018
1561942616,1021,1021
1561943796,1021,1021
1561944955,1019,1019
1561946233,1028,1028
1561947393,1025,1025
1561948900,1028,1028
1561950602,1032,1032
1561952579,1040,1040
1561954004,1039,1039
1561955514,1042,1042
1561957017,1060,1060
1561958935,1062,1062
1561960609,1058,1058
1561961798,1061,1061
1561963071,1063,1063
1561964255,1069,1069
1561965322,1063,1063
1561966209,1055,1055
1561966977,1058,1058
1561968393,1063,1063
1561969990,1067,1067
1561970601,1068,1068
1561971422,1073,1073
1561972592,1074,1074
1561973727,1071,1071
1561974184,1069,1069
