DateTime,AddedIPs,RemovedIPs
1561297807,151,175
1561299007,103,128
1561300227,68,77
1561300928,50,31
1561302358,113,81
1561304107,168,131
1561305721,0,24375
1561307069,24353,0
1561308307,48,195
1561310047,119,69
1561311730,150,148
1561312567,68,1
1561313708,57,167
1561315136,147,134
1561316916,169,114
1561318126,95,0
1561318928,82,181
1561320847,171,103
1561322708,175,190
1561323975,121,80
1561325707,121,80
1561326916,81,38
1561328108,69,61
1561329557,97,91
1561331066,92,121
1561332307,81,0
1561333507,94,114
1561335015,142,128
1561336928,138,155
1561337767,71,0
1561338909,63,93
1561339694,44,0
1561341368,78,178
1561342507,71,101
1561344308,126,176
1561345808,91,120
1561347303,139,166
1561349647,151,126
1561351328,101,118
1561353247,108,129
1561354093,51,0
1561354923,0,24387
1561356847,24319,0
1561358434,87,197
1561360517,167,96
1561361295,78,2
1561362127,91,171
1561364056,119,131
1561364887,58,1
1561366208,105,170
1561367647,142,116
1561368488,44,0
1561370107,141,192
1561371256,95,80
1561372094,68,1
1561373652,169,159
1561374848,113,92
1561375695,70,0
1561378448,176,240
1561380043,129,146
1561382048,118,126
1561382886,43,0
1561384208,88,141
1561385649,113,100
1561386904,0,24372
1561388112,24265,0
1561389308,87,458
1561390509,94,411
1561391767,82,2
1561392909,78,308
1561394531,89,132
1561395367,69,0
1561396447,57,125
1561397708,401,187
1561398969,478,58
1561400108,404,113
1561401728,208,254
1561403406,189,109
1561404488,139,1
1561406479,548,260
1561408086,281,3
1561408927,173,162
1561410847,337,59
1561412529,225,129
1561413367,96,2
1561414508,122,70
1561416029,130,177
1561418047,208,117
1561418886,0,25623
1561420056,25570,0
1561421407,160,119
1561422645,89,129
1561424108,102,34
1561425309,75,109
1561427622,165,147
1561428909,84,81
1561430044,64,134
1561431367,99,69
1561432514,80,107
1561434041,112,171
1561436408,150,97
1561437728,65,194
1561438980,62,85
1561440487,153,0
1561442167,130,116
1561443319,93,91
1561444508,103,139
1561445708,120,38
1561446846,115,72
1561447688,57,0
1561448528,49,146
1561449923,101,114
1561451294,82,1
1561452909,82,164
1561454047,60,69
1561454887,72,0
1561455728,48,195
1561457374,98,84
1561458800,96,94
1561460170,116,69
1561461246,89,134
1561462652,93,180
1561464847,177,221
1561465689,67,1
1561466964,89,251
1561468208,105,131
1561470130,142,195
1561472046,125,117
1561473623,0,25241
1561476488,25239,0
1561477330,48,138
1561478956,121,127
1561480511,94,171
1561481769,94,1
1561482915,71,177
1561484435,77,216
1561485367,84,0
1561486508,120,123
1561487288,43,2
1561488128,59,320
1561489637,86,158
1561491052,110,207
1561492233,94,71
1561493407,105,130
1561493647,14,0
1561495327,96,219
1561496637,96,181
1561498216,136,108
1561498929,54,0
1561500847,125,115
1561502528,151,133
1561503368,67,0
1561504447,69,92
1561506036,99,156
1561507807,123,109
1561509037,95,86
1561510575,122,26
1561511723,67,64
1561513328,136,141
1561515247,144,81
1561517114,106,199
1561518332,73,87
1561519539,57,0
1561520530,47,146
1561522446,165,77
1561524030,66,151
1561526047,144,85
1561527729,100,153
1561528884,103,89
1561530015,129,0
1561531516,133,175
1561533247,157,93
1561534086,66,0
1561534927,59,146
1561536356,0,24691
1561537685,24781,0
1561539578,126,285
1561541286,142,6
1561542538,76,210
1561543810,91,123
1561545024,85,185
1561546567,161,53
1561547646,83,87
1561548959,128,116
1561550221,91,41
1561551338,80,85
1561552088,72,1
1561552928,43,133
1561554856,95,73
1561556572,155,199
1561557366,35,1
1561559294,178,102
1561560135,86,174
1561561555,121,105
1561563308,188,98
1561563730,41,35
1561564566,98,0
1561565707,108,100
1561566487,69,0
1561567379,64,179
1561568167,98,0
1561569253,76,118
1561570928,147,145
1561571768,67,0
1561572918,66,99
1561574536,179,160
1561576206,179,199
1561577939,130,216
1561579612,115,251
1561580732,75,0
1561581908,86,262
1561583647,124,93
1561584924,69,134
1561588839,269,315
1561590608,138,119
1561590848,14,0
1561591984,102,148
1561592528,56,35
1561594216,159,100
1561595423,132,113
1561596908,143,47
