DateTime,AddedIPs,RemovedIPs
1561293749,91,87
1561295173,42,80
1561296496,0,13634
1561297829,13675,0
1561299041,80,87
1561300263,54,50
1561300966,28,21
1561302387,93,50
1561304138,129,90
1561305721,0,13761
1561307090,13750,0
1561308332,30,142
1561309474,47,41
1561310076,34,1
1561311750,121,92
1561312595,48,1
1561313717,0,13753
1561315165,13723,0
1561316940,135,63
1561318213,71,96
1561318949,52,19
1561320868,110,65
1561322742,119,118
1561324005,69,45
1561325732,78,27
1561326937,57,19
1561328141,42,21
1561329583,54,32
1561331093,50,60
1561332336,36,0
1561333533,56,52
1561335045,91,65
1561336950,67,90
1561337796,40,0
1561338933,0,14078
1561339725,14084,0
1561341393,0,14084
1561342545,13994,0
1561344349,68,105
1561345843,57,79
1561347343,115,101
1561349668,92,64
1561351359,74,64
1561353269,64,73
1561354116,33,0
1561354923,0,14011
1561356872,14000,0
1561358463,55,117
1561359393,34,1
1561360551,77,55
1561361327,49,0
1561362163,56,113
1561364087,68,95
1561364908,29,0
1561366238,73,97
1561367671,94,84
1561368516,24,0
1561370129,90,133
1561371278,71,36
1561372123,41,0
1561373673,139,83
1561374885,81,55
1561375728,53,0
1561378472,99,148
1561380064,87,93
1561382080,78,67
1561382908,26,1
1561384236,56,81
1561385670,74,67
1561386905,0,14128
1561389338,13711,0
1561390542,49,351
1561391796,54,0
1561392944,52,257
1561394582,53,81
1561395397,37,0
1561396470,29,72
1561397731,325,130
1561398997,365,35
1561400148,261,72
1561401750,102,167
1561403436,64,83
1561404510,88,0
1561406505,134,160
1561408122,149,2
1561408949,76,72
1561410868,148,24
1561412558,96,45
1561413396,34,1
1561414544,45,44
1561416058,62,105
1561418078,96,67
1561418886,0,14262
1561420091,14217,0
1561421450,87,60
1561422675,54,67
1561424146,48,17
1561425338,31,70
1561427645,92,58
1561428947,44,32
1561430097,29,78
1561431389,69,41
1561432540,59,73
1561434079,65,91
1561435193,63,51
1561436439,27,9
1561437759,31,115
1561439013,37,41
1561440509,114,0
1561442196,87,64
1561443347,69,65
1561444532,65,93
1561445744,84,27
1561446867,83,47
1561447721,33,0
1561448549,31,86
1561449945,69,73
1561451327,49,0
1561452931,48,92
1561454068,46,41
1561454920,57,0
1561455749,30,137
1561457396,66,62
1561458828,67,53
1561460199,93,52
1561461280,68,103
1561462673,58,132
1561464876,123,98
1561465710,55,0
1561467000,69,150
1561468248,77,100
1561470152,90,150
1561472079,86,87
1561473630,96,180
1561474854,0,14071
1561476514,14149,0
1561477367,35,97
1561478985,87,90
1561480540,71,130
1561481795,71,0
1561482945,50,138
1561484462,57,170
1561485388,52,0
1561486539,0,13947
1561487309,13954,0
1561488153,40,264
1561489668,48,132
1561491084,73,165
1561492258,49,65
1561493443,61,100
1561493668,8,0
1561495349,52,166
1561496676,53,139
1561498224,0,13307
1561498956,13386,0
1561500875,66,71
1561502530,0,13381
1561503399,13458,0
1561504475,49,50
1561506126,68,101
1561507845,80,68
1561509059,66,49
1561510625,90,14
1561511753,44,22
1561512932,65,38
1561513355,29,30
1561515274,91,53
1561517149,77,140
1561518356,40,61
1561519561,29,1
1561520559,31,99
1561522468,120,48
1561524055,0,13563
1561525037,13562,0
1561526077,45,56
1561527746,0,13551
1561528911,13569,0
1561530048,98,0
1561531546,107,126
1561533281,0,13648
1561534121,13780,0
1561534953,40,82
1561536356,0,13738
1561537723,13801,0
1561539600,93,163
1561540845,64,2
1561541315,32,0
1561542580,52,155
1561543843,68,93
1561545068,56,130
1561546593,121,36
1561547680,58,45
1561549001,105,73
1561550243,74,28
1561552110,129,53
1561552956,35,81
1561554889,72,49
1561556594,120,142
1561557392,23,1
1561559321,155,72
1561560168,68,122
1561561572,0,13881
1561563350,13966,0
1561563757,24,23
1561564600,60,0
1561565736,56,57
1561566492,0,14026
1561567422,13994,0
1561568188,70,1
1561569278,45,75
1561570949,93,84
1561571790,45,1
1561572952,43,49
1561574569,141,107
1561576239,129,121
1561577960,90,145
1561579653,77,164
1561580762,42,0
1561581943,64,166
1561583670,75,43
1561584957,51,78
1561588876,172,170
1561590876,108,57
1561592550,108,106
1561594245,111,42
1561595459,97,49
1561596943,95,29
1561598918,153,63
1561599764,62,50
1561601678,97,66
1561603288,59,130
1561605276,100,69
1561606962,90,48
1561608646,107,52
1561610549,94,155
1561612239,163,64
1561613745,99,92
1561614843,90,1
1561616069,77,143
1561617338,85,102
1561618530,41,25
1561619669,67,52
1561620950,77,64
1561622144,54,25
1561622193,1,0
1561624117,97,39
1561625800,91,80
1561626948,68,72
1561628264,106,78
1561629409,92,43
1561630455,0,14620
1561634089,14655,0
1561635260,53,112
1561636606,0,14596
1561637745,14618,0
1561639286,73,131
1561641046,81,64
1561642124,48,1
1561644879,171,252
1561645709,44,1
1561646818,74,130
1561648191,119,92
1561650136,0,14557
1561650997,14602,0
1561652067,83,77
1561653331,68,75
1561654773,97,96
1561655671,0,14602
1561657243,14657,0
1561659038,198,71
1561660771,153,84
1561662641,141,101
1561662867,18,0
1561664552,139,118
1561665389,55,1
1561666551,68,59
1561668333,107,140
1561670068,137,46
1561671242,58,83
1561672548,69,38
1561673742,52,68
1561675542,103,115
1561677292,120,64
1561678428,0,15087
1561679749,15109,0
1561680942,61,60
1561681720,60,1
1561682549,20,93
1561683475,46,0
1561684883,93,63
1561686304,73,109
1561687009,31,0
1561688125,54,47
1561689420,65,57
1561690595,69,15
1561691679,65,87
1561693268,92,93
1561695033,0,15213
1561696127,15334,0
1561696957,54,90
1561698886,99,98
1561700738,112,193
1561701945,85,75
1561703267,88,2
1561705004,112,169
1561706104,0,15257
1561707334,15273,0
1561708564,0,15273
1561709743,15291,0
1561711546,117,118
1561712189,42,0
1561714099,0,15332
1561714950,15370,0
1561715802,58,0
1561716879,116,93
1561717726,65,1
1561719395,115,280
1561720548,42,412
1561722149,114,583
1561724068,120,70
1561725352,79,108
1561727015,0,14532
1561728316,14679,0
1561729349,91,187
1561730801,100,99
1561732115,71,0
1561733740,106,123
1561734941,72,112
1561736444,79,95
1561737837,78,153
1561739315,0,14507
1561740987,14607,0
1561742151,69,60
1561743332,73,73
1561745042,111,150
1561746515,95,0
1561748195,109,143
1561749275,58,49
1561750122,35,1
1561751437,105,87
1561752641,112,110
1561754552,140,83
1561755759,65,85
1561757307,52,1
1561758158,35,95
1561761225,194,125
1561762606,75,40
1561763667,55,66
1561765361,174,94
1561766870,106,97
1561768017,70,0
1561768966,49,139
1561770646,77,74
1561771710,58,0
1561773387,142,78
1561774555,86,54
1561775732,77,62
1561777852,149,86
1561779071,65,104
1561780522,0,15087
1561781744,15064,0
1561783348,86,163
1561784611,83,79
1561786110,91,0
1561787749,145,100
1561788948,71,64
1561790575,90,121
1561791403,32,0
1561792543,66,56
1561794158,101,118
1561795845,54,66
1561796908,33,1
1561798610,59,113
1561799749,60,143
1561801551,89,180
1561802788,57,75
1561803278,0,14902
1561805787,14971,0
1561806933,58,77
1561807714,63,1
1561808553,68,93
1561810469,87,90
1561811612,61,75
1561812929,88,40
1561814163,61,81
1561815668,81,101
1561817424,0,14980
1561820830,14939,0
1561822108,51,0
1561824187,76,168
1561826455,128,99
1561827389,36,0
1561828548,46,140
1561829314,51,0
1561830988,65,214
1561832139,36,96
1561833685,105,180
1561835668,88,75
1561836490,0,14649
1561837351,14717,0
1561838195,52,0
1561839275,57,143
1561840967,105,130
1561842640,0,14658
1561844550,14621,0
1561845830,69,68
1561847740,79,90
1561849406,0,14611
1561850082,14644,0
1561851798,81,84
1561853668,68,95
1561855292,59,113
1561857046,55,49
1561858954,93,82
1561860647,80,54
1561861884,52,87
1561864245,67,138
1561865446,41,96
1561866626,0,14442
1561867851,14511,0
1561869759,63,100
1561870599,30,2
1561871738,60,64
1561873350,63,92
1561874206,38,3
1561875346,38,115
1561876875,68,146
1561878878,76,55
1561879718,29,0
1561880564,28,127
1561882468,55,66
1561883329,22,1
1561884724,59,105
1561886134,53,166
1561887765,37,219
1561889455,62,48
1561891350,79,109
1561892195,39,0
1561893268,63,82
1561894551,84,106
1561896248,68,76
1561898108,63,187
1561899322,66,46
1561900453,0,13839
1561902152,13752,0
1561904071,73,71
1561906532,91,93
1561907741,44,104
1561909242,44,95
1561911046,41,126
1561911268,7,0
1561912950,51,136
1561913788,44,0
1561914950,57,104
1561916255,57,103
1561917418,26,45
1561918485,38,63
1561920036,64,151
1561920989,28,0
1561922149,49,106
1561923321,53,163
1561925669,0,13159
1561927262,13044,0
1561929044,56,64
1561930967,35,159
1561931789,16,0
1561932944,28,58
1561934479,37,163
1561935389,25,1
1561936488,32,105
1561938059,41,139
1561939199,24,57
1561940429,0,12592
1561942594,12579,0
1561943749,41,110
1561944931,44,114
1561946203,29,26
1561947352,42,104
1561948863,50,142
1561950559,91,50
1561952553,87,117
1561953960,0,12300
1561955451,12218,0
1561956995,41,44
1561958150,42,78
1561958908,17,0
1561960564,62,143
1561961739,56,63
1561963048,42,78
1561964219,47,68
1561965277,20,51
1561966125,16,0
1561966953,18,88
1561968241,27,45
1561969951,0,11948
1561971399,11905,0
1561972542,44,77
1561973689,20,102
1561974157,16,40
1561976079,79,44
