DateTime,AddedIPs,RemovedIPs
1561230897,0,2
1561232554,1,0
1561233402,3,0
1561234628,0,1
1561236358,1,0
1561237615,2,0
1561238751,0,2
1561239785,2,0
1561241093,0,1
1561242428,2,0
1561243569,0,3
1561244581,2,1
1561247158,0,1
1561249725,3,1
1561251226,1,1
1561252503,0,1
1561254840,2,4
1561256161,0,2
1561258246,0,4
1561259389,2,0
1561260524,2,0
1561262030,1,1
1561264140,0,1
1561266883,0,1
1561268151,1,0
1561271499,3,1
1561272942,0,1
1561274159,0,1
1561276630,0,1
1561277759,1,2
1561279363,0,1
1561281338,1,0
1561284556,2,1
1561286670,1,2
1561292093,1,0
1561293763,2,0
1561295239,0,1
1561296513,0,1
1561297843,2,0
1561299056,3,0
1561300292,1,1
1561302416,0,2
1561304153,0,1
1561305780,3,3
1561307118,0,1
1561308351,0,1
1561310090,1,1
1561311766,1,4
1561313743,0,3
1561315184,0,1
1561316968,1,0
1561318235,2,1
1561320889,1,2
1561322762,0,1
1561324035,1,1
1561325756,1,1
1561328159,0,1
1561329598,0,1
1561331135,1,1
1561332363,1,0
1561333551,4,1
1561335062,1,3
1561336964,2,3
1561337812,1,0
1561338948,0,3
1561339739,1,1
1561341400,0,1
1561342570,0,3
1561344375,3,0
1561345867,2,1
1561347365,2,1
1561349682,1,2
1561351375,0,1
1561353283,1,2
1561354939,0,3
1561356886,0,1
1561358489,2,2
1561359407,0,1
1561361341,3,2
1561362182,1,1
1561364101,1,2
1561364922,1,0
1561366254,1,2
1561367685,1,0
1561368530,1,0
1561370144,2,1
1561371292,0,1
1561372137,0,2
1561373687,0,1
1561374900,0,1
1561378486,1,1
1561380081,1,2
1561382097,1,1
1561382922,1,0
1561384250,0,1
1561386926,1,1
1561388144,1,0
1561389358,0,2
1561390564,3,1
1561391811,1,1
1561392964,1,0
1561394602,0,3
1561395421,2,0
1561397748,2,0
1561399013,4,2
1561400168,1,3
1561401764,6,3
1561403450,3,2
1561404524,0,1
1561406546,3,4
1561408141,6,2
1561408963,1,4
1561412130,4,3
1561412577,1,1
1561413410,5,0
1561414572,4,3
1561416085,6,6
1561418098,3,3
1561418897,2,2
1561421471,4,6
1561422695,3,3
1561424165,4,3
1561425357,4,2
1561427672,3,3
1561428963,2,3
1561430130,5,2
1561431404,2,4
1561432577,3,1
1561434102,2,1
1561435826,4,6
1561437773,4,8
1561439048,0,3
1561440523,5,3
1561442217,2,2
1561444547,2,1
1561445758,1,2
1561446881,1,2
1561447735,4,2
1561448563,2,2
1561449960,1,3
1561451408,2,1
1561452945,1,5
1561454082,0,1
1561454941,2,0
1561457426,2,0
1561460213,4,3
1561461296,0,1
1561462687,2,1
1561464890,1,5
1561465724,2,0
1561467027,0,1
1561468488,0,3
1561469334,3,1
1561470167,1,3
1561472093,0,3
1561473645,2,1
1561475365,3,1
1561477381,2,2
1561478999,2,2
1561480554,3,0
1561481810,1,0
1561482974,3,1
1561484477,1,2
1561485403,2,0
1561486546,2,4
1561487323,1,2
1561488168,1,3
1561489694,1,2
1561491108,1,0
1561493461,0,1
1561495363,4,1
1561496878,3,1
1561498255,0,2
1561498970,5,1
1561500889,2,1
1561502559,1,1
1561503414,1,0
1561504491,5,1
1561506148,3,4
1561507859,2,7
1561511757,3,0
1561513377,3,2
1561515290,1,2
1561517168,9,2
1561518387,1,1
1561519588,1,1
1561520578,2,4
1561522482,2,2
1561524071,6,3
1561526093,3,2
1561527760,0,2
1561528949,1,0
1561530063,0,1
1561531565,2,1
1561533300,2,1
1561534137,0,1
1561536393,1,2
1561537738,3,1
1561539716,1,4
1561540861,0,1
1561542611,3,1
1561543857,0,2
1561545110,0,1
1561546250,1,1
1561546607,1,1
1561547694,2,1
1561549029,1,2
1561550260,4,1
1561552124,1,1
1561554909,3,4
1561556608,1,0
1561559335,1,1
1561560187,1,2
1561563371,1,3
1561563772,1,1
1561564614,1,1
1561565758,0,3
1561566513,2,0
1561568202,3,0
1561569293,1,3
1561570963,1,2
1561571804,3,0
1561572970,1,0
1561574583,0,5
1561576252,1,1
1561577987,0,3
1561579683,3,1
1561580777,2,1
1561581965,1,3
1561583742,0,4
1561584974,2,5
1561588891,6,6
1561590890,2,4
1561592566,2,1
1561594260,0,2
1561595475,0,1
1561596958,3,0
1561598932,4,4
1561599778,2,3
1561601697,5,4
1561603308,1,3
1561605291,2,1
1561606979,2,2
1561608670,0,2
1561610564,1,2
1561612255,3,1
1561613765,0,2
1561614891,1,1
1561616083,1,1
1561617353,3,0
1561618544,3,2
1561619685,1,1
1561620965,1,0
1561622207,2,3
1561624131,6,1
1561625820,1,3
1561626976,1,2
1561628280,3,4
1561629427,2,3
1561631703,1,0
1561632969,3,5
1561634116,1,3
1561635294,2,1
1561637759,1,2
1561639301,2,0
1561641072,2,2
1561644893,0,6
1561645724,1,0
1561646873,1,0
1561648211,1,2
1561650162,7,0
1561651012,2,2
1561652083,0,1
1561653345,3,2
1561654787,0,1
1561655685,2,1
1561657263,3,1
1561659052,4,5
1561660788,2,5
1561662655,1,0
1561662882,0,1
1561664566,3,1
1561665403,0,4
1561666571,1,1
1561668355,2,5
1561670082,1,3
1561671273,2,4
1561672562,3,0
1561673760,8,3
1561675557,11,3
1561677308,1,3
1561678463,1,3
1561679769,3,1
1561680960,2,0
1561681735,3,1
1561682563,1,4
1561683490,0,1
1561684900,3,5
1561686328,1,9
1561687023,3,1
1561688148,1,1
1561689455,2,3
1561690610,6,2
1561691694,2,4
1561693284,9,3
1561695051,5,5
1561696141,1,0
1561696971,0,3
1561698901,5,5
1561700758,1,0
1561701992,2,2
1561703281,1,1
1561705018,4,1
1561707349,2,3
1561708581,1,3
1561709761,0,1
