DateTime,AddedIPs,RemovedIPs
1561248932,76,29
1561249705,26,4
1561251187,52,61
1561252471,47,25
1561254820,55,37
1561256127,43,41
1561256903,24,1
1561258220,28,56
1561259357,22,32
1561260504,26,3
1561262010,22,50
1561263336,33,28
1561264116,19,1
1561264945,27,36
1561266862,36,33
1561268130,29,39
1561270224,119,26
1561271465,42,32
1561272922,52,19
1561274124,26,64
1561275327,37,38
1561276597,43,12
1561277726,60,24
1561279344,33,47
1561280183,42,1
1561281299,33,42
1561282102,14,1
1561284510,52,50
1561286653,48,39
1561287970,28,33
1561289466,38,32
1561292067,63,41
1561293744,34,36
1561295147,163,24
1561297824,48,29
1561299030,21,32
1561300251,19,18
1561300956,15,10
1561302374,23,25
1561304130,34,27
1561307085,40,50
1561308323,15,43
1561309461,26,25
1561310069,6,1
1561311746,25,49
1561312589,23,0
1561315152,42,87
1561316931,34,46
1561318147,10,3
1561318944,22,59
1561320863,49,30
1561322726,54,59
1561323991,46,34
1561325726,33,45
1561326932,19,14
1561328131,21,29
1561329577,41,50
1561331086,32,50
1561332324,38,4
1561333523,30,55
1561335034,36,49
1561336944,50,55
1561337790,23,0
1561338928,26,32
1561339714,22,1
1561341387,33,65
1561342526,29,30
1561344333,40,58
1561345826,25,39
1561347326,21,51
1561349663,38,52
1561351353,25,35
1561353263,33,45
1561354111,18,0
1561356285,39,96
1561356866,23,1
1561358450,29,58
1561360541,48,25
1561361315,17,0
1561362151,26,43
1561364076,37,31
1561364903,20,3
1561366226,28,50
1561367665,36,28
1561368506,17,1
1561370123,38,45
1561371273,22,39
1561372114,20,1
1561373668,16,53
1561374872,21,24
1561375714,8,1
1561378465,47,67
1561380059,28,40
1561382069,28,42
1561382903,14,1
1561384226,22,46
1561385665,25,31
1561388132,30,61
1561389327,23,20
1561390527,32,50
1561391787,17,3
1561392932,17,42
1561394575,27,42
1561395384,15,0
1561396465,23,42
1561397725,17,44
1561398987,107,25
1561400132,149,40
1561401745,90,71
1561403429,109,24
1561404504,44,1
1561406497,408,80
1561408109,120,7
1561408943,90,70
1561410863,187,24
1561412546,123,58
1561413387,58,8
1561414531,68,23
1561416046,67,56
1561418066,101,35
1561420076,83,66
1561421431,57,36
1561422668,33,47
1561424132,43,12
1561425328,36,24
1561427638,63,52
1561428934,32,30
1561430076,23,30
1561431383,30,21
1561432534,16,19
1561434065,37,48
1561435187,24,22
1561436426,34,11
1561437752,32,42
1561439000,19,21
1561440503,27,9
1561442185,35,37
1561443338,19,23
1561444525,30,45
1561445734,28,8
1561446862,27,22
1561447706,16,3
1561448544,11,54
1561449940,31,32
1561451314,24,6
1561452925,36,63
1561454063,15,23
1561454910,12,7
1561455744,11,48
1561457389,24,22
1561458817,29,36
1561460186,22,18
1561461265,15,26
1561462668,25,40
1561464866,39,115
1561465705,9,4
1561466990,22,93
1561468235,23,26
1561470146,40,37
1561472069,37,21
1561476032,67,73
1561476504,7,3
1561477354,14,34
1561478975,33,32
1561480528,21,35
1561481786,19,3
1561482936,19,38
1561484453,20,34
1561485383,24,2
1561486525,36,19
1561487304,13,4
1561488148,21,46
1561489657,35,25
1561491071,34,39
1561492252,40,6
1561493433,41,22
1561493663,6,0
1561495343,45,39
1561496671,40,39
1561498946,54,47
1561500869,50,38
1561503393,60,49
1561504465,19,38
1561506066,23,45
1561507834,38,35
1561509053,23,34
1561510615,33,10
1561511742,21,32
1561513345,33,51
1561515265,36,20
1561517138,16,44
1561518350,24,21
1561519555,25,2
1561520547,18,31
1561522462,38,26
1561524053,21,43
1561525023,18,0
1561526065,19,22
1561527746,17,45
1561528901,14,23
1561530039,32,1
1561531537,22,36
1561533280,18,30
1561534105,14,3
1561534947,12,46
1561537710,51,24
1561539595,33,88
1561540831,24,3
1561541306,4,0
