DateTime,Entries,UniqueIPs
1561248932,8151,8151
1561249705,8173,8173
1561251187,8164,8164
1561252471,8186,8186
1561254820,8204,8204
1561256127,8206,8206
1561256903,8229,8229
1561258220,8201,8201
1561259357,8191,8191
1561260504,8214,8214
1561262010,8186,8186
1561263336,8191,8191
1561264116,8209,8209
1561264945,8200,8200
1561266862,8203,8203
1561268130,8193,8193
1561270224,8286,8286
1561271465,8296,8296
1561272922,8329,8329
1561274124,8291,8291
1561275327,8290,8290
1561276597,8321,8321
1561277726,8357,8357
1561279344,8343,8343
1561280183,8384,8384
1561281299,8375,8375
1561282102,8388,8388
1561284510,8390,8390
1561286653,8399,8399
1561287970,8394,8394
1561289466,8400,8400
1561292067,8422,8422
1561293744,8420,8420
1561295147,8559,8559
1561297824,8578,8578
1561299030,8567,8567
1561300251,8568,8568
1561300956,8573,8573
1561302374,8571,8571
1561304130,8578,8578
1561307085,8568,8568
1561308323,8540,8540
1561309461,8541,8541
1561310069,8546,8546
1561311746,8522,8522
1561312589,8545,8545
1561315152,8500,8500
1561316931,8488,8488
1561318147,8495,8495
1561318944,8458,8458
1561320863,8477,8477
1561322726,8472,8472
1561323991,8484,8484
1561325726,8472,8472
1561326932,8477,8477
1561328131,8469,8469
1561329577,8460,8460
1561331086,8442,8442
1561332324,8476,8476
1561333523,8451,8451
1561335034,8438,8438
1561336944,8433,8433
1561337790,8456,8456
1561338928,8450,8450
1561339714,8471,8471
1561341387,8439,8439
1561342526,8438,8438
1561344333,8420,8420
1561345826,8406,8406
1561347326,8376,8376
1561349663,8362,8362
1561351353,8352,8352
1561353263,8340,8340
1561354111,8358,8358
1561356285,8301,8301
1561356866,8323,8323
1561358450,8294,8294
1561360541,8317,8317
1561361315,8334,8334
1561362151,8317,8317
1561364076,8323,8323
1561364903,8340,8340
1561366226,8318,8318
1561367665,8326,8326
1561368506,8342,8342
1561370123,8335,8335
1561371273,8318,8318
1561372114,8337,8337
1561373668,8300,8300
1561374872,8297,8297
1561375714,8304,8304
1561378465,8284,8284
1561380059,8272,8272
1561382069,8258,8258
1561382903,8271,8271
1561384226,8247,8247
1561385665,8241,8241
1561388132,8210,8210
1561389327,8213,8213
1561390527,8195,8195
1561391787,8209,8209
1561392932,8184,8184
1561394575,8169,8169
1561395384,8184,8184
1561396465,8165,8165
1561397725,8138,8138
1561398987,8220,8220
1561400132,8329,8329
1561401745,8348,8348
1561403429,8433,8433
1561404504,8476,8476
1561406497,8804,8804
1561408109,8917,8917
1561408943,8937,8937
1561410863,9100,9100
1561412546,9165,9165
1561413387,9215,9215
1561414531,9260,9260
1561416046,9271,9271
1561418066,9337,9337
1561420076,9354,9354
1561421431,9375,9375
1561422668,9361,9361
1561424132,9392,9392
1561425328,9404,9404
1561427638,9415,9415
1561428934,9417,9417
1561430076,9410,9410
1561431383,9419,9419
1561432534,9416,9416
1561434065,9405,9405
1561435187,9407,9407
1561436426,9430,9430
1561437752,9420,9420
1561439000,9418,9418
1561440503,9436,9436
1561442185,9434,9434
1561443338,9430,9430
1561444525,9415,9415
1561445734,9435,9435
1561446862,9440,9440
1561447706,9453,9453
1561448544,9410,9410
1561449940,9409,9409
1561451314,9427,9427
1561452925,9400,9400
1561454063,9392,9392
1561454910,9397,9397
1561455744,9360,9360
1561457389,9362,9362
1561458817,9355,9355
1561460186,9359,9359
1561461265,9348,9348
1561462668,9333,9333
1561464866,9257,9257
1561465705,9262,9262
1561466990,9191,9191
1561468235,9188,9188
1561470146,9191,9191
1561472069,9207,9207
1561476032,9201,9201
1561476504,9205,9205
1561477354,9185,9185
1561478975,9186,9186
1561480528,9172,9172
1561481786,9188,9188
1561482936,9169,9169
1561484453,9155,9155
1561485383,9177,9177
1561486525,9194,9194
1561487304,9203,9203
1561488148,9178,9178
1561489657,9188,9188
1561491071,9183,9183
1561492252,9217,9217
1561493433,9236,9236
1561493663,9242,9242
1561495343,9248,9248
1561496671,9249,9249
1561498946,9256,9256
1561500869,9268,9268
1561503393,9279,9279
1561504465,9260,9260
1561506066,9238,9238
1561507834,9241,9241
1561509053,9230,9230
1561510615,9253,9253
1561511742,9242,9242
1561513345,9224,9224
1561515265,9240,9240
1561517138,9212,9212
1561518350,9215,9215
1561519555,9238,9238
1561520547,9225,9225
1561522462,9237,9237
1561524053,9215,9215
1561525023,9233,9233
1561526065,9230,9230
1561527746,9202,9202
1561528901,9193,9193
1561530039,9224,9224
1561531537,9210,9210
1561533280,9198,9198
1561534105,9209,9209
1561534947,9175,9175
1561537710,9202,9202
1561539595,9147,9147
1561540831,9168,9168
1561541306,9172,9172
1561542570,9154,9154
1561543834,9157,9157
1561545059,9143,9143
1561546587,9164,9164
1561547670,9155,9155
1561548992,9148,9148
1561550238,9146,9146
1561552104,9145,9145
1561552947,9124,9124
1561554872,9123,9123
1561556588,9113,9113
1561557387,9123,9123
1561559315,9127,9127
1561560153,9108,9108
1561563333,9150,9150
1561563746,9153,9153
1561564590,9196,9196
1561565726,9220,9220
1561567403,9215,9215
1561568183,9234,9234
1561569269,9229,9229
1561570944,9231,9231
1561571784,9246,9246
1561572944,9227,9227
1561574559,9243,9243
1561576230,9224,9224
1561577955,9200,9200
1561579643,9155,9155
1561580757,9187,9187
1561581931,9128,9128
1561583663,9130,9130
1561588862,9068,9068
1561590631,9059,9059
1561590866,9064,9064
1561592002,9043,9043
1561592545,9037,9037
1561594235,9024,9024
1561595449,9001,9001
1561596927,9016,9016
1561598906,9013,9013
1561599754,8967,8967
1561601666,8961,8961
1561603271,8934,8934
1561605266,8936,8936
1561606956,8882,8882
1561608632,8886,8886
1561610544,8879,8879
1561612228,8879,8879
1561613731,8866,8866
1561614838,8900,8900
