DateTime,AddedIPs,RemovedIPs
1560973235,48,44
1560975135,53,50
1560977054,48,56
1560978978,51,47
1560981136,41,51
1560984048,46,44
1560985962,52,44
1560987862,49,50
1560989782,49,48
1560991721,51,54
1560993640,55,51
1560995537,49,51
1560997474,53,51
1560999373,57,53
1561001304,54,59
1561003236,51,50
1561005160,56,51
1561007063,50,51
1561008975,52,59
1561010918,54,50
1561012812,50,54
1561014761,51,48
1561016677,55,55
1561018595,46,59
1561020495,53,44
1561022416,29,53
1561024355,25,28
1561026255,49,25
1561028189,56,48
1561030094,67,56
1561032043,53,63
1561033938,55,53
1561035875,51,57
1561037795,63,53
1561040204,63,61
1561042117,59,63
1561045952,59,61
1561047856,60,57
1561049772,55,61
1561051715,49,53
1561053626,47,52
1561055534,52,47
1561057475,48,43
1561059380,53,57
1561061325,57,48
1561063212,63,60
1561065157,54,63
1561067075,67,55
1561068974,53,66
1561070895,52,54
1561074752,53,55
1561076654,53,49
1561078591,59,52
1561080490,63,61
1561082425,56,61
1561084335,53,58
1561087208,56,53
1561089148,58,56
1561091053,58,53
1561092968,56,63
1561094888,65,59
1561096833,62,66
1561098758,62,57
1561100676,53,62
1561102570,54,57
1561104518,51,52
1561106413,55,50
1561108345,27,57
1561110251,22,30
1561112182,51,21
1561114097,49,47
1561116034,60,50
1561117956,51,56
1561119858,62,54
1561121768,64,65
1561123709,61,60
1561125880,65,60
1561127792,46,64
1561129714,57,47
1561131876,56,57
1561133800,60,61
1561135716,57,62
1561137608,49,55
1561139536,49,43
1561141455,49,51
1561143373,60,51
1561145309,49,55
1561147238,55,54
1561149162,53,54
1561151059,54,49
1561152967,59,60
1561154925,45,51
1561156848,52,53
1561158875,48,47
1561160677,47,49
1561162600,52,48
1561164762,53,53
1561166662,56,55
1561168573,57,53
1561170500,56,56
1561172433,44,54
1561174361,44,47
1561176256,49,40
1561178176,58,53
1561180122,46,49
1561183936,63,60
1561185876,46,59
1561187777,58,46
1561189701,49,61
1561191632,43,48
1561193554,60,43
1561195456,18,63
1561197396,21,17
1561199562,18,22
1561203372,67,16
1561205322,61,62
1561207235,51,61
1561209139,51,54
1561211052,51,50
1561212988,51,50
1561214919,57,53
1561216839,54,57
1561218754,56,53
1561220680,55,56
1561222595,50,55
1561224516,52,50
1561226465,50,51
1561228351,62,48
1561230525,61,62
1561232414,67,61
1561234337,48,66
1561236274,65,51
1561238422,60,65
1561240358,56,62
1561242249,53,56
1561244171,55,52
1561246090,50,55
1561248039,58,52
1561249961,56,57
1561251857,61,47
1561253772,65,68
1561255714,63,64
1561257879,46,62
1561259797,53,46
1561261695,56,50
1561263629,50,57
1561265530,57,50
1561267451,56,60
1561269388,60,58
1561271289,55,59
1561273239,67,59
1561275139,57,66
1561277075,66,58
1561278996,53,62
1561280922,29,53
1561282834,22,34
1561284730,18,23
1561286652,25,16
1561288595,23,26
1561290501,60,22
1561292436,55,57
1561294368,58,54
1561296252,62,62
1561298168,58,56
1561300360,49,57
1561302268,51,52
1561304188,51,52
1561306112,62,51
1561308008,54,59
1561309931,52,52
1561311853,61,56
1561313791,59,62
1561315696,64,60
1561317856,66,64
1561319790,56,65
1561321691,62,57
1561323627,63,61
1561325555,58,62
1561327457,65,60
1561329403,66,64
1561331316,60,60
1561333210,52,63
1561335159,69,53
1561337054,46,68
1561338974,58,50
1561340893,59,52
1561342809,44,61
1561344752,56,46
1561346650,64,56
1561348567,60,64
1561350511,57,55
1561352431,58,58
1561354359,54,60
1561356280,58,57
1561358171,58,55
1561360120,54,59
1561362031,62,58
1561363933,35,63
1561365852,41,36
1561367798,26,40
1561369693,20,28
1561371614,28,18
1561375474,37,29
1561378356,52,33
1561380272,53,49
1561382187,56,55
1561384094,55,54
1561386011,54,54
1561387954,55,58
1561389860,51,54
1561391769,57,52
1561393714,52,57
1561395633,56,50
1561397556,54,53
1561399473,48,57
1561403319,31,49
1561407149,48,33
1561409055,45,49
1561411239,49,41
1561413132,48,50
1561415075,55,51
1561417236,46,55
1561419139,50,45
1561421080,49,46
1561424903,45,49
1561426834,48,47
1561428754,45,46
1561430898,48,46
1561432805,37,48
1561434747,44,37
1561436648,47,43
1561438826,38,44
1561440733,47,41
1561442648,52,48
1561444567,57,51
1561448407,59,57
1561450329,28,63
1561452248,34,28
1561454190,23,37
1561458010,52,21
1561459950,63,50
1561461851,50,60
1561463769,52,52
1561465687,50,53
1561467636,53,48
1561469554,59,53
1561471453,49,57
1561473613,59,51
1561475535,54,61
1561477457,55,55
1561479638,56,55
1561481552,56,54
1561483449,48,57
1561487311,60,50
1561489218,63,59
1561491156,47,64
1561493061,42,44
1561494970,55,38
1561496922,65,59
1561498812,56,67
1561500986,55,55
1561502909,54,55
1561504836,56,56
1561506729,48,53
1561508650,49,50
1561510567,61,46
1561512508,46,59
1561514413,47,48
1561516333,46,44
1561520414,49,50
1561522330,57,49
1561524250,64,60
1561526174,55,62
1561528095,50,53
1561530036,53,51
1561531930,56,55
1561533852,59,59
1561535780,52,57
1561537937,38,48
1561539857,44,40
1561541774,29,45
1561543721,30,31
1561545634,16,31
1561547557,13,16
1561549474,29,13
1561551398,19,30
1561553304,32,19
1561555211,45,29
1561557154,55,42
1561559055,58,55
1561560969,57,60
1561562914,55,55
1561564823,41,57
1561566740,49,36
1561568672,49,50
1561572512,49,52
1561574410,47,45
1561576330,55,47
1561578275,47,58
1561580201,55,47
1561582118,52,57
1561584034,60,48
1561585956,46,57
1561589351,44,50
1561591218,48,41
1561593136,36,45
1561595056,48,42
1561596974,49,47
1561599144,47,49
1561601055,54,46
1561602974,43,56
1561604926,54,43
1561606835,52,54
1561608737,42,48
1561610660,46,44
1561612580,57,49
1561614506,52,52
1561616447,58,59
1561618367,58,57
1561620265,65,59
1561622194,50,65
1561624369,32,50
1561626290,37,30
1561628201,24,36
1561630129,22,28
1561632039,34,22
1561633980,27,34
1561635878,64,27
1561637805,60,62
1561639709,59,60
1561641611,58,62
1561643532,55,50
1561645475,53,59
1561647373,56,54
1561649561,53,57
1561651724,43,48
1561653637,60,46
1561655539,47,59
1561657454,53,50
1561659400,62,53
1561661320,58,63
1561663235,56,54
1561665132,60,56
1561667057,62,61
1561668992,65,66
1561670900,61,63
1561672841,55,58
1561674743,44,54
1561676926,45,44
1561678833,47,45
1561680760,57,50
1561682656,45,53
1561684597,64,51
1561686492,62,59
1561688431,50,57
1561690346,52,53
1561692254,56,55
1561694190,48,55
1561696364,50,45
1561698522,41,54
1561700435,55,43
1561702336,61,51
1561704255,55,67
1561706197,53,52
1561708097,65,56
1561710012,30,66
1561711956,37,28
1561713865,28,39
1561715773,33,30
1561717716,24,33
1561719633,21,24
1561721540,29,21
1561723484,22,26
1561725391,26,20
1561729213,24,28
1561731155,46,26
1561733052,59,43
1561734972,48,60
1561736894,66,47
1561738834,58,67
1561740736,41,51
1561742655,62,49
1561744593,59,63
1561746496,55,57
1561748430,62,55
1561750363,50,58
1561752283,43,48
1561754175,62,45
1561756124,60,61
1561758016,57,58
1561759961,43,54
1561761887,47,54
1561763805,57,46
1561765715,62,54
1561767637,53,64
1561769544,44,50
1561771459,61,44
1561773641,66,61
1561775538,60,64
1561777456,44,58
1561779374,64,49
1561783212,47,65
1561785132,57,45
1561787077,56,58
1561788995,55,56
1561790919,61,56
1561792830,64,62
1561794746,48,64
1561796694,36,49
1561798575,51,35
1561800508,21,52
1561802440,24,23
1561804338,20,25
1561806262,20,18
1561808197,22,21
1561810101,31,21
1561812015,21,30
1561813939,24,23
1561815874,26,23
1561817780,50,26
1561819696,59,48
1561821637,48,56
1561823556,41,44
1561825458,51,44
1561827373,65,54
1561829316,46,64
1561831239,53,47
1561833161,50,51
1561835322,49,52
1561837237,57,50
1561839140,68,57
1561841076,53,67
1561842978,53,57
1561844916,47,44
1561846831,65,54
1561848762,61,66
1561850653,58,60
1561852596,65,58
1561854492,57,58
1561856442,56,61
1561860281,59,53
1561862170,49,53
1561864098,51,54
1561866033,48,50
1561867940,47,48
1561869876,60,53
1561871800,58,58
1561873720,61,59
1561875645,65,60
1561877535,55,67
1561879479,53,54
1561881393,56,53
1561883296,39,57
1561885237,48,41
1561887161,25,47
1561889079,20,28
1561890977,15,21
1561892895,19,14
1561894838,30,16
1561896735,56,31
1561898660,48,55
1561900599,63,48
1561902521,51,61
1561904436,42,50
1561906335,56,44
1561908254,49,56
1561910197,56,46
1561912126,52,52
1561915937,50,60
1561917883,48,46
1561919773,61,48
1561921701,56,62
1561923635,66,59
1561925537,51,55
1561927474,50,56
1561929378,59,57
1561931291,51,58
1561933214,58,50
1561935139,56,53
1561937057,53,60
1561938995,45,50
1561940920,49,44
1561942833,47,50
1561944761,46,49
1561946677,46,47
1561948576,57,46
1561950516,57,58
1561952417,52,50
1561954424,58,57
1561956258,58,58
1561958196,46,57
1561960100,66,51
1561962029,57,64
1561963957,57,57
1561965853,41,59
1561967777,57,43
1561969714,36,56
1561971653,56,37
1561973540,28,54
1561975485,16,29
