DateTime,AddedIPs,RemovedIPs
1556476021,375,375
1556486821,386,386
1556497621,252,252
1556508421,1080,1080
1556519221,619,619
1556530021,547,547
1556540821,525,525
1556551621,490,490
1556562421,510,510
1556573221,473,473
1556584021,932,932
1556594821,870,870
1556605621,693,693
1556616421,411,411
1556627221,639,639
1556638021,504,504
1556648821,452,452
1556659621,373,373
1556670421,782,782
1556681221,781,781
1556692021,506,506
1556702821,812,812
1556713621,477,477
1556724421,476,476
1556735221,450,450
1556746021,447,447
1556756821,691,691
1556767621,912,912
1556778421,687,687
1556789221,596,596
1556800021,554,554
1556810821,438,438
1556821621,418,418
1556832421,423,423
1556843221,264,264
1556854021,1058,1058
1556864821,669,669
1556875621,585,585
1556886421,353,353
1556897221,609,609
1556908021,384,384
1556918821,415,415
1556929621,690,690
1556940421,905,905
1556951221,606,606
1556962021,596,596
1556972821,477,477
1556983621,392,392
1556994421,351,351
1557005221,218,218
1557016021,306,306
1557026821,921,921
1557037621,675,675
1557048421,492,492
1557059221,308,308
1557070021,473,473
1557080821,505,505
1557091621,272,272
1557102421,387,387
1557113221,1090,1090
1557124021,702,702
1557134821,603,603
1557145621,530,530
1557156421,487,487
1557167221,448,448
1557178021,451,451
1557188821,392,392
1557199621,1031,1031
1557210421,677,677
1557221221,624,624
1557232021,479,479
1557242821,419,419
1557253621,455,455
1557264421,441,441
1557275221,386,386
1557286021,1025,1025
1557296821,663,663
1557307621,575,575
1557318421,490,490
1557329221,506,506
1557340021,506,506
1557350821,478,478
1557361621,454,454
1557372421,1025,1025
1557383221,664,664
1557394021,529,529
1557404821,494,494
1557415621,419,419
1557426421,380,380
1557437221,384,384
1557448021,359,359
1557458821,944,944
1557469621,613,613
1557480421,542,542
1557491221,483,483
1557502021,480,480
1557512821,362,362
1557523621,403,403
1557534421,353,353
1557545221,847,847
1557556021,655,655
1557566821,515,515
1557577621,482,482
1557588421,458,458
1557599221,368,368
1557610021,360,360
1557620821,350,350
1557631621,862,862
1557642421,601,601
1557653221,499,499
1557664021,486,486
1557674821,472,472
1557685621,357,357
1557696421,366,366
1557707222,381,381
1557718021,873,873
1557728821,678,678
1557739621,762,762
1557750421,366,366
1557761221,521,521
1557772021,399,399
1557782821,346,346
1557793621,327,327
1557804421,906,906
1557815221,587,587
1557826021,489,489
1557836821,337,337
1557847621,621,621
1557858421,372,372
1557869221,240,240
1557880021,300,300
1557890821,1034,1034
1557901621,621,621
1557912421,610,610
1557923221,535,535
1557934021,358,358
1557944821,419,419
1557955621,501,501
1557966421,295,295
1557977221,981,981
1557988021,633,633
1557998821,715,715
1558009621,477,477
1558020421,350,350
1558031221,394,394
1558042021,347,347
1558052821,324,324
1558063621,830,830
1558074421,849,849
1558085221,382,382
1558096021,498,498
1558106821,448,448
1558117621,364,364
1558128421,316,316
1558142822,234,234
1558153621,997,997
1558164421,536,536
1558175221,523,523
1558186021,529,529
1558196821,411,411
1558207621,419,419
1558218421,350,350
1558229221,736,736
1558240021,788,788
1558250821,503,503
1558261621,512,512
1558272421,467,467
1558283221,385,385
1558294021,395,395
1558304821,407,407
1558315621,847,847
1558326421,789,789
1558337221,633,633
1558348021,584,584
1558358821,493,493
1558369621,433,433
1558380421,443,443
1558391221,446,446
1558402021,747,747
1558412821,814,814
1558423621,593,593
1558434421,561,561
1558445221,459,459
1558456021,444,444
1558466821,448,448
1558477621,416,416
1558488421,678,678
1558499221,837,837
1558510021,667,667
1558520821,556,556
1558531622,573,573
1558542421,444,444
1558553221,345,345
1558564021,357,357
1558574821,698,698
1558585621,813,813
1558596421,620,620
1558607221,526,526
1558618021,494,494
1558628821,427,427
1558639621,478,478
1558650421,332,332
1558661221,714,714
1558672021,765,765
1558682821,553,553
1558693621,531,531
1558704421,437,437
1558715221,407,407
1558726021,419,419
1558736821,414,414
1558747621,736,736
1558758421,749,749
1558769221,500,500
1558780021,526,526
1558790821,461,461
1558801621,379,379
1558812421,446,446
1558823221,374,374
1558834021,895,895
1558844821,821,821
1558855621,542,542
1558866421,467,467
1558877221,424,424
1558888021,453,453
1558898821,380,380
1558909621,441,441
1558920421,837,837
1558931221,825,825
1558942021,590,590
1558952821,565,565
1558963621,472,472
1558974421,456,456
1558985221,427,427
1558996021,382,382
1559006821,901,901
1559017621,755,755
