DateTime,Entries,UniqueIPs
1558392276,12845,12845
1558398050,12869,12869
1558404284,13672,13672
1558409060,13747,13747
1558413889,13697,13697
1558419391,13690,13690
1558423707,12905,12905
1558428756,12936,12936
1558432826,12889,12889
1558438351,12887,12887
1558444118,12815,12815
1558448197,13591,13591
1558452757,14382,14382
1558456982,15200,15200
1558465931,15631,15631
1558470033,15543,15543
1558473634,15494,15494
1558477236,15404,15404
1558481306,15462,15462
1558485163,15490,15490
1558489231,16357,16357
1558494992,16364,16364
1558498341,16246,16246
1558504348,16223,16223
1558507699,16257,16257
1558513226,16242,16242
1558517311,16181,16181
1558539265,13064,13064
1558541418,13869,13869
1558550924,13947,13947
1558554995,13916,13916
1558559080,14010,14010
1558562913,14107,14107
1558566756,14100,14100
1558570601,14023,14023
1558574911,13993,13993
1558578760,13915,13915
1558582352,13914,13914
1558585233,13989,13989
1558588114,14751,14751
1558590994,14808,14808
1558592921,15578,15578
1558593853,16125,16125
1558596257,16145,16145
1558598680,16990,16990
1558602040,16967,16967
1558605881,17001,17001
1558608272,17855,17855
1558611391,18598,18598
1558614038,19316,19316
1558616901,20125,20125
1558620994,20935,20935
1558626275,20914,20914
1558634687,20911,20911
1558637580,20790,20790
1558640434,21493,21493
1558643053,21412,21412
1558643562,21370,21370
1558646439,21305,21305
1558649329,21216,21216
1558652440,21929,21929
1558654839,22052,22052
1558657460,21979,21979
1558661805,22004,22004
1558663476,22778,22778
1558666848,22881,22881
1558669452,22827,22827
1558673559,22884,22884
1558679077,22199,22199
1558686037,20070,20070
1558689401,20178,20178
1558692995,20165,20165
1558698755,19405,19405
1558702117,19504,19504
1558705484,19519,19519
1558709057,19540,19540
1558712435,20322,20322
1558715313,20462,20462
1558719043,21213,21213
1558722762,21277,21277
1558726121,21273,21273
1558730436,20676,20676
1558733059,20723,20723
1558736431,20728,20728
1558742443,19941,19941
1558745316,19953,19953
1558748685,19881,19881
1558752280,19889,19889
1558755885,19080,19080
1558758520,19671,19671
1558762116,19537,19537
1558765969,19534,19534
1558770756,20355,20355
1558774123,20348,20348
1558777724,20304,20304
1558781558,20329,20329
1558785159,20204,20204
1558788012,21021,21021
1558792128,20210,20210
1558795477,20104,20104
1558799074,20025,20025
1558801720,19963,19963
1558805559,20034,20034
1558806442,20061,20061
1558809158,20827,20827
1558812869,20071,20071
1558817076,20029,20029
1558821162,20011,20011
1558831228,19245,19245
1558835566,18568,18568
1558842514,17941,17941
1558848523,17244,17244
1558855241,17234,17234
1558858106,17093,17093
1558861960,17116,17116
1558865078,17092,17092
1558867937,17878,17878
1558870834,17848,17848
1558874176,17903,17903
1558877587,17905,17905
1558880451,17928,17928
1558883817,17954,17954
1558886663,18026,18026
1558890038,18047,18047
1558893380,17969,17969
1558896283,17953,17953
1558901322,17959,17959
1558907555,17894,17894
1558911143,17782,17782
1558921236,17700,17700
1558922900,17698,17698
1558927966,18464,18464
1558931058,18414,18414
1558934407,19201,19201
1558937322,19192,19192
1558941641,19882,19882
1558944520,19182,19182
1558948120,20016,20016
1558954614,18506,18506
1558959411,18484,18484
1558962513,18478,18478
1558966579,18380,18380
1558970404,17597,17597
1558975084,17528,17528
1558982421,16644,16644
1558986817,16626,16626
1558990493,16586,16586
1559004258,15844,15844
1559009325,15103,15103
1559036898,10362,10362
1559039328,11127,11127
1559044603,11129,11129
1559049398,10369,10369
1559052763,11155,11155
1559056838,10437,10437
1559059729,11246,11246
1559062118,11287,11287
1559064275,12043,12043
1559067874,12767,12767
1559076501,12059,12059
1559080119,12108,12108
1559083003,12860,12860
1559086574,13649,13649
1559090431,14511,14511
1559093776,14661,14661
1559097136,14610,14610
1559103607,15369,15369
1559106741,16126,16126
1559110126,16974,16974
1559113963,17749,17749
1559117797,18513,18513
1559121394,19331,19331
1559126192,18451,18451
1559130282,19311,19311
1559134351,19339,19339
1559138947,19369,19369
1559142759,19403,19403
1559147310,18604,18604
1559154512,17246,17246
1559188357,12356,12356
1559210168,8179,8179
1559213301,8196,8196
1559216430,9002,9002
1559219562,8921,8921
1559223134,8941,8941
1559226757,8917,8917
1559229858,8894,8894
1559233492,9668,9668
1559237557,9654,9654
1559241157,9648,9648
1559246926,10401,10401
1559251967,11215,11215
1559266572,12027,12027
1559269233,12780,12780
1559275721,12754,12754
1559288930,13585,13585
1559291533,14376,14376
1559309562,11240,11240
1559316038,11222,11222
1559321803,10498,10498
1559326134,10471,10471
1559330657,10367,10367
1559335004,10428,10428
1559349883,10479,10479
1559360436,9690,9690
1559363562,9620,9620
