DateTime,AddedIPs,RemovedIPs
1559873196,2,1
1559876794,0,1
1559880395,0,1
1559887592,0,2
1559891192,2,1
1559894793,7,2
1559898394,2,0
1559901994,1,0
1559912797,1,1
1559919996,1,1
1559923599,1,0
1559927200,1,0
1559930802,1,1
1559934395,4,2
1559937998,0,1
1559941596,1,0
1559945197,1,0
1559948803,4,1
1559952412,20,2
1559956013,3,0
1559959620,2,1
1559963215,2,3
1559966822,3,1
1559970420,0,1
1559974015,0,1
1559977611,1,5
1559981211,5,18
1559984810,2,0
1559988416,8,1
1559995627,3,1
1559999219,1,1
1560002822,1,1
1560006418,0,2
1560010018,1,0
1560013615,1,3
1560017222,0,2
1560020816,0,2
1560024411,0,3
1560028014,0,1
1560031612,2,1
1560035220,1,2
1560038814,1,0
1560046013,2,1
1560049616,1,1
1560053217,3,1
1560056819,0,1
1560060418,2,3
1560064020,2,0
1560067624,1,5
1560071227,2,2
1560074814,1,20
1560078413,3,1
1560082019,2,3
1560085614,0,2
1560089206,0,3
1560092806,2,4
1560096400,0,2
1560100000,1,1
1560103599,2,2
1560107194,1,2
1560110795,4,1
1560114393,1,2
1560118000,0,2
1560121590,0,1
1560125200,1,1
1560128795,0,1
1560132393,2,0
1560135991,0,2
1560139597,19,0
1560143198,0,1
1560146797,0,3
1560150402,2,0
1560157600,0,1
1560171997,1,1
1560175566,0,43
1560179162,1,4
1560189954,1,19
1560193555,4,1
1560197177,22,0
1560200777,3,0
1560204376,3,0
1560207981,3,0
1560211578,1,0
1560215180,1,2
1560218784,4,2
1560222383,1,0
1560225982,1,2
1560229584,1,0
1560233182,1,0
1560236784,1,0
1560240386,3,1
1560247598,4,0
1560254792,4,0
1560258390,0,1
1560261994,13,2
1560265598,5,0
1560269202,0,1
1560272800,1,19
1560276393,4,3
1560279992,1,1
1560283591,2,1
1560287189,1,3
1560290788,1,1
1560294397,9,0
1560301598,0,4
1560305198,0,2
1560308798,0,2
1560312389,0,3
1560315984,3,12
1560323181,1,0
1560326779,0,1
1560330384,0,1
1560333983,3,1
1560337589,2,3
1560341184,1,0
1560348385,1,0
1560351985,0,1
1560359187,1,3
1560362791,2,0
1560366387,1,0
1560369986,0,1
1560373585,0,8
1560377177,1,12
1560380777,1,0
1560384372,0,2
1560387982,4,2
1560398781,5,5
1560402384,1,2
1560405988,4,0
1560409588,0,1
1560413194,2,2
1560416796,2,0
1560420393,1,1
1560423994,2,2
1560427601,3,0
1560431199,0,7
1560438395,0,2
1560441996,3,2
1560445600,0,1
1560449192,0,2
1560452796,1,3
1560456393,1,3
1560459988,0,2
1560463592,2,6
1560467182,2,4
1560470782,0,1
1560474381,0,2
1560477982,1,1
1560481581,0,1
1560485189,20,0
1560488794,1,1
1560492389,1,1
1560495993,1,2
1560499588,1,6
1560503188,1,1
1560506790,4,2
1560517588,1,2
1560521190,2,0
1560524791,1,0
1560528391,0,1
1560531990,0,1
1560535590,0,1
1560539190,1,3
1560546389,0,1
1560549993,0,1
1560553584,1,3
1560557177,2,17
1560560774,0,3
1560564371,2,2
1560567976,1,2
1560571573,1,4
1560575175,1,0
1560582369,2,2
1560585968,1,3
1560589569,0,1
1560593168,1,2
1560596766,1,2
1560600362,3,3
1560603966,6,3
1560607564,4,2
1560611169,5,0
1560614765,5,3
1560618366,3,5
1560621966,3,0
1560625569,4,2
1560629166,4,0
1560632768,5,0
1560636372,1,0
1560639968,0,1
1560643568,0,1
1560650765,1,1
1560654367,1,0
1560657969,1,0
1560661572,1,0
1560665172,1,1
1560668776,3,0
1560672386,3,0
1560675984,0,2
1560679587,1,0
1560683184,1,1
1560686781,0,3
1560690381,1,2
1560693981,3,0
1560697583,4,1
1560701181,0,2
1560704781,0,2
1560708393,23,3
1560711996,0,1
1560715592,0,5
1560719188,2,1
1560722791,2,4
1560726394,0,2
1560729991,1,0
1560733585,0,1
1560740787,1,0
1560744378,0,20
1560751581,2,0
1560776826,0,2
1560780382,0,1
1560783979,2,1
1560794779,0,1
1560798385,3,2
1560801963,2,14
1560805568,1,1
1560809166,0,1
1560812763,2,1
1560816370,1,0
1560820009,1,1
1560823568,2,0
1560827169,0,1
1560834367,1,1
1560837971,1,1
1560841570,0,1
1560848781,2,0
1560852387,1,4
1560855963,1,1
1560859568,1,1
1560863167,1,0
1560866768,1,17
1560870361,0,7
1560877557,0,1
1560881156,4,1
1560884770,21,0
1560891972,0,2
1560895565,1,3
1560899158,1,9
1560906359,1,0
1560909960,1,1
1560913562,1,1
1560917164,6,0
1560920778,0,1
1560924365,2,1
1560927970,5,1
1560931568,3,0
1560935170,2,0
1560938773,6,3
1560942378,1,1
1560945969,0,1
1560949579,1,0
1560956768,1,1
1560960367,0,1
1560967568,1,2
1560971171,1,0
1560974783,1,0
1560978368,1,0
1560981968,3,1
1560985570,2,0
1560989173,0,1
1560992765,1,3
1560999973,3,0
1561003572,7,1
1561007177,2,0
1561010783,3,0
1561014383,2,1
1561017978,0,1
1561021578,1,3
1561025180,2,0
1561032379,2,2
1561035982,2,0
1561043180,1,1
1561046783,1,0
1561050401,1,3
1561053986,2,0
1561057580,1,2
1561061178,2,3
1561064785,2,2
1561068376,2,3
1561071980,13,4
1561075583,13,2
1561079185,6,0
1561082784,1,1
1561086389,5,1
1561089974,5,22
1561093575,0,1
1561097177,1,2
1561100776,3,0
1561104385,2,1
1561107984,2,0
1561111581,1,1
1561118782,1,0
1561122384,1,1
1561129582,0,1
1561133186,1,1
1561136780,1,2
1561140382,1,1
1561147579,1,0
1561154780,2,1
1561158387,4,3
1561161993,3,3
1561169192,1,1
1561172792,1,1
1561176384,0,2
1561179988,2,1
1561187187,1,1
1561190790,1,1
1561197988,2,0
1561201594,5,0
1561205197,2,0
1561208796,0,2
1561212397,2,2
1561216002,2,3
1561219597,3,3
1561223197,1,2
1561226801,2,4
1561230401,3,1
1561234000,0,3
1561237600,0,11
1561241199,2,0
1561248400,2,0
1561252013,15,1
1561255611,1,2
1561259213,1,0
1561266413,3,0
1561270017,2,0
1561273625,2,2
1561277225,4,0
1561280823,2,3
1561284427,1,4
1561291626,3,0
1561295224,0,5
1561298824,3,1
1561302423,0,3
1561306017,1,3
1561309616,1,1
1561313201,2,21
1561316801,0,3
1561320394,0,3
1561323996,4,6
1561327584,0,4
1561331181,0,2
1561338390,1,2
1561341984,0,1
1561345580,1,2
1561349178,1,3
1561356376,1,2
1561359975,1,2
1561367180,1,0
1561377975,1,1
1561385179,2,1
1561388782,1,2
1561392378,1,0
1561395985,0,1
1561403171,2,3
1561406772,1,1
1561410370,1,1
1561417575,0,1
1561421175,2,1
1561424773,1,1
1561428368,0,2
1561431968,1,0
1561435568,1,1
1561439179,1,1
1561442765,2,3
1561446365,0,1
1561449964,0,1
1561453562,0,2
1561460758,0,1
1561464358,3,1
1561471563,2,1
1561475159,1,0
1561478762,2,0
1561482367,2,0
1561485961,2,3
1561489560,24,18
1561493159,1,0
1561500370,2,1
1561503963,1,0
1561507568,1,0
1561511164,1,1
1561518364,2,1
1561521962,1,2
1561525569,1,0
1561529166,2,3
1561532761,0,4
1561536363,1,3
1561539957,1,1
1561543557,2,4
1561547162,2,0
1561550764,1,0
1561554363,1,0
1561557961,1,0
1561561561,0,1
1561565163,3,0
1561568774,2,1
1561572361,0,1
1561579568,4,1
1561583165,1,1
1561590364,1,1
1561593968,1,1
1561597568,0,1
1561601165,3,0
1561604765,1,0
1561608362,0,4
1561611966,3,0
1561615570,2,0
1561619168,0,3
1561622776,2,0
1561626377,2,0
1561629968,0,3
1561637171,1,1
1561640767,0,4
1561644370,2,1
1561647964,0,2
1561655163,0,1
1561658763,1,2
1561662367,0,1
1561665957,1,2
1561669555,3,2
1561673149,1,6
1561676737,1,16
1561680336,2,13
1561683934,0,8
1561687536,2,5
1561691136,1,8
1561694728,0,8
1561705522,0,3
1561712719,1,3
1561716316,0,1
1561719918,1,1
1561723516,0,1
1561730714,0,1
1561734314,1,0
1561737914,2,1
1561741516,1,1
1561745112,0,2
1561748714,3,0
1561752320,2,0
1561755920,9,0
1561759527,16,1
1561763125,0,2
1561766729,1,1
1561770333,0,2
1561773929,1,2
1561777527,1,3
1561781127,1,2
1561784722,0,1
1561788320,1,2
1561791922,1,5
1561795522,0,1
1561802715,0,2
1561806315,1,4
1561809910,0,1
1561813516,0,2
1561817105,0,2
1561820701,0,3
1561824299,0,8
1561827902,3,1
1561831502,0,2
1561835099,0,4
1561838695,1,3
1561842301,2,1
1561845888,0,5
1561849494,1,0
1561853093,0,1
1561856685,22,24
1561860287,1,3
1561863887,0,1
1561867485,1,0
1561871089,4,0
1561874691,3,0
