DateTime,AddedIPs,RemovedIPs
1559426636,0,3
1559430239,0,3
1559433843,1,2
1559437427,0,17
1559444626,1,4
1559451826,0,1
1559455428,0,1
1559459028,0,1
1559462624,0,2
1559466223,0,1
1559469831,19,0
1559473433,1,1
1559477037,0,2
1559484230,0,1
1559487831,1,1
1559498634,0,2
1559502227,0,1
1559513026,0,2
1559520229,1,0
1559523821,1,23
1559527422,0,1
1559531016,0,2
1559534618,0,4
1559545413,0,3
1559549017,0,1
1559556209,0,4
1559559813,0,1
1559563408,1,0
1559567014,1,0
1559570649,44,0
1559574248,4,2
1559585051,18,0
1559588649,0,2
1559592252,2,3
1559595852,0,1
1559599450,1,1
1559603052,0,1
1559606649,1,2
1559610249,1,0
1559613850,2,0
1559617447,1,1
1559624654,2,1
1559635453,0,1
1559646249,1,1
1559649847,1,2
1559653447,1,0
1559657041,1,21
1559660637,0,1
1559664237,1,0
1559667841,15,4
1559671437,0,3
1559675035,1,1
1559678642,1,1
1559682239,5,1
1559693037,0,1
1559696637,4,2
1559700239,3,0
1559703837,1,0
1559707450,12,0
1559711060,2,1
1559718248,2,1
1559721852,3,2
1559729047,1,0
1559732652,1,1
1559739849,5,1
1559743453,0,1
1559754252,1,2
1559757834,0,17
1559768640,8,0
1559772248,10,0
1559779449,0,1
1559783056,1,1
1559793857,1,0
1559808251,2,0
1559815455,3,0
1559826263,6,0
1559833456,1,1
1559837053,2,0
1559844255,1,0
1559847847,1,22
1559851446,1,0
1559855047,2,0
1559862254,1,0
1559865848,1,0
1559869448,0,1
1559873049,2,1
1559887447,0,1
1559891047,2,1
1559894651,7,1
1559898251,2,0
1559901851,1,0
1559912651,0,1
1559919851,0,1
1559923456,1,0
1559927056,1,0
1559930652,1,1
1559934251,2,1
1559937854,0,1
1559941452,1,0
1559945059,1,0
1559948658,4,1
1559952264,20,2
1559955867,3,0
1559959472,1,1
1559963067,1,2
1559966675,3,1
1559970273,0,1
1559977479,1,4
1559981065,3,18
1559984664,1,0
1559988270,8,1
1559995470,1,1
1559999069,1,1
1560002671,1,1
1560006267,0,2
1560009868,1,0
1560013474,1,2
1560017066,0,2
1560020665,0,2
1560024266,0,3
1560027868,0,1
1560035066,1,2
1560045869,0,1
1560049462,0,1
1560053060,0,1
1560056666,0,1
1560060259,0,2
1560067461,0,3
1560071064,1,2
1560074647,0,20
1560081853,0,3
1560089047,0,1
1560092651,0,1
1560096246,0,2
1560103440,1,1
1560107041,1,0
1560110643,1,0
1560114243,1,0
1560125051,1,1
1560132247,2,0
1560139451,18,0
1560146653,0,2
1560150254,2,0
1560157453,0,1
1560171856,0,1
1560175422,0,43
1560179015,1,3
1560189811,1,19
1560193415,4,0
1560197020,10,0
1560200623,3,0
1560204219,3,0
1560207828,3,0
1560211420,1,0
1560215027,1,2
1560218624,4,1
1560222226,1,0
1560225834,1,0
1560229434,1,0
1560236632,1,0
1560240233,3,1
1560247445,4,0
1560254636,3,0
1560258235,0,1
1560261844,13,1
1560265442,5,0
