DateTime,AddedIPs,RemovedIPs
1559592686,1,1
1559596264,1,2
1559599766,2,2
1559603482,1,0
1559607070,3,1
1559610574,1,3
1559614280,0,5
1559617874,2,0
1559621373,2,1
1559625070,1,0
1559628672,0,1
1559632172,0,1
1559635877,0,1
1559642966,1,2
1559646680,2,0
1559650272,2,0
1559653763,1,1
1559657480,1,0
1559664563,1,1
1559668293,2,0
1559671875,1,3
1559675367,0,3
1559679076,1,4
1559682669,1,2
1559689871,1,0
1559693360,2,3
1559697055,4,4
1559700682,4,2
1559704149,2,2
1559707760,3,0
1559711559,1,0
1559722285,2,1
1559725861,0,1
1559729354,0,2
1559736552,0,1
1559740254,0,1
1559743867,0,2
1559747360,0,2
1559758149,2,1
1559761751,0,1
1559765473,2,0
1559772569,3,0
1559776296,0,1
1559779751,1,2
1559783449,0,2
1559787054,1,2
1559790550,1,3
1559794148,1,1
1559801347,0,2
1559804947,0,2
1559812240,1,3
1559815740,1,2
1559819506,2,0
1559826643,1,1
1559833740,1,2
1559837343,0,1
1559844531,0,1
1559848137,0,2
1559851906,1,0
1559855436,2,1
1559858939,3,0
1559862700,0,1
1559866131,0,3
1559869839,2,4
1559873510,1,2
1559876924,0,3
1559880536,0,1
1559887736,1,1
1559891328,1,2
1559902123,1,1
1559909331,1,0
1559920130,2,1
1559923740,0,3
1559930929,4,1
1559934541,2,0
1559938253,0,1
1559945329,1,0
1559949047,1,3
1559952539,2,0
1559956240,2,2
1559959840,1,1
1559963338,2,0
1559966930,1,3
1559974135,0,2
1559977732,3,1
1559981441,1,0
1559995731,0,8
1559999418,0,46
1560003024,1,2
1560006519,0,1
1560010114,1,1
1560013921,1,1
1560020920,2,0
1560024652,4,0
1560028250,1,2
1560031724,1,1
1560038917,2,3
1560042649,1,9
1560046236,0,1
1560049719,1,0
1560064122,3,1
1560067830,2,2
1560071433,0,3
1560078637,2,1
1560082121,2,0
1560089444,1,0
1560092924,1,2
1560103727,4,1
1560107328,3,3
1560111029,0,3
1560121837,1,2
1560125315,1,1
1560129027,3,2
1560132666,0,2
1560136115,1,3
1560143521,0,11
1560146877,0,30
1560150459,2,28
1560154151,2,13
1560157736,1,2
1560172138,0,2
1560175754,1,0
1560179237,2,1
1560182850,1,0
1560190013,0,83
1560200953,6,2
1560208138,2,1
1560211625,3,0
1560218956,2,2
1560222421,0,2
1560226033,1,3
1560233218,3,1
1560236813,0,1
1560244129,2,0
1560247615,0,2
1560254815,2,2
1560262128,1,2
1560265610,1,0
1560269209,2,1
1560276419,2,3
1560280012,2,1
1560287320,2,1
1560290824,6,0
1560298025,6,1
1560305346,8,5
1560312418,1,1
1560319623,1,0
1560323222,2,1
1560326945,1,1
1560330520,0,1
1560341227,1,1
1560348543,0,2
1560352017,2,0
1560355619,1,0
1560362823,1,1
1560366423,3,1
1560373740,6,2
1560377226,1,2
1560384423,0,1
1560391745,4,3
1560402636,2,2
1560409628,0,2
1560413278,1,0
1560420442,1,2
1560434938,2,1
1560438421,0,1
1560445819,2,0
1560449225,1,2
1560452829,3,0
1560456578,1,0
1560460150,3,1
1560463634,0,4
1560467359,4,3
1560470828,0,1
1560478157,2,2
1560481625,1,0
1560489017,0,2
1560492435,0,1
1560496022,0,1
1560503322,1,0
1560514027,3,0
1560521362,2,0
1560524828,0,1
1560528430,1,0
1560535634,3,5
1560539232,3,0
1560546538,4,2
1560550030,0,3
1560557236,3,0
1560560945,1,2
1560564586,2,1
1560568034,2,1
1560571635,0,3
1560575439,1,0
1560578831,5,3
1560582429,0,1
1560589741,2,1
1560593234,1,0
1560596945,3,1
1560600446,5,1
1560604139,2,1
1560607759,2,0
1560611241,1,0
1560614853,1,0
1560618651,1,2
1560625649,2,0
1560629416,0,1
1560632967,5,3
1560636459,3,1
1560640237,1,0
1560643656,2,1
1560647373,5,3
1560654464,1,0
1560661875,1,1
1560665264,1,2
1560668865,1,1
1560676169,0,2
1560683370,1,1
1560686869,0,1
1560708462,0,2
1560712063,3,1
1560715768,0,1
1560719361,1,0
1560722860,1,0
1560726582,4,1
1560730065,0,1
1560733771,1,2
1560737377,0,1
1560740864,2,1
1560744467,0,1
1560748284,2,1
1560751666,1,0
1560755259,1,1
1560758967,0,1
1560769769,1,2
1560773280,3,1
1560780572,1,2
1560784062,1,0
1560787662,1,0
1560791486,3,0
1560798479,2,0
1560802184,1,1
1560805774,2,2
1560809270,3,0
1560812986,1,2
1560816479,1,3
1560820201,1,3
1560823789,1,1
1560827268,1,1
1560830879,0,2
1560834667,0,1
1560838068,1,1
1560841662,0,1
1560845378,1,1
1560848966,2,0
1560852482,3,1
1560856178,2,1
1560859672,1,2
1560866986,1,2
1560870473,1,0
1560877892,3,0
1560881275,1,3
1560884870,2,2
1560888583,1,2
1560892174,1,1
1560895663,0,4
1560902863,0,7
1560906570,2,5
1560910213,3,0
