DateTime,AddedIPs,RemovedIPs
1560143842,5,5
1560147421,3,0
1560150977,10,3
1560154592,6,25
1560158168,3,3
1560161765,3,5
1560165444,4,2
1560172601,5,9
1560176195,5,4
1560179794,6,2
1560183419,0,2
1560187178,5,2
1560190653,3,0
1560194237,3,3
1560197929,7,13
1560201441,0,1
1560205057,5,0
1560208701,1,5
1560212243,1,0
1560215898,0,3
1560219517,1,5
1560223049,3,3
1560226678,5,0
1560230291,4,2
1560233811,3,1
1560237426,10,5
1560241138,21,2
1560244684,4,1
1560248253,2,2
1560251865,3,2
1560255437,4,1
1560259013,1,1
1560262614,4,5
1560266196,4,2
1560269792,1,3
1560273467,2,5
1560277021,3,0
1560280602,4,1
1560284220,1,3
1560287809,1,3
1560291398,1,4
1560295022,0,3
1560298591,1,1
1560302206,1,6
1560305816,1,3
1560309373,2,4
1560312967,2,3
1560316634,1,3
1560320168,6,3
1560323781,3,1
1560327388,2,7
1560330980,4,2
1560334560,2,5
1560338185,6,3
1560341788,4,4
1560345379,1,3
1560348992,1,0
1560352585,3,2
1560356170,6,14
1560359824,0,16
1560363376,4,1
1560366961,3,1
1560370590,2,4
1560374187,3,2
1560377786,0,3
1560381379,1,1
1560384960,1,0
1560388562,4,2
1560392181,2,4
1560395771,1,1
1560399382,6,1
1560403053,7,2
1560406569,7,4
1560410177,7,5
1560413790,5,33
1560417385,7,2
1560421098,6,2
1560424623,5,6
1560428178,4,3
1560431782,4,7
1560435387,2,4
1560438963,2,4
1560442569,2,4
1560446233,1,1
1560449756,4,4
1560453385,0,2
1560457020,4,3
1560460599,2,3
1560464169,1,2
1560467785,4,2
1560471366,2,2
1560474987,1,8
1560478587,2,1
1560482255,5,1
1560485756,3,10
1560489420,4,0
1560492972,3,0
1560496564,4,0
1560500206,21,4
1560503798,2,1
1560507377,0,1
1560511005,5,4
1560514573,4,1
1560518188,4,2
1560521809,1,4
1560525385,2,1
1560528975,2,3
1560532636,0,1
1560536183,2,3
1560539788,1,0
1560543409,0,1
1560546982,0,1
1560550584,12,3
1560554198,5,0
1560557780,0,2
1560561381,2,1
1560564999,1,3
1560568577,2,3
1560572201,2,2
1560575857,2,3
1560579381,2,4
1560582993,4,3
1560586592,4,23
1560590173,5,2
1560593756,1,2
1560597393,2,3
1560600975,3,4
1560604574,5,2
1560608180,2,2
1560611771,4,2
1560615377,3,0
1560619049,2,4
1560622625,0,4
1560626192,1,1
1560629796,3,3
1560633393,5,0
1560636975,1,4
1560640595,1,0
1560644172,5,2
1560647786,1,1
1560654993,2,1
1560658583,1,2
1560662241,2,2
1560665786,7,2
1560669386,1,2
1560673004,3,1
1560676601,4,2
1560680185,1,5
1560683803,3,1
1560687397,5,6
1560691012,1,0
1560694605,2,2
1560698187,3,2
1560701787,2,0
1560705470,9,2
1560709018,1,0
1560712600,4,1
1560716217,3,3
1560719802,0,1
1560723395,2,0
1560727033,4,1
1560730609,1,1
1560734233,1,3
1560737843,1,1
1560741410,0,2
1560745020,2,1
1560748670,3,5
1560752185,3,3
1560755776,4,9
1560759409,22,6
1560763004,3,4
1560766609,6,4
1560770218,7,5
1560773798,2,2
1560777408,5,3
1560781046,3,5
1560784598,8,5
1560788194,3,2
1560791875,4,3
1560795395,1,4
1560799007,2,4
1560802626,4,6
1560806198,2,4
1560809823,1,3
1560813408,0,2
1560817007,1,2
1560820610,2,1
1560824226,1,4
1560827795,1,1
1560831377,2,5
1560835030,2,9
1560838569,3,2
1560842151,3,11
1560845771,2,20
1560849361,5,7
1560852948,8,3
1560856570,4,1
1560860186,3,3
1560863851,5,3
1560867378,12,2
1560870942,3,5
1560874584,2,1
