DateTime,AddedIPs,RemovedIPs
1560178809,93,78
1560182642,89,85
1560184561,100,54
1560188403,82,80
1560190323,113,161
1560192242,204,157
1560194162,83,100
1560198243,98,104
1560204012,91,110
1560207842,76,134
1560210006,86,100
1560213843,46,88
1560217683,75,86
1560221522,85,94
1560225363,83,106
1560229209,78,82
1560231122,92,67
1560236884,131,102
1560242642,71,69
1560246482,63,67
1560250322,67,59
1560254162,84,53
1560258008,62,57
1560259923,89,71
1560265682,81,78
1560267604,85,73
1560269522,86,83
1560275282,81,87
1560281042,99,90
1560282963,124,144
1560286843,81,87
1560290643,87,116
1560292563,73,144
1560296402,114,120
1560302163,61,97
1560304081,98,94
1560309844,96,125
1560311763,126,103
1560317522,154,136
1560321364,93,71
1560323283,73,66
1560329043,71,83
1560332882,78,56
1560336723,82,72
1560340563,95,64
1560344409,73,54
1560348244,84,80
1560350162,84,78
1560354246,99,87
1560358322,77,78
1560364082,101,92
1560366010,87,87
1560367923,97,87
1560372003,99,86
1560375842,87,120
1560379203,64,124
1560381123,109,125
1560386882,62,102
1560390722,88,76
1560394564,73,102
1560398432,90,89
1560400323,82,80
1560402241,78,132
1560408242,139,55
1560410162,76,59
1560415922,67,75
1560419763,77,107
1560425521,190,121
1560429362,91,70
1560433203,92,132
1560437042,134,78
1560440882,77,94
1560442802,94,77
1560444963,160,135
1560446883,99,136
1560452883,152,77
1560456722,153,242
1560464402,86,148
1560466322,129,112
1560470162,96,126
1560474010,121,88
1560475922,72,87
1560479762,83,119
1560483603,88,113
1560487442,73,80
1560491282,90,70
1560495121,73,62
1560497042,62,73
1560498962,139,106
1560504723,131,114
1560508562,61,57
1560512403,76,53
1560516722,68,62
1560520563,94,64
1560522482,65,79
1560526323,87,83
1560530162,94,87
1560532082,100,94
1560538322,78,88
1560542163,70,79
1560546009,88,67
1560549841,79,105
1560552243,78,108
1560556322,115,103
1560558243,54,88
1560564006,86,94
1560565923,74,109
1560567842,109,74
1560569762,135,192
1560573603,70,68
1560579363,99,66
1560581283,76,59
1560585123,73,70
1560588963,99,60
1560592822,80,73
1560594723,69,76
1560598563,96,61
1560602643,82,74
1560604562,77,76
1560610324,75,79
1560614164,88,85
1560618011,91,71
1560619922,80,81
1560623762,105,89
1560629524,75,83
1560631442,74,86
1560635282,75,96
1560639122,69,98
1560642962,105,104
1560646813,50,98
1560648723,73,76
1560652563,85,106
1560656403,84,97
1560660243,62,74
1560666002,79,62
1560667922,62,48
1560671764,74,69
1560675621,96,60
1560677523,78,56
1560681365,73,73
1560685203,90,69
1560689282,87,81
1560693122,73,68
1560696963,75,68
1560700812,80,72
1560704642,131,137
1560712323,163,130
1560718081,96,90
1560721921,86,116
1560726243,84,123
1560728162,123,84
1560730323,153,193
1560732242,58,102
1560736082,64,84
1560739922,80,101
1560743762,81,100
1560747612,73,75
1560749523,86,75
1560753362,96,57
1560757203,89,81
1560762963,64,69
1560764882,92,72
1560768722,73,55
1560772583,80,67
1560776409,82,71
1560778323,102,78
1560782163,96,70
1560786002,70,119
1560789842,123,80
1560795602,94,85
1560797522,82,82
1560803283,154,180
1560807123,82,113
1560810962,81,135
1560814802,109,117
1560818643,53,76
1560822482,86,95
1560826322,88,110
1560832082,91,110
1560834008,93,136
1560836162,91,83
1560840002,88,63
1560841923,150,71
1560843842,112,216
1560845763,216,112
1560847682,73,65
1560851522,74,76
1560855363,79,81
1560858242,81,79
1560860162,140,117
1560862082,84,79
1560866162,85,85
1560868084,76,89
1560871923,105,75
1560875762,84,86
1560879602,99,95
1560883442,100,101
1560887282,102,79
1560891122,107,102
1560894963,90,119
1560899523,73,116
1560901444,91,112
1560905282,52,95
1560909123,71,74
1560913211,88,105
1560915123,93,118
1560918962,88,77
1560922802,99,78
1560928803,73,82
1560930722,71,62
1560934562,130,130
1560936485,176,150
1560938411,63,66
1560940323,89,63
1560944163,86,60
1560948242,75,63
1560950162,85,72
1560955922,80,73
1560957843,84,76
1560963610,85,95
1560965522,83,107
1560969362,112,78
1560973202,90,82
1560977043,90,90
1560981122,88,89
1560984006,87,118
1560989762,95,105
1560993602,59,102
1560995523,73,80
1560999364,79,111
1561003215,108,117
1561005122,85,89
1561008962,91,85
1561012801,80,69
1561016642,82,91
1561020482,106,61
1561024323,74,67
1561028163,86,79
1561032011,99,70
1561033922,84,49
1561037765,84,83
1561042082,84,98
1561045921,99,79
1561049763,85,74
1561053614,93,82
1561057442,85,120
1561059363,105,84
1561063202,102,85
1561067042,89,122
1561070882,78,111
1561074722,80,115
1561078562,70,103
1561082415,75,83
1561084322,87,111
1561088163,83,84
1561092002,74,70
1561093923,79,70
1561099682,77,65
1561103522,75,76
1561107363,110,63
1561111210,75,78
1561115042,86,89
1561116963,99,68
1561118883,96,69
1561122723,87,102
1561128482,72,85
1561132322,97,78
1561136163,93,80
1561140012,100,95
1561141922,107,96
1561147682,96,91
1561149603,95,88
1561153442,82,105
1561156803,66,104
1561162564,90,85
1561164722,55,94
1561170483,64,85
1561172410,87,104
1561174323,80,103
1561178163,84,82
1561182003,83,70
1561183923,78,63
1561189683,73,54
1561193523,84,78
1561197363,85,63
1561199523,75,62
1561203362,94,95
1561207202,76,72
1561211042,97,70
1561214882,80,85
1561218722,73,69
1561220645,83,83
1561228323,119,154
1561230482,81,80
1561236242,97,90
1561240322,76,82
1561244162,67,87
1561248010,88,95
1561251842,51,72
1561253762,68,74
1561257842,82,100
1561263602,80,100
1561265522,65,82
1561271282,86,62
1561273210,70,45
1561275122,69,67
1561278962,85,64
1561282802,73,42
1561284722,75,60
1561290482,60,80
1561294322,79,76
1561298162,107,64
1561300322,79,74
1561304162,312,424
1561306082,439,327
1561308002,86,83
1561311842,81,81
1561315682,95,86
1561319762,76,79
1561321682,99,93
1561325522,76,118
1561329363,76,110
1561333202,91,119
1561337042,76,95
1561340882,59,91
1561344722,89,103
1561346642,85,100
1561354322,163,125
1561358162,95,76
1561362002,86,85
1561365842,85,86
1561367763,135,120
1561369682,76,68
1561371602,78,55
1561377362,88,69
1561381209,91,89
1561383122,99,96
1561386962,93,79
1561390802,89,91
1561394642,94,84
1561398481,118,82
1561402322,85,105
1561406426,106,93
1561408322,92,96
1561412163,90,110
1561416723,83,135
1561420563,102,114
1561424413,56,98
1561428243,71,71
1561432322,75,102
1561434242,97,98
1561438082,83,91
1561441921,103,69
1561445763,64,66
1561449614,81,69
1561451521,77,91
1561455362,83,76
1561459443,92,61
1561463282,75,85
1561467123,66,83
1561470963,91,68
1561475043,95,72
1561476963,95,64
1561481042,84,83
1561486803,95,77
1561488721,92,106
1561492563,113,127
1561496412,85,98
1561498322,86,116
1561500242,116,86
1561502162,135,208
1561506003,94,87
1561509842,65,77
1561513682,62,84
1561517522,85,119
1561521363,86,91
1561525213,77,71
1561527122,78,82
1561530962,70,61
1561534802,86,69
1561538646,67,54
1561540802,63,89
1561546563,70,53
1561550412,78,61
1561552322,63,63
1561556162,92,68
1561560002,82,67
1561563843,81,76
1561569842,68,75
1561571762,88,95
1561577522,168,138
1561581602,72,111
1561591203,156,193
1561593123,104,104
1561596964,85,90
1561599122,71,81
1561602962,75,97
1561606802,94,102
1561610642,89,97
1561616403,74,66
1561618322,81,73
1561622163,77,65
1561626241,92,66
1561628165,56,57
1561632003,72,55
1561635842,75,56
1561639683,70,65
1561643523,86,63
1561647364,79,71
1561649523,87,86
1561653602,94,76
1561657442,80,70
1561661282,84,89
1561665122,78,93
1561668963,84,87
1561672814,74,96
1561676883,86,97
1561678801,76,99
1561682642,63,120
1561684562,120,63
1561686481,123,175
1561690322,71,90
1561694163,92,111
1561696332,88,81
1561700403,78,82
1561704242,104,68
1561708082,82,64
1561711922,67,65
1561715762,81,60
1561719606,61,59
1561721522,71,74
1561725362,82,58
1561727283,58,82
1561729202,135,96
1561733042,71,63
1561736882,74,70
1561738801,85,63
1561744562,81,76
1561750323,119,139
1561754162,76,85
1561758002,69,74
1561761843,53,94
1561765682,82,66
1561769522,52,103
1561773616,71,85
1561775522,79,99
1561779362,76,93
1561783202,73,69
1561787042,74,71
1561790882,61,54
1561794722,70,45
1561798562,84,64
1561802414,83,63
1561804322,66,64
1561810082,82,58
1561812002,66,57
1561815842,70,69
1561819682,83,77
1561823523,88,78
1561827363,193,285
1561829283,291,196
1561831215,83,85
1561833122,91,80
1561837202,82,83
1561841043,89,68
1561844882,71,91
1561848722,52,103
1561852563,81,96
1561856409,57,77
1561858323,67,67
1561862163,72,97
1561866002,71,92
1561869842,73,85
1561873682,77,52
1561877523,58,54
1561879442,81,55
1561885213,65,64
1561887122,86,69
1561892882,79,66
1561894803,81,60
1561896723,92,64
1561902482,82,69
1561904402,65,54
1561910162,75,64
1561915922,134,131
1561919762,97,80
1561923602,81,76
1561927442,72,94
1561929363,67,101
1561937042,66,95
1561938963,101,103
1561944723,145,145
1561948562,77,89
1561952405,82,99
1561954392,88,85
1561960083,83,56
1561963923,78,58
1561967765,79,64
1561971622,80,66
1561973523,84,66
