DateTime,Entries,UniqueIPs
1560178809,6456,6456
1560182642,6460,6460
1560184561,6506,6506
1560188403,6508,6508
1560190323,6460,6460
1560192242,6507,6507
1560194162,6490,6490
1560198243,6484,6484
1560204012,6465,6465
1560207842,6407,6407
1560210006,6393,6393
1560213843,6351,6351
1560217683,6340,6340
1560221522,6331,6331
1560225363,6308,6308
1560229209,6304,6304
1560231122,6329,6329
1560236884,6358,6358
1560242642,6360,6360
1560246482,6356,6356
1560250322,6364,6364
1560254162,6395,6395
1560258008,6400,6400
1560259923,6418,6418
1560265682,6421,6421
1560267604,6433,6433
1560269522,6436,6436
1560275282,6430,6430
1560281042,6439,6439
1560282963,6419,6419
1560286843,6413,6413
1560290643,6384,6384
1560292563,6313,6313
1560296402,6307,6307
1560302163,6271,6271
1560304081,6275,6275
1560309844,6246,6246
1560311763,6269,6269
1560317522,6287,6287
1560321364,6309,6309
1560323283,6316,6316
1560329043,6304,6304
1560332882,6326,6326
1560336723,6336,6336
1560340563,6367,6367
1560344409,6386,6386
1560348244,6390,6390
1560350162,6396,6396
1560354246,6408,6408
1560358322,6407,6407
1560364082,6416,6416
1560366010,6416,6416
1560367923,6426,6426
1560372003,6439,6439
1560375842,6406,6406
1560379203,6346,6346
1560381123,6330,6330
1560386882,6290,6290
1560390722,6302,6302
1560394564,6273,6273
1560398432,6274,6274
1560400323,6276,6276
1560402241,6222,6222
1560408242,6306,6306
1560410162,6323,6323
1560415922,6315,6315
1560419763,6285,6285
1560425521,6354,6354
1560429362,6375,6375
1560433203,6335,6335
1560437042,6391,6391
1560440882,6374,6374
1560442802,6391,6391
1560444963,6416,6416
1560446883,6379,6379
1560452883,6454,6454
1560456722,6365,6365
1560464402,6303,6303
1560466322,6320,6320
1560470162,6290,6290
1560474010,6323,6323
1560475922,6308,6308
1560479762,6272,6272
1560483603,6247,6247
1560487442,6240,6240
1560491282,6260,6260
1560495121,6271,6271
1560497042,6260,6260
1560498962,6293,6293
1560504723,6310,6310
1560508562,6314,6314
1560512403,6337,6337
1560516722,6343,6343
1560520563,6373,6373
1560522482,6359,6359
1560526323,6363,6363
1560530162,6370,6370
1560532082,6376,6376
1560538322,6366,6366
1560542163,6357,6357
1560546009,6378,6378
1560549841,6352,6352
1560552243,6322,6322
1560556322,6334,6334
1560558243,6300,6300
1560564006,6292,6292
1560565923,6257,6257
1560567842,6292,6292
1560569762,6235,6235
1560573603,6237,6237
1560579363,6270,6270
1560581283,6287,6287
1560585123,6290,6290
1560588963,6329,6329
1560592822,6336,6336
1560594723,6329,6329
1560598563,6364,6364
1560602643,6372,6372
1560604562,6373,6373
1560610324,6369,6369
1560614164,6372,6372
1560618011,6392,6392
1560619922,6391,6391
1560623762,6407,6407
1560629524,6399,6399
1560631442,6387,6387
1560635282,6366,6366
1560639122,6337,6337
1560642962,6338,6338
1560646813,6290,6290
1560648723,6287,6287
1560652563,6266,6266
1560656403,6253,6253
1560660243,6241,6241
1560666002,6258,6258
1560667922,6272,6272
1560671764,6277,6277
1560675621,6313,6313
1560677523,6335,6335
1560681365,6335,6335
1560685203,6356,6356
1560689282,6362,6362
1560693122,6367,6367
1560696963,6374,6374
1560700812,6382,6382
1560704642,6376,6376
1560712323,6409,6409
1560718081,6415,6415
1560721921,6385,6385
1560726243,6346,6346
1560728162,6385,6385
1560730323,6345,6345
1560732242,6301,6301
1560736082,6281,6281
1560739922,6260,6260
1560743762,6241,6241
1560747612,6239,6239
1560749523,6250,6250
1560753362,6289,6289
1560757203,6297,6297
1560762963,6292,6292
1560764882,6312,6312
1560768722,6330,6330
1560772583,6343,6343
1560776409,6354,6354
1560778323,6378,6378
1560782163,6404,6404
1560786002,6355,6355
1560789842,6398,6398
1560795602,6407,6407
1560797522,6407,6407
1560803283,6381,6381
1560807123,6350,6350
1560810962,6296,6296
1560814802,6288,6288
1560818643,6265,6265
1560822482,6256,6256
1560826322,6234,6234
1560832082,6215,6215
1560834008,6172,6172
1560836162,6180,6180
1560840002,6205,6205
1560841923,6284,6284
1560843842,6180,6180
1560845763,6284,6284
1560847682,6292,6292
1560851522,6290,6290
1560855363,6288,6288
1560858242,6290,6290
1560860162,6313,6313
1560862082,6318,6318
1560866162,6318,6318
1560868084,6305,6305
1560871923,6335,6335
1560875762,6333,6333
1560879602,6337,6337
1560883442,6336,6336
1560887282,6359,6359
1560891122,6364,6364
1560894963,6335,6335
1560899523,6292,6292
1560901444,6271,6271
1560905282,6228,6228
1560909123,6225,6225
1560913211,6208,6208
1560915123,6183,6183
1560918962,6194,6194
1560922802,6215,6215
1560928803,6206,6206
1560930722,6215,6215
1560934562,6215,6215
1560936485,6241,6241
1560938411,6238,6238
1560940323,6264,6264
1560944163,6290,6290
1560948242,6302,6302
1560950162,6315,6315
1560955922,6322,6322
1560957843,6330,6330
1560963610,6320,6320
1560965522,6296,6296
1560969362,6330,6330
1560973202,6338,6338
1560977043,6338,6338
1560981122,6337,6337
1560984006,6306,6306
1560989762,6296,6296
1560993602,6253,6253
1560995523,6246,6246
1560999364,6214,6214
1561003215,6205,6205
1561005122,6201,6201
1561008962,6207,6207
1561012801,6218,6218
1561016642,6209,6209
1561020482,6254,6254
1561024323,6261,6261
1561028163,6268,6268
1561032011,6297,6297
1561033922,6332,6332
1561037765,6333,6333
1561042082,6319,6319
1561045921,6339,6339
1561049763,6350,6350
1561053614,6361,6361
1561057442,6326,6326
1561059363,6347,6347
1561063202,6364,6364
1561067042,6331,6331
1561070882,6298,6298
1561074722,6263,6263
1561078562,6230,6230
1561082415,6222,6222
1561084322,6198,6198
1561088163,6197,6197
1561092002,6201,6201
1561093923,6210,6210
1561099682,6222,6222
1561103522,6221,6221
1561107363,6268,6268
1561111210,6265,6265
1561115042,6262,6262
1561116963,6293,6293
1561118883,6320,6320
1561122723,6305,6305
1561128482,6292,6292
1561132322,6311,6311
1561136163,6324,6324
1561140012,6329,6329
1561141922,6340,6340
1561147682,6345,6345
1561149603,6352,6352
1561153442,6329,6329
1561156803,6291,6291
1561162564,6296,6296
1561164722,6257,6257
1561170483,6236,6236
1561172410,6219,6219
1561174323,6196,6196
1561178163,6198,6198
1561182003,6211,6211
1561183923,6226,6226
1561189683,6245,6245
1561193523,6251,6251
1561197363,6273,6273
1561199523,6286,6286
1561203362,6285,6285
1561207202,6289,6289
1561211042,6316,6316
1561214882,6311,6311
1561218722,6315,6315
1561220645,6315,6315
1561228323,6280,6280
1561230482,6281,6281
1561236242,6288,6288
1561240322,6282,6282
1561244162,6262,6262
1561248010,6255,6255
1561251842,6234,6234
1561253762,6228,6228
1561257842,6210,6210
1561263602,6190,6190
1561265522,6173,6173
1561271282,6197,6197
1561273210,6222,6222
1561275122,6224,6224
1561278962,6245,6245
1561282802,6276,6276
1561284722,6291,6291
1561290482,6271,6271
1561294322,6274,6274
1561298162,6317,6317
1561300322,6322,6322
1561304162,6210,6210
1561306082,6322,6322
1561308002,6325,6325
1561311842,6325,6325
1561315682,6334,6334
1561319762,6331,6331
1561321682,6337,6337
1561325522,6295,6295
1561329363,6261,6261
1561333202,6233,6233
1561337042,6214,6214
1561340882,6182,6182
1561344722,6168,6168
1561346642,6153,6153
1561354322,6191,6191
1561358162,6210,6210
1561362002,6211,6211
1561365842,6210,6210
1561367763,6225,6225
1561369682,6233,6233
1561371602,6256,6256
1561377362,6275,6275
1561381209,6277,6277
1561383122,6280,6280
1561386962,6294,6294
1561390802,6292,6292
1561394642,6302,6302
1561398481,6338,6338
1561402322,6318,6318
1561406426,6331,6331
1561408322,6327,6327
1561412163,6307,6307
1561416723,6255,6255
1561420563,6243,6243
1561424413,6201,6201
1561428243,6201,6201
1561432322,6174,6174
1561434242,6173,6173
1561438082,6165,6165
1561441921,6199,6199
1561445763,6197,6197
1561449614,6209,6209
1561451521,6195,6195
1561455362,6202,6202
1561459443,6233,6233
1561463282,6223,6223
1561467123,6206,6206
1561470963,6229,6229
1561475043,6252,6252
1561476963,6283,6283
1561481042,6284,6284
1561486803,6302,6302
1561488721,6288,6288
1561492563,6274,6274
1561496412,6261,6261
1561498322,6231,6231
1561500242,6261,6261
1561502162,6188,6188
1561506003,6195,6195
1561509842,6183,6183
1561513682,6161,6161
1561517522,6127,6127
1561521363,6122,6122
1561525213,6128,6128
1561527122,6124,6124
1561530962,6133,6133
1561534802,6150,6150
1561538646,6163,6163
1561540802,6137,6137
1561546563,6154,6154
1561550412,6171,6171
1561552322,6171,6171
1561556162,6195,6195
1561560002,6210,6210
1561563843,6215,6215
1561569842,6208,6208
1561571762,6201,6201
1561577522,6231,6231
1561581602,6192,6192
1561591203,6155,6155
