DateTime,AddedIPs,RemovedIPs
1560268225,1,0
1560271821,1,0
1560274819,1,1
1560275718,1,0
1560277520,1,0
1560280219,0,2
1560280519,0,5
1560280821,0,4
1560281119,1,2
1560281420,0,2
1560281720,92,0
1560282019,24,0
1560282320,7,0
1560282919,17,0
1560283819,1,0
1560285318,223,0
1560285620,1,0
1560288920,106,0
1560294319,1,0
1560295821,265,0
1560296120,94,0
1560297319,0,1
1560302420,0,1
1560302720,101,0
1560303319,1,0
1560303619,0,1
1560304518,1,0
1560304822,0,1
1560308719,44,0
1560309019,100,0
1560309619,33,0
1560310519,1,0
1560311718,41,0
1560312022,0,1
1560313222,1,0
1560313522,0,1
1560314119,37,0
1560314419,17,0
1560315318,1,0
1560317719,35,0
1560318020,80,0
1560318622,13,0
1560319521,28,0
1560323420,71,0
1560324020,8,0
1560327019,0,1
1560329719,80,1
1560332121,0,1
1560332422,0,2
1560335123,38,0
1560336023,19,0
1560339022,0,2
1560339318,1,0
1560340825,0,1
1560341120,18,0
1560342022,14,0
1560345322,0,2
1560347421,103,0
1560348321,13,0
1560349825,0,2
1560350119,6,0
1560350421,24,0
1560352218,0,2
1560354020,221,0
1560358520,8,0
1560360919,0,1
1560364820,0,1
1560366020,37,0
1560366619,0,1
1560369621,0,1
1560372920,0,1
1560385523,0,1
1560399923,54,1
1560400223,75,0
1560409519,0,1
1560414323,0,1
1560417322,0,1
1560417921,0,1
1560418820,0,1
1560427819,0,2
1560428722,0,2
1560434719,240,0
1560436221,25,0
1560438023,0,3
1560439520,2,0
1560440421,1,0
1560443122,136,0
1560443422,0,1
1560444020,94,0
1560444919,1,0
1560445520,1,0
1560445819,1,0
1560448518,1,0
1560451220,10,0
1560452118,0,1
1560455720,0,9
1560457220,0,2
1560457520,4,0
1560458118,1,0
1560462019,1,0
1560462622,0,1
1560463819,2,0
1560468918,9,0
1560470119,44,0
1560472518,1,0
1560473420,1,0
1560474318,35,0
1560475220,225,0
1560475518,112,0
1560477318,1,0
1560480622,23,0
1560481519,55,0
1560481821,91,0
1560486321,23,0
1560489619,205,0
1560489927,6,0
1560495022,1,0
1560495319,0,1
1560496218,140,0
1560500723,0,1
1560502521,1,1
1560504622,0,1
1560505219,1,0
1560506119,210,0
1560509420,17,0
1560511220,3,0
1560512122,3,0
1560513020,62,0
1560513319,243,0
1560516920,0,1
1560517819,1,0
1560519320,30,0
1560519620,5,0
1560520220,136,0
1560521723,0,1
1560522325,0,1
1560523522,0,2
1560524423,1,0
1560526519,27,0
1560531920,1,0
1560532820,175,0
1560533121,11,0
1560536419,1,0
1560537620,97,0
1560537920,29,0
1560538224,56,0
1560540919,1,0
1560542722,1,0
1560543021,0,1
1560543921,15,0
1560549319,2,0
1560549920,5,0
1560552019,1,0
1560552620,75,0
1560552919,59,0
1560554421,250,0
1560556219,2,0
1560558922,11,0
1560560119,23,0
1560561018,3,0
1560561619,2,0
1560566421,1,0
1560567319,93,0
1560568220,65,0
1560571522,1,0
1560572722,19,0
1560576020,1,0
1560577220,0,1
1560579021,51,0
1560580521,32,0
1560585320,11,0
1560587719,0,1
1560588920,23,0
1560591319,44,0
1560592519,176,0
1560593420,1,0
1560594020,3,0
1560594920,14,0
1560600319,12,0
1560601523,0,1
1560601824,47,0
1560602119,6,0
1560605718,1,0
1560606620,1,0
1560607520,1,0
1560608420,12,0
1560612919,40,0
1560614120,0,3
1560617423,41,0
1560618619,1,0
1560621920,1,0
1560622819,129,0
1560623719,1,0
1560624919,6,0
1560627319,1,0
1560629420,0,1
1560630919,41,0
1560635121,0,1
1560635420,96,0
1560636619,9,0
1560662724,1,0
1560664519,50,0
1560677120,35,0
1560677420,59,0
1560682823,1,0
1560686722,75,0
1560726620,49,0
1560731120,93,0
1560738018,0,1
1560741320,0,1
1560743718,99,0
1560745219,24,2
1560749719,0,1
1560753024,0,1
1560756020,0,1
1560762920,1,0
1560766221,0,1
1560769521,0,1
1560771021,0,1
1560771320,0,3
1560775219,13,0
1560776120,276,0
1560777620,46,0
1560778223,19,0
1560778521,82,0
1560779121,0,1
1560782119,4,0
1560783623,0,1
1560783925,3,0
1560786624,2,0
1560787223,0,2
1560790223,23,0
1560791120,73,0
1560792019,4,0
1560792919,3,0
1560794120,0,1
1560795920,38,0
1560796519,0,1
1560799521,31,0
1560800118,39,0
1560802520,99,0
1560803120,2,0
1560804623,2,0
1560805520,0,1
1560807619,35,0
1560810320,124,0
1560815421,7,0
1560815719,409,0
1560817522,3,0
1560818118,2,0
1560819020,16,0
1560822918,1,0
1560825319,68,0
1560826221,21,0
1560830119,2,0
1560834921,0,1
1560836118,103,0
1560837318,1,0
1560840620,6,0
