DateTime,AddedIPs,RemovedIPs
1561265530,13,28
1561267451,183,26
1561269388,21,0
1561270114,870,0
1561271289,15,23
1561273239,26,11
1561275139,135,23
1561277075,21,16
1561277702,224,0
1561278996,17,18
1561280922,10,26
1561282834,6,8
1561283550,840,0
1561284730,5,6
1561286652,134,4
1561288595,8,0
1561289402,199,0
1561290501,20,21
1561292436,19,16
1561294368,26,17
1561296252,20,16
1561296602,227,0
1561298168,20,16
1561300360,10,13
1561302268,25,15
1561304188,116,12
1561306112,18,15
1561308008,22,14
1561308302,168,0
1561309931,25,9
1561311853,18,16
1561311902,130,1
1561313791,21,17
1561315696,135,17
1561317394,841,0
1561317856,13,24
1561319102,97,0
1561319790,8,24
1561321691,18,10
1561323627,20,11
1561325555,23,20
1561327457,85,16
1561328438,823,0
1561329403,44,11
1561330802,142,0
1561331316,23,12
1561332253,43,0
1561333210,18,7
1561334402,56,2303
1561335159,26,11
1561336101,37,81
1561337054,16,13
1561338003,79,0
1561338974,16,20
1561339934,45,84
1561340893,15,23
1561341602,83,0
1561342809,12,13
1561343768,18,0
1561344752,19,19
1561345202,86,0
1561346650,20,14
1561348567,17,15
1561350511,21,23
1561352431,21,13
1561354359,202,19
1561356280,18,20
1561358171,23,12
1561360120,253,21
1561361769,841,1709
1561362031,21,11
1561363933,15,15
1561365852,15,18
1561366802,282,0
1561367798,9,8
1561369693,5,7
1561371614,4,5
1561374901,297,0
1561375474,8,12
1561378356,17,18
1561378501,118,0
1561380272,15,19
1561382187,144,23
1561384094,14,17
1561386011,13,22
1561387954,19,11
1561389860,241,19
1561391769,21,9
1561393714,18,13
1561395633,20,19
1561397556,117,23
1561399473,16,19
1561400102,159,0
1561403319,12,41
1561407149,21,22
1561408202,346,0
1561409055,11,16
1561411239,22,17
1561411802,250,0
1561413132,19,18
1561415075,16,13
1561415402,83,0
1561417236,10,40
1561419139,9,23
1561420577,85,90
1561421080,22,16
1561422602,169,2224
1561424440,45,0
1561424903,18,42
1561426834,21,16
1561428754,23,19
1561429943,497,1392
1561430441,430,1082
1561430898,175,16
1561432092,29,46
1561432805,14,18
1561434747,16,17
1561436648,19,16
1561438826,225,22
1561440733,18,14
1561442648,133,22
1561444567,21,17
1561448407,29,44
1561450329,160,22
1561452248,16,11
1561453202,337,0
1561454190,9,10
1561456802,140,1
1561458010,12,14
1561459950,22,4
1561460402,150,0
1561461851,22,0
1561463769,25,8
1561464002,136,0
1561465687,20,15
1561467636,20,13
1561469554,25,12
1561471453,20,18
1561473613,290,16
1561475535,23,23
1561477457,23,12
1561479654,653,464
1561480115,333,413
1561481552,16,15
1561483449,146,14
1561487311,110,28
1561489218,27,0
1561490426,499,0
1561491158,551,9
1561493061,24,0
1561494970,137,17
1561495472,832,0
1561496922,24,9
1561498812,19,20
1561500527,794,0
1561500986,19,18
1561502909,139,11
1561504336,807,0
1561504836,19,13
1561505296,44,0
1561506729,77,9
1561508650,94,21
1561509130,35,89
1561510352,717,0
1561510567,29,0
1561512508,17,12
1561512971,11,94
1561514413,99,2833
1561516333,19,21
1561516811,29,0
1561518002,183,0
1561520414,20,33
1561521602,92,0
1561522330,21,15
1561524250,28,19
1561525202,82,0
1561526174,20,21
1561528095,19,15
1561528802,123,0
1561530036,20,18
1561531930,17,20
1561532402,153,0
1561533852,20,0
1561535780,25,20
1561536002,167,0
1561537937,15,9
1561539857,18,10
1561541774,18,5
1561543721,175,0
1561545634,114,10
1561547557,3,17
1561549474,10,21
1561551398,149,15
1561553304,12,20
1561555211,362,11
1561557154,17,20
1561559055,27,17
1561560969,14,20
1561562102,314,0
1561562914,20,20
1561564823,13,19
1561566740,19,14
1561568672,11,16
1561568894,815,1552
1561569301,245,0
1561572512,17,17
1561574410,20,18
1561575390,781,0
1561576330,22,18
1561577401,222,0
1561578275,21,22
1561580201,21,21
1561581002,98,0
1561582118,22,35
1561584034,22,26
1561585956,14,16
1561589351,206,33
1561591218,13,0
1561593139,789,3224
1561593623,66,65
1561595056,13,18
1561596974,105,25
1561597452,14,0
1561599144,7,14
1561601055,179,2785
1561602974,24,24
1561603711,750,759
1561604926,19,0
1561605129,4,41
1561606835,134,20
1561607102,78,0
1561608737,11,19
1561610660,13,26
1561612580,30,18
1561614506,19,20
1561616447,253,21
1561618367,30,16
1561620265,23,17
1561621501,268,0
1561622194,9,20
1561624369,2,13
1561626290,12,14
1561628201,12,14
1561630129,323,14
1561632039,10,6
1561633202,158,0
1561633980,14,3
1561635878,27,11
1561636802,150,0
1561637807,843,9
1561639709,22,11
1561640402,155,0
1561641611,12,14
1561643532,24,0
1561645475,26,37
1561647373,24,17
1561647602,258,0
1561648345,725,0
1561649561,18,22
1561651724,135,14
1561653637,18,21
1561655539,15,10
1561657454,10,0
1561658402,176,0
1561659400,22,13
1561661320,16,12
1561663235,16,22
1561665132,18,18
1561665602,214,0
1561667057,24,16
1561668992,17,24
1561670900,15,26
1561672841,16,12
1561673702,213,0
1561674743,16,0
1561675708,805,1581
1561676926,16,15
1561677302,96,0
1561678567,58,18
1561678833,13,9
1561680760,20,13
1561680901,91,2835
1561682656,17,10
1561684597,31,15
1561686248,19,51
1561686492,25,7
1561688431,125,27
1561690090,113,0
1561690346,15,20
1561692254,27,11
1561692982,811,1562
1561694190,16,11
1561695302,243,0
1561696364,19,13
1561698522,14,12
1561700435,19,28
1561702336,26,26
1561703401,275,0
1561704255,17,14
1561706197,22,25
1561707001,263,0
1561708097,31,23
1561710012,7,12
1561710602,142,0
1561711956,18,2
1561713865,9,9
1561714202,125,0
1561715773,10,11
1561717716,7,6
1561719633,10,7
1561721540,13,13
1561723484,322,25
1561725403,800,842
1561729213,235,37
1561731155,9,22
1561731904,822,0
1561733052,14,27
1561734972,14,17
1561735802,183,0
1561736894,15,12
1561737391,789,761
1561738834,17,15
1561740736,10,17
1561742655,15,14
1561744593,167,8
1561746034,781,0
1561746496,13,20
1561747501,191,0
1561748430,18,11
1561750363,18,13
1561752283,14,14
1561754175,20,23
1561756124,118,18
1561756600,807,0
1561758016,19,15
1561759202,227,0
1561759985,758,18
1561761887,17,15
1561762802,84,0
1561763805,58,46
1561764999,791,775
1561765715,21,13
1561766402,97,2785
1561767637,52,84
1561769544,15,17
1561770001,121,0
1561771459,61,30
1561771962,762,0
1561773641,18,21
1561775290,36,4
1561775538,23,17
1561777456,13,14
1561777963,971,0
1561779374,18,23
1561783215,787,777
1561784402,313,0
1561785132,24,15
1561787077,16,18
1561787769,781,0
1561788995,13,18
1561790919,30,11
1561791602,393,0
1561792830,12,19
1561794272,799,0
1561794746,15,25
1561796694,15,7
1561798575,18,12
1561800040,925,0
1561800508,7,9
1561802440,5,8
1561803302,234,0
1561804338,7,6
1561806262,5,9
1561808197,4,10
1561810101,10,5
1561810502,245,0
1561812015,6,6
1561813939,7,0
1561815874,9,7
1561817780,18,9
1561819696,117,5
1561821637,18,11
1561823556,199,13
1561825458,22,17
1561827373,21,11
1561829316,130,16
1561831239,18,15
1561833161,19,13
1561833379,882,2998
1561835322,113,15
1561836007,657,0
1561837237,20,16
1561839151,851,12
1561841076,98,18
1561842996,770,16
1561844916,9,10
1561845702,619,703
1561846831,28,14
1561848762,12,16
1561849455,664,729
1561850653,12,15
1561852596,201,75
1561853292,787,787
1561854492,20,17
1561856442,59,53
1561857638,688,0
1561860281,124,2824
1561860998,551,779
1561862170,18,22
1561863602,247,0
1561864098,35,59
1561866036,687,751
1561867202,105,0
1561867940,24,0
1561869876,23,22
1561871800,18,17
1561873720,18,19
1561874401,183,0
1561875645,20,15
1561876812,741,1475
1561877535,15,25
1561879490,557,10
1561881393,17,15
1561881602,181,0
1561883296,7,17
1561883559,690,794
1561885237,18,16
1561886431,550,0
1561887161,4,9
1561889079,7,4
1561889702,218,0
1561890977,2,4
1561892895,2,8
1561893302,107,0
1561894838,9,5
1561896735,15,6
1561896902,78,0
1561898660,16,6
1561900599,17,7
1561902521,17,6
1561904436,92,19
1561906335,125,15
1561908254,13,13
1561910197,10,11
1561911301,225,0
1561912126,10,17
1561915937,7,36
1561917883,18,16
1561919773,119,17
1561920978,748,1365
1561921701,18,0
1561922202,436,0
1561923001,497,0
1561923635,17,13
1561924351,476,679
1561925537,14,15
