DateTime,AddedIPs,RemovedIPs
1561597431,0,1
1561597923,1,0
1561598522,1,0
1561599123,56,152
1561599722,0,1
1561600322,1,0
1561600971,2,0
1561602963,67,75
1561603323,0,1
1561603922,4,0
1561604631,9,2
1561605722,1,0
1561606803,84,86
1561606923,2,0
1561608122,2,1
1561608174,0,3
1561609322,2,0
1561609922,22,0
1561610642,82,10
1561611122,20,0
1561611771,0,1
1561612564,0,175
1561612923,1,2
1561614122,0,2
1561615322,8,0
1561615375,1,0
1561616403,71,0
1561616523,5,0
1561617722,8,2
1561618322,74,15
1561620244,5,113
1561621322,18,0
1561622163,74,0
1561622575,0,4
1561623123,3,0
1561623722,1,0
1561624330,5,58
1561624922,4,0
1561626241,101,4
1561627923,2,0
1561628165,48,12
1561629770,3,4
1561630323,5,0
1561630922,4,0
1561632009,53,85
1561632122,4,0
1561633370,8,2
1561633922,4,0
1561634523,6,0
1561635848,66,48
1561636923,5,0
1561637031,1,1
1561638123,3,0
1561638723,0,2
1561639683,60,19
1561640570,0,2
1561641603,0,87
1561641722,8,0
1561642322,4,0
1561642922,6,0
1561643523,84,0
1561644171,1,2
1561645322,5,1
1561646523,19,0
1561647123,25,0
1561647365,69,55
1561647770,2,5
1561648922,0,1
1561649524,67,50
1561650122,10,0
1561651431,4,0
1561653602,72,14
1561653723,2,1
1561654923,1,0
1561655523,0,119
1561657442,78,0
1561657922,1,0
1561658571,1,0
1561659723,1,0
1561660923,11,0
1561661282,74,21
1561662171,1,2
1561663203,0,121
1561663322,20,1
1561665123,76,0
1561665871,975,613
1561666923,1,0
1561668122,1,0
1561668722,2,1
1561668964,72,164
1561669322,2,0
1561669435,0,1
1561670522,1,0
1561671722,7,1
1561672814,73,0
1561672971,0,1
1561673762,0,88
1561674122,4,1
1561674722,3,0
1561675922,2,0
1561676883,85,3
1561677722,0,1
1561678801,65,20
1561678922,30,1
1561679523,0,157
1561680123,1,0
1561680722,7,0
1561681322,0,1
1561682642,60,1
1561684322,1,0
1561684562,0,56
1561685282,56,0
1561685522,1,0
1561686481,70,103
1561687371,1,1
1561688523,2,0
1561689722,2,0
1561690322,63,10
1561691282,2,147
1561691522,1,0
1561692123,4,0
1561693922,1,0
1561694163,85,0
1561694576,0,1
1561695723,1,0
1561696332,84,17
1561696923,1,0
1561697283,17,101
1561698171,1,2
1561699203,0,79
1561699322,1,0
1561700403,74,0
1561700523,10,0
1561701723,1,0
1561701771,0,1
1561703042,0,78
1561704242,100,0
1561705371,0,4
1561706522,3,1
1561706883,0,63
1561707722,2,0
1561708082,78,0
1561708922,2,2
1561709031,0,1
1561711322,14,0
1561711923,55,12
1561712643,0,98
1561713723,1,4
1561714923,4,0
1561715762,76,0
1561716171,4,5
1561717322,1,0
1561718403,0,58
1561718523,1,0
1561719606,60,0
1561719836,1,2
1561720323,5,0
1561720923,1,0
1561721522,60,13
1561722242,14,44
1561722722,2,0
1561723322,2,1
1561723376,0,2
1561724523,2,0
1561725362,61,15
1561725723,6,0
1561726922,4,0
1561727283,15,61
1561728004,60,55
1561728122,8,0
1561729202,65,48
1561729323,2,1
1561730631,4,2
1561731722,5,0
1561733042,65,13
1561733763,0,91
1561734171,4,2
1561735322,0,1
1561736522,5,0
1561736882,68,0
1561737122,2,0
1561737843,10,67
1561738801,81,0
1561738922,2,0
1561740122,1,2
1561740722,1,0
1561741322,1,0
1561741371,0,1
1561741922,2,3
1561742523,1,0
1561744562,75,16
1561744972,0,1
1561745523,0,112
1561746122,0,1
1561746723,1,1
1561747322,8,0
1561748572,4,0
1561749122,3,0
1561749722,2,0
1561750323,116,1
1561750922,1,0
1561751283,15,88
1561752172,1,2
1561753014,1405,9
1561753322,1,0
1561754162,65,17
1561754522,1,4
1561755122,0,114
1561755772,3,0
1561756922,5,1
1561757522,13,0
1561758002,67,0
1561758122,3,0
1561758722,1,0
1561759372,1,0
1561761843,45,20
1561763522,1,0
1561763763,0,132
1561764122,6,1
1561764722,2,0
1561765322,1,0
1561765682,79,0
1561765922,1,0
1561766652,1,0
1561767603,0,63
1561767722,10,0
1561769522,48,0
1561770122,1,0
1561771443,1,101
1561772522,1,0
1561773122,1,0
1561773616,64,0
1561773722,1,3
1561774923,1,0
1561775523,74,79
1561777323,8,0
1561777923,5,3
1561778523,0,2
1561779363,70,89
1561780922,3,0
1561780972,0,4
1561781522,4,0
1561782122,8,1
1561783202,69,8
1561783922,7,0
1561785123,0,138
1561785722,0,2
1561787042,69,0
1561788122,6,3
1561788172,0,2
1561788722,1,0
1561788964,0,68
1561789323,1,0
1561790522,1,3
1561790882,57,0
1561791722,4,0
1561791772,0,1
1561792803,0,49
1561792922,1,1
1561794122,14,0
1561794722,68,1
1561795372,3,1
1561795922,2,1
1561796522,22,2
1561797722,12,0
1561798562,79,17
1561798972,0,5
1561800484,1,81
1561801322,2,0
1561802414,77,0
1561802572,0,2
1561803722,0,1
1561804323,54,19
1561804922,1,0
1561805282,19,56
1561805522,11,0
1561806232,0,1
1561807322,4,0
1561809123,67,48
1561809722,5,2
1561810082,0,55
1561810922,3,0
1561811522,5,0
1561812002,66,0
1561813372,1,1
1561814522,20,0
1561815842,64,17
1561817763,0,91
1561818123,2,0
1561818722,2,0
1561819322,3,0
1561819682,78,0
1561820574,0,3
1561821122,18,0
1561821722,19,2
1561822922,2,0
1561823524,69,56
1561824174,0,5
1561824722,9,0
1561825922,2,0
1561826522,1,0
1561827123,1,0
1561827364,149,45
1561827722,4,3
1561827773,2,1
1561828922,0,2
1561829284,58,235
1561830122,1,2
1561831215,80,0
1561831434,1,2
1561831923,1,0
1561832522,5,0
1561833122,74,22
1561833722,1,2
1561835283,10,122
1561836122,13,0
1561837202,78,0
1561837322,1,1
1561838522,1,1
1561839722,1,0
1561840116,1015,22
1561840322,0,1
1561841044,75,65
1561841522,2,0
1561842122,10,0
1561843322,1,2
1561844522,0,9
1561844882,61,17
1561845121,2,0
1561845773,30,6
1561846803,0,124
1561846922,1,1
1561848123,3,0
1561848722,49,0
1561849375,0,1
1561850643,0,98
1561851122,1,0
1561852563,78,0
1561853033,0,2
1561855322,8,6
