DateTime,AddedIPs,RemovedIPs
1561537442,0,23692
1561538653,23790,21
1561539578,125,270
1561540839,22,46
1561541405,141,5
1561542748,28,17
1561543232,74,204
1561544656,114,1070
1561545024,83,180
1561546571,38,34
1561546829,158,50
1561548494,501,78
1561548959,126,114
1561550429,28,20
1561550431,90,41
1561552340,180,97
1561552928,43,126
1561554277,29,22
1561554927,91,71
1561556172,40,11
1561556572,151,191
1561557366,34,1
1561558092,15,21
1561559403,175,100
1561560032,21,9
1561560135,83,165
1561561932,29,20
1561562126,121,99
1561562762,498,0
1561563308,187,97
1561563851,21,10
1561563920,40,34
1561564566,97,0
1561566041,143,107
1561566487,68,0
1561567379,62,176
1561567951,17,18
1561568167,94,0
1561569322,74,115
1561569873,20,9
1561570204,0,741
1561570928,145,140
1561571768,16,26
1561572026,322,0
1561573694,331,112
1561574536,177,151
1561575626,23,29
1561576206,178,194
1561577557,17,16
1561577939,127,212
1561579719,24,24
1561580123,115,243
1561581613,89,16
1561583556,101,268
1561584355,123,87
1561585450,14,15
1561585523,67,131
1561587394,19,16
1561589351,274,325
1561590608,135,118
1561591218,380,0
1561591804,14,0
1561591984,102,141
1561593136,71,46
1561594216,155,93
1561595056,19,12
1561595558,234,0
1561596974,150,130
1561597227,139,46
1561599144,224,116
1561599728,84,128
1561601055,18,21
1561601726,140,103
1561602974,21,6
1561603245,108,204
1561604926,22,26
1561605007,133,111
1561605771,23,0
1561606835,15,13
1561606936,122,133
1561608736,15,10
1561608927,143,81
1561610659,164,230
1561612580,217,113
1561613708,133,134
1561614506,14,15
1561614822,125,0
1561616447,15,29
1561616574,102,199
1561617315,122,134
1561618367,17,22
1561618829,75,42
1561620264,11,22
1561620919,196,188
1561622193,21,25
1561622454,84,33
1561624368,154,93
1561625769,119,123
1561626290,15,17
1561627350,93,109
1561628200,15,11
1561628727,122,124
1561630128,164,1126
1561631160,120,115
1561632038,28,44
1561632326,0,24489
1561633979,829,0
1561634458,24306,0
1561635877,21,39
1561635926,90,157
1561636582,124,1
1561637803,21,61
1561638603,90,161
1561639708,23,37
1561640427,165,281
1561641610,27,38
1561641901,256,0
1561642087,117,8
1561643531,31,30
1561644917,241,353
1561645474,22,24
1561645819,61,0
1561647372,55,15
1561647626,127,147
1561648518,179,146
1561649560,52,776
1561650129,168,177
1561650967,109,0
1561651723,44,32
1561652761,125,102
1561653635,35,19
1561653920,95,105
1561654752,127,129
1561655538,34,18
1561655720,98,16
1561657452,23,19
1561657521,140,142
1561659008,238,361
1561659399,22,22
1561659816,0,256
1561660749,199,126
1561661318,20,27
1561662607,195,141
1561663233,23,31
1561663821,22,0
1561664529,168,158
1561665130,22,13
1561665368,179,0
1561667055,18,17
1561667223,260,85
1561668308,289,183
1561668990,23,16
1561670123,284,79
1561670898,17,12
1561671204,134,111
1561672838,23,32
1561674134,167,61
1561674743,126,123
1561675524,177,167
1561676925,440,0
1561677325,186,82
1561678833,9,26
1561679125,116,137
1561679708,138,51
1561680760,13,33
1561681694,199,79
1561681971,510,0
1561682655,77,154
1561683434,65,0
1561684597,27,25
1561685403,144,87
1561686491,14,20
1561686967,143,151
1561688430,13,18
1561688607,92,69
1561689398,115,85
1561690345,15,11
1561690567,97,28
1561692253,12,17
1561692620,93,109
1561693240,126,146
1561694189,19,20
1561695007,165,99
1561696363,91,27
1561696928,69,132
1561698521,10,16
1561698847,128,120
1561700434,18,14
1561700708,149,240
1561702335,21,18
1561702528,119,95
1561703419,126,0
1561704254,14,23
1561704969,147,218
1561706196,19,31
1561707028,0,25785
1561708096,25822,12
1561708564,0,25801
1561710011,23,26
1561710200,25814,0
1561711509,176,167
1561711955,7,15
1561712168,55,1
1561713864,14,13
1561714219,162,94
1561714929,128,190
1561715772,20,30
1561716035,83,0
1561717715,146,977
1561717802,80,0
1561719632,522,380
1561721539,79,447
1561722128,150,606
1561723482,24,23
1561724047,144,96
1561725389,34,14
1561725929,92,131
1561727317,29,25257
1561727729,0,509
1561729212,25457,25
1561729528,112,224
1561731153,26,9
1561731328,120,118
1561733050,127,23
1561733707,140,159
1561734970,34,19
1561735274,596,150
1561736893,136,129
1561737801,97,190
1561738832,21,13
1561739288,112,1
1561740734,28,22
1561740967,158,172
1561742653,28,17
1561743002,85,78
1561743308,98,109
1561744591,23,13
1561745012,131,188
1561746494,20,263
1561746602,116,0
1561748428,158,216
1561749321,71,76
1561750360,73,8
1561751407,139,120
1561752281,14,16
1561752607,146,145
1561754173,21,12
1561754528,203,113
1561756121,8,18
1561756522,99,121
1561756808,65,0
1561758014,33,18
1561758128,58,153
1561759959,18,20
1561761888,505,207
1561762841,118,48
1561763805,349,1
1561764603,85,85
1561765715,13,13
1561766435,210,128
1561767326,125,131
1561767638,11,14
1561768465,97,245
1561768928,64,190
1561769544,10,15
1561770607,108,93
1561771459,13,23
1561771805,81,0
1561773641,181,136
1561775538,124,96
1561775707,102,97
1561777455,9,17
1561777807,180,120
1561779374,13,14
1561779928,110,160
1561780507,92,40
1561781295,9,15
1561781707,72,145
1561783212,10,19
1561783527,105,202
1561785132,20,18
1561785328,95,113
1561786088,128,0
1561787077,10,16
1561787707,179,153
1561788994,14,15
1561789898,92,109
1561790918,132,185
1561791366,49,0
1561792830,14,18
1561792940,84,77
1561794745,135,185
1561796127,85,88
1561796693,18,8
1561797004,52,0
1561798574,16,16
1561798577,92,158
1561800508,112,199
1561801507,137,247
1561802439,20,907
1561803326,113,109
1561804337,19,15
1561805108,175,145
1561806261,394,0
1561807423,74,106
1561807687,75,0
1561808196,23,12
1561808528,83,137
1561810100,23,9
1561810447,131,126
1561812014,25,16
1561812327,86,114
1561812906,122,58
1561813938,17,19
1561814622,86,124
1561815873,15,11
1561815902,122,157
1561817088,135,137
1561817779,19,28
1561818649,104,150
1561819695,18,12
1561821636,184,197
1561821667,0,493
1561823555,78,15
1561824927,115,248
1561825456,21,12
1561827371,207,139
1561827626,49,0
1561829314,91,186
1561829403,70,0
1561830327,0,256
1561831238,115,287
1561832675,1308,131
1561833160,18,18
1561833643,116,230
1561835321,35,14
1561835407,101,122
1561836188,18,0
1561836487,82,0
1561837235,11,28
1561837329,101,154
1561838168,67,0
1561839138,19,13
1561839838,76,232
1561841074,21,6
1561841120,130,218
1561842976,134,140
1561844529,103,201
1561844914,11,19
1561846520,103,379
1561846829,17,13
1561847707,120,144
1561848762,10,26
1561849405,0,24790
1561850054,24816,0
1561850653,334,0
1561851777,119,142
1561852596,11,12
1561852828,0,254
1561853646,105,165
1561854492,23,10
1561855256,92,196
1561856444,11,19
1561857324,85,92
1561858358,15,12
1561858930,129,168
1561860281,10,24
1561860923,112,93
1561862170,14,15
1561862724,66,135
1561864098,8,11
1561865061,142,199
1561866033,10,17
1561866324,49,134
1561866625,73,57
1561867940,10,14
1561868574,166,92
1561869876,204,180
1561870568,63,0
1561871800,17,15
1561872602,79,123
1561873720,9,13
1561874167,153,149
1561875645,15,27
1561876202,63,157
1561877535,101,232
1561878615,85,77
1561879478,16,13
1561879803,51,0
1561880527,42,203
1561881393,26,21
1561882525,94,105
1561883295,14,16
1561883296,33,0
1561885237,96,155
1561886802,75,211
1561887160,19,17
1561887729,60,287
1561889079,14,883
1561889724,96,71
1561890977,31,20
1561891329,114,179
1561892167,48,0
1561892894,326,0
1561893770,90,108
1561894837,38,14
1561895124,102,145
1561896033,85,106
1561896734,17,6
1561897803,67,12
1561898659,27,13
1561898708,85,282
1561900598,156,134
1561902520,130,195
1561904124,103,94
1561904435,22,9
1561906334,16,7
1561906509,123,131
1561908253,21,12
1561908603,1074,133
1561909214,94,135
1561910196,32,9
1561911008,373,161
1561912125,308,10
1561912927,279,179
1561914065,135,14
1561915359,153,122
1561915936,15,12
1561916224,151,144
1561917881,22,13
1561918518,486,150
1561919142,0,1000
1561919771,20,9
1561919945,166,134
1561921699,19,12
1561922119,209,191
1561923633,14,21
1561923919,121,192
1561925243,144,177
1561925536,12,16
1561926066,22,255
1561927473,13,17
1561927502,78,132
1561929007,111,91
1561929376,20,21
1561930935,95,194
1561931290,18,10
1561931767,41,0
1561933212,14,84
1561933352,256,0
1561933821,46,79
1561935139,106,228
1561935632,58,0
1561936521,70,130
1561937058,269,0
1561938036,75,178
1561938995,21,10
1561940920,66,83
1561941003,65,3
1561941646,58,165
1561942833,45,17
1561943722,395,130
1561944761,23,11
1561944910,68,153
1561946677,19,7
1561947307,115,158
1561948576,24,9
1561948835,85,201
1561950516,17,5
1561950535,121,80
1561952417,98,13
1561952529,44,142
1561954424,20,8
1561955424,135,237
1561956258,21,10
1561957223,83,66
1561958196,22,16
1561958887,85,98
1561960100,7,12
1561960512,98,186
1561962029,22,10
1561962695,77,88
1561963026,66,95
1561963956,25,12
1561964425,63,78
1561965323,31,81
1561965853,14,12
1561966223,39,2
1561966931,35,129
1561967777,21,23
1561968924,45,67
1561969713,28,17
1561969950,0,22765
1561970535,22685,0
1561971652,70,20
1561972523,72,98
1561973539,25,15
1561974127,55,214
