DateTime,AddedIPs,RemovedIPs
1561452123,10,1
1561453322,6,0
1561454522,3,0
1561455122,2,0
1561455722,2,0
1561456923,1,0
1561458122,3,2
1561459323,2,0
1561460522,6,1
1561461723,7,0
1561462322,10,0
1561462922,10,0
1561464122,3,0
1561464722,2,0
1561465323,3,0
1561465922,4,0
1561467722,2,2
1561468322,3,0
1561468922,3,0
1561469523,2,0
1561470122,3,1
1561471322,3,0
1561471923,4,0
1561472522,3,2
1561473122,3,0
1561473722,3,0
1561474924,14,1
1561476122,4,0
1561477322,3,2
1561478523,5,0
1561479123,3,0
1561479722,3,0
1561480323,2,0
1561481523,1,0
1561482123,1,0
1561483323,4,0
1561483922,1,0
1561484523,5,0
1561485722,4,0
1561486322,2,0
1561486922,2,0
1561488122,92,1
1561489322,6,1
1561489922,2,1
1561490523,5,1
1561491636,1118,25
1561491722,5,0
1561492923,1,0
1561494122,1,2
1561494722,0,1
1561495322,24,1
1561496522,6,0
1561497722,1,0
1561498923,12,1
1561500122,1,0
1561500723,13,0
1561501322,7,0
1561501922,7,0
1561502522,3,0
1561503122,1,0
1561503722,2,0
1561504922,4,0
1561506122,7,0
1561507923,1,0
1561508522,36,0
1561509122,1,4
1561509722,1,0
1561513322,2,0
1561513922,1,0
1561514522,8,0
1561515122,5,0
1561515723,1,0
1561516322,1,0
1561516922,5,0
1561517526,132,71
1561518122,8,2
1561519322,1,0
1561519922,6,0
1561520522,2,0
1561521723,2,2
1561522922,5,0
1561524123,2,0
1561525323,1,0
1561526522,1,0
1561527122,7,0
1561528922,7,0
1561530123,3,0
1561531323,1,1
1561531923,1,1
1561532522,10,0
1561533723,1,0
1561534923,4,0
1561535522,4,3
1561536122,3,1
1561536723,7,0
1561537322,8,0
1561537923,6,1
1561538522,4,3
1561539122,5,0
1561539722,4,0
1561540323,9,0
1561540922,2,0
1561544523,1,0
1561545123,5,0
1561545722,5,0
1561546922,2,0
1561548122,6,2
1561548722,3,0
1561549323,3,0
1561550523,3,0
1561551722,9,1
1561552923,2,0
1561554122,4,0
1561555322,3,0
1561556522,6,1
1561557722,7,0
1561558922,5,1
1561560123,6,0
1561561323,5,0
1561562522,1,0
1561564922,8,0
1561565522,3,0
1561566722,1,0
1561567322,4,0
1561568522,2,1
1561569723,4,0
1561570922,4,0
1561573322,3,0
1561575122,3,0
1561576922,4,0
1561578123,7,0
1561578790,1153,16
1561579323,2,1
1561579922,3,0
1561580522,4,1
1561581122,3,0
1561581722,3,0
1561582922,1,0
1561584122,2,0
1561584722,1,0
1561585323,4,1
1561586522,1,0
1561588922,3,0
1561590122,3,0
1561591322,1,0
1561591922,2,0
1561592949,0,1
1561593122,1,0
1561594322,9,0
1561594922,5,0
1561596722,1,0
1561597323,1,0
1561597923,1,0
1561598522,1,0
1561599122,0,1
1561599722,0,1
1561600322,1,0
1561600922,2,0
1561603323,0,1
1561603922,4,0
1561604522,9,1
1561605722,1,0
1561606923,2,0
1561608122,2,1
1561609322,2,0
1561609922,22,0
1561611122,20,0
1561612923,1,2
1561614122,0,2
1561615322,8,0
1561616523,5,0
1561617722,8,2
1561620122,5,3
1561621322,18,0
1561622523,0,1
1561623123,3,0
1561623722,1,0
1561624323,5,0
1561624922,4,0
1561626123,13,1
1561627923,2,0
1561629722,3,3
1561630323,5,0
1561630922,4,0
1561632122,4,0
1561633322,8,0
1561633922,4,0
1561634523,6,0
1561635722,0,1
1561636923,5,0
1561638123,3,0
1561638723,0,2
1561640522,0,1
1561641722,8,0
1561642322,4,0
1561642922,6,0
1561645322,5,1
1561646523,19,0
1561647123,25,0
1561647723,2,1
1561648922,0,1
1561650122,10,0
1561651322,4,0
1561653723,2,1
1561654923,1,0
1561657922,1,0
1561658522,1,0
1561659723,1,0
1561660923,11,0
1561662122,1,0
1561663322,20,1
1561665871,975,614
1561666923,1,0
1561668122,1,0
1561668722,2,1
1561669322,2,0
1561670522,1,0
1561671722,7,1
1561672922,0,1
1561674122,4,1
1561674722,3,0
1561675922,2,0
1561676523,2,0
1561677722,0,1
1561678922,30,1
1561680123,1,0
