DateTime,Entries,UniqueIPs
1561008974,3070,3070
1561010917,3075,3075
1561012811,3074,3074
1561014760,3067,3067
1561016676,3057,3057
1561018595,3068,3068
1561020494,3066,3066
1561022415,3058,3058
1561024354,3063,3063
1561026254,1767,1767
1561028187,1742,1742
1561030093,2458,2458
1561032042,2471,2471
1561033936,2482,2482
1561035874,2498,2498
1561037793,2502,2502
1561040203,2508,2508
1561042115,2522,2522
1561044029,2534,2534
1561045950,2550,2550
1561047854,2550,2550
1561049770,2552,2552
1561051713,2558,2558
1561053624,2563,2563
1561055532,2565,2565
1561058405,2572,2572
1561060234,2570,2570
1561061928,2560,2560
1561063814,2528,2528
1561065513,2566,2566
1561067413,2575,2575
1561069112,2584,2584
1561071395,2559,2559
1561073309,3186,3186
1561075218,3173,3173
1561077153,3180,3180
1561079057,3188,3188
1561080971,3188,3188
1561082919,3182,3182
1561084829,3177,3177
1561086738,3172,3172
1561088651,3179,3179
1561090597,3178,3178
1561092492,3167,3167
1561094427,3171,3171
1561096347,3183,3183
1561098249,3177,3177
1561100166,3177,3177
1561102107,3175,3175
1561104020,3183,3183
1561105952,3189,3189
1561107875,3160,3160
1561109776,3142,3142
1561111718,1575,1575
1561113609,1557,1557
1561115533,2140,2140
1561117449,2132,2132
1561119389,2183,2183
1561121296,2250,2250
1561123206,2286,2286
1561125149,2305,2305
1561127067,2340,2340
1561128962,2347,2347
1561130886,2359,2359
1561132821,2382,2382
1561134735,2389,2389
1561136651,2382,2382
1561138594,2377,2377
1561140518,2369,2369
1561142428,2379,2379
1561144338,2369,2369
1561146258,2370,2370
1561148171,2372,2372
1561150340,2371,2371
1561152263,2362,2362
1561154184,2369,2369
1561156848,2352,2352
1561158874,2837,2837
1561160676,2834,2834
1561162600,2851,2851
1561164761,2861,2861
1561166661,2864,2864
1561168572,2867,2867
1561170499,2871,2871
1561172432,2861,2861
1561174360,2857,2857
1561176256,2872,2872
1561178175,2888,2888
1561180121,2888,2888
1561182037,2871,2871
1561183935,2872,2872
1561185875,2871,2871
1561187776,2854,2854
1561189700,2861,2861
1561191631,2862,2862
1561193553,2855,2855
1561195455,2852,2852
1561197395,2836,2836
1561199560,1464,1464
1561201455,1975,1975
1561203371,1980,1980
1561205321,1993,1993
1561207234,1990,1990
1561209137,2004,2004
1561211050,1999,1999
1561212986,2011,2011
1561214917,2022,2022
1561216837,2031,2031
1561218752,2028,2028
1561220678,2055,2055
1561222593,2052,2052
1561224514,2053,2053
1561226463,2047,2047
1561228349,2047,2047
1561230523,2042,2042
1561232412,2045,2045
1561234334,2046,2046
1561236271,2042,2042
1561238420,2042,2042
1561240356,2046,2046
1561242246,2054,2054
1561244171,2044,2044
1561246091,2470,2470
1561248039,2465,2465
1561249961,2467,2467
1561251857,2465,2465
1561253772,2441,2441
1561255714,2443,2443
1561257879,2447,2447
1561259797,2448,2448
1561261695,2440,2440
1561263629,2442,2442
1561265530,2430,2430
1561267451,2421,2421
1561269388,2418,2418
1561271289,2438,2438
1561273239,2506,2506
1561275139,2536,2536
1561277075,2578,2578
1561278995,2607,2607
1561280922,2631,2631
1561282833,2655,2655
1561284730,1395,1395
1561286651,1421,1421
1561288594,1973,1973
1561290500,2001,2001
1561292435,2023,2023
1561294367,2044,2044
1561296251,2073,2073
1561298167,2086,2086
1561300359,2103,2103
1561302267,2115,2115
1561304187,2112,2112
1561306111,2132,2132
1561308007,2138,2138
1561309930,2155,2155
1561311851,2165,2165
1561313790,2172,2172
1561315694,2182,2182
1561317854,2258,2258
1561319789,2325,2325
1561321689,2352,2352
1561323625,2400,2400
1561325554,2414,2414
1561327455,2449,2449
1561329402,2457,2457
1561331316,2928,2928
1561333210,2930,2930
1561335158,2953,2953
1561337053,2962,2962
1561338973,2965,2965
1561340892,2965,2965
1561342809,2962,2962
1561344751,2966,2966
1561346649,2970,2970
1561348567,2980,2980
1561350511,2976,2976
1561352430,2944,2944
1561354358,2948,2948
1561356279,2967,2967
1561358170,2961,2961
1561360118,2975,2975
1561362030,2981,2981
1561363932,2990,2990
1561365851,3005,3005
