DateTime,AddedIPs,RemovedIPs
1561524317,511,554
1561525217,415,509
1561526113,521,716
1561527018,712,663
1561527918,579,547
1561528816,580,661
1561529714,581,611
1561530613,468,763
1561531515,402,668
1561532414,498,500
1561533313,500,538
1561534217,451,725
1561535113,519,697
1561536013,537,664
1561536918,311,579
1561537814,462,436
1561538717,423,484
1561539619,575,583
1561540517,587,484
1561541417,798,461
1561542314,628,610
1561543217,1053,373
1561544117,1165,514
1561545014,743,402
1561545914,636,556
1561546813,640,499
1561547716,705,815
1561548619,806,664
1561549513,725,860
1561550420,590,980
1561551314,526,798
1561552216,717,765
1561553115,650,587
1561554017,771,581
1561554914,766,504
1561555816,744,630
1561556716,603,558
1561557616,667,485
1561558516,669,445
1561559413,456,338
1561560315,583,363
1561561214,577,354
1561562112,492,514
1561563017,524,458
1561563914,464,537
1561564814,418,631
1561565715,410,609
1561566618,610,643
1561567512,459,534
1561568417,550,724
1561569314,805,736
1561570217,520,753
1561571118,591,765
1561572013,549,657
1561572914,594,634
1561573818,453,578
1561574712,451,682
1561575614,480,625
1561576517,513,598
1561577419,504,819
1561578317,480,536
1561579218,497,671
1561580117,479,619
1561581020,383,646
1561581914,518,412
1561582821,387,543
1561583718,467,502
1561584616,478,515
1561585513,564,495
1561586416,616,544
1561587315,513,401
1561589114,1274,960
1561590015,586,457
1561590917,561,490
1561591818,586,481
1561592711,439,551
1561593617,540,659
1561594513,400,583
1561595412,335,696
1561596315,484,655
1561597212,446,557
1561598117,350,589
1561599014,414,620
1561599912,477,476
1561600818,413,484
1561601744,341,226
1561602612,482,234
1561603517,429,308
1561604415,464,331
1561605312,442,346
1561606214,427,297
1561607111,544,279
1561608012,423,250
1561608912,388,362
1561609817,322,325
1561610715,444,250
1561611615,447,396
1561612511,458,423
1561613414,437,336
1561614315,445,433
1561615213,549,420
1561616112,519,447
1561617018,576,549
1561617916,965,639
1561618813,391,490
1561619715,382,527
1561620619,385,659
1561621519,460,616
1561622416,474,637
1561623313,604,725
1561624214,540,643
1561625119,301,964
1561626016,413,471
1561626916,516,393
1561627820,432,429
1561628717,332,572
1561629619,429,1222
1561630519,511,521
1561631417,510,419
1561632316,473,542
1561633214,482,500
1561634117,555,348
1561635019,527,303
1561635919,485,333
1561636814,491,525
1561637715,543,536
1561638615,576,435
1561639520,526,441
1561640417,567,409
1561641318,492,472
1561642216,420,478
1561643121,442,437
1561644019,564,415
1561644919,634,591
1561645818,992,474
1561646715,1817,786
1561647619,587,409
1561648521,609,462
1561649418,599,330
1561650316,714,464
1561651218,575,429
1561652118,698,499
1561653022,454,602
1561653922,558,1145
1561654819,525,843
1561655716,512,544
1561656620,394,361
1561657521,372,406
1561658421,478,475
1561659317,524,518
1561660215,491,752
1561661116,643,536
1561662018,549,506
1561662920,550,490
1561663818,472,480
1561664714,798,661
1561665617,553,562
1561666520,427,521
1561667419,489,661
1561668318,437,550
1561669214,480,682
1561670120,467,692
1561671018,342,629
1561671915,486,585
1561672821,559,899
1561673716,402,550
1561674614,391,458
1561675515,541,564
1561676420,441,521
1561677317,399,537
1561678214,389,447
1561679119,352,659
1561680023,474,509
1561680920,512,487
1561681815,513,554
1561682714,560,472
1561683620,506,409
1561684519,565,394
1561685416,510,320
1561686321,489,470
1561687215,491,421
1561688120,437,409
1561689015,423,270
1561689914,434,415
1561690817,516,393
1561691718,498,348
1561692613,396,396
1561693516,558,470
1561694413,617,383
1561695315,420,317
1561696214,451,367
1561697115,546,366
1561698016,458,446
1561698917,473,476
1561699819,407,491
1561700717,358,500
1561701613,412,419
1561702516,364,512
1561703415,449,650
1561704318,595,399
1561705217,480,500
1561706116,553,625
1561707015,404,543
1561707920,633,547
1561708814,649,386
1561709717,747,451
1561710617,614,406
1561711516,645,363
1561712419,666,690
1561713315,533,499
1561714218,445,416
1561715115,540,442
1561716014,589,428
1561716915,483,583
1561717816,479,650
1561718716,583,706
1561719618,549,555
1561720515,565,582
1561721415,592,602
1561722317,528,495
1561723217,530,467
1561724113,633,549
1561725017,695,589
1561725918,664,485
1561726818,595,446
1561727713,686,575
1561728613,577,551
1561729517,547,522
1561730416,508,563
1561731315,657,496
1561732216,651,502
1561733114,524,588
1561734018,598,524
1561734917,512,597
1561735814,442,471
1561736715,560,561
1561737616,589,621
1561738518,572,541
1561739417,665,556
1561740313,575,499
1561741217,575,612
1561742114,697,841
1561743012,576,637
1561743917,503,679
1561744812,531,615
1561745715,693,604
1561746613,509,660
1561747515,538,609
1561748412,1742,1034
1561749315,539,851
1561750215,458,760
1561751117,505,726
1561752016,465,659
1561752914,514,869
1561753816,451,694
1561754717,468,1613
1561755617,546,742
1561756516,532,512
1561757414,416,483
1561758313,456,464
1561759217,496,529
1561761915,1146,1445
1561762812,410,548
1561763717,399,394
1561764614,433,420
1561765518,416,550
1561766418,354,354
1561767314,478,398
1561768219,854,383
1561769114,1156,450
1561770019,633,405
1561770915,583,440
1561771819,399,413
1561772717,450,358
1561773619,407,355
1561774516,345,704
1561775417,368,923
1561776314,488,957
1561777216,361,546
1561778115,399,430
1561779015,287,333
1561779917,398,451
1561780819,430,405
1561781714,428,302
1561782619,455,385
1561783515,432,460
1561784417,287,371
1561785317,298,459
1561786215,343,346
1561787120,416,472
1561788013,381,430
1561788920,382,478
1561789819,430,423
1561790717,606,403
1561791616,591,266
1561792517,1095,273
1561793417,171,30
1561794318,157,9
1561795215,419,91
1561796119,563,268
1561797018,533,384
1561797914,573,269
1561798815,504,305
1561799720,445,340
1561800619,460,328
1561801519,473,410
1561802420,500,462
1561803319,617,1071
1561804214,503,1116
1561805116,462,682
1561806018,433,636
1561806916,726,702
1561807813,518,629
