DateTime,Entries,UniqueIPs
1561524317,5384,5384
1561525217,5290,5290
1561526113,5095,5095
1561527018,5144,5144
1561527918,5176,5176
1561528816,5095,5095
1561529714,5065,5065
1561530613,4770,4770
1561531515,4504,4504
1561532414,4502,4502
1561533313,4464,4464
1561534217,4190,4190
1561535113,4012,4012
1561536013,3885,3885
1561536918,3617,3617
1561537814,3643,3643
1561538717,3582,3582
1561539619,3574,3574
1561540517,3677,3677
1561541417,4014,4014
1561542314,4032,4032
1561543217,4712,4712
1561544117,5363,5363
1561545014,5704,5704
1561545914,5784,5784
1561546813,5925,5925
1561547716,5815,5815
1561548619,5957,5957
1561549513,5822,5822
1561550420,5432,5432
1561551314,5160,5160
1561552216,5112,5112
1561553115,5175,5175
1561554017,5365,5365
1561554914,5627,5627
1561555816,5741,5741
1561556716,5786,5786
1561557616,5968,5968
1561558516,6192,6192
1561559413,6310,6310
1561560315,6530,6530
1561561214,6753,6753
1561562112,6731,6731
1561563017,6797,6797
1561563914,6724,6724
1561564814,6511,6511
1561565715,6312,6312
1561566618,6279,6279
1561567512,6204,6204
1561568417,6030,6030
1561569314,6099,6099
1561570217,5866,5866
1561571118,5692,5692
1561572013,5584,5584
1561572914,5544,5544
1561573818,5419,5419
1561574712,5188,5188
1561575614,5043,5043
1561576517,4958,4958
1561577419,4643,4643
1561578317,4587,4587
1561579218,4413,4413
1561580117,4273,4273
1561581020,4010,4010
1561581914,4116,4116
1561582821,3960,3960
1561583718,3925,3925
1561584616,3888,3888
1561585513,3957,3957
1561586416,4029,4029
1561587315,4141,4141
1561589114,4455,4455
1561590015,4584,4584
1561590917,4655,4655
1561591818,4760,4760
1561592711,4648,4648
1561593617,4529,4529
1561594513,4346,4346
1561595412,3985,3985
1561596315,3814,3814
1561597212,3703,3703
1561598117,3464,3464
1561599014,3258,3258
1561599912,3259,3259
1561600818,3188,3188
1561601744,3303,3303
1561602612,3551,3551
1561603517,3672,3672
1561604415,3805,3805
1561605312,3901,3901
1561606214,4031,4031
1561607111,4296,4296
1561608012,4469,4469
1561608912,4495,4495
1561609817,4492,4492
1561610715,4686,4686
1561611615,4737,4737
1561612511,4772,4772
1561613414,4873,4873
1561614315,4885,4885
1561615213,5014,5014
1561616112,5086,5086
1561617018,5113,5113
1561617916,5439,5439
1561618813,5340,5340
1561619715,5195,5195
1561620619,4921,4921
1561621519,4765,4765
1561622416,4602,4602
1561623313,4481,4481
1561624214,4378,4378
1561625119,3715,3715
1561626016,3657,3657
1561626916,3780,3780
1561627820,3783,3783
1561628717,3543,3543
1561629619,2750,2750
1561630519,2740,2740
1561631417,2831,2831
1561632316,2762,2762
1561633214,2744,2744
1561634117,2951,2951
1561635019,3175,3175
1561635919,3327,3327
1561636814,3293,3293
1561637715,3300,3300
1561638615,3441,3441
1561639520,3526,3526
1561640417,3684,3684
1561641318,3704,3704
1561642216,3646,3646
1561643121,3651,3651
1561644019,3800,3800
1561644919,3843,3843
1561645818,4361,4361
1561646715,5392,5392
1561647619,5570,5570
1561648521,5717,5717
1561649418,5986,5986
1561650316,6236,6236
1561651218,6382,6382
1561652118,6581,6581
1561653022,6433,6433
1561653922,5846,5846
1561654819,5528,5528
1561655716,5496,5496
1561656620,5529,5529
1561657521,5495,5495
1561658421,5498,5498
1561659317,5504,5504
1561660215,5243,5243
1561661116,5350,5350
1561662018,5393,5393
1561662920,5453,5453
1561663818,5445,5445
1561664714,5582,5582
1561665617,5573,5573
1561666520,5479,5479
1561667419,5307,5307
1561668318,5194,5194
1561669214,4992,4992
1561670120,4767,4767
1561671018,4480,4480
1561671915,4381,4381
1561672821,4041,4041
1561673716,3893,3893
1561674614,3826,3826
1561675515,3803,3803
1561676420,3723,3723
1561677317,3585,3585
1561678214,3527,3527
1561679119,3220,3220
1561680023,3185,3185
1561680920,3210,3210
1561681815,3169,3169
1561682714,3257,3257
1561683620,3354,3354
1561684519,3525,3525
1561685416,3715,3715
1561686321,3734,3734
1561687215,3804,3804
1561688120,3832,3832
1561689015,3985,3985
1561689914,4004,4004
1561690817,4127,4127
1561691718,4277,4277
1561692613,4277,4277
1561693516,4365,4365
1561694413,4599,4599
1561695315,4702,4702
1561696214,4786,4786
1561697115,4966,4966
1561698016,4978,4978
1561698917,4975,4975
1561699819,4891,4891
1561700717,4749,4749
1561701613,4742,4742
1561702516,4594,4594
1561703415,4393,4393
1561704318,4589,4589
1561705217,4569,4569
1561706116,4497,4497
1561707015,4358,4358
1561707920,4444,4444
1561708814,4707,4707
1561709717,5003,5003
1561710617,5211,5211
1561711516,5493,5493
1561712419,5469,5469
1561713315,5503,5503
1561714218,5532,5532
1561715115,5630,5630
1561716014,5791,5791
1561716915,5691,5691
1561717816,5520,5520
1561718716,5397,5397
1561719618,5391,5391
1561720515,5374,5374
1561721415,5364,5364
1561722317,5397,5397
1561723217,5460,5460
1561724113,5544,5544
1561725017,5650,5650
1561725918,5829,5829
1561726818,5978,5978
1561727713,6089,6089
1561728613,6115,6115
1561729517,6140,6140
1561730416,6085,6085
1561731315,6246,6246
1561732216,6395,6395
1561733114,6331,6331
1561734018,6405,6405
1561734917,6320,6320
