DateTime,AddedIPs,RemovedIPs
1558078237,1,7
1558084837,5,0
1558092637,0,7
1558099837,1,18
1558107638,2,9
1558117237,22,6
1558125037,8,4
1558131637,2,10
1558138237,0,20
1558145438,2,0
1558153837,2,23
1558161038,0,9
1558175443,1,11
1558182639,1,10
1558197037,5,14
1558203638,7,10
1558211442,2,2
1558218041,3,0
1558225841,1,11
1558233039,2,19
1558239641,0,3
1558247438,24,3
1558254037,4,0
1558261242,5,15
1558268440,0,8
1558276238,5,5
1558291237,7,7
1558299042,2,10
1558314038,0,11
1558321239,0,9
1558327838,7,13
1558336238,7,7
1558343447,1,0
1558352440,5,5
1558359638,3,2
1558366237,6,2
1558372838,5,0
1558380638,1,7
1558387238,0,8
1558394437,1,0
1558402238,0,5
1558409437,7,11
1558416638,1,8
1558424437,3,3
1558434038,5,4
1558441836,0,51
1558449636,4,0
1558456836,21,28
1558463437,3,0
1558469437,3,6
1558474838,2,4
1558485638,4,6
1558493440,1,27
1558501238,0,22
1558507837,6,0
1558515037,1,9
1558522237,1,11
1558529438,3,8
1558537838,3,10
1558543238,5,0
1558549843,1,9
1558557037,3,4
1558562438,0,6
1558568437,2,0
1558576237,2,25
1558583438,1,0
1558590638,0,17
1558597238,7,0
1558605638,0,13
1558614037,2,16
1558621237,10,13
1558629039,3,0
1558636236,0,13
1558644036,6,11
1558650036,3,11
1558656637,1,0
1558664437,2,7
1558671637,0,10
1558680037,0,15
1558687836,2,0
1558695036,3,13
1558702237,2,0
1558711236,5,20
1558718437,5,10
1558725037,1,0
1558731036,2,6
1558738237,2,5
1558746036,12,15
1558752036,2,0
1558760437,0,14
1558767034,0,28
1558774837,2,27
1558782036,2,0
1558789237,0,31
1558795836,1,0
1558803037,1,22
1558809636,0,20
1558824637,4,20
1558831836,1,24
1558839636,1,0
1558846236,0,27
1558854036,2,42
1558860636,1,0
1558867238,2,34
1558874437,4,7
1558882836,0,13
1558888836,0,19
1558903237,1,13
1558910435,1,12
1558918236,5,7
1558925435,1,14
1558932636,2,0
1558940435,1,36
1558947035,1,0
1558953634,32,35
1558959035,47,15
1558967460,2,15
1558974636,8,0
1558980636,0,8
1558988436,7,19
1559002236,2,8
1559009435,1,10
1559017236,1,24
1559024435,1,0
1559032236,0,28
1559039442,7,0
1559046636,10,10
1559054436,6,14
1559059236,1,0
1559065235,4,5
1559073636,4,9
1559079636,1,10
1559094036,1,13
1559101237,1,27
1559109036,2,28
1559116237,5,31
1559124037,6,25
1559137836,10,18
1559145637,1,20
1559152237,2,0
1559160037,1,22
1559173837,2,10
1559181637,2,15
1559188838,0,20
1559195436,0,26
1559203236,5,16
1559210436,3,0
1559218236,4,29
1559226635,1,26
1559232636,1,0
1559238036,0,18
1559252436,3,27
1559260235,0,25
1559268035,1,12
1559274036,2,19
1559281835,2,26
1559288436,6,0
1559296236,4,19
1559304635,2,15
1559311235,1,12
1559317836,1,8
1559324436,46,0
1559332236,2,8
1559340036,3,14
1559353835,4,6
1559360435,0,15
1559368235,0,18
1559375440,3,0
1559382634,0,29
1559389836,2,13
1559397036,0,21
1559410835,1,19
1559418035,1,16
1559425237,0,13
1559433036,2,16
1559439635,0,10
1559447436,1,13
1559455235,1,24
1559461835,3,0
1559469037,0,19
1559476836,1,12
1559483435,1,11
1559490036,2,0
1559497836,0,12
1559505636,1,4
1559511635,1,6
