DateTime,Entries,UniqueIPs
1558182639,4444,4444
1558189838,4379,4379
1558197037,4409,4409
1558203638,4544,4544
1558211442,4556,4556
1558218041,4617,4617
1558225841,4608,4608
1558233039,4580,4580
1558239641,4665,4665
1558247438,4611,4611
1558254037,4603,4603
1558261242,4668,4668
1558268440,4680,4680
1558276238,4711,4711
1558291237,4656,4656
1558299042,4634,4634
1558306239,4675,4675
1558314038,4670,4670
1558321239,4675,4675
1558327838,4654,4654
1558336238,4618,4618
1558343447,4555,4555
1558352440,4533,4533
1558359638,4411,4411
1558366237,4386,4386
1558372838,4433,4433
1558380638,4438,4438
1558387238,4474,4474
1558394437,4563,4563
1558402238,4563,4563
1558409437,4553,4553
1558416638,4527,4527
1558424437,4506,4506
1558434038,4291,4291
1558441836,4195,4195
1558449636,4131,4131
1558456836,4266,4266
1558463437,4391,4391
1558469437,4470,4470
1558474838,4517,4517
1558485638,4622,4622
1558493440,4553,4553
1558507837,4456,4456
1558515037,4499,4499
1558522237,4507,4507
1558529438,4498,4498
1558537838,4416,4416
1558543238,4479,4479
1558549843,4454,4454
1558557037,4387,4387
1558562438,4406,4406
1558568437,4520,4520
1558576237,4534,4534
1558583438,4528,4528
1558597238,4560,4560
1558605638,4543,4543
1558614037,4344,4344
1558621237,4388,4388
1558629039,4423,4423
1558636236,4283,4283
1558644036,4265,4265
1558650036,4250,4250
1558656637,4322,4322
1558664437,4336,4336
1558671637,4350,4350
1558680037,4329,4329
1558687836,4234,4234
1558695036,4284,4284
1558702237,4353,4353
1558711236,4255,4255
1558718437,4256,4256
1558725037,4339,4339
1558731036,4439,4439
1558738237,4463,4463
1558746036,4377,4377
1558752036,4327,4327
1558774837,4338,4338
1558782036,4340,4340
1558789237,4303,4303
1558795836,4287,4287
1558803037,4269,4269
1558809636,4237,4237
1558817436,4304,4304
1558824637,4320,4320
1558831836,4364,4364
1558839636,4306,4306
1558846236,4269,4269
1558854036,4231,4231
1558860636,4221,4221
1558867238,4223,4223
1558874437,4225,4225
1558882836,4135,4135
1558888836,4104,4104
1558896036,4146,4146
1558903237,4180,4180
1558910435,4181,4181
1558918236,4166,4166
1558925435,4121,4121
1558932636,4137,4137
1558940435,4058,4058
1558947035,3997,3997
1558953634,4117,4117
1558959035,4265,4265
1558967460,4257,4257
1558974636,4183,4183
1558980636,4219,4219
1558988436,4250,4250
1559002236,4282,4282
1559009435,4299,4299
1559017236,4293,4293
1559024435,4349,4349
1559032236,4232,4232
1559039442,4198,4198
1559046636,4193,4193
1559054436,4137,4137
1559059236,4184,4184
1559065235,4249,4249
1559073636,4263,4263
1559079636,4282,4282
1559086835,4221,4221
1559094036,4259,4259
1559101237,4304,4304
1559109036,4305,4305
1559116237,4371,4371
1559124037,4370,4370
1559137836,4383,4383
1559145637,4359,4359
1559152237,4385,4385
1559160037,4364,4364
1559173837,4387,4387
1559181637,4387,4387
1559188838,4355,4355
1559203236,4299,4299
1559210436,4304,4304
1559218236,4149,4149
1559226635,4117,4117
1559232636,4140,4140
1559238036,4217,4217
1559245235,4258,4258
1559252436,4262,4262
1559260235,4254,4254
1559268035,4209,4209
1559274036,4187,4187
1559281835,4177,4177
1559288436,4206,4206
1559296236,4194,4194
1559304635,4145,4145
1559311235,4140,4140
1559317836,4116,4116
1559324436,4216,4216
1559332236,4210,4210
1559340036,4215,4215
1559346035,4186,4186
1559353835,4174,4174
1559360435,4229,4229
1559375440,4306,4306
1559382634,4288,4288
1559389836,4273,4273
1559397036,4205,4205
1559404236,4135,4135
1559410835,4143,4143
1559418035,4250,4250
1559425237,4262,4262
1559433036,4272,4272
1559439635,4370,4370
1559447436,4341,4341
1559455235,4304,4304
1559461835,4299,4299
1559469037,4263,4263
1559476836,4154,4154
1559483435,4175,4175
1559490036,4218,4218
1559497836,4260,4260
1559505636,4166,4166
1559511635,4162,4162
1559520035,4156,4156
1559526634,4144,4144
1559533236,4204,4204
1559548235,4151,4151
1559554835,4199,4199
1559562635,4171,4171
1559569235,4204,4204
1559577035,4193,4193
1559583635,4266,4266
1559590836,4244,4244
1559598635,4178,4178
1559605235,4198,4198
1559612435,4195,4195
1559618436,4240,4240
1559625636,4263,4263
1559632836,4240,4240
1559639435,4200,4200
1559647236,4177,4177
1559654435,4194,4194
1559662236,4141,4141
1559667636,4201,4201
1559674235,4178,4178
1559680835,4187,4187
1559688035,4185,4185
1559695236,4173,4173
1559702436,4229,4229
1559710235,4202,4202
1559717434,4164,4164
1559724035,4155,4155
1559731835,4130,4130
1559739034,4099,4099
1559745634,4091,4091
1559753435,4160,4160
1559760636,4115,4115
1559767236,4102,4102
1559773836,4105,4105
1559779834,4247,4247
1559794835,4252,4252
1559802035,4216,4216
1559809236,4223,4223
1559816435,4105,4105
1559823037,4100,4100
1559831435,4135,4135
1559837435,4180,4180
1559844635,4264,4264
1559852435,4232,4232
1559859635,4172,4172
1559866234,4177,4177
1559873435,4212,4212
1559880634,4191,4191
1559886035,4232,4232
1559891435,4185,4185
1559899235,4118,4118
1559905834,4116,4116
1559911234,4079,4079
1559919034,4092,4092
1559925635,4144,4144
1559933434,4157,4157
1559940036,4136,4136
1559947835,4182,4182
1559955034,4221,4221
1559962234,4196,4196
1559969434,4173,4173
1559976048,4194,4194
1559983835,4107,4107
1559990433,4087,4087
1559995835,4142,4142
1560001834,4108,4108
1560009035,4108,4108
1560015634,4138,4138
1560023435,4144,4144
1560030034,4204,4204
1560037834,4198,4198
1560045034,4210,4210
1560051635,4244,4244
1560057635,4272,4272
1560065434,4188,4188
1560072035,4105,4105
1560078635,4070,4070
1560085834,4085,4085
1560093634,4125,4125
1560100235,4151,4151
1560107436,4220,4220
1560115234,4127,4127
1560121834,4166,4166
1560129634,4159,4159
1560136235,4164,4164
1560142235,4275,4275
1560148235,4307,4307
1560155435,4304,4304
1560163235,4191,4191
1560169835,4186,4186
1560176434,4146,4146
1560183035,4151,4151
1560189035,4137,4137
1560195634,4132,4132
1560202835,4160,4160
1560207635,4147,4147
1560213636,4199,4199
1560219034,4180,4180
1560226235,4163,4163
1560233434,4102,4102
1560240035,4101,4101
1560246039,4075,4075
1560252634,4059,4059
1560258634,3995,3995
1560265835,4054,4054
1560270634,4087,4087
1560276636,4111,4111
1560282034,4130,4130
1560289235,4119,4119
1560296439,4121,4121
1560303035,4109,4109
1560308435,4094,4094
1560313835,4130,4130
1560319835,4112,4112
1560325234,4114,4114
1560332434,4058,4058
1560339636,4063,4063
1560345034,4033,4033
1560352235,4014,4014
1560358835,3996,3996
1560364235,3994,3994
1560369634,4009,4009
1560375035,4048,4048
1560381035,4021,4021
1560388234,3991,3991
1560395434,3993,3993
1560400834,4026,4026
1560406233,3996,3996
1560412834,3970,3970
1560418834,3989,3989
1560426035,3996,3996
1560433234,3937,3937
1560439834,3922,3922
1560445234,3991,3991
1560451234,4002,4002
1560459034,3964,3964
1560465635,3935,3935
1560473434,3931,3931
1560480035,4011,4011
1560487833,3979,3979
1560494434,3943,3943
1560501633,3924,3924
1560506435,3904,3904
1560511834,3926,3926
1560517834,3940,3940
1560523234,3954,3954
1560530435,3957,3957
1560537634,4011,4011
1560544834,4007,4007
1560550234,4021,4021
1560555035,4035,4035
1560561034,4061,4061
1560566434,4069,4069
1560573634,4061,4061
1560581434,4028,4028
1560588035,4029,4029
1560593434,4089,4089
1560600634,4068,4068
1560608434,4052,4052
1560615034,4066,4066
1560622834,4047,4047
1560629434,4035,4035
1560636034,4058,4058
1560642034,4108,4108
1560649234,4150,4150
1560654634,4084,4084
1560661235,4130,4130
1560667834,4107,4107
1560675034,3978,3978
1560681634,3972,3972
1560688834,3929,3929
1560696035,3936,3936
1560703234,3951,3951
1560710434,3962,3962
1560717035,4011,4011
1560723034,3973,3973
1560730234,3969,3969
1560737433,3896,3896
1560744635,3950,3950
1560750034,4004,4004
1560757234,4017,4017
1560762634,3942,3942
1560769836,3966,3966
1560777034,3905,3905
1560784234,3882,3882
1560790834,3888,3888
1560796834,3876,3876
1560804034,3865,3865
1560809434,3878,3878
1560816633,3947,3947
1560823834,3940,3940
1560831034,3874,3874
1560838234,3930,3930
1560845434,3945,3945
1560852636,3958,3958
1560860435,3899,3899
1560867034,3836,3836
1560873634,3885,3885
1560879636,3919,3919
1560886833,3932,3932
1560894035,3927,3927
1560900634,3845,3845
1560906634,3885,3885
1560913834,3890,3890
1560921634,3854,3854
1560928234,3795,3795
1560935434,3804,3804
1560940234,3866,3866
1560946835,3836,3836
1560953433,3862,3862
1560958837,3866,3866
1560963635,3864,3864
1560969635,3881,3881
1560976834,3863,3863
1560984035,3870,3870
1560988834,3934,3934
1560994846,3893,3893
1561002034,3876,3876
1561009834,3863,3863
1561017034,3862,3862
1561023633,3831,3831
1561030834,3803,3803
1561038034,3782,3782
1561045233,3738,3738
1561051833,3744,3744
1561057832,3715,3715
1561064434,3747,3747
1561069833,3765,3765
1561075239,3826,3826
1561081254,3829,3829
1561089032,3787,3787
1561095633,3714,3714
1561102233,3667,3667
1561108255,3688,3688
1561113676,3671,3671
1561120275,3701,3701
1561125654,3708,3708
1561131058,3764,3764
1561136475,3796,3796
1561142455,3770,3770
1561149634,3741,3741
1561156275,3685,3685
1561161654,3742,3742
1561167655,3817,3817
1561172496,3786,3786
1561178454,3738,3738
1561185054,3745,3745
1561190475,3780,3780
1561195896,3827,3827
1561201834,3862,3862
1561209082,3831,3831
1561216297,3783,3783
1561223475,3829,3829
1561228876,3795,3795
1561236054,3793,3793
1561242677,3821,3821
1561248675,3725,3725
1561253496,3756,3756
1561259433,3709,3709
1561266096,3708,3708
1561271476,3744,3744
1561276876,3750,3750
1561282875,3731,3731
1561289435,4211,4211
1561297257,4531,4531
1561304478,4396,4396
1561311082,5513,5513
1561320684,5791,5791
1561332665,6117,6117
1561344685,6063,6063
1561357285,6019,6019
1561369295,6046,6046
1561381866,6517,6517
1561395067,6486,6486
1561407647,6657,6657
1561420913,6860,6860
1561433492,7008,7008
1561446671,7014,7014
1561459872,7011,7011
1561473711,6810,6810
1561486270,7016,7016
1561499474,7349,7349
1561512073,7294,7294
1561524717,7322,7322
1561537895,7255,7255
1561550453,7084,7084
1561563694,7007,7007
1561576315,7085,7085
1561588274,7286,7286
1561599095,7299,7299
1561611072,7185,7185
1561623095,7144,7144
1561635071,7038,7038
1561647091,6925,6925
1561661469,6786,6786
1561673510,6555,6555
1561686067,6574,6574
1561698646,6409,6409
1561712444,6178,6178
1561724443,5963,5963
1561735243,5986,5986
1561745444,6109,6109
1561756843,6096,6096
1561767643,6076,6076
1561779043,6102,6102
1561789843,6065,6065
1561799443,6103,6103
1561810843,6024,6024
1561821643,5996,5996
1561832443,5977,5977
1561843245,5978,5978
1561854042,5912,5912
1561864842,5920,5920
1561875642,5874,5874
1561885883,5899,5899
1561897842,5793,5793
1561908083,5752,5752
1561918283,5891,5891
1561927285,5950,5950
1561937465,6017,6017
1561948274,5764,5764
1561957903,5666,5666
1561968661,5593,5593
