DateTime,AddedIPs,RemovedIPs
1561265286,8,5
1561265766,5,9
1561266246,9,3
1561266724,6,6
1561267205,3,5
1561267685,5,10
1561268166,11,6
1561268644,7,7
1561269126,10,5
1561269623,3,7
1561270085,10,6
1561270565,3,6
1561271049,8,11
1561271525,9,7
1561272004,8,9
1561272486,7,6
1561272966,9,9
1561273689,8,6
1561274165,6,9
1561274645,7,4
1561275127,4,7
1561275605,9,11
1561276088,7,4
1561276564,6,7
1561277045,6,8
1561277525,6,4
1561278005,4,4
1561278488,7,5
1561278967,2,0
1561338485,3,9
1561338967,7,12
1561339448,10,6
1561339930,9,12
1561340404,10,8
1561340886,10,16
1561341366,12,11
1561341845,7,7
1561342327,11,10
1561342806,7,5
1561343289,8,7
1561343765,7,6
1561344244,5,8
1561344726,9,8
1561345223,5,8
1561345926,10,6
1561346407,5,9
1561346887,9,9
1561347365,6,9
1561347849,10,6
1561348325,4,4
1561348814,5,7
1561349527,8,7
1561350010,7,9
1561350487,6,4
1561350965,6,8
1561351445,7,10
1561351926,11,8
1561352420,6,4
1561352887,5,5
1561353369,4,5
1561353845,5,4
1561354330,5,8
1561354805,7,6
1561355285,9,6
1561355768,9,10
1561356247,3,3
1561356725,7,9
1561357205,9,10
1561357687,8,6
1561358165,6,8
1561358644,8,9
1561359125,11,9
1561359623,7,8
1561360086,10,7
1561360569,5,8
1561361044,8,5
1561361528,4,7
1561362006,10,5
1561362486,4,3
1561362967,2,6
1561363446,11,8
1561363926,4,5
1561364405,6,3
1561364885,1,1
1561365365,1,0
1561370167,1,1
1561371128,1,1
1561371609,0,1
1561372086,1,0
1561377847,1,1
1561378325,1,1
1561422489,1,1
1561423447,1,1
1561424889,2,8
1561425368,9,7
1561425844,4,4
1561426328,8,11
1561426806,13,7
1561427285,5,8
1561427766,8,11
1561428251,9,8
1561428726,11,12
1561429204,10,9
1561429688,8,6
1561430407,6,5
1561430889,10,6
1561431366,8,4
1561432087,5,6
1561432567,3,8
1561433045,14,12
1561433529,9,9
1561434006,9,9
1561434486,8,8
1561434967,8,7
1561435446,12,11
1561435927,10,10
1561436404,11,7
1561436887,4,4
