DateTime,Entries,UniqueIPs
1561265286,4685,4685
1561265766,4681,4681
1561266246,4687,4687
1561266724,4687,4687
1561267205,4685,4685
1561267685,4680,4680
1561268166,4685,4685
1561268644,4685,4685
1561269126,4690,4690
1561269623,4686,4686
1561270085,4690,4690
1561270565,4687,4687
1561271049,4684,4684
1561271525,4686,4686
1561272004,4685,4685
1561272486,4686,4686
1561272966,4686,4686
1561273689,4688,4688
1561274165,4685,4685
1561274645,4688,4688
1561275127,4685,4685
1561275605,4683,4683
1561276088,4686,4686
1561276564,4685,4685
1561277045,4683,4683
1561277525,4685,4685
1561278005,4685,4685
1561278488,4687,4687
1561278967,4689,4689
1561338485,4683,4683
1561338967,4678,4678
1561339448,4682,4682
1561339930,4679,4679
1561340404,4681,4681
1561340886,4675,4675
1561341366,4676,4676
1561341845,4676,4676
1561342327,4677,4677
1561342806,4679,4679
1561343289,4680,4680
1561343765,4681,4681
1561344244,4678,4678
1561344726,4679,4679
1561345223,4676,4676
1561345926,4680,4680
1561346407,4676,4676
1561346887,4676,4676
1561347365,4673,4673
1561347849,4677,4677
1561348325,4677,4677
1561348814,4675,4675
1561349527,4676,4676
1561350010,4674,4674
1561350487,4676,4676
1561350965,4674,4674
1561351445,4671,4671
1561351926,4674,4674
1561352420,4676,4676
1561352887,4676,4676
1561353369,4675,4675
1561353845,4676,4676
1561354330,4673,4673
1561354805,4674,4674
1561355285,4677,4677
1561355768,4676,4676
1561356247,4676,4676
1561356725,4674,4674
1561357205,4673,4673
1561357687,4675,4675
1561358165,4673,4673
1561358644,4672,4672
1561359125,4674,4674
1561359623,4673,4673
1561360086,4676,4676
1561360569,4673,4673
1561361044,4676,4676
1561361528,4673,4673
1561362006,4678,4678
1561362486,4679,4679
1561362967,4675,4675
1561363446,4678,4678
1561363926,4677,4677
1561364405,4680,4680
1561364885,4680,4680
1561365365,4681,4681
1561370167,4681,4681
1561371128,4681,4681
1561371609,4680,4680
1561372086,4681,4681
1561377847,4681,4681
1561378325,4681,4681
1561422489,4681,4681
1561423447,4681,4681
1561424889,4675,4675
1561425368,4677,4677
1561425844,4677,4677
1561426328,4674,4674
1561426806,4680,4680
1561427285,4677,4677
1561427766,4674,4674
1561428251,4675,4675
1561428726,4674,4674
1561429204,4675,4675
1561429688,4677,4677
1561430407,4678,4678
1561430889,4682,4682
1561431366,4686,4686
1561432087,4685,4685
1561432567,4680,4680
1561433045,4682,4682
1561433529,4682,4682
1561434006,4682,4682
1561434486,4682,4682
1561434967,4683,4683
1561435446,4684,4684
1561435927,4684,4684
1561436404,4688,4688
1561436887,4688,4688
1561437368,4681,4681
1561437847,4688,4688
1561438326,4688,4688
1561438817,4684,4684
1561439286,4687,4687
1561439768,4686,4686
1561440245,4686,4686
1561440725,4681,4681
1561441206,4683,4683
1561441684,4688,4688
1561442419,4689,4689
1561442886,4682,4682
1561443365,4685,4685
1561443847,4685,4685
1561444325,4685,4685
1561444804,4687,4687
1561445288,4687,4687
1561445767,4686,4686
1561446244,4686,4686
1561446726,4692,4692
1561447204,4692,4692
1561447688,4690,4690
1561448165,4689,4689
1561448649,4695,4695
1561449125,4693,4693
1561449625,4691,4691
1561450086,4692,4692
1561450568,4694,4694
1561451046,4694,4694
1561458487,4694,4694
1561459451,4694,4694
1561477451,4694,4694
1561478418,4694,4694
1561511525,4689,4689
1561512007,4685,4685
1561512485,4683,4683
1561512968,4685,4685
1561513445,4680,4680
1561513927,4684,4684
1561514410,4681,4681
1561514886,4686,4686
1561515369,4685,4685
1561515845,4684,4684
1561516325,4686,4686
1561516807,4686,4686
1561517288,4677,4677
1561517765,4680,4680
1561518492,4686,4686
1561518964,4684,4684
1561519447,4680,4680
1561519926,4681,4681
1561520409,4681,4681
1561520884,4683,4683
1561521366,4684,4684
1561521846,4681,4681
1561522324,4683,4683
1561522809,4684,4684
1561523288,4685,4685
1561523765,4684,4684
1561524244,4686,4686
1561524726,4680,4680
1561525218,4682,4682
1561525687,4684,4684
1561526167,4681,4681
1561526646,4681,4681
1561527127,4683,4683
1561527606,4679,4679
1561528088,4681,4681
1561528565,4681,4681
1561529045,4680,4680
1561529526,4676,4676
1561530005,4675,4675
1561530486,4672,4672
1561530969,4677,4677
1561531446,4673,4673
1561531925,4675,4675
1561532412,4672,4672
1561532887,4671,4671
1561533365,4679,4679
1561533847,4673,4673
1561534329,4675,4675
1561534806,4679,4679
1561535285,4677,4677
1561535766,4676,4676
1561536246,4680,4680
1561536725,4674,4674
1561537208,4678,4678
1561537926,4681,4681
1561551845,4680,4680
1561552329,4681,4681
1561553285,4681,4681
1561572246,4681,4681
1561572726,4681,4681
1561574165,4680,4680
1561574645,4681,4681
1561584486,4681,4681
1561585445,4681,4681
1561597926,4679,4679
1561598404,4674,4674
1561599131,4674,4674
1561599604,4676,4676
1561600085,4675,4675
1561600567,4678,4678
1561601048,4675,4675
1561601525,4677,4677
1561602004,4674,4674
1561602486,4674,4674
1561602966,4674,4674
1561603445,4672,4672
1561604165,4673,4673
1561604888,4673,4673
1561605367,4674,4674
1561605845,4671,4671
1561606325,4668,4668
1561606806,4670,4670
1561607288,4669,4669
1561607764,4668,4668
1561608244,4672,4672
1561608728,4670,4670
1561609205,4669,4669
1561609687,4669,4669
1561610165,4667,4667
1561610651,4668,4668
1561611124,4673,4673
1561611611,4667,4667
1561612085,4671,4671
1561612571,4673,4673
1561613044,4670,4670
1561613525,4670,4670
1561614004,4667,4667
1561614486,4668,4668
1561614965,4669,4669
1561615445,4668,4668
1561615926,4668,4668
1561616417,4669,4669
1561616888,4670,4670
1561617364,4669,4669
1561617846,4673,4673
1561618334,4672,4672
1561618815,4672,4672
1561619289,4672,4672
1561619764,4674,4674
1561620254,4678,4678
1561620728,4675,4675
1561621204,4676,4676
1561621685,4674,4674
1561622175,4674,4674
1561622645,4674,4674
1561623128,4677,4677
1561623604,4675,4675
1561624340,4679,4679
1561681688,4679,4679
1561682649,4679,4679
1561684095,4675,4675
1561684566,4675,4675
1561685045,4674,4674
1561685528,4676,4676
1561686004,4671,4671
1561686484,4670,4670
1561686967,4671,4671
1561687685,4667,4667
1561688165,4670,4670
1561688643,4670,4670
1561689126,4670,4670
1561689604,4670,4670
1561690088,4670,4670
1561690566,4672,4672
1561691288,4674,4674
1561691766,4673,4673
1561692244,4671,4671
1561692728,4673,4673
1561693448,4671,4671
1561693927,4670,4670
1561694415,4671,4671
1561694895,4670,4670
1561695377,4673,4673
1561695854,4668,4668
1561696340,4673,4673
1561696805,4674,4674
1561697287,4671,4671
1561697765,4674,4674
1561698488,4674,4674
1561698967,4670,4670
1561699444,4671,4671
1561699925,4668,4668
1561700407,4675,4675
1561700887,4676,4676
1561701365,4674,4674
1561701845,4676,4676
1561702327,4671,4671
1561702807,4669,4669
1561703285,4673,4673
1561703764,4670,4670
1561704247,4667,4667
1561704724,4671,4671
1561705220,4668,4668
1561705686,4670,4670
1561706166,4669,4669
1561706644,4672,4672
1561707127,4668,4668
1561707604,4673,4673
1561708088,4670,4670
1561708565,4674,4674
1561709044,4673,4673
1561709526,4674,4674
1561710006,4673,4673
1561710488,4674,4674
1561710965,4676,4676
1561719125,4675,4675
1561719618,4676,4676
1561770725,4671,4671
1561771207,4670,4670
1561771928,4668,4668
1561772404,4664,4664
1561772885,4665,4665
1561773629,4663,4663
1561774086,4671,4671
1561774566,4669,4669
1561775045,4669,4669
1561775527,4671,4671
1561776006,4671,4671
1561776488,4666,4666
1561776964,4667,4667
1561777446,4666,4666
1561777931,4667,4667
1561778407,4666,4666
1561778887,4665,4665
1561779366,4667,4667
1561779849,4667,4667
1561780324,4668,4668
1561780815,4666,4666
1561781288,4665,4665
1561781764,4666,4666
1561782255,4668,4668
1561782725,4663,4663
1561783207,4670,4670
1561783689,4670,4670
1561784166,4666,4666
1561784886,4661,4661
1561785368,4664,4664
1561785844,4664,4664
1561786324,4667,4667
1561786805,4666,4666
1561787284,4665,4665
1561787765,4664,4664
1561788242,4670,4670
1561788726,4669,4669
1561789205,4671,4671
1561789688,4672,4672
1561790164,4669,4669
1561790646,4671,4671
1561791124,4668,4668
1561791616,4669,4669
1561792085,4671,4671
1561792565,4672,4672
1561793044,4672,4672
1561793525,4669,4669
1561794005,4668,4668
1561794731,4669,4669
1561795215,4669,4669
1561795687,4672,4672
1561796169,4671,4671
1561796647,4672,4672
1561797130,4676,4676
1561797605,4676,4676
1561798084,4677,4677
1561798567,4677,4677
1561799526,4677,4677
1561856886,4668,4668
1561857371,4672,4672
1561858087,4669,4669
1561858565,4669,4669
1561859048,4667,4667
1561859526,4674,4674
1561860014,4671,4671
1561860486,4669,4669
1561860968,4673,4673
1561861445,4668,4668
1561861924,4671,4671
1561862404,4672,4672
1561862887,4671,4671
1561863365,4673,4673
1561863846,4670,4670
1561864566,4670,4670
1561865046,4669,4669
1561865525,4669,4669
1561866006,4668,4668
1561866490,4670,4670
1561866969,4672,4672
1561867445,4669,4669
1561867925,4673,4673
1561868405,4668,4668
1561868885,4670,4670
1561869365,4671,4671
1561869850,4670,4670
1561870324,4669,4669
1561870822,4670,4670
1561871286,4669,4669
1561871768,4670,4670
1561872244,4671,4671
1561872729,4670,4670
1561873205,4670,4670
1561873687,4674,4674
1561874164,4667,4667
1561874886,4668,4668
1561875366,4669,4669
1561875845,4674,4674
1561876330,4671,4671
1561876806,4672,4672
1561877285,4673,4673
1561877765,4673,4673
1561878246,4676,4676
1561878726,4670,4670
1561879204,4678,4678
1561879929,4672,4672
1561880405,4670,4670
1561880884,4674,4674
1561881367,4671,4671
1561881846,4675,4675
1561882325,4667,4667
1561882804,4667,4667
1561883287,4676,4676
1561898647,4676,4676
1561899620,4676,4676
1561928421,4676,4676
1561929129,4676,4676
1561933928,4675,4675
1561934405,4676,4676
1561943286,4670,4670
1561943765,4673,4673
1561944244,4672,4672
1561944731,4667,4667
1561945207,4666,4666
1561945686,4664,4664
1561946412,4662,4662
1561947129,4663,4663
1561947845,4662,4662
1561948328,4664,4664
1561948804,4666,4666
1561949286,4662,4662
1561949766,4664,4664
1561950247,4659,4659
1561950727,4659,4659
1561951204,4661,4661
1561951686,4657,4657
1561952165,4662,4662
1561952648,4662,4662
1561953125,4661,4661
1561953609,4665,4665
1561954399,4665,4665
1561955048,4660,4660
1561955529,4660,4660
1561956005,4661,4661
1561956485,4664,4664
1561957214,4659,4659
1561957929,4664,4664
1561958404,4661,4661
1561958889,4665,4665
1561959365,4665,4665
1561959846,4662,4662
1561960324,4663,4663
1561960818,4661,4661
1561961528,4653,4653
1561962006,4657,4657
1561962490,4656,4656
1561962964,4654,4654
1561963444,4652,4652
1561963941,4655,4655
1561964418,4656,4656
1561964888,4656,4656
1561965371,4656,4656
1561965847,4658,4658
1561966329,4657,4657
1561966805,4658,4658
1561967285,4657,4657
1561967770,4657,4657
1561968246,4660,4660
1561968725,4659,4659
1561969207,4661,4661
1561969688,4661,4661
1561970168,4660,4660
1561970644,4661,4661
