DateTime,AddedIPs,RemovedIPs
1561531323,2,7
1561531923,1,8
1561532522,11,3
1561533723,4,0
1561534923,5,8
1561535522,7,41
1561536122,6,3
1561536723,9,0
1561537322,9,1
1561537923,10,6
1561538522,1,5
1561539122,1,0
1561539722,2,4
1561540323,8,0
1561540922,1,7
1561542122,1,5
1561543922,0,1
1561544523,2,2
1561545123,7,0
1561545722,6,0
1561546922,3,6
1561548122,8,7
1561548722,3,0
1561549323,2,0
1561549923,1,3
1561550523,4,1
1561551722,13,11
1561552322,0,3
1561552923,3,0
1561554122,6,0
1561555322,3,5
1561556522,6,8
1561557722,12,0
1561558922,3,6
1561560123,6,3
1561560722,3,0
1561561323,4,0
1561562522,3,4
1561563722,1,0
1561564922,1,4
1561565522,2,23
1561566722,2,0
1561567322,4,2
1561568522,2,8
1561569723,3,0
1561570922,6,6
1561572122,2,3
1561573322,4,0
1561574522,0,3
1561575723,1,0
1561576922,3,4
1561578123,1,1
1561579323,0,2
1561579922,2,0
1561580522,6,6
1561581122,4,0
1561581722,6,0
1561582922,4,3
1561584122,3,10
1561584722,3,5
1561585323,5,5
1561586522,1,0
1561588922,2,10
1561589522,1,2
1561590122,5,0
1561591322,1,4
1561591922,2,0
1561592523,1,0
1561592949,1,4
1561593122,1,0
1561593723,1,1
1561594922,2,1
1561596123,3,1
1561596722,1,0
1561597323,1,11
1561597923,1,0
1561598522,2,0
1561599722,0,8
1561600322,3,0
1561600922,4,5
1561602123,3,2
1561603323,0,6
1561603922,5,1
1561604522,0,10
1561605722,6,1
1561606923,4,11
1561608122,3,24
1561609322,3,20
1561609922,29,3
1561610522,0,6
1561611122,23,0
1561612923,2,21
1561614122,1,10
1561615322,1,5
1561616523,6,3
1561617722,12,20
1561618322,0,8
1561620122,6,15
1561621322,21,3
1561622523,1,9
1561623123,4,0
1561623722,2,0
1561624323,1,2
1561624922,6,0
1561626123,15,0
1561627322,2,0
1561627923,3,3
1561628523,1,0
1561629722,3,72
1561630323,7,0
1561630922,6,3
1561632122,7,2
1561633322,13,2
1561633922,8,3
1561634523,8,5
1561635722,0,11
1561636923,9,0
1561638123,3,4
1561639322,1,0
1561640522,1,6
1561641722,1,0
1561642322,4,0
1561642922,9,2
1561645322,10,6
1561646523,28,0
1561647123,39,0
1561647723,5,4
1561648922,3,1
1561650122,17,4
1561651322,3,4
1561651923,1,15
1561652522,3,4
1561653723,3,3
1561654923,2,2
1561656123,1,6
1561657323,1,5
1561657922,3,0
1561658522,3,3
1561659723,1,2
1561660923,3,4
1561662122,0,7
1561663322,38,4
1561664523,3,1
1561665123,3,10
1561665723,1,0
1561666923,1,7
1561667522,1,0
1561668122,3,0
1561668722,3,6
1561669322,2,9
1561670522,1,4
1561671722,0,4
1561672322,0,2
1561672922,0,18
1561674122,4,6
1561674722,7,0
1561675322,0,2
1561675922,1,0
1561676523,3,3
1561677722,0,25
1561678922,41,5
1561680123,3,7
1561680722,3,2
1561681322,0,18
1561682522,5,9
1561683122,1,0
1561683722,2,0
1561684322,2,0
1561684922,0,3
1561685522,1,8
1561687322,2,1
1561688523,2,0
1561689722,2,10
1561690922,3,77
1561691522,1,0
1561692123,7,0
1561693323,0,7
1561693922,3,0
1561694522,1,3
1561695723,2,0
1561696323,7,0
1561696923,3,2
1561698122,3,2
1561699322,2,1
1561700523,2,0
1561701723,2,2
1561702322,1,2
1561702922,2,24
1561704122,1,5
1561705322,1,5
1561706522,4,2
1561707722,2,0
1561708922,3,15
1561710123,1,9
1561711322,1,3
1561711923,1,0
1561712522,1,23
1561713723,0,1
1561714923,5,0
1561716123,7,37
1561717322,2,4
1561718523,1,2
1561719722,1,9
1561720323,7,0
1561720923,3,0
1561721522,4,5
1561722122,2,0
1561722722,4,4
1561723322,3,6
1561724523,6,0
1561725723,6,5
1561726922,7,0
1561728122,0,6
1561729323,2,2
1561730522,6,1
1561731722,10,8
1561732922,3,10
1561734123,4,14
1561735322,1,6
1561736522,6,3
1561737122,5,0
1561737722,3,6
1561738322,2,0
1561738922,4,0
1561740122,2,8
1561740722,4,3
1561741322,1,0
1561741922,2,1
1561742523,3,6
1561743722,1,2
1561744923,3,4
1561746122,0,24
1561746723,4,1
1561747322,0,1
1561748522,2,3
1561749122,4,2
1561749722,3,0
1561750322,5,13
1561750922,2,5
1561751522,3,0
1561752122,2,0
1561753322,4,12
1561754522,2,49
1561755723,4,7
1561756922,5,1
1561757522,6,3
1561758122,3,0
1561758722,2,1
1561759322,5,52
1561759922,3,3
1561761722,1,3
1561762922,1,0
1561763522,1,3
1561764122,7,4
1561764722,4,1
1561765322,2,2
1561765922,2,8
1561766523,4,0
1561767722,3,9
1561768922,1,6
1561770122,1,6
1561771322,1,10
1561772522,2,7
1561773122,2,3
1561773722,3,26
1561774923,1,0
1561776122,1,3
1561777323,3,8
1561777923,6,81
1561778523,1,3
1561779122,1,2
1561779722,3,1
1561780922,3,0
1561781522,7,1
1561782122,9,2
1561783322,0,1
1561783922,10,1
1561784523,0,1
1561785722,0,34
1561786922,0,4
1561788122,2,24
1561788722,1,0
1561789323,2,0
1561790522,1,9
1561791722,11,0
1561792922,1,6
1561794122,28,4
1561794722,3,6
1561795322,16,0
1561795922,2,8
1561796522,36,46
1561797722,5,5
1561798322,0,3
1561798922,4,0
1561800123,2,8
1561801322,2,0
1561802522,2,11
1561803122,1,0
1561803722,0,5
1561804323,1,0
1561804922,1,0
1561805522,12,1
1561806122,0,6
1561807322,5,0
1561808522,0,6
1561809722,11,13
1561810922,7,0
1561811522,7,0
1561812121,1,7
1561813322,3,2
1561814522,6,6
1561815723,5,3
1561817523,0,2
1561818123,3,6
1561818722,2,2
1561819322,4,0
1561820522,0,27
1561821122,31,0
1561821722,25,16
1561822922,6,4
1561824122,1,10
1561824722,1,0
1561825322,2,2
1561825922,3,0
1561826522,2,0
1561827123,7,3
1561827722,5,8
1561828922,0,4
1561830122,4,41
1561831323,5,8
1561831923,3,0
1561832522,7,4
1561833722,3,6
1561834922,5,0
1561835522,1,0
1561836122,20,2
1561837322,1,13
1561838522,4,3
1561839122,0,2
1561839722,1,2
1561840322,1,5
1561840922,4,3
1561841522,3,0
1561842122,12,0
1561843322,3,5
1561844522,1,61
1561845121,2,4
1561845722,2,8
1561846323,0,6
1561846922,3,4
1561848123,5,0
1561849322,0,12
1561850522,1,7
1561851122,1,0
1561852923,1,2
1561853522,1,1
1561855322,1,45
1561856522,0,36
1561857122,0,4
1561857722,1,7
1561860722,0,2
1561862522,35,5
1561863122,1,3
1561863722,3,0
1561864322,0,1
1561864923,2,1
1561865522,2,0
1561866122,2,4
1561866723,0,5
1561867322,2,0
1561868522,0,18
1561869122,1,0
1561869722,11,4
1561870922,2,0
1561872122,1,7
1561872722,2,0
1561873322,4,7
1561873922,5,0
1561874522,1,5
1561875123,1,0
1561875722,2,7
1561876922,31,0
1561878122,38,14
1561879323,3,9
1561880522,0,7
1561881722,4,63
1561882922,1,39
1561884122,2,6
1561885322,6,6
1561885922,1,1
1561887122,0,1
1561887722,6,0
1561888922,10,3
1561889522,2,0
1561890122,1,1
1561891322,2,18
1561892522,0,5
1561893723,2,4
1561894323,1,0
1561894922,1,4
1561895522,2,1
1561896122,5,0
1561896722,1,5
1561897322,4,5
1561897922,1,0
1561898522,0,16
1561899722,11,0
1561900322,0,4
1561900922,5,1
1561902122,4,6
1561902722,6,3
1561903322,3,0
1561903923,2,9
1561904523,4,5
1561905722,0,47
1561906922,28,8
1561908122,3,0
1561908722,4,2
1561909322,4,0
1561910522,2,2
1561911722,6,9
1561912322,0,2
1561912923,5,2
1561913523,0,3
1561914122,2,0
1561914722,5,1
1561915322,3,0
1561915922,5,36
1561916522,9,0
1561917722,25,2
1561918322,4,7
1561918922,4,6
1561920122,31,5
1561921322,18,32
1561922522,25,2
1561923122,4,9
1561923723,14,0
1561924922,1,14
1561926122,1,2
1561926722,6,0
1561927322,4,0
1561928522,1,8
1561929123,3,0
1561929722,1,0
1561930922,5,5
1561931522,1,0
1561932122,1,11
1561933323,1,0
1561934522,6,3
1561935722,1,2
1561936323,1,33
1561936922,1,1
1561938122,1,0
1561939324,3,0
1561939922,1,3
1561940522,1,9
1561941122,2,0
1561941722,6,0
1561942322,32,0
1561942922,35,6
1561944122,2,0
1561944722,1,0
1561945322,6,0
1561946522,0,2
1561947122,3,0
1561947722,3,0
1561948322,32,2
1561950122,0,5
1561951322,1,10
1561951922,3,0
1561952522,11,8
1561954322,2,29
1561954922,4,20
1561955522,4,3
1561956122,2,5
1561957323,5,2
1561958522,4,1
1561959122,1,0
1561959721,1,0
1561960322,11,2
1561960922,17,0
1561961523,5,3
1561963322,6,5
1561963922,2,2
1561964522,3,0
1561965122,5,5
1561965722,3,2
1561966322,1,3
1561966922,4,35
1561968122,3,0
1561969322,10,5
1561969922,7,2
1561970522,3,4
1561971722,41,12
1561972322,1,0
1561972922,2,0
1561974122,4,6
1561974722,7,0
1561975323,1,2
1561976522,2,1
