DateTime,AddedIPs,RemovedIPs
1561551722,80,80
1561552322,80,80
1561552923,80,80
1561554122,80,80
1561555322,80,80
1561556522,80,80
1561557122,80,80
1561557722,79,79
1561558922,80,80
1561560123,80,80
1561560722,80,80
1561561323,80,80
1561562522,80,80
1561563722,80,80
1561564922,80,80
1561565522,80,80
1561566123,80,80
1561566722,80,80
1561567322,80,80
1561568522,80,80
1561569122,80,80
1561569723,78,78
1561570922,80,80
1561572122,80,80
1561572723,80,80
1561573322,80,80
1561574522,80,80
1561575723,80,80
1561576922,80,80
1561578123,80,80
1561579323,80,80
1561579922,80,80
1561580522,80,80
1561581122,80,80
1561581722,80,80
1561582922,80,80
1561584122,80,80
1561584722,80,80
1561585323,80,80
1561586522,80,80
1561588922,80,80
1561589522,80,80
1561590122,80,80
1561591322,80,80
1561591922,80,80
1561592523,80,80
1561592949,80,80
1561593122,80,80
1561593723,80,80
1561594922,80,80
1561596123,80,80
1561596722,80,80
1561597323,80,80
1561597923,80,80
1561598522,80,80
1561599722,80,80
1561600322,78,78
1561600922,79,79
1561602123,79,79
1561603323,80,80
1561603922,79,79
1561604522,78,78
1561605722,80,80
1561606923,80,80
1561608122,80,80
1561609322,80,80
1561609922,80,80
1561610522,80,80
1561611122,80,80
1561611723,80,80
1561612923,80,80
1561614122,80,80
1561615322,80,80
1561616523,80,80
1561617722,80,80
1561618322,80,80
1561618923,80,80
1561620122,80,80
1561621322,79,79
1561622523,80,80
1561623123,80,80
1561623722,80,80
1561624323,80,80
1561624922,80,80
1561626123,80,80
1561627322,80,80
1561627923,80,80
1561628523,80,80
1561629722,80,80
1561630323,80,80
1561630922,78,78
1561632122,80,80
1561633322,79,79
1561633922,75,75
1561634523,75,75
1561635722,80,80
1561636923,80,80
1561638123,80,80
1561639322,79,79
1561640522,80,80
1561641722,80,80
1561642322,80,80
1561642922,80,80
1561644122,80,80
1561645322,79,79
1561646523,80,80
1561647123,80,80
1561647723,80,80
1561648922,80,80
1561650122,79,79
1561651322,80,80
1561651923,80,80
1561652522,80,80
1561653723,80,80
1561654923,79,79
1561656123,80,80
1561657323,79,79
1561657922,80,80
1561658522,80,80
1561659723,80,80
1561660923,80,80
1561661523,80,80
1561662122,80,80
1561662722,80,80
1561663322,78,78
1561664523,80,80
1561665123,80,80
1561665723,80,80
1561666923,80,80
1561667522,80,80
1561668122,80,80
1561668722,80,80
1561669322,80,80
1561670522,80,80
1561671722,80,80
1561672322,80,80
1561672922,80,80
1561674122,80,80
1561674722,80,80
1561675322,80,80
1561675922,80,80
1561676523,80,80
1561677722,78,78
1561678922,80,80
1561680123,80,80
1561680722,80,80
1561681322,80,80
1561682522,80,80
