DateTime,AddedIPs,RemovedIPs
1559806202,201,0
1559809802,198,0
1559813402,172,0
1559817002,164,0
1559820601,146,0
1559827802,310,0
1559831402,135,0
1559835002,124,0
1559839502,140,0
1559843102,119,0
1559846702,160,0
1559850302,164,0
1559857502,239,0
1559862002,129,1
1559865603,113,2789
1559869202,165,0
1559872802,186,0
1559880001,257,0
1559883602,123,0
1559887202,145,0
1559890802,130,0
1559894402,137,0
1559898901,152,0
1559902502,176,0
1559907002,220,0
1559910602,152,0
1559914202,195,0
1559917802,168,0
1559921402,166,0
1559925002,152,0
1559928601,121,0
1559932202,147,0
1559935802,127,0
1559939402,111,0
1559943902,199,0
1559952002,267,3199
1559955602,138,1
1559959202,148,0
1559962802,122,0
1559970002,239,0
1559977202,291,1
1559984402,273,0
1559988901,159,0
1559992502,144,0
1559996102,130,0
1560003302,268,0
1560006901,108,0
1560010502,104,0
1560014101,105,0
1560017702,113,0
1560021301,105,0
1560024901,109,0
1560029402,131,1
1560036601,237,0
1560041102,109,3391
1560044702,106,0
1560047402,99,0
1560049202,60,0
1560052802,82,0
1560057302,104,0
1560064502,226,0
1560068102,106,0
1560071702,106,0
1560075302,122,0
1560079802,150,0
1560083402,113,0
1560087001,120,0
1560091501,144,0
1560098702,239,0
1560102302,113,0
1560110402,241,0
1560114002,118,0
1560117602,85,0
1560121202,82,0
1560124803,114,3136
1560132002,290,0
1560139202,203,0
1560142802,100,0
1560146401,155,0
1560153602,337,0
1560158102,206,0
1560161701,181,0
1560165302,135,0
1560168902,163,0
1560173402,175,0
1560177002,116,0
1560180602,169,0
1560184202,106,0
1560187802,130,1
1560191402,123,0
1560195001,126,0
1560198601,152,0
1560204002,177,0
1560207602,116,0
1560211202,119,2607
1560214802,127,0
1560218402,121,0
1560225602,243,0
1560229202,128,0
1560232802,148,0
1560236402,200,0
1560240002,213,0
1560247202,355,0
1560251702,237,0
1560255302,222,0
1560258902,196,0
1560262502,179,0
1560269702,283,0
1560273301,160,0
1560277802,163,0
1560281402,130,0
1560285002,132,0
1560292201,217,0
1560295802,114,0
1560303002,187,3089
1560307502,181,0
1560311102,136,0
1560318301,251,0
1560321902,163,0
1560325502,170,0
1560329102,175,0
1560332702,150,0
1560340802,378,0
1560344402,134,0
1560348002,118,0
1560355202,226,0
1560362402,349,0
1560366002,90,0
1560369602,91,0
1560373202,158,0
1560377702,120,0
1560381302,116,0
1560385802,98,3610
1560389402,114,0
1560393001,131,0
1560396602,112,0
1560400203,126,0
1560403802,105,0
1560407402,138,0
1560411002,134,0
1560415502,197,0
1560419102,171,0
1560422702,131,0
1560426302,180,0
1560429902,149,0
1560438002,318,1
1560441602,123,0
1560445202,132,0
1560448803,140,0
1560452402,149,0
1560456002,125,0
1560459601,111,0
1560463202,108,0
1560467702,136,0
1560472202,148,3365
1560479402,293,0
1560483902,160,0
1560487502,150,0
1560491101,141,0
1560494702,147,0
1560501902,427,0
1560505502,189,0
1560513602,422,0
1560517202,190,0
1560520802,161,0
1560524402,162,0
1560528002,141,0
1560531602,113,0
1560535202,141,0
1560539702,143,0
1560543302,118,0
1560546901,105,0
1560550502,131,0
1560554102,126,0
1560557701,123,3061
1560564902,308,0
1560568502,149,0
1560573002,195,0
1560576602,141,0
1560580202,150,0
1560583802,211,0
1560591001,358,0
1560594602,199,0
1560598201,137,0
1560602702,206,0
1560606302,165,0
1560609902,145,0
1560613502,145,0
1560617102,131,0
1560626102,37,0
1560629702,153,0
1560633301,134,0
1560640502,243,0
1560644101,94,3506
1560648601,182,0
1560652202,137,0
1560655802,153,0
1560663001,235,0
1560666601,115,0
1560670202,148,0
1560673801,110,0
1560677402,150,0
1560681002,124,0
1560688201,212,0
1560692702,137,0
1560696302,145,0
1560699902,126,0
1560703501,128,0
1560710702,210,0
1560714302,151,0
1560721502,237,0
1560726002,134,0
1560729602,106,3248
1560733202,144,0
1560740402,278,0
1560744001,120,0
1560747601,129,0
1560751201,154,0
1560754802,188,0
1560758402,178,0
1560764701,345,0
1560768302,134,0
1560771902,161,0
1560775502,185,0
1560782701,288,0
1560786302,113,0
1560794402,283,0
1560798002,93,0
1560801602,105,0
1560805202,109,0
1560808802,114,0
1560812402,84,0
1560816002,100,2962
1560819602,134,0
1560823202,115,0
1560831301,310,0
1560834902,127,0
1560842102,270,0
1560845702,166,0
1560852902,466,0
1560857402,202,0
1560861001,182,0
1560864601,175,0
1560868202,160,0
1560871802,138,0
1560875401,240,0
1560879001,113,0
1560883501,134,0
1560890702,302,0
1560898801,197,0
1560902402,102,3370
1560906002,145,0
1560908702,79,0
1560910501,74,0
1560914101,93,0
1560921302,241,0
1560925802,206,0
1560929401,153,0
1560933002,133,0
1560936601,171,0
1560940202,163,0
1560947402,299,0
1560951002,178,0
1560959102,319,0
1560966302,220,0
1560969902,140,0
1560978002,258,0
1560981601,99,0
1560985202,104,0
1560988802,97,3588
1560992402,146,0
1560999602,215,0
1561003202,109,0
1561006802,126,0
1561010401,148,0
1561014002,151,0
1561018502,216,0
1561022101,152,0
1561025702,124,0
1561029302,149,0
1561035602,210,0
1561038302,97,0
1561041901,119,0
1561045502,146,0
1561052701,199,0
1561056302,101,0
1561064402,194,0
1561068002,107,0
1561071602,120,0
1561075203,88,3273
1561078803,129,0
1561082402,100,0
1561089602,187,0
1561093202,108,0
1561096802,104,0
1561100402,133,0
1561108502,313,0
1561112101,139,0
1561119302,299,0
1561124702,194,0
1561128302,113,0
1561131902,102,0
1561135501,91,0
1561139101,93,0
1561142702,128,0
1561146301,99,0
1561154402,195,0
1561158002,63,0
1561161601,96,3022
1561165202,99,0
1561168802,94,0
1561172402,107,0
1561176001,74,0
1561179602,90,0
1561183202,81,0
1561191302,367,0
1561194902,110,0
1561198502,90,0
1561202102,105,0
1561205702,111,0
1561211102,176,0
1561214702,111,0
1561218302,87,0
1561226402,217,0
1561230002,78,0
1561233602,87,0
1561237202,74,0
1561240802,85,0
1561245302,125,0
1561248902,84,2705
1561252501,85,0
1561256102,143,0
1561259702,85,0
1561263302,86,0
1561266902,87,0
1561270501,127,0
1561277702,244,0
1561282201,138,0
1561285802,114,0
1561289402,102,0
1561293002,124,0
1561296602,123,0
1561300201,114,0
1561304702,109,0
1561308302,82,0
1561311902,134,1
1561315502,120,0
1561319102,110,0
1561322701,91,0
1561330802,158,0
1561334402,67,2451
1561338003,98,0
1561341602,93,0
1561345202,105,0
1561352402,206,0
1561359602,248,0
1561366802,302,0
1561370402,148,0
1561374901,165,0
1561378501,123,0
1561382102,142,0
1561385701,144,0
1561389302,97,0
1561392902,111,0
1561400102,165,0
1561404602,137,0
1561408202,226,0
1561411802,255,0
1561415402,91,0
1561419002,97,0
1561422602,83,2385
1561427102,142,0
1561430702,165,0
1561433401,214,0
1561441502,121,0
1561445102,152,0
1561453202,356,0
1561456802,145,1
1561460402,155,0
1561464002,147,0
1561467602,159,0
1561471202,130,0
1561475702,147,0
1561479302,135,0
1561482901,91,0
1561487401,154,0
1561491002,113,0
1561494602,85,0
1561499102,131,0
1561502702,73,0
1561506302,85,0
1561509902,90,2971
1561518002,203,0
1561521602,100,0
1561525202,93,0
1561528802,135,0
1561532402,158,0
1561536002,182,0
1561539602,175,0
1561543202,121,0
1561546802,149,0
1561551302,183,0
1561554902,174,0
1561558502,204,0
1561562102,140,0
1561569301,265,0
1561573802,139,0
1561577401,100,0
1561581002,110,0
1561588202,218,0
1561591802,97,0
1561599002,174,2945
1561603502,134,0
1561607102,91,0
1561614302,256,0
1561621501,288,0
1561626002,176,0
1561629602,162,0
1561633202,170,0
1561636802,160,0
1561640402,166,0
1561647602,283,0
1561651203,130,0
1561654802,106,0
1561658402,88,0
1561662002,122,0
1561665602,116,0
1561670102,123,0
1561673702,114,0
1561677302,110,0
1561680901,97,3049
1561684502,118,0
1561688102,120,0
1561691702,131,0
1561695302,142,0
1561699801,130,0
1561703401,178,0
1561707001,281,0
1561710602,156,0
1561714202,140,0
1561721401,330,0
1561725001,131,0
1561728602,121,0
1561732201,102,0
1561735802,102,0
1561740302,151,0
1561743902,113,0
1561747501,100,0
1561751102,108,0
1561759202,250,0
1561762802,88,0
1561766402,105,2970
1561770001,141,0
1561777202,232,0
1561784402,350,0
1561788002,258,0
1561791602,174,0
1561796102,176,0
1561803302,264,0
1561806902,138,0
1561810502,138,0
1561814102,112,0
1561821302,206,0
1561825801,133,0
1561829402,109,0
1561833002,116,0
1561837502,102,0
1561844702,205,0
1561848302,122,0
1561851902,127,0
1561855502,116,3103
1561860002,159,0
1561863602,144,0
1561867202,121,0
1561874401,213,0
1561878002,94,0
1561881602,106,0
1561885202,137,0
1561889702,120,0
1561893302,118,0
1561896902,95,0
1561900502,97,0
1561904102,123,1
1561907701,136,0
1561911301,120,0
1561914902,111,0
1561923001,528,0
1561926601,113,0
1561930202,94,0
1561933802,117,0
1561937402,103,0
1561941002,69,3111
1561944601,99,0
1561948202,115,0
1561952701,113,0
1561956302,98,0
1561959901,128,0
1561963502,108,0
1561967101,141,0
1561974302,298,0
