DateTime,Entries,UniqueIPs
1559806202,5091,5091
1559809802,5289,5289
1559813402,5461,5461
1559817002,5625,5625
1559820601,5771,5771
1559827802,6081,6081
1559831402,6216,6216
1559835002,6340,6340
1559839502,6480,6480
1559843102,6599,6599
1559846702,6759,6759
1559850302,6923,6923
1559857502,7162,7162
1559862002,7290,7290
1559865603,4614,4614
1559869202,4779,4779
1559872802,4965,4965
1559880001,5222,5222
1559883602,5345,5345
1559887202,5490,5490
1559890802,5620,5620
1559894402,5757,5757
1559898901,5909,5909
1559902502,6085,6085
1559907002,6305,6305
1559910602,6457,6457
1559914202,6652,6652
1559917802,6820,6820
1559921402,6986,6986
1559925002,7138,7138
1559928601,7259,7259
1559932202,7406,7406
1559935802,7533,7533
1559939402,7644,7644
1559943902,7843,7843
1559952002,4911,4911
1559955602,5048,5048
1559959202,5196,5196
1559962802,5318,5318
1559970002,5557,5557
1559977202,5847,5847
1559984402,6120,6120
1559988901,6279,6279
1559992502,6423,6423
1559996102,6553,6553
1560003302,6821,6821
1560006901,6929,6929
1560010502,7033,7033
1560014101,7138,7138
1560017702,7251,7251
1560021301,7356,7356
1560024901,7465,7465
1560029402,7595,7595
1560036601,7832,7832
1560041102,4550,4550
1560044702,4656,4656
1560047402,4755,4755
1560049202,4815,4815
1560052802,4897,4897
1560057302,5001,5001
1560064502,5227,5227
1560068102,5333,5333
1560071702,5439,5439
1560075302,5561,5561
1560079802,5711,5711
1560083402,5824,5824
1560087001,5944,5944
1560091501,6088,6088
1560098702,6327,6327
1560102302,6440,6440
1560110402,6681,6681
1560114002,6799,6799
1560117602,6884,6884
1560121202,6966,6966
1560124803,3944,3944
1560132002,4234,4234
1560139202,4437,4437
1560142802,4537,4537
1560146401,4692,4692
1560153602,5029,5029
1560158102,5235,5235
1560161701,5416,5416
1560165302,5551,5551
1560168902,5714,5714
1560173402,5889,5889
1560177002,6005,6005
1560180602,6174,6174
1560184202,6280,6280
1560187802,6409,6409
1560191402,6532,6532
1560195001,6658,6658
1560198601,6810,6810
1560204002,6987,6987
1560207602,7103,7103
1560211202,4615,4615
1560214802,4742,4742
1560218402,4863,4863
1560225602,5106,5106
1560229202,5234,5234
1560232802,5382,5382
1560236402,5582,5582
1560240002,5795,5795
1560247202,6150,6150
1560251702,6387,6387
1560255302,6609,6609
1560258902,6805,6805
1560262502,6984,6984
1560269702,7267,7267
1560273301,7427,7427
1560277802,7590,7590
1560281402,7720,7720
1560285002,7852,7852
1560292201,8069,8069
1560295802,8183,8183
1560303002,5281,5281
1560307502,5462,5462
1560311102,5598,5598
1560318301,5849,5849
1560321902,6012,6012
1560325502,6182,6182
1560329102,6357,6357
1560332702,6507,6507
1560340802,6885,6885
1560344402,7019,7019
1560348002,7137,7137
1560355202,7363,7363
1560362402,7712,7712
1560366002,7802,7802
1560369602,7893,7893
1560373202,8051,8051
1560377702,8171,8171
1560381302,8287,8287
1560385802,4775,4775
1560389402,4889,4889
1560393001,5020,5020
1560396602,5132,5132
1560400203,5258,5258
1560403802,5363,5363
1560407402,5501,5501
1560411002,5635,5635
1560415502,5832,5832
1560419102,6003,6003
1560422702,6134,6134
1560426302,6314,6314
1560429902,6463,6463
1560438002,6780,6780
1560441602,6903,6903
1560445202,7035,7035
1560448803,7175,7175
1560452402,7324,7324
1560456002,7449,7449
1560459601,7560,7560
1560463202,7668,7668
1560467702,7804,7804
1560472202,4587,4587
1560479402,4880,4880
1560483902,5040,5040
1560487502,5190,5190
1560491101,5331,5331
1560494702,5478,5478
1560501902,5905,5905
1560505502,6094,6094
1560513602,6516,6516
1560517202,6706,6706
1560520802,6867,6867
1560524402,7029,7029
1560528002,7170,7170
1560531602,7283,7283
1560535202,7424,7424
1560539702,7567,7567
1560543302,7685,7685
1560546901,7790,7790
1560550502,7921,7921
1560554102,8047,8047
1560557701,5109,5109
1560564902,5417,5417
1560568502,5566,5566
1560573002,5761,5761
1560576602,5902,5902
1560580202,6052,6052
1560583802,6263,6263
1560591001,6621,6621
1560594602,6820,6820
1560598201,6957,6957
