DateTime,AddedIPs,RemovedIPs
1559794851,3,3
1559802055,2,2
1559804747,1,0
1559809252,4,4
1559816445,2,0
1559820055,6,0
1559821849,0,4
1559823642,4,3
1559830844,3,7
1559838057,1,6
1559845248,6,3
1559852448,6,2
1559859646,2,4
1559864150,1,0
1559867751,3,1
1559874046,1,6
1559881251,3,2
1559888448,2,5
1559894750,1,0
1559895656,4,4
1559903754,3,1
1559906448,10,2
1559908250,0,1
1559910063,2,3
1559912743,1,0
1559917245,3,3
1559918148,1,0
1559924449,3,4
1559928961,1,0
1559931647,3,3
1559932541,1,0
1559938845,3,3
1559942446,2,0
1559946052,4,2
1559947849,1,0
1559948746,3,0
1559953250,3,0
1559958656,1,0
1559959543,1,0
1559960450,1,6
1559966753,0,1
1559967653,8,2
1559970359,4,0
1559974859,2,2
1559978446,1,0
1559982056,2,3
1559990149,2,5
1559991109,0,1
1559991953,3,0
1559994613,0,3
1559995483,1,0
1559996387,2,2
1559999083,0,1
1560003572,3,2
1560010777,4,2
1560011685,3,0
1560017983,2,2
1560025193,3,1
1560032383,3,4
1560039580,2,2
1560046781,2,4
1560052177,0,1
1560053972,6,3
1560061184,2,6
1560062078,1,0
1560068376,1,4
1560075587,2,2
1560078359,1,6
1560079176,4,0
1560080981,0,2
1560082779,5,5
1560083679,1,0
1560089974,7,3
1560097174,2,2
1560104374,3,3
1560105289,2,0
1560106182,0,1
1560110683,1,0
1560111581,4,4
1560112482,0,1
1560113377,1,0
1560118779,3,7
1560125977,4,4
1560130477,0,1
1560133183,0,6
1560134988,0,1
1560140381,8,5
1560141288,4,0
1560144878,0,1
1560147585,1,3
1560150281,0,1
1560154778,5,4
1560161978,5,2
1560163887,0,2
1560166544,5,1
1560167456,0,6
1560169253,3,4
1560172852,1,0
1560176449,2,1
1560183636,2,3
1560190847,4,0
1560196247,1,0
1560198047,2,4
1560199847,1,0
1560201647,1,0
1560203457,1,0
1560205243,0,2
1560212448,5,2
1560217845,1,0
1560219648,3,7
1560226851,3,4
1560233158,1,0
1560234057,5,4
1560241240,5,1
1560248444,4,7
1560251258,0,2
1560252053,15,0
1560253845,0,3
1560255644,2,7
1560262838,3,5
1560270055,7,3
1560270954,1,0
1560277243,0,1
1560284448,0,4
1560291641,0,3
1560294339,0,1
1560298844,13,1
1560306040,2,10
1560311452,1,0
1560313239,6,0
1560320443,0,2
1560327641,0,3
1560329444,1,0
1560334846,6,2
1560335747,0,1
1560337680,0,2
1560339343,7,0
1560342047,0,5
1560343851,1,0
1560349244,2,7
1560353753,1,0
1560358243,0,1
1560361858,1,0
1560363647,0,2
1560369950,2,0
1560370846,0,1
1560378952,12,0
1560382556,0,1
1560385244,3,3
1560392443,2,7
1560399645,5,4
1560406844,4,4
1560413149,2,0
1560414046,0,2
1560421248,0,5
1560424952,0,4
1560425746,5,0
1560427543,0,2
1560428440,0,4
1560431146,1,0
1560435640,0,6
1560439254,0,1
1560442845,0,9
1560447346,1,0
1560450048,18,0
1560450946,4,0
1560457259,4,0
1560471650,10,2
1560478847,1,9
1560486049,4,4
1560493247,1,0
1560495936,0,1
1560496850,0,1
1560507643,0,1
1560509436,8,2
1560511192,0,11
1560522005,0,12
1560532919,0,1
1560534658,7,0
1560536442,15,0
1560546352,5,0
1560547243,1,0
1560552649,5,2
1560558048,3,2
1560565249,3,4
1560575140,7,4
1560579638,0,13
1560587752,4,2
1560588652,1,0
1560594056,6,0
1560595844,6,0
1560598552,0,3
1560608451,1,0
1560615649,6,1
1560622866,0,4
1560624647,1,0
1560626447,0,1
1560630048,0,3
1560637255,11,0
1560644456,2,0
1560651654,2,6
1560658842,5,21
1560666055,5,0
1560672360,2,0
1560680450,2,0
1560684173,0,2
1560684947,8,0
1560687660,9,0
1560689453,2,0
1560694857,3,2
1560701157,1,0
1560702063,2,0
1560709246,2,2
1560714649,1,0
1560716451,4,5
1560721864,1,0
1560723646,2,4
1560730854,2,2
1560736250,1,0
1560738053,2,7
1560742550,1,0
1560745255,6,6
1560752448,3,2
1560753354,1,0
1560759654,9,4
1560767752,3,8
1560768654,2,0
1560771355,0,4
1560773170,0,2
1560774072,5,0
1560781262,6,1
1560788416,1,10
1560795612,8,0
1560802837,3,0
1560810041,5,2
1560817243,2,1
1560824438,0,4
1560831646,4,3
1560836145,1,0
1560838844,4,5
1560846043,5,4
1560846954,1,0
1560853239,3,2
1560857750,7,15
1560860451,5,2
1560867697,3,4
1560874845,5,0
1560882050,2,3
1560889252,2,4
1560896448,6,5
1560903641,1,2
1560904547,2,0
1560908148,1,0
1560909050,1,0
1560910840,2,4
1560918046,8,3
1560919843,1,0
1560925244,2,2
1560932449,2,4
1560939647,5,1
1560942354,4,0
1560944143,0,6
1560945041,0,1
1560946848,5,5
1560954036,5,2
1560954942,1,0
1560961247,4,2
1560968451,6,0
1560969343,2,0
1560975648,1,4
1560983749,4,4
1560990045,4,1
1560997239,2,5
1560999047,0,1
1561004446,4,4
1561011650,4,5
1561018834,2,3
1561026048,6,4
1561030557,2,3
1561033258,4,3
1561038660,1,0
1561040450,3,5
1561047647,4,4
1561052149,1,0
1561053057,0,1
1561054849,1,5
1561062041,3,1
1561068348,1,0
1561069247,1,1
1561076446,4,2
1561083649,2,4
1561090843,2,4
1561098043,2,5
1561105250,1,8
1561111553,1,0
1561112451,7,6
1561115139,4,2
1561117849,0,2
1561119641,1,6
1561124151,1,0
1561126846,5,2
1561129533,0,1
1561132244,2,0
1561134042,2,5
1561139446,0,12
1561141246,5,3
1561143940,1,0
1561145747,1,0
1561146647,4,0
1561148443,6,1
1561153840,0,1
1561154747,1,0
1561156539,0,1
1561162851,1,2
1561167349,0,1
1561170042,0,4
1561177242,0,3
1561184446,0,4
1561191644,14,4
1561198841,3,3
1561201652,0,3
1561204241,4,0
1561206041,0,5
1561213239,4,6
1561216843,0,1
1561220445,3,4
1561221347,1,1
1561223140,2,0
1561227637,7,3
1561234848,4,6
1561235741,1,0
1561242035,5,1
1561249251,2,2
1561256438,2,4
1561261840,0,1
1561263639,6,3
1561270841,5,1
1561278045,1,5
1561278936,1,1
1561285244,6,0
1561287957,5,0
1561289746,0,4
1561290637,0,1
1561292447,5,3
1561297837,2,0
1561299639,3,3
1561306837,6,5
1561310440,1,0
1561314034,3,2
1561317640,1,0
1561319436,1,0
1561321243,5,12
1561323030,0,1
1561329337,1,1
1561335636,2,1
1561341034,0,1
1561346440,0,1
1561350040,6,1
1561354538,0,1
1561357232,4,0
1561362641,0,1
1561363534,0,1
1561364441,1,3
1561371647,6,2
1561373521,0,2
1561374462,0,1
1561376132,8,0
1561378845,1,5
1561379737,0,1
1561381538,1,0
1561386038,5,6
1561388741,0,2
1561389645,0,1
1561393241,5,7
1561400441,7,5
1561404938,1,0
1561407632,3,4
1561411232,0,1
1561413944,0,1
1561414840,3,1
1561420233,0,1
1561422035,6,1
1561423836,0,1
1561427435,0,1
1561429234,1,7
1561430146,0,1
1561431034,0,1
1561431933,0,2
1561436435,4,2
1561443640,3,10
1561450845,4,12
1561458042,10,3
1561458932,0,1
1561460734,4,0
1561462525,0,4
1561463439,0,1
1561465236,5,4
1561472433,5,3
1561479638,3,4
1561486832,1,2
1561489537,1,0
1561494041,7,4
1561501237,4,2
1561508430,2,6
1561515638,2,6
1561518330,1,0
1561522834,5,5
1561530036,1,4
1561537233,1,5
1561544433,6,2
1561548133,0,2
1561548946,7,0
1561550732,0,1
1561551631,7,4
1561558835,4,8
1561566058,3,4
1561573232,2,4
1561580429,6,4
1561586739,0,1
1561588534,1,3
1561593937,1,0
1561594834,3,2
1561602032,2,4
1561603832,2,0
1561609243,5,3
1561610136,1,0
1561614633,1,0
1561616441,2,3
1561619146,0,1
1561623643,2,13
1561626347,5,0
1561627250,1,0
1561630841,5,3
1561632638,0,1
1561635344,0,2
1561637145,1,0
1561638041,1,5
1561656769,4,4
1561659688,0,4
1561660557,6,0
1561666841,0,2
1561668639,0,1
1561674040,0,3
1561674938,0,1
1561681245,0,4
1561688449,0,4
1561695639,0,2
1561701933,0,1
1561702844,0,2
1561709144,0,1
1561710046,0,3
1561717237,0,2
1561719956,0,3
1561721740,7,1
1561724447,0,6
1561727146,0,1
1561729843,1,0
1561730743,1,0
1561731642,0,3
1561737039,0,1
1561737944,1,0
1561738842,0,1
1561746044,0,5
1561748757,1,0
1561749654,0,1
1561758650,0,1
1561761342,0,2
1561764941,0,1
1561765841,0,1
1561767649,0,3
1561769448,0,1
1561774847,0,6
1561782046,0,1
1561788348,0,1
1561789252,0,3
1561796450,0,5
1561800949,0,1
1561801842,1,0
1561803642,0,4
1561804544,1,0
1561806346,5,0
1561809039,0,6
1561810844,0,6
1561818042,0,737
1561827947,1,0
1561843244,0,1
1561852252,1,1
1561860345,0,1
1561864842,1,0
1561868448,0,1
1561869343,0,1
1561878342,0,3
1561879253,0,1
1561892751,0,5
1561894552,15,0
1561911648,0,1
1561915254,0,1
1561942247,0,1
1561960237,1,0
1561975545,0,1
