DateTime,Entries,UniqueIPs
1559794851,1841,1841
1559802055,1841,1841
1559804747,1842,1842
1559809252,1842,1842
1559816445,1844,1844
1559820055,1850,1850
1559821849,1846,1846
1559823642,1847,1847
1559830844,1843,1843
1559838057,1838,1838
1559845248,1841,1841
1559852448,1845,1845
1559859646,1843,1843
1559864150,1844,1844
1559867751,1846,1846
1559874046,1841,1841
1559881251,1842,1842
1559888448,1839,1839
1559894750,1840,1840
1559895656,1840,1840
1559903754,1842,1842
1559906448,1850,1850
1559908250,1849,1849
1559910063,1848,1848
1559912743,1849,1849
1559917245,1849,1849
1559918148,1850,1850
1559924449,1849,1849
1559928961,1850,1850
1559931647,1850,1850
1559932541,1851,1851
1559938845,1851,1851
1559942446,1853,1853
1559946052,1855,1855
1559947849,1856,1856
1559948746,1859,1859
1559953250,1862,1862
1559958656,1863,1863
1559959543,1864,1864
1559960450,1859,1859
1559966753,1858,1858
1559967653,1864,1864
1559970359,1868,1868
1559974859,1868,1868
1559978446,1869,1869
1559982056,1868,1868
1559990149,1865,1865
1559991109,1864,1864
1559991953,1867,1867
1559994613,1864,1864
1559995483,1865,1865
1559996387,1865,1865
1559999083,1864,1864
1560003572,1865,1865
1560010777,1867,1867
1560011685,1870,1870
1560017983,1870,1870
1560025193,1872,1872
1560032383,1871,1871
1560039580,1871,1871
1560046781,1869,1869
1560052177,1868,1868
1560053972,1871,1871
1560061184,1867,1867
1560062078,1868,1868
1560068376,1865,1865
1560075587,1865,1865
1560078359,1860,1860
1560079176,1864,1864
1560080981,1862,1862
1560082779,1862,1862
1560083679,1863,1863
1560089974,1867,1867
1560097174,1867,1867
1560104374,1867,1867
1560105289,1869,1869
1560106182,1868,1868
1560110683,1869,1869
1560111581,1869,1869
1560112482,1868,1868
1560113377,1869,1869
1560118779,1865,1865
1560125977,1865,1865
1560130477,1864,1864
1560133183,1858,1858
1560134988,1857,1857
1560140381,1860,1860
1560141288,1864,1864
1560144878,1863,1863
1560147585,1861,1861
1560150281,1860,1860
1560154778,1861,1861
1560161978,1864,1864
1560163887,1862,1862
1560166544,1866,1866
1560167456,1860,1860
1560169253,1859,1859
1560172852,1860,1860
1560176449,1861,1861
1560183636,1860,1860
1560190847,1864,1864
1560196247,1865,1865
1560198047,1863,1863
1560199847,1864,1864
1560201647,1865,1865
1560203457,1866,1866
1560205243,1864,1864
1560212448,1867,1867
1560217845,1868,1868
1560219648,1864,1864
1560226851,1863,1863
1560233158,1864,1864
1560234057,1865,1865
1560241240,1869,1869
1560248444,1866,1866
1560251258,1864,1864
1560252053,1879,1879
1560253845,1876,1876
1560255644,1871,1871
1560262838,1869,1869
1560270055,1873,1873
1560270954,1874,1874
1560277243,1873,1873
1560284448,1869,1869
1560291641,1866,1866
1560294339,1865,1865
1560298844,1877,1877
1560306040,1869,1869
1560311452,1870,1870
1560313239,1876,1876
1560320443,1874,1874
1560327641,1871,1871
1560329444,1872,1872
1560334846,1876,1876
1560335747,1875,1875
1560337680,1873,1873
1560339343,1880,1880
1560342047,1875,1875
1560343851,1876,1876
1560349244,1871,1871
1560353753,1872,1872
1560358243,1871,1871
1560361858,1872,1872
1560363647,1870,1870
1560369950,1872,1872
1560370846,1871,1871
1560378952,1883,1883
1560382556,1882,1882
1560385244,1882,1882
1560392443,1877,1877
1560399645,1878,1878
1560406844,1878,1878
1560413149,1880,1880
1560414046,1878,1878
1560421248,1873,1873
1560424952,1869,1869
1560425746,1874,1874
1560427543,1872,1872
1560428440,1868,1868
1560431146,1869,1869
1560435640,1863,1863
1560439254,1862,1862
1560442845,1853,1853
1560447346,1854,1854
1560450048,1872,1872
1560450946,1876,1876
1560457259,1880,1880
1560471650,1888,1888
1560478847,1880,1880
1560486049,1880,1880
1560493247,1881,1881
1560495936,1880,1880
1560496850,1879,1879
1560507643,1878,1878
1560509436,1884,1884
1560511192,1873,1873
1560522005,1861,1861
1560532919,1860,1860
1560534658,1867,1867
1560536442,1882,1882
1560546352,1887,1887
1560547243,1888,1888
1560552649,1891,1891
1560558048,1892,1892
1560565249,1891,1891
1560575140,1894,1894
1560579638,1881,1881
1560587752,1883,1883
1560588652,1884,1884
1560594056,1890,1890
1560595844,1896,1896
1560598552,1893,1893
1560608451,1894,1894
1560615649,1899,1899
1560622866,1895,1895
1560624647,1896,1896
1560626447,1895,1895
1560630048,1892,1892
1560637255,1903,1903
1560644456,1905,1905
1560651654,1901,1901
1560658842,1885,1885
1560666055,1890,1890
1560672360,1892,1892
1560680450,1894,1894
1560684173,1892,1892
1560684947,1900,1900
1560687660,1909,1909
1560689453,1911,1911
1560694857,1912,1912
1560701157,1913,1913
1560702063,1915,1915
1560709246,1915,1915
1560714649,1916,1916
1560716451,1915,1915
1560721864,1916,1916
1560723646,1914,1914
1560730854,1914,1914
1560736250,1915,1915
1560738053,1910,1910
1560742550,1911,1911
1560745255,1911,1911
1560752448,1912,1912
1560753354,1913,1913
1560759654,1918,1918
1560767752,1913,1913
1560768654,1915,1915
1560771355,1911,1911
1560773170,1909,1909
1560774072,1914,1914
1560781262,1919,1919
1560788416,1910,1910
1560795612,1918,1918
1560802837,1921,1921
1560810041,1924,1924
1560817243,1925,1925
1560824438,1921,1921
1560831646,1922,1922
1560836145,1923,1923
1560838844,1922,1922
1560846043,1923,1923
1560846954,1924,1924
1560853239,1925,1925
1560857750,1917,1917
1560860451,1920,1920
1560867697,1919,1919
1560874845,1924,1924
1560882050,1923,1923
1560889252,1921,1921
1560896448,1922,1922
1560903641,1921,1921
1560904547,1923,1923
1560908148,1924,1924
1560909050,1925,1925
1560910840,1923,1923
1560918046,1928,1928
1560919843,1929,1929
1560925244,1929,1929
1560932449,1927,1927
1560939647,1931,1931
1560942354,1935,1935
1560944143,1929,1929
1560945041,1928,1928
1560946848,1928,1928
1560954036,1931,1931
1560954942,1932,1932
1560961247,1934,1934
1560968451,1940,1940
1560969343,1942,1942
1560975648,1939,1939
1560983749,1939,1939
1560990045,1942,1942
1560997239,1939,1939
1560999047,1938,1938
1561004446,1938,1938
1561011650,1937,1937
1561018834,1936,1936
1561026048,1938,1938
1561030557,1937,1937
1561033258,1938,1938
1561038660,1939,1939
1561040450,1937,1937
1561047647,1937,1937
1561052149,1938,1938
1561053057,1937,1937
1561054849,1933,1933
1561062041,1935,1935
1561068348,1936,1936
1561069247,1936,1936
1561076446,1938,1938
1561083649,1936,1936
1561090843,1934,1934
1561098043,1931,1931
1561105250,1924,1924
1561111553,1925,1925
1561112451,1926,1926
1561115139,1928,1928
1561117849,1926,1926
1561119641,1921,1921
1561124151,1922,1922
1561126846,1925,1925
1561129533,1924,1924
1561132244,1926,1926
1561134042,1923,1923
1561139446,1911,1911
1561141246,1913,1913
1561143940,1914,1914
1561145747,1915,1915
1561146647,1919,1919
1561148443,1924,1924
1561153840,1923,1923
1561154747,1924,1924
1561156539,1923,1923
1561162851,1922,1922
1561167349,1921,1921
1561170042,1917,1917
1561177242,1914,1914
1561184446,1910,1910
1561191644,1920,1920
1561198841,1920,1920
1561201652,1917,1917
1561204241,1921,1921
1561206041,1916,1916
1561213239,1914,1914
1561216843,1913,1913
1561220445,1912,1912
1561221347,1912,1912
1561223140,1914,1914
1561227637,1918,1918
1561234848,1916,1916
1561235741,1917,1917
1561242035,1921,1921
1561249251,1921,1921
1561256438,1919,1919
1561261840,1918,1918
1561263639,1921,1921
1561270841,1925,1925
1561278045,1921,1921
1561278936,1921,1921
1561285244,1927,1927
1561287957,1932,1932
1561289746,1928,1928
1561290637,1927,1927
1561292447,1929,1929
1561297837,1931,1931
1561299639,1931,1931
1561306837,1932,1932
1561310440,1933,1933
1561314034,1934,1934
1561317640,1935,1935
1561319436,1936,1936
1561321243,1929,1929
1561323030,1928,1928
1561329337,1928,1928
1561335636,1929,1929
1561341034,1928,1928
1561346440,1927,1927
1561350040,1932,1932
1561354538,1931,1931
1561357232,1935,1935
1561362641,1934,1934
1561363534,1933,1933
1561364441,1931,1931
1561371647,1935,1935
1561373521,1933,1933
1561374462,1932,1932
1561376132,1940,1940
1561378845,1936,1936
1561379737,1935,1935
1561381538,1936,1936
1561386038,1935,1935
1561388741,1933,1933
1561389645,1932,1932
1561393241,1930,1930
1561400441,1932,1932
1561404938,1933,1933
1561407632,1932,1932
1561411232,1931,1931
1561413944,1930,1930
1561414840,1932,1932
1561420233,1931,1931
1561422035,1936,1936
1561423836,1935,1935
1561427435,1934,1934
1561429234,1928,1928
1561430146,1927,1927
1561431034,1926,1926
1561431933,1924,1924
1561436435,1926,1926
1561443640,1919,1919
1561450845,1911,1911
1561458042,1918,1918
1561458932,1917,1917
1561460734,1921,1921
1561462525,1917,1917
1561463439,1916,1916
1561465236,1917,1917
1561472433,1919,1919
1561479638,1918,1918
1561486832,1917,1917
1561489537,1918,1918
1561494041,1921,1921
1561501237,1923,1923
1561508430,1919,1919
1561515638,1915,1915
1561518330,1916,1916
1561522834,1916,1916
1561530036,1913,1913
1561537233,1909,1909
1561544433,1913,1913
1561548133,1911,1911
1561548946,1918,1918
1561550732,1917,1917
1561551631,1920,1920
1561558835,1916,1916
1561566058,1915,1915
1561573232,1913,1913
1561580429,1915,1915
1561586739,1914,1914
1561588534,1912,1912
1561593937,1913,1913
1561594834,1914,1914
1561602032,1912,1912
1561603832,1914,1914
1561609243,1916,1916
1561610136,1917,1917
1561614633,1918,1918
1561616441,1917,1917
1561619146,1916,1916
1561623643,1905,1905
1561626347,1910,1910
1561627250,1911,1911
1561630841,1913,1913
1561632638,1912,1912
1561635344,1910,1910
1561637145,1911,1911
1561638041,1907,1907
1561656769,1907,1907
1561659688,1903,1903
1561660557,1909,1909
1561666841,1907,1907
1561668639,1906,1906
1561674040,1903,1903
1561674938,1902,1902
1561681245,1898,1898
1561688449,1894,1894
1561695639,1892,1892
1561701933,1891,1891
1561702844,1889,1889
1561709144,1888,1888
1561710046,1885,1885
1561717237,1883,1883
1561719956,1880,1880
1561721740,1886,1886
1561724447,1880,1880
1561727146,1879,1879
1561729843,1880,1880
1561730743,1881,1881
1561731642,1878,1878
1561737039,1877,1877
1561737944,1878,1878
1561738842,1877,1877
1561746044,1872,1872
1561748757,1873,1873
1561749654,1872,1872
1561758650,1871,1871
1561761342,1869,1869
1561764941,1868,1868
1561765841,1867,1867
1561767649,1864,1864
1561769448,1863,1863
