DateTime,AddedIPs,RemovedIPs
1559952209,1,4
1559955809,0,2
1559959349,1,1
1559962950,3,3
1559966549,4,3
1559970209,0,4
1559973751,1,1
1559977410,1,2
1559984549,1,1
1559988211,1,7
1559991749,4,1
1560002609,3,3
1560006151,2,0
1560009749,2,1
1560013409,0,3
1560017011,1,0
1560020611,3,0
1560024210,1,0
1560027810,0,1
1560031410,2,2
1560034950,2,2
1560038553,0,1
1560042153,1,1
1560049352,2,5
1560053010,3,3
1560060150,2,1
1560063810,0,2
1560067412,1,3
1560071010,2,3
1560078150,5,6
1560081810,1,0
1560085350,0,4
1560088953,6,3
1560096152,2,5
1560099751,2,1
1560103411,2,2
1560107011,4,0
1560110611,1,1
1560114151,2,1
1560117751,2,3
1560121410,2,3
1560125011,1,1
1560135811,1,3
1560139351,6,6
1560143011,1,2
1560150211,1,0
1560153751,3,2
1560156091,0,1
1560160953,5,2
1560164552,1,1
1560168151,2,2
1560171751,1,2
1560175412,1,2
1560182552,2,3
1560186153,2,1
1560189753,2,0
1560193412,1,2
1560196952,2,0
1560200551,3,1
1560204214,2,0
1560207814,1,0
1560211352,1,0
1560214953,1,2
1560222153,1,1
1560225753,2,5
1560229353,3,3
1560232953,1,0
1560236553,2,2
1560240154,3,1
1560243813,2,2
1560247353,2,1
1560250953,1,2
1560254613,2,1
1560258213,1,2
1560261813,1,3
1560265413,2,4
1560268953,3,1
1560272554,1,1
1560276253,1,0
1560279817,2,3
1560283362,8,3
1560287021,1,1
1560290633,2,2
1560294252,1,2
1560297819,1,1
1560301355,1,2
1560304194,2,1
1560305015,0,2
1560308615,1,3
1560312155,5,5
1560315779,2,1
1560319416,0,1
1560344588,5,3
1560348200,1,1
1560355423,3,5
1560359062,1,2
1560377000,8,7
1560380588,1,0
1560384189,1,1
1560391384,2,1
1560394988,2,1
1560398586,2,3
1560402250,1,3
1560405816,1,3
1560409414,0,1
1560413001,2,1
1560416627,2,1
1560420200,1,0
1560423811,1,1
1560434614,2,4
1560459798,18,15
1560464371,5,2
1560466993,1,0
1560470530,2,0
1560481390,2,3
1560484989,2,4
1560488586,2,2
1560492261,2,4
1560495828,3,3
1560502997,1,1
1560506605,4,4
1560513799,1,2
1560517411,0,3
1560520994,3,0
1560524596,0,1
1560528216,2,3
1560531796,1,0
1560535395,2,5
1560538990,4,2
1560542536,1,0
1560546193,3,4
1560549815,3,1
1560553392,2,2
1560556988,2,0
1560560590,1,1
1560564189,2,1
1560567790,2,1
1560571390,6,6
1560574989,0,2
1560578624,0,1
1560582194,2,3
1560585793,3,1
1560589394,3,4
1560603793,5,6
1560607332,1,3
1560614595,2,2
1560621797,3,5
1560625399,2,1
1560629002,2,3
1560636234,3,4
1560643395,1,2
1560646996,3,0
1560650592,0,1
1560654193,2,2
1560657793,3,2
1560661392,2,2
1560664993,1,1
1560668592,0,2
1560672196,1,3
1560675793,2,1
1560679393,1,2
1560682992,2,3
1560686533,5,1
1560690132,3,1
1560693793,0,1
1560700992,2,3
1560711791,2,3
1560715393,2,0
1560718992,1,4
1560722592,1,3
1560726192,1,4
1560729792,1,2
1560736993,2,2
1560740591,3,3
1560744191,1,1
1560747732,1,1
1560751391,0,1
1560754993,5,3
1560758592,4,0
1560762192,0,2
1560765792,4,4
1560769393,1,2
1560772932,2,0
1560776593,5,2
1560780192,1,1
1560783793,2,0
1560787393,1,2
1560790993,4,1
1560794593,4,1
1560798193,2,1
1560801792,1,0
1560805393,2,2
1560808992,4,3
1560812533,1,3
1560816133,1,1
1560819794,0,1
1560823332,2,0
1560826993,4,4
1560830594,2,2
1560834192,1,1
1560837793,2,3
1560841393,0,1
1560844993,3,4
1560848593,1,0
1560852132,1,2
1560855794,3,3
1560859394,2,2
1560862994,2,2
1560866532,1,1
1560870194,3,5
1560873793,3,2
1560877334,1,2
1560880933,1,2
1560884594,3,4
1560888194,0,2
1560891793,1,1
1560895333,4,0
1560898994,1,2
1560902593,0,2
1560909734,2,1
1560913393,4,0
1560916994,5,4
1560924134,1,3
1560927795,1,3
1560931404,1,2
1560934994,8,8
1560942195,2,3
1560945733,3,3
1560949394,2,2
1560952995,2,4
1560956594,1,1
1560960194,3,2
1560963794,4,2
1560967395,5,4
1560970995,2,1
1560974595,1,2
1560978134,3,1
1560981795,1,0
1560985335,3,1
1560988994,1,0
1560992594,2,3
1560996134,1,1
1560999735,3,3
1561003394,2,3
1561006995,2,3
1561010534,1,2
1561014194,2,2
1561017795,1,1
1561021394,4,3
1561024995,2,1
1561028596,1,0
1561032197,2,3
1561035796,2,4
1561039335,2,1
1561042995,2,3
1561046595,1,2
1561050195,1,4
1561057395,2,2
1561060995,3,1
1561064596,3,2
1561068197,1,3
1561071735,0,1
1561075395,1,2
1561078995,1,0
1561082595,0,2
1561086135,2,1
1561087875,2,5
1561096937,1,2
1561100596,0,2
1561104136,2,2
1561107798,5,1
1561111395,3,2
1561114997,1,0
1561118596,2,0
1561122196,5,4
1561125797,1,2
1561129396,1,1
1561132998,0,2
1561136597,2,2
1561140137,3,2
1561143856,0,1
1561146467,0,1
1561147368,11,0
1561150967,5,2
1561188508,6,23
1561189200,9,0
1561190626,3,1
1561194167,3,3
1561197767,5,3
1561201427,0,4
1561204967,0,5
1561208566,7,3
1561212167,3,2
1561215046,2,4
1561215826,0,1
1561219427,1,2
1561223027,4,7
1561226567,3,1
1561230227,2,2
1561233767,1,3
1561237367,3,2
1561241027,3,3
1561244568,2,0
1561248226,2,0
1561251827,1,1
1561255426,1,0
1561258967,2,2
1561262628,4,4
1561269768,3,2
1561273367,1,1
1561276967,0,9
1561280627,4,8
1561284227,3,3
1561287767,2,1
1561291368,2,2
1561294968,2,3
1561298628,1,1
1561302167,3,1
1561305767,3,4
1561309368,1,1
1561312967,2,2
1561316567,1,3
1561320167,2,1
1561323768,2,4
1561327368,1,1
1561331027,1,1
1561334568,5,2
1561338167,1,1
1561341828,0,4
1561345429,2,2
1561348969,4,4
1561352567,2,3
1561356227,2,4
1561359768,1,3
1561363368,1,1
1561366968,5,4
1561370569,1,1
1561374169,1,2
1561377768,2,2
1561381368,4,3
1561384968,1,1
1561388568,3,9
1561392228,4,3
1561395768,2,1
1561399369,4,1
1561402968,2,1
1561406568,1,2
1561410168,2,4
1561413829,2,2
1561417428,1,1
1561420971,4,1
1561424568,1,0
1561428168,2,2
1561435368,4,5
1561438968,3,2
1561442571,1,1
1561446352,3,3
1561449768,2,1
1561453368,7,7
1561457029,6,7
1561460569,2,3
1561464229,2,0
1561467772,6,3
1561471369,2,2
1561474969,2,1
1561478569,1,3
1561480489,1,0
